,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2017-12-08,149500,194000,149500,194000,68343,12189206568,29.77,-2705323500.0,-12404000.0,3432221000.0,-714493500.0,613.0,68343.0,0.9,A282330
1,2017-12-11,222000,249000,214000,248500,684631,160186815000,28.09,3505457000.0,-1723366500.0,-26684730000.0,24902639500.0,35687.0,684631.0,5.21,A282330
2,2017-12-12,242500,246500,222500,235000,286513,67444450500,-5.43,9143658000.0,103904000.0,-11289389500.0,2041827500.0,6503.0,286513.0,2.27,A282330
3,2017-12-13,235000,242500,228000,235000,94609,22079908000,0.0,3962534000.0,-131864500.0,-2670117500.0,-1160552000.0,4062.0,94609.0,4.29,A282330
4,2017-12-14,236000,236500,221500,234000,118532,27249742000,-0.43,7522268000.0,-129595000.0,-6054356000.0,-1338317000.0,1408.0,118532.0,1.19,A282330
5,2017-12-15,230000,242000,230000,236500,63106,14945257500,1.07,1600187500.0,-154804000.0,-3817551000.0,2372167500.0,2645.0,63106.0,4.19,A282330
6,2017-12-18,240000,240000,233000,238000,25868,6136088500,0.63,106701500.0,0.0,-1100203000.0,993501500.0,1427.0,25868.0,5.52,A282330
7,2017-12-19,237000,238000,225500,227000,37388,8574573000,-4.62,253065000.0,6855000.0,-213776500.0,-46143500.0,5629.0,37388.0,15.06,A282330
8,2017-12-20,225500,227500,222500,225500,43299,9740898000,-0.66,1365613500.0,0.0,-1139969000.0,-225644500.0,6048.0,43299.0,13.97,A282330
9,2017-12-21,225000,226000,220500,220500,48028,10714094631,-2.22,797058500.0,0.0,-1204745000.0,407686500.0,6218.0,48028.0,12.95,A282330
10,2017-12-22,224500,224500,217000,219500,21824,4812876000,-0.45,232976500.0,2180000.0,-433401000.0,198244500.0,4338.0,21824.0,19.88,A282330
11,2017-12-26,217500,221500,215000,219000,19031,4145330500,-0.23,1646856000.0,3261500.0,-2201372500.0,551255000.0,1621.0,19031.0,8.52,A282330
12,2017-12-27,216000,218500,209000,212500,19265,4083917500,-2.97,-752154000.0,4310000.0,-227940500.0,975784500.0,1868.0,19265.0,9.7,A282330
13,2017-12-28,210500,213000,209500,210000,28678,6032219000,-1.18,276129500.0,4200000.0,377928000.0,-658257500.0,16.0,28678.0,0.06,A282330
14,2018-01-02,212500,212500,208500,210500,43076,9043093762,0.24,-251094000.0,0.0,-134001500.0,385095500.0,1510.0,43076.0,3.51,A282330
15,2018-01-03,205500,208500,201500,202500,39089,7951270500,-3.8,-510108000.0,-35577000.0,720790500.0,-175105500.0,1787.0,39089.0,4.57,A282330
16,2018-01-04,203000,203500,200500,200500,49743,10017998956,-0.99,-1069548000.0,0.0,-776888500.0,1846436500.0,2512.0,49743.0,5.05,A282330
17,2018-01-05,202500,202500,196500,200000,29452,5887151500,-0.25,-79125000.0,-3400000.0,-1190551000.0,1273076000.0,1305.0,29452.0,4.43,A282330
18,2018-01-08,200000,201000,199000,199000,26055,5205333632,-0.5,-100965000.0,-200500.0,-777225500.0,878391000.0,866.0,26055.0,3.32,A282330
19,2018-01-09,199000,207000,195500,206000,38911,7813739064,3.52,983414000.0,-10150000.0,-1613371500.0,640107500.0,1663.0,38911.0,4.27,A282330
20,2018-01-10,207000,211500,203500,210500,42692,8917450315,2.18,1948310000.0,0.0,-2621177500.0,672867500.0,2706.0,42692.0,6.34,A282330
21,2018-01-11,212000,213000,204000,208500,46884,9808069008,-0.95,-716801500.0,12720000.0,-1220878000.0,1924959500.0,3961.0,46884.0,8.45,A282330
22,2018-01-12,209000,209500,200500,201500,42666,8663980000,-3.36,1404212000.0,-12521500.0,-686331500.0,-705359000.0,3936.0,42666.0,9.23,A282330
23,2018-01-15,202000,208000,199000,206000,28168,5767673500,2.23,1600805500.0,0.0,-1480497000.0,-120308500.0,563.0,28168.0,2.0,A282330
24,2018-01-16,206000,211000,205500,210000,32777,6849717528,1.94,366241500.0,0.0,-949502000.0,583260500.0,1527.0,32777.0,4.66,A282330
25,2018-01-17,208000,219500,208000,218000,30967,6703731500,3.81,-565503500.0,-14548000.0,-1690698000.0,2270749500.0,2246.0,30967.0,7.25,A282330
26,2018-01-18,215500,221000,213500,221000,15647,3408162000,1.38,-337264500.0,28661500.0,-479999500.0,788602500.0,5591.0,15647.0,35.73,A282330
27,2018-01-19,217500,221500,215000,215000,10446,2273504500,-2.71,-504844500.0,64247000.0,-22593500.0,463191000.0,1594.0,10446.0,15.26,A282330
