,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,291500,298500,291000,295000,31424,9304651500,1.9,2127553500.0,21318000.0,-1721601500.0,-427270000.0,17.0,31424.0,0.05,A097950
1,2012-01-03,296500,309500,296500,308000,70100,21403040500,4.41,6083733000.0,501202500.0,-8853475000.0,2268539500.0,634.0,70100.0,0.9,A097950
2,2012-01-04,310000,313000,301500,306000,54909,16896562000,-0.65,-1678442000.0,228142500.0,-31527500.0,1481827000.0,2093.0,54909.0,3.81,A097950
3,2012-01-05,308500,310000,302500,307500,25761,7911878000,0.49,1240808000.0,-906500.0,-593852000.0,-646049500.0,790.0,25761.0,3.07,A097950
4,2012-01-06,302500,307500,297500,301000,32484,9826507000,-2.11,2341396000.0,54615000.0,658187500.0,-3054198500.0,619.0,32484.0,1.91,A097950
5,2012-01-09,300000,300000,290500,293000,38733,11328658500,-2.66,-3183415500.0,-204854500.0,2777624500.0,610645500.0,1093.0,38733.0,2.82,A097950
6,2012-01-10,294000,297000,290000,293500,35453,10397752000,0.17,1190148500.0,-230172000.0,420085500.0,-1380062000.0,379.0,35453.0,1.07,A097950
7,2012-01-11,294000,299500,292000,294500,35326,10443077500,0.34,-600687500.0,72368500.0,713025500.0,-184706500.0,1441.0,35326.0,4.08,A097950
8,2012-01-12,295500,300000,291000,300000,34695,10239607000,1.87,1728353000.0,442199500.0,28414500.0,-2198967000.0,2899.0,34695.0,8.36,A097950
9,2012-01-13,298000,303000,297000,298000,28814,8658149000,-0.67,973427000.0,91741000.0,308666500.0,-1373834500.0,2065.0,28814.0,7.17,A097950
10,2012-01-16,295000,298000,286000,287500,51574,14882935500,-3.52,999338000.0,-76529500.0,2332914500.0,-3255723000.0,153.0,51574.0,0.3,A097950
11,2012-01-17,291000,293000,282500,284000,80651,23058939000,-1.22,-6660733000.0,58155500.0,10708892500.0,-4106315000.0,5534.0,80651.0,6.86,A097950
12,2012-01-18,285500,296000,284000,294500,76071,22197952000,3.7,7090541500.0,68008000.0,-4772646000.0,-2385903500.0,480.0,76071.0,0.63,A097950
13,2012-01-19,297500,298000,288000,296000,62098,18104037500,0.51,991552500.0,-498958500.0,2296002500.0,-2788596500.0,3823.0,62098.0,6.16,A097950
14,2012-01-20,293500,296000,288500,291000,69782,20330685500,-1.69,2122663500.0,1023980000.0,4332748000.0,-7479391500.0,15981.0,69782.0,22.9,A097950
15,2012-01-25,294000,297500,287500,296500,63601,18773050500,1.89,8273599500.0,11641000.0,-3119883000.0,-5165357500.0,17026.0,63601.0,26.77,A097950
16,2012-01-26,299000,307000,297500,301000,132734,40380751000,1.52,18288973500.0,212697500.0,-6051754000.0,-12449917000.0,12430.0,132734.0,9.36,A097950
17,2012-01-27,303500,308500,299000,308500,74729,22874335000,2.49,6326050000.0,211109500.0,-5582115500.0,-955044000.0,9066.0,74729.0,12.13,A097950
18,2012-01-30,310500,310500,304500,307000,53345,16419717500,-0.49,7972261500.0,38542500.0,-4972993000.0,-3037811000.0,10932.0,53345.0,20.49,A097950
19,2012-01-31,309500,311000,304000,308000,37738,11626773000,0.33,2754984000.0,227412500.0,-2675191000.0,-307205500.0,6407.0,37738.0,16.98,A097950
20,2012-02-01,305000,308000,302000,304500,30133,9200017000,-1.14,-1645206500.0,-183616000.0,1775378500.0,53444000.0,826.0,30133.0,2.74,A097950
21,2012-02-02,306000,310000,299000,305000,55183,16718182500,0.16,-3366568500.0,-318473000.0,1805394000.0,1879647500.0,906.0,55183.0,1.64,A097950
22,2012-02-03,299500,304000,295500,302500,67547,20214150500,-0.82,-474353500.0,333334000.0,757426500.0,-616407000.0,217.0,67547.0,0.32,A097950
23,2012-02-06,303000,306500,300000,303500,27470,8333188500,0.33,-330541000.0,66019000.0,-2724515000.0,2989037000.0,1015.0,27470.0,3.69,A097950
24,2012-02-07,301500,319000,301500,318000,85698,26927326000,4.78,8939248500.0,26636000.0,-8140067000.0,-825817500.0,17362.0,85698.0,20.26,A097950
25,2012-02-08,316500,322000,312000,320000,57308,18241165500,0.63,4832877000.0,-20470500.0,-6652052500.0,1839646000.0,2569.0,57308.0,4.48,A097950
26,2012-02-09,319000,319500,311500,319500,37173,11734415500,-0.16,-1228574000.0,850339000.0,1814150000.0,-1435915000.0,1107.0,37173.0,2.98,A097950
27,2012-02-10,321000,323000,308500,312000,57527,18042218000,-2.35,1522155000.0,269353500.0,3821731000.0,-5613239500.0,475.0,57527.0,0.83,A097950
28,2012-02-13,312000,315000,308500,309500,33816,10522293500,-0.8,1717946000.0,143740500.0,-100097000.0,-1761589500.0,383.0,33816.0,1.13,A097950
29,2012-02-14,310000,315500,307500,313500,41123,12870510000,1.29,2441255000.0,-75329500.0,795074500.0,-3161000000.0,381.0,41123.0,0.93,A097950
30,2012-02-15,312000,316000,308000,310500,33977,10574299500,-0.96,783021000.0,-123182500.0,1644710000.0,-2304548500.0,617.0,33977.0,1.82,A097950
31,2012-02-16,306500,321500,306000,316000,65151,20571273500,1.77,6486732500.0,-4139000.0,-4985609500.0,-1496984000.0,295.0,65151.0,0.45,A097950
32,2012-02-17,316500,322500,313000,319000,60598,19300157000,0.95,2351919500.0,-99833000.0,-5609349000.0,3357262500.0,655.0,60598.0,1.08,A097950
33,2012-02-20,322000,326000,317500,319500,24932,7984929000,0.16,-912581000.0,112943500.0,-554278000.0,1353915500.0,1207.0,24932.0,4.84,A097950
34,2012-02-21,318000,321500,315000,317500,14531,4630131500,-0.63,25243500.0,89005500.0,-1820124500.0,1705875500.0,1267.0,14531.0,8.72,A097950
35,2012-02-22,316000,326000,315000,325500,51103,16531672500,2.52,4071448000.0,-956668500.0,-5577164500.0,2462385000.0,1792.0,51103.0,3.51,A097950
36,2012-02-23,326500,341000,323000,338000,95864,32259495000,3.84,10594834500.0,-1429809500.0,-9860630000.0,695605000.0,2577.0,95864.0,2.69,A097950
37,2012-02-24,338000,344000,330000,344000,48515,16350248000,1.78,689454000.0,1240445000.0,-1177444500.0,-752454500.0,4803.0,48515.0,9.9,A097950
38,2012-02-27,336000,344000,325500,336500,76609,25537862000,-2.18,5340235000.0,229411000.0,-1517910000.0,-4051736000.0,14193.0,76609.0,18.53,A097950
39,2012-02-28,331500,336500,327000,327000,27440,9032601500,-2.82,-1098276500.0,-301888000.0,598085500.0,802079000.0,160.0,27440.0,0.58,A097950
40,2012-02-29,328000,333500,321000,321500,49694,16186264500,-1.68,-3033565500.0,-643795000.0,346322500.0,3331038000.0,69.0,49694.0,0.14,A097950
41,2012-03-02,323000,338000,322500,334000,46665,15487097000,3.89,-3936061000.0,141667000.0,-2634526000.0,6428920000.0,1170.0,46665.0,2.51,A097950
42,2012-03-05,336500,343000,332000,340000,70175,23802285000,1.8,-1621455500.0,2270581000.0,-5669975000.0,5020849500.0,4332.0,70175.0,6.17,A097950
43,2012-03-06,342500,342500,328500,328500,47348,15790137060,-3.38,1426835440.0,1135564000.0,-833474000.0,-1728925440.0,8066.0,47348.0,17.04,A097950
44,2012-03-07,326000,331000,319500,325500,34628,11230567500,-0.91,-114655000.0,149970000.0,1477350000.0,-1512665000.0,3663.0,34628.0,10.58,A097950
45,2012-03-08,325000,325000,317500,323000,56844,18233418500,-0.77,3883948000.0,-325050000.0,1921843000.0,-5480741000.0,168.0,56844.0,0.3,A097950
46,2012-03-09,323500,337000,323500,331000,64756,21510120500,2.48,2564027000.0,-71060000.0,-2165371000.0,-327596000.0,4098.0,64756.0,6.33,A097950
47,2012-03-12,333000,340000,328500,333500,74372,24979395500,0.76,8091094000.0,-281144000.0,-1825670000.0,-5984280000.0,19413.0,74372.0,26.1,A097950
