,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,53000,53400,50900,51000,71395,3689403300,-4.49,-1585447200.0,-232508400.0,1719110700.0,98844900.0,0.0,71395.0,0.0,A005830
1,2012-01-03,51000,52100,51000,51500,59266,3059045900,0.98,-673682600.0,-9832000.0,297982400.0,385532200.0,0.0,59266.0,0.0,A005830
2,2012-01-04,52100,52100,50700,51000,68388,3512877100,-0.97,-424569800.0,-48541200.0,26324000.0,446787000.0,0.0,68388.0,0.0,A005830
3,2012-01-05,51100,51700,50500,50800,53736,2737263000,-0.39,-907945400.0,57919500.0,417340900.0,432685000.0,0.0,53736.0,0.0,A005830
4,2012-01-06,50800,51500,49800,51500,89321,4502027674,1.38,690401250.0,336877800.0,562964150.0,-1590243200.0,0.0,89321.0,0.0,A005830
5,2012-01-09,51000,52200,50300,52100,94269,4837410700,1.17,338660000.0,13119200.0,-944325000.0,592545800.0,0.0,94269.0,0.0,A005830
6,2012-01-10,51600,51700,50600,50600,160719,8185155600,-2.88,-3682022900.0,-780356400.0,3795655000.0,666724300.0,0.0,160719.0,0.0,A005830
7,2012-01-11,50300,50600,47500,47500,418574,20314323443,-6.13,-4151852100.0,18939000.0,10879168100.0,-6746255000.0,0.0,418574.0,0.0,A005830
8,2012-01-12,47550,48200,46600,47200,351713,16542053100,-0.63,1512941200.0,148009000.0,7547955300.0,-9208905500.0,0.0,351713.0,0.0,A005830
9,2012-01-13,47400,47750,47000,47000,320241,15157235700,-0.42,3666019800.0,322613500.0,3406583200.0,-7395216500.0,40.0,320241.0,0.01,A005830
10,2012-01-16,47000,47750,47000,47700,198298,9404396920,1.49,2677338600.0,-8138500.0,-1390656900.0,-1278543200.0,0.0,198298.0,0.0,A005830
11,2012-01-17,48350,48600,47800,48550,155108,7489904450,1.78,887896950.0,-78403000.0,-884188950.0,74695000.0,0.0,155108.0,0.0,A005830
12,2012-01-18,48900,49000,47900,48600,205712,9973717250,0.1,248377450.0,-51441500.0,-1868629950.0,1671694000.0,0.0,205712.0,0.0,A005830
13,2012-01-19,48600,48950,48200,48950,121871,5925987850,0.72,443073200.0,0.0,-455881650.0,12808450.0,30.0,121871.0,0.02,A005830
14,2012-01-20,49050,49200,47900,47950,165598,7982371050,-2.04,-1495194800.0,0.0,2299824800.0,-804630000.0,30.0,165598.0,0.02,A005830
15,2012-01-25,48250,48250,47350,47600,181037,8639615500,-0.73,-1659392050.0,0.0,3090899850.0,-1431507800.0,0.0,181037.0,0.0,A005830
16,2012-01-26,47900,48600,47600,48500,224404,10811201900,1.89,208911200.0,100489000.0,-350992700.0,41592500.0,90.0,224404.0,0.04,A005830
17,2012-01-27,48150,48950,48100,48900,155040,7528574000,0.82,1245228600.0,13838800.0,-1406783400.0,147716000.0,10.0,155040.0,0.01,A005830
18,2012-01-30,48500,48850,46450,47250,338545,16054334250,-3.37,935139250.0,-14116500.0,4688823000.0,-5609845750.0,0.0,338545.0,0.0,A005830
19,2012-01-31,47700,48400,47250,48000,288686,13832436600,1.59,2560407500.0,345555500.0,446870000.0,-3352833000.0,0.0,288686.0,0.0,A005830
20,2012-02-01,48250,49000,47900,48850,231005,11249048050,1.77,310312400.0,24940000.0,-1809296800.0,1474044400.0,1230.0,231005.0,0.53,A005830
21,2012-02-02,49600,51200,49100,51200,518181,26139435450,4.81,-1404426300.0,-41212000.0,-8235731600.0,9681369900.0,90.0,518181.0,0.02,A005830
22,2012-02-03,50700,53100,50100,52000,474161,24435142143,1.56,-2716199000.0,42489700.0,-5492823100.0,8166532400.0,16.0,474161.0,0.0,A005830
23,2012-02-06,52800,53200,51800,52100,407119,21390005500,0.19,-4008791400.0,81917500.0,-5539485100.0,9466359000.0,0.0,407119.0,0.0,A005830
24,2012-02-07,52300,52800,50700,50700,259285,13514699600,-2.69,-3775535600.0,0.0,280368300.0,3495167300.0,0.0,259285.0,0.0,A005830
25,2012-02-08,51000,51000,49350,50500,251441,12597403500,-0.39,-4669139900.0,208800.0,1120006250.0,3548924850.0,0.0,251441.0,0.0,A005830
26,2012-02-09,49700,50200,47850,48650,362049,17616893550,-3.66,-991573450.0,-245500.0,7796038500.0,-6804219550.0,30.0,362049.0,0.01,A005830
27,2012-02-10,49400,49600,48550,49600,142917,7027557600,1.95,1816170100.0,91966000.0,-1258233200.0,-649902900.0,60.0,142917.0,0.04,A005830
28,2012-02-13,49600,49950,49100,49150,64255,3176229350,-0.91,674370350.0,40070000.0,405248650.0,-1119689000.0,0.0,64255.0,0.0,A005830
29,2012-02-14,49150,49650,48700,49650,206197,10121817370,1.02,-36450950.0,-39155000.0,131533250.0,-55927300.0,0.0,206197.0,0.0,A005830
30,2012-02-15,49900,51100,49500,51100,187281,9446316500,2.92,309863800.0,23874000.0,-3586210600.0,3252472800.0,60.0,187281.0,0.03,A005830
