,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,51100,52000,51000,51400,267713,13767957500,1.38,-507420400.0,-254008000.0,-3070419000.0,3831847400.0,15178.0,267713.0,5.67,A078930
1,2012-01-03,51900,53800,51800,53300,672872,35774800100,3.7,6566378100.0,443836300.0,-14470747400.0,7460533000.0,9514.0,672872.0,1.41,A078930
2,2012-01-04,53500,54000,52800,53400,461090,24620249100,0.19,3268463300.0,-283413400.0,-2986499100.0,1449200.0,6511.0,461090.0,1.41,A078930
3,2012-01-05,53900,55200,53500,53800,652056,35436807000,0.75,12857629800.0,-5433400.0,-4178079500.0,-8674116900.0,12598.0,652056.0,1.93,A078930
4,2012-01-06,53900,54500,52000,53000,458696,24260320500,-1.49,-788821900.0,1458017800.0,-2647054700.0,1977858800.0,22041.0,458696.0,4.81,A078930
5,2012-01-09,53000,53000,51500,52400,298289,15552280600,-1.13,-3234477400.0,-66759900.0,1620626600.0,1680610700.0,7623.0,298289.0,2.56,A078930
6,2012-01-10,52300,53900,52300,53700,396712,21182159800,2.48,5009492500.0,-1360578200.0,-4748780800.0,1099866500.0,7960.0,396712.0,2.01,A078930
7,2012-01-11,53900,54000,52300,52500,494537,26158510700,-2.23,-4015651400.0,3531234300.0,2749260700.0,-2264843600.0,16332.0,494537.0,3.3,A078930
8,2012-01-12,52500,53500,51900,53500,393399,20706671800,1.9,-2520147000.0,-1075245900.0,-664580800.0,4259973700.0,6220.0,393399.0,1.58,A078930
9,2012-01-13,53600,53700,52100,52900,660285,34707106700,-1.12,-7527962000.0,12617400.0,12621328800.0,-5105984200.0,40103.0,660285.0,6.07,A078930
10,2012-01-16,52000,52400,51200,52100,395395,20457748100,-1.51,-1715970100.0,-576151200.0,1809937900.0,482183400.0,8938.0,395395.0,2.26,A078930
11,2012-01-17,52700,53900,52600,53900,563956,30008653100,3.45,1585373300.0,142245000.0,-7828214900.0,6100596600.0,10071.0,563956.0,1.79,A078930
12,2012-01-18,54200,57400,53800,56800,1591188,88970867300,5.38,22581404400.0,-464697900.0,-21475101100.0,-641605400.0,52995.0,1591188.0,3.33,A078930
13,2012-01-19,57200,58100,56600,57600,963926,55200128800,1.41,17638545600.0,-297398800.0,-14371150400.0,-2969996400.0,97075.0,963926.0,10.07,A078930
14,2012-01-20,57900,60100,57700,59500,1310707,77702838800,3.3,17825632200.0,591864000.0,-20270018200.0,1852522000.0,21166.0,1310707.0,1.61,A078930
15,2012-01-25,59800,60000,58300,58900,554021,32761894500,-1.01,3590200900.0,693306100.0,-41498800.0,-4242008200.0,35594.0,554021.0,6.42,A078930
16,2012-01-26,59000,61200,59000,60600,693248,41890514300,2.89,11373070700.0,190366800.0,-11161180600.0,-402256900.0,10331.0,693248.0,1.49,A078930
17,2012-01-27,60700,61900,59800,61600,491600,29942629400,1.65,3587580600.0,984433900.0,-5505100700.0,933086200.0,7336.0,491600.0,1.49,A078930
18,2012-01-30,61600,62700,61000,61800,790024,48952651500,0.32,11612872600.0,-134570400.0,-20409678000.0,8931375800.0,46399.0,790024.0,5.87,A078930
19,2012-01-31,61900,62600,60800,62300,490506,30333817900,0.81,-913222900.0,-999187600.0,-6384692600.0,8297103100.0,24457.0,490506.0,4.99,A078930
20,2012-02-01,61700,64600,61500,64300,896277,57181625300,3.21,2834587000.0,890117500.0,-16826879300.0,13102174800.0,14324.0,896277.0,1.6,A078930
21,2012-02-02,65900,66400,65100,66100,767998,50688659300,2.8,1561855700.0,-148078000.0,-16870673100.0,15456895400.0,14609.0,767998.0,1.9,A078930
22,2012-02-03,66100,69800,65100,69000,1260883,86135598000,4.39,23771778100.0,-1594341600.0,-36005767800.0,13828331300.0,25860.0,1260883.0,2.05,A078930
23,2012-02-06,70100,71500,67800,68600,579866,40293868000,-0.58,2338268700.0,-218697400.0,-6004935900.0,3885364600.0,26158.0,579866.0,4.51,A078930
24,2012-02-07,69100,70100,68200,68800,417069,28808602300,0.29,974142400.0,-510669400.0,-5183494500.0,4720021500.0,18372.0,417069.0,4.41,A078930
25,2012-02-08,69200,72300,69200,71800,842472,60135462900,4.36,6365827000.0,61375700.0,-11306159700.0,4878957000.0,14270.0,842472.0,1.69,A078930
26,2012-02-09,71900,74000,71200,73800,814660,59480422200,2.79,7062893000.0,-2523699300.0,-8470652800.0,3931459100.0,5748.0,814660.0,0.71,A078930
27,2012-02-10,74000,75000,72400,73600,707109,52043146100,-0.27,-4865972800.0,-113101100.0,-553674900.0,5532748800.0,18651.0,707109.0,2.64,A078930
28,2012-02-13,73100,73700,70300,71500,775206,55248690500,-2.85,-12737630200.0,-827517900.0,9477301200.0,4087846900.0,10974.0,775206.0,1.42,A078930
29,2012-02-14,70900,71300,69200,69900,1088580,76027886500,-2.24,-10319085000.0,635194000.0,12576193500.0,-2892302500.0,34366.0,1088580.0,3.16,A078930
30,2012-02-15,69600,70900,68200,70800,830019,58055179400,1.29,6795213800.0,85570400.0,-5628230400.0,-1252553800.0,2117.0,830019.0,0.26,A078930
31,2012-02-16,69800,70400,68000,68800,717165,49367450400,-2.82,-16444741900.0,669614300.0,10243648100.0,5531479500.0,13026.0,717165.0,1.82,A078930
32,2012-02-17,69700,70000,68400,68500,504421,34859490100,-0.44,-2808998100.0,-1015370600.0,6780080100.0,-2955711400.0,606.0,504421.0,0.12,A078930
33,2012-02-20,70000,70100,68100,68600,619805,41941271800,0.15,-3811112800.0,-260185500.0,9596108100.0,-5524809800.0,83.0,619805.0,0.01,A078930
34,2012-02-21,68100,69200,67500,68600,448751,30616185500,0.0,-3994434200.0,500098900.0,1618780500.0,1875554800.0,1608.0,448751.0,0.36,A078930
35,2012-02-22,68600,70000,67200,69600,779364,53485512200,1.46,54213200.0,353160100.0,10125759600.0,-10533132900.0,1128.0,779364.0,0.14,A078930
36,2012-02-23,69100,69700,68400,68500,382415,26340719200,-1.58,4231095400.0,450522200.0,802797700.0,-5484415300.0,11779.0,382415.0,3.08,A078930
37,2012-02-24,69100,69200,66200,66800,882669,59010073300,-2.48,-10435294100.0,631016300.0,12074790100.0,-2270512300.0,8575.0,882669.0,0.97,A078930
38,2012-02-27,66200,66400,63100,63600,1036038,66186245200,-4.79,-14899850300.0,-29469000.0,13552876100.0,1376443200.0,2597.0,1036038.0,0.25,A078930
39,2012-02-28,63600,64800,62500,64800,780522,49602998300,1.89,-2650424400.0,-1755098500.0,10599944900.0,-6194422000.0,17331.0,780522.0,2.22,A078930
40,2012-02-29,65000,65400,63900,64600,963360,62338914200,-0.31,-9434290900.0,879012800.0,11051336300.0,-2496058200.0,3654.0,963360.0,0.38,A078930
41,2012-03-02,65800,66200,64900,65400,500564,32853139800,1.24,6122461100.0,140984700.0,-4184899400.0,-2078546400.0,14394.0,500564.0,2.88,A078930
42,2012-03-05,65400,65400,63600,64500,394388,25383340300,-1.38,45679900.0,1281720000.0,977463000.0,-2304862900.0,4014.0,394388.0,1.02,A078930
43,2012-03-06,65400,66300,63300,63600,763243,49163634800,-1.4,-3267251200.0,1142504900.0,11013384800.0,-8888638500.0,845.0,763243.0,0.11,A078930
44,2012-03-07,62000,63600,61600,63100,393802,24776983300,-0.79,504989000.0,-1454139700.0,-1361177000.0,2310327700.0,1897.0,393802.0,0.48,A078930
45,2012-03-08,63400,64900,63200,64200,495005,31791107700,1.74,-4953260800.0,-149711400.0,428577500.0,4674394700.0,356.0,495005.0,0.07,A078930
46,2012-03-09,64600,64900,62500,63100,632995,39978412200,-1.71,-3355659700.0,461031100.0,7794745100.0,-4900116500.0,1876.0,632995.0,0.3,A078930
47,2012-03-12,63000,63900,61500,62200,781574,48577081700,-1.43,-3133184200.0,1899741200.0,6121491000.0,-4888048000.0,9088.0,781574.0,1.16,A078930
48,2012-03-13,62400,64400,62300,64000,554456,35315689900,2.89,3901638700.0,-585952100.0,-4224142200.0,908455600.0,445.0,554456.0,0.08,A078930
49,2012-03-14,64900,65400,63500,63600,581448,37517243200,-0.63,-2467843200.0,-372917500.0,-1431922200.0,4272682900.0,188.0,581448.0,0.03,A078930
50,2012-03-15,63300,64400,61000,62000,892575,55415904400,-2.52,-16960916100.0,1892440500.0,12979068000.0,2089407600.0,1030.0,892575.0,0.12,A078930
51,2012-03-16,62500,63900,61600,63600,555375,35144599200,2.58,5950903200.0,-536577500.0,-7325049100.0,1910723400.0,2074.0,555375.0,0.37,A078930
52,2012-03-19,64000,64800,63200,63600,484460,30986040300,0.0,5920993500.0,970589600.0,-3861651300.0,-3029931800.0,6428.0,484460.0,1.33,A078930
53,2012-03-20,63700,65900,63400,65900,1084261,70619184600,3.62,22098537200.0,299701600.0,-20430140000.0,-1968098800.0,10528.0,1084261.0,0.97,A078930
54,2012-03-21,65400,66200,64300,64700,735719,48040390500,-1.82,-395132700.0,1103308400.0,403527500.0,-1111703200.0,45004.0,735719.0,6.12,A078930
55,2012-03-22,64900,65000,63300,63700,400131,25490995200,-1.55,158316500.0,-528579700.0,-1917906300.0,2288169500.0,28381.0,400131.0,7.09,A078930
56,2012-03-23,63700,66500,62800,65800,684473,44463721200,3.3,6609257900.0,757346900.0,-8097967200.0,731362400.0,42211.0,684473.0,6.17,A078930
57,2012-03-26,66200,66900,64000,64400,567783,36937590100,-2.13,5021973300.0,-394737600.0,-1890034500.0,-2737201200.0,56183.0,567783.0,9.9,A078930
58,2012-03-27,65400,65700,63700,64100,452906,29132918100,-0.47,-2934412500.0,294971800.0,1511079000.0,1128361700.0,26496.0,452906.0,5.85,A078930
59,2012-03-28,63700,64500,63300,63900,275424,17589550800,-0.31,-761752100.0,-24533700.0,-861033000.0,1647318800.0,9790.0,275424.0,3.55,A078930
60,2012-03-29,62800,64100,61700,62800,440058,27572600100,-1.72,-1919193200.0,244626600.0,2972539600.0,-1297973000.0,8655.0,440058.0,1.97,A078930
61,2012-03-30,62400,64900,62400,64900,598991,38539210851,3.34,8189009400.0,-325129000.0,-17948565900.0,10084685500.0,21405.0,598991.0,3.57,A078930
62,2012-04-02,65700,65700,64500,64700,338641,21997350500,-0.31,1515974700.0,-84400700.0,492052400.0,-1923626400.0,27459.0,338641.0,8.11,A078930
63,2012-04-03,65000,66100,64600,65700,556076,36514354800,1.55,8364550200.0,1059986700.0,-9891388100.0,466851200.0,7802.0,556076.0,1.4,A078930
64,2012-04-04,65700,65700,63600,64000,467969,30023115400,-2.59,6892180600.0,-429702300.0,-7331857400.0,869379100.0,14496.0,467969.0,3.1,A078930
65,2012-04-05,63400,64000,62800,63900,403131,25583536500,-0.16,-2110791600.0,-356470900.0,4529395900.0,-2062133400.0,26586.0,403131.0,6.59,A078930
66,2012-04-06,63400,64900,63000,64400,432066,27782715300,0.78,8096840300.0,-369406300.0,-3489427700.0,-4238006300.0,29520.0,432066.0,6.83,A078930
67,2012-04-09,64000,65600,63600,64200,465802,30230437000,-0.31,9057252900.0,233334200.0,-6996258000.0,-2294329100.0,22768.0,465802.0,4.89,A078930
68,2012-04-10,64700,65800,64500,65000,550938,35897106000,1.25,11017814400.0,31033100.0,-6709155500.0,-4339692000.0,25998.0,550938.0,4.72,A078930
69,2012-04-12,65000,66300,64100,66300,643518,42262077800,2.0,13550017400.0,-510096200.0,-12044513800.0,-995407400.0,29532.0,643518.0,4.59,A078930
70,2012-04-13,67500,69300,67300,69000,1515639,104171989100,4.07,52715668000.0,-511067300.0,-28317886400.0,-23886714300.0,69947.0,1515639.0,4.62,A078930
71,2012-04-16,68500,69300,67800,69100,555638,38176367700,0.14,13671305600.0,198502200.0,-2415600400.0,-11454207400.0,31516.0,555638.0,5.67,A078930
72,2012-04-17,69200,69300,66800,67900,663222,45025136900,-1.74,3200180100.0,-160711600.0,-221084900.0,-2818383600.0,58269.0,663222.0,8.79,A078930
73,2012-04-18,69000,69000,67500,67800,499715,34017579700,-0.15,1034891000.0,-746833300.0,-2830809200.0,2542751500.0,16385.0,499715.0,3.28,A078930
74,2012-04-19,67500,68600,65400,66200,694256,46049504200,-2.36,-2374595300.0,1158434800.0,-3149639000.0,4365799500.0,71145.0,694256.0,10.25,A078930
75,2012-04-20,65400,65700,64100,64900,591916,38352957100,-1.96,3001373800.0,181876600.0,-2143613300.0,-1039637100.0,20146.0,591916.0,3.4,A078930
76,2012-04-23,64600,65500,63200,64200,455278,29149386000,-1.08,-1979664600.0,168997600.0,46069400.0,1764597600.0,14098.0,455278.0,3.1,A078930
77,2012-04-24,63100,63800,62600,63400,377344,23860836400,-1.25,274347900.0,-727408400.0,2041519500.0,-1588459000.0,17504.0,377344.0,4.64,A078930
78,2012-04-25,64100,64200,62500,63100,287266,18098554000,-0.47,-3427320200.0,77111000.0,466475300.0,2883733900.0,10492.0,287266.0,3.65,A078930
79,2012-04-26,63300,64600,59500,61900,1085715,66677859000,-1.9,-13147545400.0,991845400.0,3220157300.0,8935542700.0,24515.0,1085715.0,2.26,A078930
80,2012-04-27,61300,62100,60400,60800,710565,43483007800,-1.78,4473988000.0,59529200.0,835532200.0,-5369049400.0,26821.0,710565.0,3.77,A078930
81,2012-04-30,61200,61300,57800,59600,722092,42618065300,-1.97,-7140949800.0,-25258500.0,-1048288000.0,8214496300.0,16430.0,722092.0,2.28,A078930
82,2012-05-02,60100,62400,59900,62400,623193,38415461400,4.7,5915228700.0,124391100.0,-7485833400.0,1446213600.0,10717.0,623193.0,1.72,A078930
83,2012-05-03,62400,62800,61400,62400,276891,17252718600,0.0,2770122300.0,2321500.0,-1565281200.0,-1207162600.0,4081.0,276891.0,1.47,A078930
