,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,23700,23700,23000,23000,319397,7437557950,-0.65,1048133500.0,233000.0,-985005000.0,-63361500.0,0.0,319397.0,0.0,A007070
1,2012-01-03,23000,23150,21600,21700,925092,20476045350,-5.65,-4546233400.0,-39117000.0,4741540400.0,-156190000.0,12000.0,925092.0,1.3,A007070
2,2012-01-04,21800,22000,21000,21400,630677,13588623000,-1.38,1074836500.0,-126414800.0,-1602177700.0,653756000.0,0.0,630677.0,0.0,A007070
3,2012-01-05,21750,24600,21150,24000,1292533,29842524100,12.15,9155066500.0,-745660000.0,-7772945500.0,-636461000.0,0.0,1292533.0,0.0,A007070
4,2012-01-06,23550,23800,22650,23000,542765,12594061300,-4.17,3285976500.0,-352900500.0,-1157838500.0,-1775237500.0,0.0,542765.0,0.0,A007070
5,2012-01-09,23000,23850,22600,23450,459722,10703371400,1.96,4481252100.0,-172950000.0,-1407342800.0,-2900959300.0,0.0,459722.0,0.0,A007070
6,2012-01-10,23350,23900,22500,22700,475366,10997373500,-3.2,646559400.0,377120500.0,1228696600.0,-2252376500.0,0.0,475366.0,0.0,A007070
7,2012-01-11,22750,23200,22350,22500,211978,4807663400,-0.88,-477140000.0,1420000.0,367626300.0,108093700.0,0.0,211978.0,0.0,A007070
8,2012-01-12,22300,23200,22250,23000,299182,6790250800,2.22,2884592000.0,-194225000.0,-2583440000.0,-106927000.0,0.0,299182.0,0.0,A007070
9,2012-01-13,23050,23100,22650,22900,150398,3447400300,-0.43,519680100.0,-69725000.0,-1258290600.0,808335500.0,0.0,150398.0,0.0,A007070
10,2012-01-16,22900,22900,22250,22400,200618,4503582000,-2.18,-1020948000.0,0.0,333522500.0,687425500.0,0.0,200618.0,0.0,A007070
11,2012-01-17,22450,22850,22200,22300,261887,5873676000,-0.45,-1945797300.0,-17090000.0,1984817800.0,-21930500.0,0.0,261887.0,0.0,A007070
12,2012-01-18,22200,22300,21500,21850,295053,6413334400,-2.02,-1671849400.0,0.0,455462400.0,1216387000.0,0.0,295053.0,0.0,A007070
13,2012-01-19,22000,22350,21400,21400,240235,5190805000,-2.06,-1716236500.0,-49942000.0,1760943900.0,5234600.0,0.0,240235.0,0.0,A007070
14,2012-01-20,21550,22250,21250,21300,327278,7073895400,-0.47,-231875400.0,-113289000.0,-50201100.0,395365500.0,0.0,327278.0,0.0,A007070
15,2012-01-25,21350,22000,20050,20400,574926,11946762400,-4.23,-3514093900.0,-127152100.0,3691549500.0,-50303500.0,900.0,574926.0,0.16,A007070
16,2012-01-26,20550,21900,20300,21700,583125,12434369500,6.37,4070491200.0,-339250500.0,-3597845200.0,-133395500.0,0.0,583125.0,0.0,A007070
17,2012-01-27,21700,22000,21300,21650,318281,6904037350,-0.23,2606213750.0,-131100000.0,-2008946750.0,-466167000.0,0.0,318281.0,0.0,A007070
