,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,1047,1104,1039,1073,640997,1579750135,6.93,0.0,0.0,2772915.0,-2772915.0,0.0,640997.0,0.0,A028300
1,2012-01-03,1060,1076,1008,1069,323235,776882960,-0.4,0.0,-34982590.0,40423500.0,-5440910.0,0.0,323235.0,0.0,A028300
2,2012-01-04,1080,1165,986,1039,1663955,4027422365,-2.85,0.0,-58461820.0,56372565.0,2089255.0,0.0,1663955.0,0.0,A028300
3,2012-01-05,1052,1060,986,1036,386699,906061350,-0.21,0.0,0.0,2568540.0,-2568540.0,0.0,386699.0,0.0,A028300
4,2012-01-06,1036,1036,991,1006,146260,337506515,-2.94,0.0,0.0,-3284090.0,3284090.0,0.0,146260.0,0.0,A028300
5,2012-01-09,1000,1008,965,965,282723,638818335,-4.1,0.0,0.0,-3113360.0,3113360.0,0.0,282723.0,0.0,A028300
6,2012-01-10,982,993,956,963,253726,563369175,-0.23,0.0,0.0,-5031430.0,5031430.0,0.0,253726.0,0.0,A028300
7,2012-01-11,963,963,908,923,209949,447669575,-4.06,0.0,0.0,-2130350.0,2130350.0,0.0,209949.0,0.0,A028300
8,2012-01-12,941,941,895,923,133388,279985810,0.0,0.0,21100.0,3258020.0,-3279120.0,0.0,133388.0,0.0,A028300
9,2012-01-13,906,939,906,939,77332,165113385,1.65,0.0,0.0,-5541955.0,5541955.0,0.0,77332.0,0.0,A028300
10,2012-01-16,930,939,915,926,83934,178081790,-1.39,0.0,0.0,-892405.0,892405.0,0.0,83934.0,0.0,A028300
11,2012-01-17,926,930,891,915,113603,237040180,-1.17,0.0,0.0,-751225.0,751225.0,0.0,113603.0,0.0,A028300
12,2012-01-18,917,923,876,882,157140,324187575,-3.56,0.0,0.0,311120.0,-311120.0,0.0,157140.0,0.0,A028300
13,2012-01-19,884,913,869,889,65552,134517860,0.74,0.0,0.0,1837220.0,-1837220.0,0.0,65552.0,0.0,A028300
14,2012-01-20,891,891,839,852,153779,302065635,-4.16,0.0,0.0,1231145.0,-1231145.0,0.0,153779.0,0.0,A028300
15,2012-01-25,845,865,839,839,51761,100638035,-1.53,0.0,97500.0,-213060.0,115560.0,0.0,51761.0,0.0,A028300
16,2012-01-26,852,871,841,869,50000,98598240,3.63,0.0,-2883400.0,-2021770.0,4905170.0,0.0,50000.0,0.0,A028300
17,2012-01-27,867,930,867,919,155779,325475865,5.75,0.0,0.0,2202770.0,-2202770.0,0.0,155779.0,0.0,A028300
18,2012-01-30,919,965,893,941,253537,545409745,2.36,0.0,0.0,11177150.0,-11177150.0,0.0,253537.0,0.0,A028300
19,2012-01-31,939,939,878,897,128094,266733220,-4.62,0.0,0.0,-5281020.0,5281020.0,0.0,128094.0,0.0,A028300
20,2012-02-01,917,997,895,908,455612,995192520,1.21,0.0,0.0,4924755.0,-4924755.0,0.0,455612.0,0.0,A028300
21,2012-02-02,917,917,884,895,84268,175006390,-1.44,0.0,0.0,-15486500.0,15486500.0,0.0,84268.0,0.0,A028300
22,2012-02-03,930,930,876,887,76681,156037045,-0.97,0.0,0.0,-2030220.0,2030220.0,0.0,76681.0,0.0,A028300
23,2012-02-06,902,902,874,889,47994,96985045,0.25,0.0,0.0,-4980970.0,4980970.0,0.0,47994.0,0.0,A028300
24,2012-02-07,910,910,884,897,65828,134965870,0.98,0.0,852845.0,-1685790.0,832945.0,0.0,65828.0,0.0,A028300
25,2012-02-08,915,952,884,897,211545,438565490,0.0,0.0,0.0,480290.0,-480290.0,0.0,211545.0,0.0,A028300
26,2012-02-09,897,930,891,921,143608,301614480,2.66,0.0,0.0,-4273580.0,4273580.0,0.0,143608.0,0.0,A028300
27,2012-02-10,928,928,893,895,125447,261478360,-2.83,0.0,0.0,1099435.0,-1099435.0,0.0,125447.0,0.0,A028300
28,2012-02-13,893,921,893,919,127392,265752575,2.67,0.0,0.0,4388740.0,-4388740.0,0.0,127392.0,0.0,A028300
29,2012-02-14,954,1056,941,1000,1795150,4189458950,8.75,0.0,9191550.0,10117240.0,-19308790.0,0.0,1795150.0,0.0,A028300
30,2012-02-15,980,997,956,993,376363,842899435,-0.65,0.0,0.0,-2818105.0,2818105.0,0.0,376363.0,0.0,A028300
31,2012-02-16,993,1030,982,991,435113,1005650680,-0.22,0.0,1147500.0,5190320.0,-6337820.0,0.0,435113.0,0.0,A028300
32,2012-02-17,991,1008,945,947,272555,606293645,-4.39,0.0,-1106000.0,-5237310.0,6343310.0,0.0,272555.0,0.0,A028300
33,2012-02-20,939,982,904,947,545257,1178103630,0.0,0.0,6670000.0,-18772080.0,12102080.0,0.0,545257.0,0.0,A028300
34,2012-02-21,980,980,930,939,219974,477015695,-0.92,0.0,6480000.0,-1766435.0,-4713565.0,0.0,219974.0,0.0,A028300
35,2012-02-22,956,956,913,954,183684,395795755,1.62,0.0,2257265.0,-9814525.0,7557260.0,0.0,183684.0,0.0,A028300
36,2012-02-23,939,1000,939,965,172566,380051750,1.14,0.0,1631550.0,-5270570.0,3639020.0,0.0,172566.0,0.0,A028300
37,2012-02-24,965,984,928,960,267178,584220580,-0.45,0.0,0.0,24104460.0,-24104460.0,0.0,267178.0,0.0,A028300
38,2012-02-27,1004,1041,915,919,928865,2077514095,-4.3,0.0,485200.0,8111595.0,-8596795.0,0.0,928865.0,0.0,A028300
