,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,146943,149905,143388,146647,140238,3443308500,-1.39,-364818500.0,198408500.0,-63891000.0,230301000.0,19940.0,140238.0,14.22,A011200
1,2012-01-03,146647,153164,146647,151387,184300,4708897400,3.23,1657049700.0,0.0,-1195859200.0,-461190500.0,16900.0,184300.0,9.17,A011200
2,2012-01-04,152275,155830,151683,151979,86258,2232917500,0.39,445820500.0,53507000.0,-874900500.0,375573000.0,8800.0,86258.0,10.2,A011200
3,2012-01-05,150794,156423,149609,153460,123456,3209227200,0.97,868287100.0,0.0,-916352300.0,48065200.0,23160.0,123456.0,18.76,A011200
4,2012-01-06,154053,155830,146943,148424,197784,4958241050,-3.28,-2381834500.0,-51294000.0,1461607000.0,971521500.0,42860.0,197784.0,21.67,A011200
5,2012-01-09,147239,148128,143684,148128,243724,6034921000,-0.2,-1688931500.0,-9272000.0,446157000.0,1252046500.0,46720.0,243724.0,19.17,A011200
6,2012-01-10,149609,153757,148720,150202,165003,4227671850,1.4,2105288500.0,0.0,-1936151800.0,-169136700.0,17950.0,165003.0,10.88,A011200
7,2012-01-11,152275,152275,144276,149609,105312,2624814800,-0.39,-61084750.0,12345000.0,131948750.0,-83209000.0,11220.0,105312.0,10.65,A011200
8,2012-01-12,151683,151683,147239,149609,81564,2045263250,0.0,151468000.0,-75750.0,24248250.0,-175640500.0,8010.0,81564.0,9.82,A011200
9,2012-01-13,147832,151090,147239,149905,117341,2966574400,0.2,789789200.0,-79464700.0,-610305000.0,-100019500.0,46340.0,117341.0,39.49,A011200
10,2012-01-16,148720,171236,147832,156423,677104,18541788200,4.35,-1517203800.0,58921000.0,3925632300.0,-2467349500.0,29450.0,677104.0,4.35,A011200
11,2012-01-17,157608,161459,156423,159978,219807,5913989400,2.27,1923069000.0,-1355000.0,-2164029000.0,242315000.0,9940.0,219807.0,4.52,A011200
12,2012-01-18,164718,173902,162348,165014,1789264,49877356900,3.15,-634645000.0,37979837400.0,1661062950.0,-39006255350.0,70680.0,1789264.0,3.95,A011200
13,2012-01-19,164422,170347,164126,166199,338676,9558523800,0.72,880444400.0,94008500.0,-2403405400.0,1428952500.0,23220.0,338676.0,6.86,A011200
14,2012-01-20,165014,172421,164718,170347,318331,9069478050,2.5,-760623000.0,-1420000.0,-3465353500.0,4227396500.0,62940.0,318331.0,19.77,A011200
15,2012-01-25,173013,177753,170051,173902,350163,10377761050,2.09,-50646900.0,-29450000.0,-2464354750.0,2544451650.0,19770.0,350163.0,5.65,A011200
16,2012-01-26,173606,176865,170051,174791,168664,4983148200,0.51,-90536500.0,-7387000.0,-1919034000.0,2016957500.0,2360.0,168664.0,1.4,A011200
17,2012-01-27,173606,175680,167681,170347,164823,4751663550,-2.54,1348750.0,-12298000.0,-1136109750.0,1147059000.0,50563.0,164823.0,30.68,A011200
18,2012-01-30,168569,174198,167384,172717,146580,4251368450,1.39,298377300.0,-125684500.0,-1216007300.0,1043314500.0,14920.0,146580.0,10.18,A011200
