,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,36150,36300,35700,36100,644340,23174096700,-0.55,-5273223600.0,-150715500.0,3149835600.0,2274103500.0,120.0,644340.0,0.02,A105560
1,2012-01-03,36200,37400,36200,37300,1553259,57501180000,3.32,19461530000.0,107715000.0,-13527556900.0,-6041688100.0,120.0,1553259.0,0.01,A105560
2,2012-01-04,37200,37350,36200,36700,2164475,79220705700,-1.61,-38149375500.0,144719500.0,17162244500.0,20842411500.0,20.0,2164475.0,0.0,A105560
3,2012-01-05,36650,36850,36300,36800,1254882,45983131900,0.27,-1531028900.0,-747035200.0,-5084609100.0,7362673200.0,100.0,1254882.0,0.01,A105560
4,2012-01-06,36500,36900,35850,36200,1316668,47608303500,-1.63,-11924060000.0,13416000.0,11507304800.0,403339200.0,0.0,1316668.0,0.0,A105560
5,2012-01-09,35950,36000,35100,35750,1534253,54414635500,-1.24,-20042085500.0,1385835500.0,14065736000.0,4590514000.0,7430.0,1534253.0,0.48,A105560
6,2012-01-10,35750,36650,35750,36250,1434605,52133773700,1.4,9108705000.0,-1730503500.0,-13362216500.0,5984015000.0,990.0,1434605.0,0.07,A105560
7,2012-01-11,36300,36400,35950,36150,1176091,42507489350,-0.28,-6814801650.0,-238549300.0,-135375300.0,7188726250.0,70.0,1176091.0,0.01,A105560
8,2012-01-12,36500,37000,36450,36850,1335655,49061335600,1.94,10547725650.0,398559000.0,-9337784000.0,-1608500650.0,50.0,1335655.0,0.0,A105560
9,2012-01-13,36800,38000,36500,37800,2670110,100566829650,2.58,45577000050.0,352191000.0,-43617892150.0,-2311298900.0,250.0,2670110.0,0.01,A105560
10,2012-01-16,37350,37750,36850,37650,956428,35661938900,-0.4,7143787150.0,-2895570500.0,-4698397400.0,450180750.0,0.0,956428.0,0.0,A105560
11,2012-01-17,38000,39950,37800,39650,4391743,172130952500,5.31,70357516050.0,-351947750.0,-69445346750.0,-560221550.0,2040.0,4391743.0,0.05,A105560
