,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,58380,58947,57436,58097,246338,15154551100,0.16,998712200.0,92167600.0,-600836900.0,-490042900.0,8734.0,246338.0,3.55,A003550
1,2012-01-03,58758,61875,58664,60931,1013608,65334343200,4.88,26369932400.0,-228009300.0,-19422026200.0,-6719896900.0,18549.0,1013608.0,1.83,A003550
2,2012-01-04,61403,61781,60553,61120,511089,33125703100,0.31,13038201200.0,44343400.0,-7566139300.0,-5516405300.0,15400.0,511089.0,3.01,A003550
3,2012-01-05,60836,61781,59797,59986,448511,28855107500,-1.85,5921789800.0,-226725900.0,-67496100.0,-5627567800.0,27742.0,448511.0,6.19,A003550
4,2012-01-06,59797,60647,59230,59608,349144,22116937600,-0.63,5187784100.0,-359804000.0,-1267217000.0,-3560763100.0,2217.0,349144.0,0.63,A003550
5,2012-01-09,59986,60364,58380,59797,290284,18269482400,0.32,-572377900.0,-128648200.0,106140600.0,594885500.0,17571.0,290284.0,6.05,A003550
6,2012-01-10,60081,62820,60081,62442,737904,48659397800,4.42,19406277600.0,1233056200.0,-9921605900.0,-10717727900.0,24360.0,737904.0,3.3,A003550
7,2012-01-11,62348,63198,61592,62631,457756,30339074000,0.3,11559855200.0,3588526600.0,-6038183900.0,-9110197900.0,20971.0,457756.0,4.58,A003550
8,2012-01-12,62726,62726,61498,62537,365118,23949284600,-0.15,87316400.0,-55395000.0,3896716000.0,-3928637400.0,54412.0,365118.0,14.9,A003550
9,2012-01-13,62159,63954,61687,63576,488778,32563894100,1.66,2889934400.0,322997400.0,-8376066700.0,5163134900.0,23244.0,488778.0,4.76,A003550
10,2012-01-16,62820,64804,62064,63954,574954,38750212632,0.59,-1740804800.0,258700100.0,-7196160300.0,8678265000.0,13057.0,574954.0,2.27,A003550
11,2012-01-17,64615,64898,62820,64332,447419,30221325200,0.59,-1041956400.0,-36213500.0,-4346711700.0,5424881600.0,22620.0,447419.0,5.06,A003550
12,2012-01-18,63576,63765,62253,63670,373612,24995640800,-1.03,-4318113500.0,-201662000.0,203679600.0,4316095900.0,12486.0,373612.0,3.34,A003550
