,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,486000,492000,474000,479500,44594,21615270000,-1.64,-861544000.0,-216319500.0,2408657500.0,-1330794000.0,1274.0,44594.0,2.86,A051900
1,2012-01-03,481000,499000,481000,499000,31157,15358409500,4.07,1325347500.0,978000.0,-4143346000.0,2817020500.0,828.0,31157.0,2.66,A051900
2,2012-01-04,500000,502000,481000,482500,34256,16750524500,-3.31,-3465613000.0,-819635000.0,5377461500.0,-1092213500.0,576.0,34256.0,1.68,A051900
3,2012-01-05,487500,495000,482500,483000,28118,13725712268,0.1,1372783732.0,-603690500.0,-307658000.0,-461435232.0,583.0,28118.0,2.07,A051900
4,2012-01-06,488000,493000,483000,490500,24242,11795950500,1.55,-595675000.0,-1414486500.0,-640899000.0,2651060500.0,172.0,24242.0,0.71,A051900
5,2012-01-09,494000,499500,476000,499500,29780,14581809500,1.83,508726500.0,-21828500.0,-2951412500.0,2464514500.0,2670.0,29780.0,8.97,A051900
6,2012-01-10,504000,507000,494000,494000,30792,15374407500,-1.1,2576810500.0,-1482500.0,-771810500.0,-1803517500.0,3509.0,30792.0,11.4,A051900
7,2012-01-11,494500,495000,478500,478500,46694,22538367915,-3.14,-3567548000.0,-836026000.0,8696366000.0,-4292792000.0,136.0,46694.0,0.29,A051900
8,2012-01-12,477500,482000,475500,479000,24244,11579540000,0.1,-1235001000.0,42975500.0,2788128000.0,-1596102500.0,148.0,24244.0,0.61,A051900
9,2012-01-13,478000,484500,468500,474000,48841,23210133500,-1.04,-1293325500.0,268145000.0,5245993000.0,-4220812500.0,2933.0,48841.0,6.01,A051900
10,2012-01-16,477000,489500,471000,484500,28282,13614465000,2.22,2873742000.0,0.0,-6425713000.0,3551971000.0,1206.0,28282.0,4.26,A051900
11,2012-01-17,486000,498000,486000,494000,32713,16205046239,1.96,4458462761.0,-309681000.0,-7209550000.0,3060768239.0,1956.0,32713.0,5.98,A051900
12,2012-01-18,491500,503000,488500,503000,33699,16758464768,1.82,843237000.0,64408000.0,-4920292500.0,4012647500.0,4036.0,33699.0,11.98,A051900
13,2012-01-19,512000,515000,498000,504000,34589,17553716500,0.2,391682500.0,-24447000.0,-3448251000.0,3081015500.0,6001.0,34589.0,17.35,A051900
14,2012-01-20,512000,512000,492000,512000,71075,35675434194,1.59,6126214806.0,264796000.0,-1806326500.0,-4584684306.0,3981.0,71075.0,5.6,A051900
15,2012-01-25,505000,513000,498500,507000,61788,31221170000,-0.98,4854806500.0,-336937000.0,-1003187500.0,-3514682000.0,3584.0,61788.0,5.8,A051900
16,2012-01-26,503000,510000,495000,495000,58117,28905590500,-2.37,-2200587500.0,-382204000.0,6220006500.0,-3637215000.0,1432.0,58117.0,2.46,A051900
17,2012-01-27,488000,490000,477500,480000,167708,80755520225,-3.03,-4506652500.0,309027000.0,16724065500.0,-12526440000.0,885.0,167708.0,0.53,A051900
18,2012-01-30,478000,479000,445500,464500,206737,95544574500,-3.23,4179833500.0,46580000.0,26669352000.0,-30895765500.0,1991.0,206737.0,0.96,A051900
19,2012-01-31,463500,478000,458000,478000,130060,61462513750,2.91,79309500.0,264990000.0,-5789176500.0,5444877000.0,471.0,130060.0,0.36,A051900
20,2012-02-01,471000,476500,468000,472500,63279,29839829500,-1.15,-6355049000.0,61456000.0,3645222500.0,2648370500.0,550.0,63279.0,0.87,A051900
21,2012-02-02,473500,485000,469000,479500,78427,37324382000,1.48,-3263193000.0,28170000.0,-4581837000.0,7816860000.0,402.0,78427.0,0.51,A051900
22,2012-02-03,483000,484000,469000,480000,57682,27505852000,0.1,-1717981500.0,20181500.0,-1701879500.0,3399679500.0,13623.0,57682.0,23.62,A051900
23,2012-02-06,483000,485000,469000,479000,69543,33293199500,-0.21,4540228000.0,-113228000.0,-3437629500.0,-989370500.0,12875.0,69543.0,18.51,A051900
24,2012-02-07,474500,488000,474500,487000,28173,13639540500,1.67,2159822500.0,-214328000.0,-5739729500.0,3794235000.0,2438.0,28173.0,8.65,A051900
25,2012-02-08,494000,494500,483000,492500,36593,17891384000,1.13,2335229000.0,6890000.0,-2972826000.0,630707000.0,5043.0,36593.0,13.78,A051900
26,2012-02-09,492000,492000,476000,482500,32809,15781653000,-2.03,-2923678000.0,-214745500.0,4465246000.0,-1326822500.0,1610.0,32809.0,4.91,A051900
27,2012-02-10,476500,481500,460500,467000,92977,43381757335,-3.21,-9955112500.0,22172500.0,14260394000.0,-4327454000.0,5522.0,92977.0,5.94,A051900
28,2012-02-13,467000,474000,465000,465500,43514,20355236500,-0.32,-3804676500.0,-1401000.0,2978301500.0,827776000.0,3071.0,43514.0,7.06,A051900
29,2012-02-14,461000,467500,460000,462000,53592,24862011000,-0.75,-363138000.0,72926500.0,4645548500.0,-4355337000.0,1516.0,53592.0,2.83,A051900
30,2012-02-15,462500,469500,462000,464000,24304,11286452000,0.43,1923914500.0,0.0,1253379500.0,-3177294000.0,1509.0,24304.0,6.21,A051900
31,2012-02-16,460500,470500,460000,467000,55578,25808424500,0.65,7167379500.0,135741500.0,-1497129000.0,-5805992000.0,361.0,55578.0,0.65,A051900
32,2012-02-17,465500,474000,465500,472500,48951,22938387500,1.18,1510764000.0,250271000.0,-4031771500.0,2270736500.0,1260.0,48951.0,2.57,A051900
33,2012-02-20,472500,474500,468500,470000,34983,16391916000,-0.53,-3006641000.0,-4715000.0,-910070500.0,3921426500.0,21.0,34983.0,0.06,A051900
34,2012-02-21,473500,473500,469000,469500,20452,9624480485,-0.11,-2557367500.0,-2823000.0,-1601838000.0,4162028500.0,301.0,20452.0,1.47,A051900
35,2012-02-22,469000,475000,467500,473000,35063,16543669000,0.75,25285500.0,-86624500.0,-3759833000.0,3821172000.0,102.0,35063.0,0.29,A051900
36,2012-02-23,474000,488000,470000,487500,51804,24959371000,3.07,4790759500.0,-121035000.0,-12520287500.0,7850563000.0,2011.0,51804.0,3.88,A051900
