,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2022-01-27,597000,598000,450000,505000,15946992,8155323955500,-15.41,3016910264500.0,-78837612000.0,-1439272291000.0,-1498800361500.0,868.0,15946992.0,0.01,A373220
1,2022-01-28,476000,483000,445000,450000,4559773,2104994467000,-10.89,145454200500.0,4540899000.0,237845976000.0,-387841075500.0,4797.0,4559773.0,0.11,A373220
2,2022-02-03,458000,495500,441000,477000,2918435,1375706997000,6.0,136368587000.0,1143976000.0,-223226591500.0,85714028500.0,1231.0,2918435.0,0.04,A373220
3,2022-02-04,476500,505000,476000,504000,2088996,1038186622000,5.66,209214083500.0,-4073390500.0,-263041064000.0,57900371000.0,840.0,2088996.0,0.04,A373220
4,2022-02-07,520000,548000,511000,548000,1911176,1020155389000,8.73,142536765000.0,1221285000.0,-202659240000.0,58901190000.0,316.0,1911176.0,0.02,A373220
5,2022-02-08,554000,577000,524000,542000,2583335,1435829601000,-1.09,89490260000.0,-10324985000.0,-53111271000.0,-26054004000.0,3395.0,2583335.0,0.13,A373220
6,2022-02-09,550000,557000,505000,511000,2070704,1088038113000,-5.72,-45403357000.0,-4116772000.0,40228368000.0,9291761000.0,676.0,2070704.0,0.03,A373220
7,2022-02-10,507000,507000,471500,474500,2306815,1116185235500,-7.14,-126215713500.0,5238612500.0,276636215500.0,-155659114500.0,405.0,2306815.0,0.02,A373220
8,2022-02-11,463500,484000,457000,482000,1411055,672692384000,1.58,-57438723500.0,2125035500.0,28296352500.0,27017335500.0,866.0,1411055.0,0.06,A373220
9,2022-02-14,473000,482000,459500,463000,3285402,1530528935000,-3.94,-100442381000.0,-546432500.0,-25163400500.0,126152214000.0,12880.0,3285402.0,0.39,A373220
10,2022-02-15,460000,468000,450000,451500,825406,375853791000,-2.48,23831029500.0,-1639202000.0,73141986000.0,-95333813500.0,820.0,825406.0,0.1,A373220
11,2022-02-16,464000,465000,449500,455500,961669,437351352000,0.89,28118615000.0,1922626500.0,146369834000.0,-176411075500.0,737.0,961669.0,0.08,A373220
12,2022-02-17,454500,460000,447000,454500,711183,322829295500,-0.22,43280064000.0,-48581000.0,14494271500.0,-57725754500.0,1329.0,711183.0,0.19,A373220
13,2022-02-18,448500,454500,448000,454500,418728,188982367500,0.0,25866987000.0,-398242500.0,-1591362000.0,-23877382500.0,413.0,418728.0,0.1,A373220
14,2022-02-21,450000,453000,447500,453000,327509,147564231000,-0.33,29944904000.0,-407551500.0,-9346029000.0,-20191323500.0,375.0,327509.0,0.11,A373220
15,2022-02-22,444500,448000,440000,440000,557179,246662504000,-2.87,9629750000.0,3845697500.0,53987975000.0,-67463422500.0,233.0,557179.0,0.04,A373220
16,2022-02-23,443500,446000,438000,442000,381560,168668926000,0.45,29620310000.0,184038000.0,4441908500.0,-34246256500.0,178.0,381560.0,0.05,A373220
17,2022-02-24,435000,438000,416000,416500,883314,374397576000,-5.77,8321814000.0,5381162500.0,61806447500.0,-75509424000.0,0.0,883314.0,0.0,A373220
18,2022-02-25,425000,430000,418500,420000,465140,197220478000,0.84,-5584341500.0,637054000.0,7184213000.0,-2236925500.0,1341.0,465140.0,0.29,A373220
19,2022-02-28,404500,422000,404000,412000,970088,397894926500,-1.9,-63151949500.0,-4308179000.0,127372542500.0,-59912414000.0,16.0,970088.0,0.0,A373220
20,2022-03-02,411000,434500,408500,434000,895460,379242911000,5.34,51531007500.0,-6004489500.0,-41960129000.0,-3566389000.0,1633.0,895460.0,0.18,A373220
21,2022-03-03,439500,441000,430000,437000,460544,200714207000,0.69,18312091500.0,-1655577500.0,3097490000.0,-19754004000.0,2150.0,460544.0,0.47,A373220
22,2022-03-04,433500,436500,427000,428500,310930,133675199000,-1.95,686588000.0,-513050500.0,15746873000.0,-15920410500.0,54.0,310930.0,0.02,A373220
23,2022-03-07,420500,421000,412000,414000,370588,154053589000,-3.38,-22354733500.0,423794000.0,39941452000.0,-18010512500.0,8.0,370588.0,0.0,A373220
24,2022-03-08,406000,417000,402500,410500,393413,161982437000,-0.85,-91646000.0,-741166000.0,1455536500.0,-622724500.0,0.0,393413.0,0.0,A373220
25,2022-03-10,421000,430500,417500,417500,1076446,454801061000,1.71,128722007000.0,-137104000.0,-52217943000.0,-76366960000.0,36319.0,1076446.0,3.37,A373220
26,2022-03-11,411500,412000,390500,391000,1811373,715532886694,-6.35,-94616147000.0,2527450500.0,279637440500.0,-187548744000.0,663690.0,1811373.0,36.64,A373220
27,2022-03-14,385000,385500,361500,363500,1999479,731908020500,-7.03,43769490500.0,2085521000.0,251747749000.0,-297602760500.0,798714.0,1999479.0,39.95,A373220
28,2022-03-15,363000,370000,355000,359500,1064506,385445614500,-1.1,26866272000.0,1339479500.0,83879681000.0,-112085432500.0,286623.0,1064506.0,26.93,A373220
29,2022-03-16,367000,367500,360000,363500,625328,227521975500,1.11,39615690000.0,986018500.0,4161140500.0,-44762849000.0,162651.0,625328.0,26.01,A373220
30,2022-03-17,374000,381500,373000,376000,816118,307688803000,3.44,50787433000.0,1208500000.0,-24655967000.0,-27339966000.0,144383.0,816118.0,17.69,A373220
31,2022-03-18,377500,384000,370500,382000,643915,242690475000,1.6,42216921500.0,49296000.0,-18382214000.0,-23884003500.0,145038.0,643915.0,22.52,A373220
32,2022-03-21,385000,397500,384000,386000,655247,256448327000,1.05,19453571000.0,1154019500.0,-20036982000.0,-570608500.0,55037.0,655247.0,8.4,A373220
33,2022-03-22,388500,399000,388000,397500,413972,163222153000,2.98,28243867000.0,-104246500.0,-51751793000.0,23612172500.0,28185.0,413972.0,6.81,A373220
34,2022-03-23,403000,407500,398000,407000,523438,211178472000,2.39,23402051500.0,-1027960000.0,-43626581500.0,21252490000.0,78964.0,523438.0,15.09,A373220
35,2022-03-24,405000,410000,398000,408000,320746,129636238000,0.25,8503984000.0,-660376000.0,-11063148500.0,3219540500.0,22272.0,320746.0,6.94,A373220
36,2022-03-25,418500,444000,417500,439000,1528600,663877825000,7.6,110817451000.0,-3230841500.0,-227375573000.0,119788963500.0,51231.0,1528600.0,3.35,A373220
37,2022-03-28,439000,443000,430000,436500,481311,210766810000,-0.57,19346159500.0,-1041786500.0,-28265256000.0,9960883000.0,21793.0,481311.0,4.53,A373220
38,2022-03-29,443000,448500,440500,441000,375894,166590100000,1.03,20278905000.0,-1008354000.0,-36629590500.0,17359039500.0,17519.0,375894.0,4.66,A373220
39,2022-03-30,444500,445000,427000,440500,440195,192042959500,-0.11,26158615000.0,-2285736500.0,-7310504000.0,-16562374500.0,35762.0,440195.0,8.12,A373220
40,2022-03-31,437000,444000,435000,442000,272318,120293268000,0.34,16843090500.0,-811891500.0,-36477796500.0,20446597500.0,19630.0,272318.0,7.21,A373220
41,2022-04-01,438500,439500,425000,428000,456080,197234422000,-3.17,8381878500.0,-1849896500.0,34679776500.0,-41211758500.0,15994.0,456080.0,3.51,A373220
42,2022-04-04,422000,440500,417500,438500,362727,156602111500,2.45,56433253500.0,-1448605500.0,-46354215500.0,-8630432500.0,6643.0,362727.0,1.83,A373220
43,2022-04-05,442500,450000,437000,449000,491410,218752161000,2.39,80691152500.0,-139081500.0,-101401512500.0,20849441500.0,10106.0,491410.0,2.06,A373220
44,2022-04-06,436000,448500,436000,444500,415524,183675493500,-1.0,40611332500.0,-901023500.0,-26188752500.0,-13521556500.0,49190.0,415524.0,11.84,A373220
45,2022-04-07,438000,442000,431000,436500,316409,138064435000,-1.8,14580261000.0,-382273500.0,-7613040000.0,-6584947500.0,18769.0,316409.0,5.93,A373220
46,2022-04-08,449000,449000,437500,439500,395489,175252113500,0.69,-11107627500.0,-1425888500.0,-6735817000.0,19269333000.0,60318.0,395489.0,15.25,A373220
47,2022-04-11,435000,435500,423500,425000,289205,123918833000,-3.3,-3445533000.0,-354023500.0,24343487500.0,-20543931000.0,38473.0,289205.0,13.3,A373220
48,2022-04-12,417000,421500,410000,411000,382240,157982450500,-3.29,-1739030000.0,1779000000.0,24306854000.0,-24346824000.0,106419.0,382240.0,27.84,A373220
49,2022-04-13,414000,431500,404000,431000,386194,162693896000,4.87,50457301000.0,99264500.0,-30432188500.0,-20124377000.0,45627.0,386194.0,11.81,A373220
50,2022-04-14,434000,441000,427500,441000,321259,139795772500,2.32,64964750000.0,-679430500.0,-50577668500.0,-13707651000.0,44985.0,321259.0,14.0,A373220
51,2022-04-15,435500,445000,431500,435000,307347,135286720000,-1.36,45668777500.0,419297000.0,-40134434000.0,-5953640500.0,32237.0,307347.0,10.49,A373220
52,2022-04-18,434000,439500,432500,433000,115652,50255678500,-0.46,11594577000.0,-1184861500.0,-351500500.0,-10058215000.0,28679.0,115652.0,24.8,A373220
