,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,67800,69900,67500,69900,58500,4029387100,3.1,-125667000.0,-34370300.0,349550800.0,-189513500.0,5060.0,58500.0,8.65,A011070
1,2012-01-03,69800,71000,69700,71000,96420,6795714800,1.57,164600500.0,-1413500.0,-1647740700.0,1484553700.0,16301.0,96420.0,16.91,A011070
2,2012-01-04,72100,72200,70300,71000,88257,6296694300,0.0,689604000.0,-126015400.0,-920012300.0,356423700.0,9207.0,88257.0,10.43,A011070
3,2012-01-05,71200,71900,70100,70100,53295,3785166000,-1.27,641356900.0,-4404400.0,-45601500.0,-591351000.0,9044.0,53295.0,16.97,A011070
4,2012-01-06,70100,70600,68200,68600,57349,3942704800,-2.14,-740058000.0,5484000.0,1186519200.0,-451945200.0,8541.0,57349.0,14.89,A011070
5,2012-01-09,68600,69200,67200,68000,57299,3901887900,-0.87,-1348335600.0,-18211400.0,1227644100.0,138902900.0,4620.0,57299.0,8.06,A011070
6,2012-01-10,68400,69800,68100,69800,66350,4595607700,2.65,38362700.0,-4298800.0,-826504600.0,792440700.0,5669.0,66350.0,8.54,A011070
7,2012-01-11,70000,70300,68200,69000,43082,2979728200,-1.15,-400527300.0,7491500.0,12684500.0,380351300.0,1417.0,43082.0,3.29,A011070
8,2012-01-12,69600,70900,68400,70900,59816,4161881700,2.75,542855600.0,-14513100.0,-303172600.0,-225169900.0,9879.0,59816.0,16.52,A011070
9,2012-01-13,71100,71800,70700,71500,79957,5704855500,0.85,-202160300.0,90731500.0,-1090331600.0,1201760400.0,234.0,79957.0,0.29,A011070
10,2012-01-16,70700,71100,69200,71100,56159,3936539700,-0.56,345574400.0,0.0,16964500.0,-362538900.0,1503.0,56159.0,2.68,A011070
11,2012-01-17,71800,72300,71000,72200,95090,6817975800,1.55,-162899400.0,70356300.0,-844789200.0,937332300.0,1003.0,95090.0,1.05,A011070
12,2012-01-18,71700,72900,71400,72500,65253,4706273500,0.42,-513825000.0,5995000.0,240355500.0,267474500.0,1586.0,65253.0,2.43,A011070
13,2012-01-19,73200,78500,72600,77100,421239,32103655900,6.34,5849380000.0,-58786600.0,-10261903000.0,4471309600.0,4124.0,421239.0,0.98,A011070
14,2012-01-20,78000,84100,77200,83500,405701,32822325500,8.3,2120923100.0,62440900.0,-9709334700.0,7525970700.0,6281.0,405701.0,1.55,A011070
15,2012-01-25,83800,84000,79500,80500,340163,27785604700,-3.59,662270600.0,372681000.0,4294145900.0,-5329097500.0,5346.0,340163.0,1.57,A011070
16,2012-01-26,81400,84900,80900,83700,280320,23340418300,3.98,337519500.0,-643057300.0,772682500.0,-467144700.0,5026.0,280320.0,1.79,A011070
17,2012-01-27,83300,85400,81000,84400,285530,23730067600,0.84,4175959400.0,168319000.0,-1767546300.0,-2576732100.0,39868.0,285530.0,13.96,A011070
18,2012-01-30,83600,86600,82900,84200,201299,17096340500,-0.24,631853300.0,234052200.0,-1646686400.0,780780900.0,8310.0,201299.0,4.13,A011070
19,2012-01-31,85100,91700,85100,90000,629672,56241859700,6.89,9253366400.0,12337800.0,-7750146100.0,-1515558100.0,28248.0,629672.0,4.49,A011070
20,2012-02-01,90000,93200,88400,92500,257939,23551675600,2.78,409582100.0,-927221000.0,-2428239500.0,2945878400.0,24074.0,257939.0,9.33,A011070
21,2012-02-02,93500,95400,91000,92000,307199,28573354100,-0.54,796534400.0,-74839200.0,1343972400.0,-2065667600.0,22685.0,307199.0,7.38,A011070
22,2012-02-03,92000,92800,90200,92800,142927,13129037200,0.87,605651600.0,-13709800.0,-2363923400.0,1771981600.0,16069.0,142927.0,11.24,A011070
23,2012-02-06,93600,94800,92600,94000,144180,13526882000,1.29,1991030200.0,455671900.0,-3861424900.0,1414722800.0,14464.0,144180.0,10.03,A011070
24,2012-02-07,94000,94000,87300,87900,419657,37373175500,-6.49,-4731702300.0,640135800.0,9075102500.0,-4983536000.0,24936.0,419657.0,5.94,A011070
25,2012-02-08,87300,91000,86100,91000,190284,17088008400,3.53,1880104100.0,188773000.0,-5200154500.0,3131277400.0,3999.0,190284.0,2.1,A011070
26,2012-02-09,90900,93800,90100,92100,139726,12832325200,1.21,-211092200.0,-167718600.0,174750000.0,204060800.0,9696.0,139726.0,6.94,A011070
27,2012-02-10,91500,92800,89100,90700,123260,11228323300,-1.52,-293916800.0,62640100.0,-155714100.0,386990800.0,23082.0,123260.0,18.73,A011070
28,2012-02-13,90200,95000,90200,92200,208605,19425826200,1.65,-5166467900.0,51936000.0,1223137000.0,3891394900.0,11001.0,208605.0,5.27,A011070
29,2012-02-14,92500,94200,91100,93100,96536,8993939000,0.98,975045400.0,17359000.0,-548607000.0,-443797400.0,5305.0,96536.0,5.5,A011070
30,2012-02-15,93200,94700,92300,93200,121631,11311705900,0.11,-3012796900.0,56689700.0,2545736100.0,410371100.0,5517.0,121631.0,4.54,A011070
31,2012-02-16,92500,93600,90000,90100,151951,13854767500,-3.33,-3395832100.0,-227835600.0,2952652800.0,671014900.0,4962.0,151951.0,3.27,A011070
32,2012-02-17,91800,97900,91000,97000,392588,37520842900,7.66,6894092300.0,367662100.0,-7935419400.0,673665000.0,16916.0,392588.0,4.31,A011070
33,2012-02-20,97000,97700,95300,96400,168576,16256572900,-0.62,3783616100.0,73380600.0,-1452941300.0,-2404055400.0,34306.0,168576.0,20.35,A011070
34,2012-02-21,96400,96700,93900,95400,101612,9678250700,-1.04,2947146400.0,-307279200.0,-1128727200.0,-1511140000.0,9240.0,101612.0,9.09,A011070
35,2012-02-22,95300,98300,94300,95900,145722,14025870600,0.52,228666200.0,85448900.0,2090127300.0,-2404242400.0,12447.0,145722.0,8.54,A011070
36,2012-02-23,95100,95600,92100,92800,158570,14757306500,-3.23,-629940700.0,-343095800.0,409964300.0,563072200.0,23969.0,158570.0,15.12,A011070
37,2012-02-24,92400,94100,91100,93800,124833,11552522400,1.08,-2173090500.0,-646524700.0,703609400.0,2116005800.0,13708.0,124833.0,10.98,A011070
38,2012-02-27,93600,93600,90000,90400,159114,14421718100,-3.62,3321632100.0,-322146400.0,-835551300.0,-2163934400.0,63530.0,159114.0,39.93,A011070
39,2012-02-28,90400,91600,88000,88900,179645,15959823200,-1.66,-312447900.0,-218049300.0,1804932100.0,-1274434900.0,57165.0,179645.0,31.82,A011070
40,2012-02-29,90500,95900,90100,95900,306770,29049310500,7.87,4231577000.0,-61676500.0,-8490238700.0,4320338200.0,33220.0,306770.0,10.83,A011070
41,2012-03-02,96900,96900,93400,95000,195257,18454233200,-0.94,4699061600.0,-10940800.0,1792785000.0,-6480905800.0,33033.0,195257.0,16.92,A011070
42,2012-03-05,93700,94800,93000,94800,93597,8783973000,-0.21,2105539900.0,20174200.0,-1753889800.0,-371824300.0,10100.0,93597.0,10.79,A011070
43,2012-03-06,95600,97900,94800,95000,178217,17059514700,0.21,-1552636300.0,25163500.0,-562277300.0,2089750100.0,9874.0,178217.0,5.54,A011070
