,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,75300,77500,74900,76100,1010120,77347435400,2.28,20591584400.0,562924000.0,-8059744200.0,-13094764200.0,161626.0,1010120.0,16.0,A066570
1,2012-01-03,77000,78300,76700,77400,940545,72928229900,1.71,9332670600.0,469292100.0,-17681180400.0,7879217700.0,15684.0,940545.0,1.67,A066570
2,2012-01-04,77900,77900,74300,74700,1245338,94060134900,-3.49,-24308421800.0,-58285200.0,24745342800.0,-378635800.0,95058.0,1245338.0,7.63,A066570
3,2012-01-05,73900,75200,73300,73900,1180481,87297704000,-1.07,-6383488200.0,430796200.0,17513892700.0,-11561200700.0,121564.0,1180481.0,10.3,A066570
4,2012-01-06,73300,73900,71700,72400,990520,71758140900,-2.03,-14761822100.0,-434243100.0,22925496700.0,-7729431500.0,148031.0,990520.0,14.94,A066570
5,2012-01-09,71700,74100,71100,74000,1881317,136789201700,2.21,33030384200.0,667983100.0,2616989100.0,-36315356400.0,518066.0,1881317.0,27.54,A066570
6,2012-01-10,74500,76900,74200,76900,1634539,124008370300,3.92,47174754700.0,1572949900.0,-38639223300.0,-10108481300.0,181932.0,1634539.0,11.13,A066570
7,2012-01-11,76900,77500,75500,75700,1010881,77323045800,-1.56,24529304700.0,794711900.0,-8698843700.0,-16625172900.0,239557.0,1010881.0,23.7,A066570
8,2012-01-12,75700,76800,74700,76800,1044615,79367144400,1.45,7618204000.0,909761500.0,4961234900.0,-13489200400.0,202989.0,1044615.0,19.43,A066570
9,2012-01-13,76500,77400,75600,76500,702194,53690929000,-0.39,4175840100.0,423548900.0,-3011499200.0,-1587889800.0,28967.0,702194.0,4.13,A066570
10,2012-01-16,75900,76500,74700,75000,621888,46712051900,-1.96,-1220080300.0,-1478538300.0,11740554400.0,-9041935800.0,132999.0,621888.0,21.39,A066570
11,2012-01-17,75700,75700,72900,73800,2117661,155995263100,-1.6,-42668815100.0,-386590200.0,43714136600.0,-658731300.0,192545.0,2117661.0,9.09,A066570
12,2012-01-18,73700,73800,72000,72700,1594524,115667254800,-1.49,-36586847600.0,-1159588900.0,49128892000.0,-11382455500.0,173708.0,1594524.0,10.89,A066570
13,2012-01-19,73400,73900,72100,72800,1996915,145995630500,0.14,-11124799400.0,1615008500.0,25656411800.0,-16146620900.0,612073.0,1996915.0,30.65,A066570
14,2012-01-20,73100,74500,73100,74100,1482946,109620235500,1.79,-7951334200.0,1326423700.0,-13452632100.0,20077542600.0,152920.0,1482946.0,10.31,A066570
15,2012-01-25,74500,77500,74300,77100,2072421,159193899600,4.05,17600054800.0,-654587000.0,-39497385600.0,22551917800.0,48207.0,2072421.0,2.33,A066570
16,2012-01-26,78300,78400,77100,77500,1254362,97435052600,0.52,6934100200.0,-10839100.0,-14490202700.0,7566941600.0,10158.0,1254362.0,0.81,A066570
17,2012-01-27,77300,81900,75800,81500,2964043,236376655800,5.16,48135421200.0,3291545800.0,-65475482400.0,14048515400.0,32946.0,2964043.0,1.11,A066570
18,2012-01-30,81500,84800,81000,82500,2364061,196406446000,1.23,26235281200.0,-2189944800.0,-37469508200.0,13424171800.0,82156.0,2364061.0,3.48,A066570
19,2012-01-31,83000,83700,81500,82700,1181898,97438918600,0.24,401624000.0,576392100.0,2870917700.0,-3848933800.0,100580.0,1181898.0,8.51,A066570
20,2012-02-01,82000,84800,80400,84300,2159597,179405105000,1.93,27100352700.0,3460287500.0,-14288189700.0,-16272450500.0,33703.0,2159597.0,1.56,A066570
21,2012-02-02,87300,91200,86300,90500,3817490,342623012800,7.35,63126733400.0,361750600.0,-115790240700.0,52301756700.0,135481.0,3817490.0,3.55,A066570
22,2012-02-03,90500,91100,89000,90700,1877835,169853399250,0.22,19942138200.0,604114500.0,-29855094100.0,9308841400.0,182602.0,1877835.0,9.72,A066570
23,2012-02-06,91300,91400,88100,89100,1726856,154301503600,-1.76,11178662500.0,1173509800.0,7792495900.0,-20144668200.0,346268.0,1726856.0,20.05,A066570
24,2012-02-07,89100,89100,85100,87000,2477900,214552956200,-2.36,-7811437000.0,-1351881000.0,37379754800.0,-28216436800.0,441834.0,2477900.0,17.83,A066570
25,2012-02-08,86700,90000,85600,89100,1807005,160415604400,2.41,13560434200.0,431970800.0,-19802429100.0,5810024100.0,468033.0,1807005.0,25.9,A066570
26,2012-02-09,88700,90400,87500,90400,1570269,140138827100,1.46,35314533000.0,1486453800.0,-18821633000.0,-17979353800.0,267106.0,1570269.0,17.01,A066570
27,2012-02-10,89500,90000,86700,86900,1553824,136397378800,-3.87,-14688928400.0,-1575638300.0,31953543200.0,-15688976500.0,36745.0,1553824.0,2.36,A066570
28,2012-02-13,86600,88700,86200,88300,1137784,99694294600,1.61,5355507500.0,836018700.0,13844058100.0,-20035584300.0,23605.0,1137784.0,2.07,A066570
29,2012-02-14,88000,91700,87600,91000,2492233,226448349100,3.06,53827639600.0,5956893900.0,-29829776000.0,-29954757500.0,59603.0,2492233.0,2.39,A066570
30,2012-02-15,91000,91600,89700,90600,1394801,126078001400,-0.44,8368604900.0,-422176500.0,24604565300.0,-32550993700.0,162631.0,1394801.0,11.66,A066570
31,2012-02-16,89600,91300,89100,89600,1081148,97373270300,-1.1,16190116100.0,253827800.0,2728012000.0,-19171955900.0,132841.0,1081148.0,12.29,A066570
32,2012-02-17,91300,92200,90200,91300,1687408,154221812700,1.9,15465973500.0,-575249900.0,-10239203700.0,-4651519900.0,186919.0,1687408.0,11.08,A066570
33,2012-02-20,92000,92700,90000,90100,1174140,105947636000,-1.31,-252611700.0,-972605200.0,8778790600.0,-7553573700.0,245058.0,1174140.0,20.87,A066570
34,2012-02-21,89500,89900,87900,88700,1227275,108701000200,-1.55,-12712707700.0,-720597900.0,21017537500.0,-7584231900.0,166960.0,1227275.0,13.6,A066570
35,2012-02-22,88700,89300,87400,88000,901095,79314191700,-0.79,-2708395200.0,1524366800.0,19513065100.0,-18329036700.0,141803.0,901095.0,15.74,A066570
36,2012-02-23,87400,87400,83200,84100,2796450,235942780400,-4.43,-32447941400.0,-529479300.0,65507037800.0,-32529617100.0,705274.0,2796450.0,25.22,A066570
37,2012-02-24,84200,85000,82700,84500,1473957,123672740300,0.48,-1209439500.0,423506600.0,16974411000.0,-16188478100.0,548373.0,1473957.0,37.2,A066570
38,2012-02-27,84800,85000,82100,82700,919869,76429433400,-2.13,-1847438700.0,-1460584600.0,12611365800.0,-9303342500.0,96861.0,919869.0,10.53,A066570
39,2012-02-28,82800,84100,80500,82500,2318740,189832460200,-0.24,10196823600.0,-70225700.0,44716323600.0,-54842921500.0,853524.0,2318740.0,36.81,A066570
40,2012-02-29,83200,86400,82600,85400,1818096,155109132800,3.52,18607486400.0,596060000.0,-14810063200.0,-4393483200.0,138447.0,1818096.0,7.61,A066570
41,2012-03-02,87000,87000,85000,85200,1013648,87032265500,-0.23,-3136634700.0,2110331100.0,-3538160600.0,4564464200.0,88665.0,1013648.0,8.75,A066570
42,2012-03-05,84600,85800,84100,84600,658981,55822705600,-0.7,-5809970800.0,1006745200.0,-1400943900.0,6204169500.0,60528.0,658981.0,9.19,A066570
43,2012-03-06,85200,86400,84700,85000,1107460,94691906900,0.47,-7489234900.0,-3359616100.0,-2588865700.0,13437716700.0,36066.0,1107460.0,3.26,A066570
44,2012-03-07,83800,88200,83600,87300,2078226,180961560900,2.71,44246639200.0,1079275400.0,-22661313300.0,-22664601300.0,65873.0,2078226.0,3.17,A066570
45,2012-03-08,88100,91200,88000,90700,3392371,304877093000,3.89,101788721900.0,6028827900.0,-60893156500.0,-46924393300.0,97094.0,3392371.0,2.86,A066570
46,2012-03-09,92000,92200,90200,90600,1275092,116160757500,-0.11,19643856200.0,1144776700.0,-19251764900.0,-1536868000.0,75565.0,1275092.0,5.93,A066570
47,2012-03-12,91400,92900,90800,91000,1418199,130279599700,0.44,19240753100.0,102983900.0,6070680100.0,-25414417100.0,190836.0,1418199.0,13.46,A066570
48,2012-03-13,91900,92100,90600,91100,869868,79277258800,0.11,-1029051400.0,300994500.0,10083280200.0,-9355223300.0,22594.0,869868.0,2.6,A066570
49,2012-03-14,92300,93900,92200,92900,1588552,147672024000,1.98,29878916500.0,-850278600.0,-35871506000.0,6842868100.0,82744.0,1588552.0,5.21,A066570
50,2012-03-15,93100,94300,92300,93300,1384009,129220213400,0.43,2002814100.0,22844600.0,-6674159000.0,4648500300.0,89711.0,1384009.0,6.48,A066570
51,2012-03-16,93900,94000,91000,91700,1081399,99170281800,-1.71,3614959000.0,768182000.0,8322563000.0,-12705704000.0,66561.0,1081399.0,6.16,A066570
52,2012-03-19,91800,92300,89600,90400,984841,89146373800,-1.42,-15243387300.0,-107034200.0,17948515600.0,-2598094100.0,87444.0,984841.0,8.88,A066570
53,2012-03-20,90600,90700,88300,90000,1188319,106120183500,-0.44,-12478167500.0,-350542100.0,29350497200.0,-16521787600.0,138786.0,1188319.0,11.68,A066570
54,2012-03-21,89800,91900,89600,90000,909411,82502710700,0.0,-4904379300.0,-777815800.0,3126246100.0,2555949000.0,14154.0,909411.0,1.56,A066570
55,2012-03-22,90500,90800,89200,90000,670821,60237520800,0.0,-2663829200.0,-205610600.0,10001640800.0,-7132201000.0,80136.0,670821.0,11.95,A066570
56,2012-03-23,89000,89700,86400,88300,1746439,153025427800,-1.89,-36013647200.0,-1792437500.0,31484495700.0,6321589000.0,91237.0,1746439.0,5.22,A066570
57,2012-03-26,88900,88900,84500,85000,2346022,200751073000,-3.74,-65614948900.0,-1905687200.0,76947884200.0,-9427248100.0,150664.0,2346022.0,6.42,A066570
58,2012-03-27,86100,86900,84100,86000,1846497,157689186400,1.18,-21849588600.0,2260074100.0,31136858200.0,-11547343700.0,92982.0,1846497.0,5.04,A066570
59,2012-03-28,84900,85500,82100,82300,3112203,258441079200,-4.3,-53567412800.0,-989683100.0,100310960100.0,-45753864200.0,183378.0,3112203.0,5.89,A066570
60,2012-03-29,82300,82900,80200,82100,2095763,170631308700,-0.24,-13684711500.0,1034691900.0,47209856600.0,-34559837000.0,433274.0,2095763.0,20.67,A066570
61,2012-03-30,81500,83500,81500,82800,1394331,115453972588,0.85,4111668500.0,-444815600.0,5658288800.0,-9325141700.0,282697.0,1394331.0,20.27,A066570
62,2012-04-02,82800,84500,82800,84200,1024406,85945634800,1.69,1374958800.0,2071810800.0,-13159930900.0,9713161300.0,148871.0,1024406.0,14.53,A066570
63,2012-04-03,84500,84600,82600,82600,1541748,128187616200,-1.9,-8894180000.0,310882400.0,24864589700.0,-16281292100.0,439849.0,1541748.0,28.53,A066570
64,2012-04-04,83300,83500,80600,80900,1255197,102300374000,-2.06,-4582106800.0,-84174100.0,28201726600.0,-23535445700.0,298378.0,1255197.0,23.77,A066570
65,2012-04-05,80400,81700,80200,80800,967712,78271593900,-0.12,-4495562000.0,-297603800.0,11493688900.0,-6700523100.0,198216.0,967712.0,20.48,A066570
66,2012-04-06,81100,83300,80800,81900,789501,64883195300,1.36,-3298161600.0,144986600.0,1121844600.0,2031330400.0,14268.0,789501.0,1.81,A066570
67,2012-04-09,81600,83000,78500,78700,1410407,112872937800,-3.91,-4991136000.0,1053653400.0,33470084600.0,-29532602000.0,329416.0,1410407.0,23.36,A066570
68,2012-04-10,79300,79700,78000,78300,962010,75650757000,-0.51,1599510200.0,-348595600.0,6249314400.0,-7500229000.0,157278.0,962010.0,16.35,A066570
69,2012-04-12,78400,78400,74500,76000,2519614,190225099000,-2.94,-8496903500.0,297116300.0,67643998100.0,-59444210900.0,710192.0,2519614.0,28.19,A066570
70,2012-04-13,76600,77700,76000,77700,1683440,129708654800,2.24,5925324400.0,3077802300.0,32164105700.0,-41167232400.0,454175.0,1683440.0,26.98,A066570
71,2012-04-16,76800,77500,75600,76000,1136251,86593212700,-2.19,-11985643300.0,480468300.0,35345756700.0,-23840581700.0,92450.0,1136251.0,8.14,A066570
