,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,380500,381500,373000,376000,95001,35673927500,-1.05,-13773705500.0,363926500.0,9171380500.0,4238398500.0,2399.0,95001.0,2.53,A005490
1,2012-01-03,375000,388500,375000,387500,166063,64054882500,3.06,9847351500.0,-114168000.0,-13017184500.0,3284001000.0,3057.0,166063.0,1.84,A005490
2,2012-01-04,390000,394000,387000,387500,139553,54488481500,0.0,7780596500.0,-302765000.0,-12462291500.0,4984460000.0,20318.0,139553.0,14.56,A005490
3,2012-01-05,387500,396500,387000,392000,197288,77693810000,1.16,4033022500.0,-1232189000.0,-22979799500.0,20178966000.0,15618.0,197288.0,7.92,A005490
4,2012-01-06,385000,392000,380000,385500,168887,64811203000,-1.66,-23155573000.0,193138000.0,9320091500.0,13642343500.0,11534.0,168887.0,6.83,A005490
5,2012-01-09,386000,386000,375000,378500,227064,85625293000,-1.82,-14163209500.0,-790107000.0,13897982500.0,1055334000.0,57716.0,227064.0,25.42,A005490
6,2012-01-10,379500,387000,376500,382500,197808,75954769000,1.06,14467724500.0,-47366500.0,-7087932500.0,-7332425500.0,24377.0,197808.0,12.32,A005490
7,2012-01-11,383000,391500,379500,385000,180717,69631785000,0.65,-19672256000.0,-541544000.0,-5459870000.0,25673670000.0,3606.0,180717.0,2.0,A005490
8,2012-01-12,390000,391000,385000,389000,148488,57633395000,1.04,-22605392500.0,-1011951000.0,-2282557500.0,25899901000.0,1526.0,148488.0,1.03,A005490
9,2012-01-13,395000,395500,392000,393500,184436,72701386500,1.16,-7665122000.0,-1847515500.0,-18434362500.0,27947000000.0,4987.0,184436.0,2.7,A005490
10,2012-01-16,393000,393000,382000,385500,177915,68347837044,-2.03,-7255324000.0,-4021545000.0,14233640000.0,-2956771000.0,784.0,177915.0,0.44,A005490
11,2012-01-17,389500,394000,388000,394000,215139,84493381500,2.2,-13202124000.0,-1939994000.0,-14681422500.0,29823540500.0,14464.0,215139.0,6.72,A005490
12,2012-01-18,393500,397500,388500,396000,193772,76432184500,0.51,-11769251000.0,-1753108500.0,-4073455500.0,17595815000.0,4138.0,193772.0,2.14,A005490
13,2012-01-19,399500,409500,399000,407000,305752,124346978500,2.78,3494595500.0,-6632150000.0,-44931735000.0,48069289500.0,9602.0,305752.0,3.14,A005490
14,2012-01-20,407000,415000,407000,414500,216286,89055846000,1.84,-7384886500.0,-3375472500.0,-35352055500.0,46112414500.0,10124.0,216286.0,4.68,A005490
15,2012-01-25,416000,427000,414500,421500,303710,128749259000,1.69,-21860879500.0,-3022146500.0,-39517429500.0,64400455500.0,8245.0,303710.0,2.71,A005490
16,2012-01-26,416000,420000,410000,416500,198729,82623016500,-1.19,-19626808000.0,-1496003000.0,-4336765000.0,25459576000.0,9226.0,198729.0,4.64,A005490
17,2012-01-27,417000,425000,414500,423500,146246,61757493000,1.68,-15941796500.0,-1133827000.0,-18132860500.0,35208484000.0,7553.0,146246.0,5.16,A005490
18,2012-01-30,419500,420000,412000,416500,186111,77189632000,-1.65,-5866776000.0,-777595500.0,-4428146500.0,11072518000.0,21080.0,186111.0,11.33,A005490
19,2012-01-31,415000,421500,409500,414500,254385,105758392500,-0.48,-12762739500.0,-933839500.0,-1207652000.0,14904231000.0,12669.0,254385.0,4.98,A005490
20,2012-02-01,413500,420000,409000,412000,207521,85553387500,-0.6,-25263294500.0,84294000.0,14344395000.0,10834605500.0,13457.0,207521.0,6.48,A005490
21,2012-02-02,418000,420000,413000,418500,189320,79031014500,1.58,-11640219000.0,146667000.0,4632934000.0,6860618000.0,16538.0,189320.0,8.74,A005490
22,2012-02-03,418500,419000,412000,417000,115543,47907873500,-0.36,-14699618000.0,57743000.0,-1375076000.0,16016951000.0,5956.0,115543.0,5.15,A005490
23,2012-02-06,419500,422500,407500,412000,276913,113821098500,-1.2,-25515964500.0,-461607500.0,11456977500.0,14520594500.0,2303.0,276913.0,0.83,A005490
24,2012-02-07,412500,413500,404500,408000,220691,89818104500,-0.97,-24810170500.0,250831000.0,25822668000.0,-1263328500.0,3068.0,220691.0,1.39,A005490
25,2012-02-08,406000,408000,403500,407000,264157,107119470500,-0.25,-36871981500.0,194408000.0,28354058500.0,8323515000.0,2555.0,264157.0,0.97,A005490
26,2012-02-09,409500,412500,402000,409000,284160,115239339000,0.49,-7950792000.0,779053500.0,25603369500.0,-18431631000.0,8405.0,284160.0,2.96,A005490
27,2012-02-10,411000,422000,409500,416000,393668,164273068000,1.71,-5512465000.0,2309804000.0,-6122474000.0,9325135000.0,12308.0,393668.0,3.13,A005490
28,2012-02-13,416000,420000,414000,416000,156073,65131984500,0.0,4553579500.0,-173061500.0,-9332497500.0,4951979500.0,12787.0,156073.0,8.19,A005490
29,2012-02-14,414500,416000,411500,415000,184085,76003431000,-0.24,-24011804000.0,153058500.0,3768758000.0,20089987500.0,5195.0,184085.0,2.82,A005490
30,2012-02-15,411000,418000,411000,416000,168337,69817076000,0.24,-13795421500.0,-124360000.0,591791500.0,13327990000.0,6051.0,168337.0,3.59,A005490
31,2012-02-16,410500,412000,404500,406000,250553,101804612500,-2.4,-15904350000.0,-46768500.0,12722398500.0,3228720000.0,6097.0,250553.0,2.43,A005490
32,2012-02-17,413000,413000,408000,410000,135316,55560147000,0.99,-11581390500.0,1019723500.0,-10325949000.0,20887616000.0,1077.0,135316.0,0.8,A005490
33,2012-02-20,420500,421000,413000,413000,250395,102518064000,0.73,-15848828500.0,-1027764000.0,-8821376500.0,25697969000.0,2033.0,250395.0,0.81,A005490
34,2012-02-21,411000,417000,410500,413000,129646,53583973500,0.0,-9282565500.0,-144442500.0,-3946627500.0,13373635500.0,6236.0,129646.0,4.81,A005490
35,2012-02-22,415000,415500,410000,414000,132540,54847353000,0.24,-17910547000.0,-137290000.0,-9151307000.0,27199144000.0,7877.0,132540.0,5.94,A005490
36,2012-02-23,407000,414000,407000,413000,125766,51655153500,-0.24,-3604935000.0,-1191612000.0,-7124371500.0,11920918500.0,2818.0,125766.0,2.24,A005490
37,2012-02-24,415000,420000,412500,418500,214005,89284189000,1.33,-15676113500.0,-1097803500.0,-10002856000.0,26776773000.0,12924.0,214005.0,6.04,A005490
38,2012-02-27,419000,421500,414500,415500,119367,49783287000,-0.72,-679205000.0,-864984000.0,846877500.0,697311500.0,9258.0,119367.0,7.76,A005490
39,2012-02-28,413000,417000,410000,414000,128234,52852807500,-0.36,10938884500.0,-503419000.0,-347533000.0,-10087932500.0,2520.0,128234.0,1.97,A005490
40,2012-02-29,414500,418500,414000,416000,171585,71512027500,0.48,-10234192500.0,-1982619500.0,5488519000.0,6728293000.0,1718.0,171585.0,1.0,A005490
41,2012-03-02,420000,426500,416500,424000,310928,131322585500,1.92,11018828000.0,-4944684000.0,-21100607000.0,15026463000.0,5241.0,310928.0,1.69,A005490
42,2012-03-05,424000,426500,420500,422000,155736,65921334000,-0.47,2839252000.0,1190463000.0,529631000.0,-4559346000.0,7241.0,155736.0,4.65,A005490
43,2012-03-06,417500,418000,406000,409000,340990,139974505500,-3.08,-901206000.0,-11880500.0,20455363000.0,-19542276500.0,12598.0,340990.0,3.69,A005490
44,2012-03-07,405000,405000,399000,403500,169024,68066782000,-1.34,-10157781500.0,-520162000.0,10031493500.0,646450000.0,10574.0,169024.0,6.26,A005490
45,2012-03-08,400500,402000,396500,401500,379654,151711721500,-0.5,-32920441000.0,-213988500.0,41183380000.0,-8048950500.0,22575.0,379654.0,5.95,A005490
46,2012-03-09,402000,405000,397500,399000,242963,97008765000,-0.62,-33005726500.0,-1796110500.0,28932028000.0,5869809000.0,13589.0,242963.0,5.59,A005490
47,2012-03-12,400500,400500,393000,395500,191716,75707660500,-0.88,-15060054000.0,-2176572500.0,11188815500.0,6047811000.0,3102.0,191716.0,1.62,A005490
48,2012-03-13,393500,398500,393500,397000,139679,55449178500,0.38,-2374288500.0,-1864164000.0,-1576409000.0,5814861500.0,2075.0,139679.0,1.49,A005490
49,2012-03-14,400000,401000,398000,398500,203801,81382213000,0.38,-5775476500.0,92035500.0,553665000.0,5129776000.0,13268.0,203801.0,6.51,A005490
50,2012-03-15,402000,402000,395500,396500,173639,69241819500,-0.5,-27022098000.0,-30794000.0,8731874500.0,18321017500.0,9163.0,173639.0,5.28,A005490
51,2012-03-16,397500,401000,393500,395000,149375,59193338500,-0.38,-25263973500.0,155257500.0,12463780000.0,12644936000.0,3259.0,149375.0,2.18,A005490
52,2012-03-19,398000,401000,396000,397500,110163,43827931000,0.63,-9429478500.0,-151761500.0,-368747500.0,9949987500.0,502.0,110163.0,0.46,A005490
53,2012-03-20,401000,405000,396000,399000,195550,78214906500,0.38,-15756933500.0,-205009000.0,6327232500.0,9634710000.0,4669.0,195550.0,2.39,A005490
54,2012-03-21,396000,396500,387500,390000,305068,119064918000,-2.26,-15431480000.0,254897000.0,30782442500.0,-15605859500.0,11938.0,305068.0,3.91,A005490
55,2012-03-22,390500,390500,381000,385000,238277,91542073500,-1.28,-22288272000.0,442533500.0,14267122000.0,7578616500.0,5817.0,238277.0,2.44,A005490
56,2012-03-23,380500,384000,380500,383500,137634,52582549500,-0.39,-14260634000.0,184273000.0,17132699000.0,-3056338000.0,6057.0,137634.0,4.4,A005490
57,2012-03-26,382500,384500,377000,381500,170308,64711949000,-0.52,-12434785500.0,-479715000.0,12739467500.0,175033000.0,6350.0,170308.0,3.73,A005490
58,2012-03-27,385000,387500,382500,385000,163688,63086707000,0.92,-12957258000.0,-216055000.0,-969492000.0,14142805000.0,9517.0,163688.0,5.81,A005490
59,2012-03-28,387500,387500,378000,382000,173052,65883485898,-0.78,-18384492000.0,-654536500.0,12735970500.0,6303058000.0,10308.0,173052.0,5.96,A005490
60,2012-03-29,378500,379000,375000,377500,142636,53695859000,-1.18,-23622002500.0,-829447500.0,18057052000.0,6394398000.0,7258.0,142636.0,5.09,A005490
61,2012-03-30,377500,383500,375500,380000,175681,66829814664,0.66,-10140936500.0,43898500.0,1393838500.0,8703199500.0,15814.0,175681.0,9.0,A005490
62,2012-04-02,379500,387000,379500,382500,148223,56934305500,0.66,11723820000.0,579605000.0,-670503500.0,-11632921500.0,6793.0,148223.0,4.58,A005490
63,2012-04-03,383500,386000,377500,380500,194800,74061573000,-0.52,-13906439500.0,-419182000.0,15988154500.0,-1662533000.0,5208.0,194800.0,2.67,A005490
64,2012-04-04,380500,380500,370500,375000,256468,95647523000,-1.45,-37143636000.0,92219500.0,22682467500.0,14368949000.0,17983.0,256468.0,7.01,A005490
65,2012-04-05,376500,376500,370500,372000,125706,46723001500,-0.8,-7382982500.0,165162000.0,7668621500.0,-450801000.0,3744.0,125706.0,2.98,A005490
66,2012-04-06,372500,374000,367000,372500,93071,34623444000,0.13,-11768816500.0,65471500.0,4023509500.0,7679835500.0,1301.0,93071.0,1.4,A005490
67,2012-04-09,371000,371000,365500,366500,128174,46989785000,-1.61,-1774097500.0,280771000.0,7813351500.0,-6320025000.0,2895.0,128174.0,2.26,A005490
68,2012-04-10,369500,373500,368000,371500,155289,57734259500,1.36,-1255116500.0,36876000.0,-8133915000.0,9352155500.0,1428.0,155289.0,0.92,A005490
69,2012-04-12,377000,379000,372000,376500,218885,82494180000,1.35,14398356000.0,151982000.0,-10385858000.0,-4164480000.0,5616.0,218885.0,2.57,A005490
70,2012-04-13,383000,386000,380500,384500,242873,93285771500,2.12,19329828000.0,614079500.0,-17993721000.0,-1950186500.0,6990.0,242873.0,2.88,A005490
71,2012-04-16,382000,382000,375000,381000,116922,44274700000,-0.91,-6795316500.0,-125235000.0,1995298500.0,4925253000.0,3879.0,116922.0,3.32,A005490
72,2012-04-17,383000,383500,378000,381000,118817,45198327500,0.0,-1980919500.0,-98707000.0,-2504347000.0,4583973500.0,20448.0,118817.0,17.21,A005490
73,2012-04-18,383500,384500,379500,380500,131645,50241885500,-0.13,6158612500.0,114150000.0,-2249906500.0,-4022856000.0,4721.0,131645.0,3.59,A005490
74,2012-04-19,380500,382500,378500,380000,71093,27078871000,-0.13,-2701974000.0,50050500.0,-3172566000.0,5824489500.0,3953.0,71093.0,5.56,A005490
75,2012-04-20,381500,383000,374500,378500,79394,29940528500,-0.39,1301942000.0,-168163000.0,-1979447500.0,845668500.0,6613.0,79394.0,8.33,A005490
76,2012-04-23,382000,388500,376000,384500,255577,98501520000,1.59,23026525500.0,58925000.0,-24295873500.0,1210423000.0,12340.0,255577.0,4.83,A005490
77,2012-04-24,378000,387000,378000,383500,195820,75134795181,-0.26,-14580938500.0,853814000.0,-9414568000.0,23141692500.0,6601.0,195820.0,3.37,A005490
78,2012-04-25,384000,386500,381000,384500,142895,54827287000,0.26,-5415322000.0,153154500.0,-5912569000.0,11174736500.0,10696.0,142895.0,7.49,A005490
79,2012-04-26,380500,383500,379500,382000,109408,41728202000,-0.65,-904432000.0,3855000.0,-326759000.0,1227336000.0,15879.0,109408.0,14.51,A005490
80,2012-04-27,382000,383000,375000,378500,181128,68292185500,-0.92,-7442742500.0,-156744500.0,3203414000.0,4396073000.0,9007.0,181128.0,4.97,A005490
81,2012-04-30,381500,381500,375000,375500,130728,49115793000,-0.79,-4859713500.0,751000.0,-2247218500.0,7106181000.0,3386.0,130728.0,2.59,A005490
82,2012-05-02,376000,377000,371500,376000,174078,65195602500,0.13,-12033770000.0,-116029000.0,593068500.0,11556730500.0,4392.0,174078.0,2.52,A005490
83,2012-05-03,373000,376000,372000,374000,97319,36305609500,-0.53,-348863000.0,-82793000.0,4519463500.0,-4087807500.0,5949.0,97319.0,6.11,A005490
84,2012-05-04,376500,376500,370000,374000,143803,53558797000,0.0,1667997500.0,62027500.0,2466176000.0,-4196201000.0,12035.0,143803.0,8.37,A005490
85,2012-05-07,374000,375500,369000,370000,207246,77094683500,-1.07,17408300500.0,-945925000.0,-750839000.0,-15711536500.0,6622.0,207246.0,3.2,A005490
86,2012-05-08,375000,381500,371500,379500,281067,106386537500,2.57,41883382000.0,-2926060500.0,-9624336000.0,-29332985500.0,4466.0,281067.0,1.59,A005490
87,2012-05-09,381500,389500,379500,385000,326201,126094745500,1.45,47664777500.0,4872065500.0,-21932745000.0,-30604098000.0,41436.0,326201.0,12.7,A005490
88,2012-05-10,385000,387500,380500,381500,167807,64254801000,-0.91,-844552500.0,441939000.0,1058021500.0,-655408000.0,32684.0,167807.0,19.48,A005490
89,2012-05-11,383000,388000,377000,384500,229415,88391172500,0.79,28130043500.0,431778000.0,-16697229500.0,-11864592000.0,6876.0,229415.0,3.0,A005490
90,2012-05-14,382000,387500,379500,381000,167817,64247012500,-0.91,14407304000.0,-205480000.0,-4411684000.0,-9790140000.0,43201.0,167817.0,25.74,A005490
91,2012-05-15,384000,388000,381000,381000,251574,96798232000,0.0,22691950500.0,-3670405500.0,-24055098500.0,5033553500.0,10068.0,251574.0,4.0,A005490
92,2012-05-16,380000,380500,371000,372500,193788,72525911000,-2.23,10403042500.0,693412500.0,4166813000.0,-15263268000.0,13848.0,193788.0,7.15,A005490
93,2012-05-17,373000,376000,366000,368500,248944,91820738000,-1.07,-9717409000.0,-298934500.0,10420917000.0,-404573500.0,28387.0,248944.0,11.4,A005490
94,2012-05-18,368000,368000,357000,358500,200980,72077558000,-2.71,-5230455500.0,-188778500.0,4998728000.0,420506000.0,15791.0,200980.0,7.86,A005490
