,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,37600,38200,37600,38000,145534,5518705000,-0.26,569675500.0,0.0,952185000.0,-1521860500.0,3151.0,145534.0,2.17,A011790
1,2012-01-03,38200,39950,38200,39950,381569,15051077200,5.13,5247070600.0,76316500.0,-887669600.0,-4435717500.0,2140.0,381569.0,0.56,A011790
2,2012-01-04,39800,40450,39350,39450,205678,8175224550,-1.25,-565691150.0,78660300.0,1091453600.0,-604422750.0,590.0,205678.0,0.29,A011790
3,2012-01-05,39300,41350,39250,41200,417897,17004351050,4.44,9946955500.0,32878500.0,-7305044200.0,-2674789800.0,12310.0,417897.0,2.95,A011790
4,2012-01-06,40950,41300,39900,41050,269637,10934618050,-0.36,3642941350.0,-70987000.0,-1015250850.0,-2556703500.0,12910.0,269637.0,4.79,A011790
5,2012-01-09,40800,40950,39850,40450,201313,8096699150,-1.46,-669641000.0,-163780000.0,1169722850.0,-336301850.0,3300.0,201313.0,1.64,A011790
6,2012-01-10,40850,41450,40550,41150,220656,9062715650,1.73,1989121950.0,127229000.0,-1500294950.0,-616056000.0,13690.0,220656.0,6.2,A011790
7,2012-01-11,41200,41900,40750,41000,241538,9994532200,-0.36,1752776000.0,-4325000.0,-1575041500.0,-173409500.0,5830.0,241538.0,2.41,A011790
8,2012-01-12,41500,45200,41500,43850,970604,42400565350,6.95,11871663000.0,407880000.0,-11957970500.0,-321572500.0,54220.0,970604.0,5.59,A011790
9,2012-01-13,44200,44300,42450,42900,395969,17064719350,-2.17,-2284618600.0,27944000.0,4394837700.0,-2138163100.0,25140.0,395969.0,6.35,A011790
10,2012-01-16,42300,43850,41650,43850,254363,10915295100,2.21,2910332500.0,367281500.0,-2056514000.0,-1221100000.0,12480.0,254363.0,4.91,A011790
11,2012-01-17,43900,45000,43800,44650,510898,22667417000,1.82,2271104200.0,-766778000.0,713450300.0,-2217776500.0,26810.0,510898.0,5.25,A011790
12,2012-01-18,44500,45000,44000,44000,247737,11032455000,-1.46,-1558223000.0,324520500.0,976686000.0,257016500.0,915.0,247737.0,0.37,A011790
13,2012-01-19,44050,44650,42900,42900,257811,11241063800,-2.5,-552961000.0,-343516500.0,210394500.0,686083000.0,1960.0,257811.0,0.76,A011790
14,2012-01-20,43350,44750,43300,44400,493351,21704957500,3.5,-6758872500.0,429079500.0,3210288000.0,3119505000.0,16480.0,493351.0,3.34,A011790
15,2012-01-25,44300,44400,42300,42500,484953,20914359800,-4.28,-7347665500.0,-276026000.0,9980722000.0,-2357030500.0,4690.0,484953.0,0.97,A011790
16,2012-01-26,42700,42900,41950,42350,423185,17931600150,-0.35,-6324412600.0,138238500.0,5354760350.0,831413750.0,5640.0,423185.0,1.33,A011790
17,2012-01-27,42800,46500,42750,46200,968818,43217400750,9.09,8734086900.0,230994000.0,-11337325000.0,2372244100.0,17720.0,968818.0,1.83,A011790
18,2012-01-30,45900,46650,45200,46650,658933,30382519450,0.97,4606856800.0,196403000.0,-624555300.0,-4178704500.0,31980.0,658933.0,4.85,A011790
19,2012-01-31,46500,49100,46000,48300,900331,43252212800,3.54,17080482700.0,-227944000.0,-12558104200.0,-4294434500.0,78120.0,900331.0,8.68,A011790
20,2012-02-01,48200,49300,47750,49000,486825,23599403700,1.45,1779441000.0,511920500.0,1747465000.0,-4038826500.0,15630.0,486825.0,3.21,A011790
21,2012-02-02,49300,50400,48600,49850,483262,23921912950,1.73,3544319200.0,-144931000.0,-1605858300.0,-1793529900.0,17920.0,483262.0,3.71,A011790
22,2012-02-03,49750,50800,48950,50600,439452,21966201900,1.5,7628037800.0,-150303500.0,-6260062400.0,-1217671900.0,17172.0,439452.0,3.91,A011790
23,2012-02-06,51500,52900,50500,52000,585283,30405150300,2.77,9587414300.0,180367300.0,-10191289300.0,423507700.0,41914.0,585283.0,7.16,A011790
24,2012-02-07,52000,52800,50500,50500,312286,16030463800,-2.88,-1892036200.0,358766700.0,-425740900.0,1959010400.0,18338.0,312286.0,5.87,A011790
25,2012-02-08,50500,54200,49850,52800,526009,27814734100,4.55,3081858650.0,-934658900.0,-5075243750.0,2928044000.0,8042.0,526009.0,1.53,A011790
26,2012-02-09,52500,53900,52400,53300,274385,14577375700,0.95,-1491003200.0,385835400.0,1597904800.0,-492737000.0,20747.0,274385.0,7.56,A011790
27,2012-02-10,53000,53700,50500,51700,511033,26393017000,-3.0,-2870082300.0,-1106030400.0,4251341400.0,-275228700.0,22122.0,511033.0,4.33,A011790
28,2012-02-13,51000,51700,49650,50200,587106,29423854200,-2.9,-12376324850.0,352952750.0,13785966350.0,-1762594250.0,7434.0,587106.0,1.27,A011790
29,2012-02-14,50000,52100,49850,51500,386803,19738566000,2.59,-498771900.0,225969700.0,-3545407500.0,3818209700.0,2528.0,386803.0,0.65,A011790
30,2012-02-15,51300,51900,50100,51100,358719,18152390200,-0.78,-291607100.0,-329967600.0,651808600.0,-30233900.0,1337.0,358719.0,0.37,A011790
31,2012-02-16,50200,50900,49000,49200,351161,17471544600,-3.72,-5631201400.0,-514575850.0,4869166600.0,1276610650.0,98.0,351161.0,0.03,A011790
32,2012-02-17,50200,50700,49500,50400,320961,16031999600,2.44,-1836569100.0,889851500.0,-216237400.0,1162955000.0,2690.0,320961.0,0.84,A011790
33,2012-02-20,51100,51500,49700,49900,220084,11091677600,-0.99,-3523694400.0,281688650.0,2597744900.0,644260850.0,1296.0,220084.0,0.59,A011790
34,2012-02-21,50200,50300,47200,48500,625885,30172844700,-2.81,-8220808000.0,-205146000.0,5615082500.0,2810871500.0,170.0,625885.0,0.03,A011790
35,2012-02-22,48600,49100,48050,48500,172205,8383418100,0.0,-776178500.0,127503000.0,-942937500.0,1591613000.0,120.0,172205.0,0.07,A011790
36,2012-02-23,48050,48500,47300,47750,167428,8028028250,-1.55,-1340197750.0,-180487000.0,-267046550.0,1787731300.0,620.0,167428.0,0.37,A011790
37,2012-02-24,48100,49100,48000,48700,227224,11044021100,1.99,-721208200.0,51340400.0,342422800.0,327445000.0,2620.0,227224.0,1.15,A011790
38,2012-02-27,48450,48450,46600,48000,296630,14038167400,-1.44,2562821500.0,-16662500.0,-2037882000.0,-508277000.0,2990.0,296630.0,1.01,A011790
39,2012-02-28,47900,48400,47000,47500,197218,9350942650,-1.04,-1331861000.0,-201137500.0,4224881000.0,-2691882500.0,6520.0,197218.0,3.31,A011790
40,2012-02-29,47800,49650,47800,49000,389405,19095200550,3.16,3201383500.0,70416000.0,-2204040500.0,-1067759000.0,25290.0,389405.0,6.49,A011790
41,2012-03-02,49300,49700,48550,49000,213977,10508500600,0.0,291421000.0,121266000.0,124164500.0,-536851500.0,3680.0,213977.0,1.72,A011790
42,2012-03-05,49050,49200,47200,47200,247417,11819649400,-3.67,-2716528100.0,0.0,3635750100.0,-919222000.0,130.0,247417.0,0.05,A011790
43,2012-03-06,47000,47650,45600,46400,325036,15001332150,-1.69,699112300.0,-1816632000.0,145118700.0,972401000.0,10.0,325036.0,0.0,A011790
44,2012-03-07,45200,47000,45200,46300,239148,11120415600,-0.22,-1102714600.0,71332000.0,448953600.0,582429000.0,4570.0,239148.0,1.91,A011790
45,2012-03-08,46600,48300,46500,48000,358575,17126753400,3.67,7726615500.0,-99887500.0,-6220408000.0,-1406320000.0,19510.0,358575.0,5.44,A011790
46,2012-03-09,48900,49150,47700,48900,397962,19380731700,1.88,5325105100.0,898060000.0,-4869502100.0,-1353663000.0,13380.0,397962.0,3.36,A011790
47,2012-03-12,49200,49200,46850,47350,338864,16178710850,-3.17,322528850.0,-58400900.0,275360750.0,-539488700.0,3390.0,338864.0,1.0,A011790
48,2012-03-13,47600,48100,46800,47200,304186,14403653400,-0.32,-2419175700.0,35865500.0,2046761350.0,336548850.0,860.0,304186.0,0.28,A011790
49,2012-03-14,48300,49450,47850,47850,523483,25521463400,1.38,-1442807400.0,124819200.0,-427207250.0,1745195450.0,9950.0,523483.0,1.9,A011790
50,2012-03-15,47500,48850,47350,47450,293312,14029571050,-0.84,-2393182000.0,-86029000.0,1555563250.0,923647750.0,2860.0,293312.0,0.98,A011790
51,2012-03-16,47850,48050,46700,47150,164276,7763437900,-0.63,-299352000.0,63259000.0,884831850.0,-648738850.0,3430.0,164276.0,2.09,A011790
52,2012-03-19,47100,48650,47100,47650,228327,10949016900,1.06,-1001144200.0,444889500.0,-152734800.0,708989500.0,9370.0,228327.0,4.1,A011790
53,2012-03-20,47650,48400,47300,47550,177488,8488691400,-0.21,-419268750.0,188690000.0,948942250.0,-718363500.0,13770.0,177488.0,7.76,A011790
54,2012-03-21,46950,47500,46350,46350,297460,13910582300,-2.52,-1100220450.0,-121830200.0,4554485650.0,-3332435000.0,6540.0,297460.0,2.2,A011790
55,2012-03-22,46050,46350,44800,45100,376164,17061116050,-2.7,-165915800.0,5229000.0,1072170800.0,-911484000.0,2090.0,376164.0,0.56,A011790
56,2012-03-23,44800,47150,44750,46850,236596,10914198100,3.88,1288262300.0,-93886750.0,-2735556050.0,1541180500.0,12200.0,236596.0,5.16,A011790
57,2012-03-26,46600,47400,45000,45000,287956,13156187850,-3.95,-3437611000.0,260314000.0,6122823500.0,-2945526500.0,4760.0,287956.0,1.65,A011790
58,2012-03-27,45550,45850,44950,45500,179093,8119969650,1.11,-1499126750.0,104212500.0,2010847350.0,-615933100.0,3020.0,179093.0,1.69,A011790
59,2012-03-28,45500,46000,44800,45100,177533,8005078400,-0.88,-460358700.0,-252286500.0,811191100.0,-98545900.0,4340.0,177533.0,2.44,A011790
60,2012-03-29,45200,45700,44800,45050,188610,8513430200,-0.11,-656026700.0,9943000.0,1000969200.0,-354885500.0,10530.0,188610.0,5.58,A011790
61,2012-03-30,44800,46850,44800,46600,297747,13732281800,3.44,4757952300.0,302121000.0,-5059376300.0,-697000.0,9100.0,297747.0,3.06,A011790
62,2012-04-02,47150,47150,46150,46250,97954,4556473150,-0.75,530684750.0,0.0,410667250.0,-941352000.0,10430.0,97954.0,10.65,A011790
