,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,27800,28300,27750,28100,509639,14312180000,3.31,6593288600.0,-83800000.0,-4927444600.0,-1582044000.0,18280.0,509639.0,3.59,A035250
1,2012-01-03,27750,28400,27750,28400,442804,12488473400,1.07,5311904500.0,558557000.0,-5619009000.0,-251452500.0,4060.0,442804.0,0.92,A035250
2,2012-01-04,28650,28650,27700,27900,329589,9235267900,-1.76,-2101998600.0,-149911000.0,335610600.0,1916299000.0,10800.0,329589.0,3.28,A035250
3,2012-01-05,27700,27950,26950,27250,582743,15922486950,-2.33,1659707750.0,-1600578000.0,3820846750.0,-3879976500.0,29460.0,582743.0,5.06,A035250
4,2012-01-06,27250,27450,26250,26700,714189,18945360000,-2.02,4279558000.0,-175360000.0,4579792200.0,-8683990200.0,42928.0,714189.0,6.01,A035250
5,2012-01-09,26700,26700,25700,25900,618307,16069867450,-3.0,-4381086600.0,25900000.0,5989606100.0,-1634419500.0,2970.0,618307.0,0.48,A035250
6,2012-01-10,26100,26700,25500,25900,928094,24218487650,0.0,-5540490400.0,21249500.0,2871289400.0,2647951500.0,18320.0,928094.0,1.97,A035250
7,2012-01-11,26000,26050,25100,25350,626156,15952408550,-2.12,-5280492450.0,-264691500.0,6892352950.0,-1347169000.0,9330.0,626156.0,1.49,A035250
8,2012-01-12,25400,25900,25300,25800,518823,13287305650,1.78,-2136126100.0,272227500.0,-953959400.0,2817858000.0,2310.0,518823.0,0.45,A035250
9,2012-01-13,25700,26550,25700,26450,569898,15000277800,2.52,1474326700.0,-225993000.0,-4231777950.0,2983444250.0,5650.0,569898.0,0.99,A035250
10,2012-01-16,26150,26400,25800,26400,380589,9897633450,-0.19,-2232633800.0,-293644000.0,682924200.0,1843353600.0,7630.0,380589.0,2.0,A035250
11,2012-01-17,26350,26750,26350,26600,341711,9106608150,0.76,1978610200.0,-16259000.0,-3783367200.0,1821016000.0,21580.0,341711.0,6.32,A035250
12,2012-01-18,26450,26450,25550,25900,654175,16947923700,-2.63,-1783346000.0,50257500.0,7036707500.0,-5303619000.0,17690.0,654175.0,2.7,A035250
13,2012-01-19,25950,26200,25850,25900,482636,12547763400,0.0,-146507800.0,-259500.0,622532800.0,-475765500.0,6680.0,482636.0,1.38,A035250
14,2012-01-20,25900,26300,25850,26300,491493,12818124600,1.54,874297500.0,-28680000.0,-2304160800.0,1458543300.0,14450.0,491493.0,2.94,A035250
15,2012-01-25,26500,26600,26100,26150,367816,9698619650,-0.57,594886600.0,-370408500.0,-897358300.0,672880200.0,3510.0,367816.0,0.95,A035250
16,2012-01-26,26150,26450,26000,26450,474704,12438972150,1.15,-3503712400.0,-196713000.0,537281800.0,3163143600.0,37850.0,474704.0,7.97,A035250
17,2012-01-27,26250,26350,26050,26250,340078,8906384500,-0.76,-1857880250.0,-24736000.0,1828808750.0,53807500.0,3510.0,340078.0,1.03,A035250
18,2012-01-30,26100,26200,25950,26200,328834,8575717550,-0.19,-2100403500.0,-20365000.0,444723500.0,1676045000.0,4520.0,328834.0,1.37,A035250
19,2012-01-31,26150,26350,26100,26350,466723,12252267850,0.57,-2689427000.0,104177000.0,-1541477100.0,4126727100.0,8620.0,466723.0,1.85,A035250
20,2012-02-01,26350,26800,26250,26650,550321,14632788150,1.14,-6014742750.0,-206852500.0,47923250.0,6173672000.0,12130.0,550321.0,2.2,A035250
21,2012-02-02,26900,26950,26300,26700,654242,17393551700,0.19,-3922074500.0,172751500.0,1159333600.0,2589989400.0,62970.0,654242.0,9.62,A035250
22,2012-02-03,26550,27000,26500,26850,429323,11504222800,0.56,1166873650.0,1341000.0,-5108578650.0,3940364000.0,10780.0,429323.0,2.51,A035250
23,2012-02-06,27300,27500,26900,27500,866616,23581590050,2.42,6012021500.0,11539500.0,-6368270000.0,344709000.0,26780.0,866616.0,3.09,A035250
24,2012-02-07,27200,28500,27200,28450,930968,26236670550,3.45,913595000.0,1368931000.0,-10284897700.0,8002371700.0,242630.0,930968.0,26.06,A035250
25,2012-02-08,28400,28500,27450,27700,376292,10535733000,-2.64,-2693794200.0,-358043500.0,632454800.0,2419382900.0,37370.0,376292.0,9.93,A035250
26,2012-02-09,27550,27700,26850,27400,382433,10397082950,-1.08,320356500.0,8715100.0,343916400.0,-672988000.0,13370.0,382433.0,3.5,A035250
27,2012-02-10,27400,27550,26600,26750,541677,14555753900,-2.37,-2940660500.0,29748000.0,3704705750.0,-793793250.0,11770.0,541677.0,2.17,A035250
28,2012-02-13,27050,27500,26900,27400,380373,10369066300,2.43,257409700.0,0.0,-2042630200.0,1785220500.0,107220.0,380373.0,28.19,A035250
29,2012-02-14,27100,27600,26950,27600,530215,14449885000,0.73,-303881400.0,-58525000.0,-1433032900.0,1795439300.0,153170.0,530215.0,28.89,A035250
30,2012-02-15,27350,27750,27300,27350,167914,4614175900,-0.91,-12173100.0,-12442000.0,-98838900.0,123454000.0,10720.0,167914.0,6.38,A035250
31,2012-02-16,27100,27650,27000,27600,406009,11147845600,0.91,-1652579100.0,-25550500.0,-2596838600.0,4274968200.0,87960.0,406009.0,21.66,A035250
32,2012-02-17,27400,27700,27250,27550,218763,6009783900,-0.18,173673800.0,22195500.0,-724503300.0,528634000.0,7780.0,218763.0,3.56,A035250
33,2012-02-20,27350,27900,27100,27400,377890,9963286900,-0.54,-1931498400.0,-6294500.0,1594400700.0,343392200.0,22050.0,377890.0,5.84,A035250
34,2012-02-21,27150,27550,26750,27150,310100,8387466600,-0.91,-978782700.0,-105509000.0,952266200.0,132025500.0,3330.0,310100.0,1.07,A035250
35,2012-02-22,26900,27350,26850,27000,379051,10245391500,-0.55,-617499000.0,-107472500.0,-135223400.0,860194900.0,40750.0,379051.0,10.75,A035250
36,2012-02-23,27200,27250,26800,27100,230487,6236859900,0.37,-282254400.0,0.0,-499102600.0,781357000.0,49180.0,230487.0,21.34,A035250
37,2012-02-24,26950,27100,26400,26600,426011,11315864150,-1.85,-939688100.0,269024500.0,4376340100.0,-3705676500.0,97230.0,426011.0,22.82,A035250
38,2012-02-27,26400,26900,26100,26200,297495,7848660150,-1.5,507247600.0,58914000.0,1287898500.0,-1854060100.0,44620.0,297495.0,15.0,A035250
39,2012-02-28,26000,26550,26000,26100,430492,11283929450,-0.38,653793900.0,21504500.0,1362162100.0,-2037460500.0,8490.0,430492.0,1.97,A035250
40,2012-02-29,26150,26250,25500,25800,849250,21843979850,-1.15,-7282337800.0,-102041500.0,6645422000.0,738957300.0,15060.0,849250.0,1.77,A035250
