,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,167000,169000,163000,165000,69969,11529619000,-1.49,-1094242500.0,-95472500.0,1363467500.0,-173752500.0,154.0,69969.0,0.22,A011780
1,2012-01-03,167000,171000,166000,169000,139612,23564350500,2.42,-1900132500.0,194784000.0,-1101679500.0,2807028000.0,747.0,139612.0,0.54,A011780
2,2012-01-04,170500,172000,165500,165500,128945,21718035500,-2.07,-2014264000.0,-703972500.0,2137107500.0,581129000.0,1459.0,128945.0,1.13,A011780
3,2012-01-05,165500,167000,158500,165500,217002,35578755500,0.0,3945061000.0,-681936500.0,-4331838000.0,1068713500.0,3506.0,217002.0,1.62,A011780
4,2012-01-06,165000,165000,159000,164500,170995,27654324000,-0.6,-2680846000.0,-94882500.0,4228948000.0,-1453219500.0,5685.0,170995.0,3.32,A011780
5,2012-01-09,162000,164000,160500,160500,87462,14099165000,-2.43,-1686148500.0,40611000.0,2582241000.0,-936703500.0,1925.0,87462.0,2.2,A011780
6,2012-01-10,160500,163000,159500,160500,138832,22408520500,0.0,-3383666500.0,662250500.0,5020552000.0,-2299136000.0,1861.0,138832.0,1.34,A011780
7,2012-01-11,161000,162000,148500,149000,603864,92528936500,-7.17,-37423986000.0,-1627583500.0,42510724500.0,-3459155000.0,4994.0,603864.0,0.83,A011780
8,2012-01-12,150000,152000,145500,150000,318929,47383207500,0.67,-14557758500.0,-511635500.0,14012828000.0,1056566000.0,12600.0,318929.0,3.95,A011780
9,2012-01-13,150500,152000,148500,148500,186744,27967187000,-1.0,-3834264500.0,168159000.0,5808296500.0,-2142191000.0,5191.0,186744.0,2.78,A011780
10,2012-01-16,145000,146500,139000,143500,455915,64790201500,-3.37,-11918190500.0,-511242500.0,15318786000.0,-2889353000.0,2417.0,455915.0,0.53,A011780
11,2012-01-17,144500,153000,144500,151000,428638,64380093000,5.23,-1450229500.0,343598000.0,3531916500.0,-2425285000.0,5396.0,428638.0,1.26,A011780
12,2012-01-18,151000,159000,149500,158000,461400,71734609000,4.64,13982413500.0,-652118000.0,-15926892500.0,2596597000.0,2641.0,461400.0,0.57,A011780
