,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,66700,67500,66000,66500,703387,46820093300,-0.3,-4193686100.0,685331800.0,6292666900.0,-2784312600.0,5491.0,703387.0,0.78,A000270
1,2012-01-03,67000,68100,67000,68100,1429497,96707283600,2.41,18174867800.0,-3391400.0,-35393918400.0,17222442000.0,1232.0,1429497.0,0.09,A000270
2,2012-01-04,68900,69200,68200,68700,1211701,83234666100,0.88,-639733500.0,1837848000.0,-31268973000.0,30070858500.0,5916.0,1211701.0,0.49,A000270
3,2012-01-05,69000,69200,68000,68400,1437926,98926434600,-0.44,27753677200.0,-900125100.0,-25534901100.0,-1318651000.0,44358.0,1437926.0,3.08,A000270
4,2012-01-06,68000,68400,66300,66900,1503386,100540490200,-2.19,-23312026900.0,-748557000.0,39123111400.0,-15062527500.0,19777.0,1503386.0,1.32,A000270
5,2012-01-09,67000,67100,65800,66600,1117945,74191670000,-0.45,-19568300300.0,-383009300.0,15933285900.0,4018023700.0,24874.0,1117945.0,2.22,A000270
6,2012-01-10,66600,68200,66600,68100,1341778,90955996400,2.25,19047529300.0,-603797100.0,-37202232100.0,18758499900.0,1600.0,1341778.0,0.12,A000270
7,2012-01-11,68200,68400,67400,67700,1020622,69224399600,-0.59,-11902907700.0,140120900.0,-3810962500.0,15573749300.0,5294.0,1020622.0,0.52,A000270
8,2012-01-12,68200,68600,67800,68600,1161274,79337909900,1.33,9156580200.0,3375389500.0,-29793013200.0,17261043500.0,14292.0,1161274.0,1.23,A000270
9,2012-01-13,68700,69400,67900,68600,1422242,97886385560,0.0,-11530407900.0,3493786500.0,-10448708700.0,18485330100.0,98634.0,1422242.0,6.94,A000270
10,2012-01-16,68400,68500,67100,68100,1199507,81354739800,-0.73,-3512175400.0,3315654600.0,2262918700.0,-2066397900.0,7010.0,1199507.0,0.58,A000270
11,2012-01-17,68800,69300,68000,68800,1380716,94655500800,1.03,-16722682000.0,-762047200.0,-8765895800.0,26250625000.0,22125.0,1380716.0,1.6,A000270
12,2012-01-18,68800,68800,66400,66800,4343121,291256848800,-2.91,-117560057700.0,-2904720000.0,126500063300.0,-6035285600.0,75363.0,4343121.0,1.74,A000270
