,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,12500,12500,12250,12400,981734,12131744700,-0.8,-2182906900.0,-255716500.0,1813093400.0,625530000.0,25130.0,981734.0,2.56,A024110
1,2012-01-03,12300,12550,12100,12200,4014720,49075760800,-1.61,-8116985200.0,-222630000.0,11490530200.0,-3150915000.0,140.0,4014720.0,0.0,A024110
2,2012-01-04,12150,12150,11400,11450,7220194,83885614100,-6.15,-17275070800.0,3372172600.0,29433052300.0,-15530154100.0,10.0,7220194.0,0.0,A024110
3,2012-01-05,11450,11500,11200,11300,3109128,35254489400,-1.31,-11494081000.0,-58792000.0,10440470700.0,1112402300.0,150.0,3109128.0,0.0,A024110
4,2012-01-06,11300,11400,11200,11300,1932571,21814886300,0.0,-3137069600.0,1003377000.0,3163648100.0,-1029955500.0,0.0,1932571.0,0.0,A024110
5,2012-01-09,11300,11400,11050,11200,1678402,18714511000,-0.88,-4227943300.0,-460716500.0,1578642800.0,3110017000.0,21260.0,1678402.0,1.27,A024110
6,2012-01-10,11250,11600,11250,11500,1817033,20846035160,2.68,6077730000.0,-231436500.0,-6070814500.0,224521000.0,0.0,1817033.0,0.0,A024110
7,2012-01-11,11650,11700,11500,11600,1733531,20129339400,0.87,817522000.0,-306254000.0,-6637672000.0,6126404000.0,2100.0,1733531.0,0.12,A024110
8,2012-01-12,11550,11650,11400,11600,1552200,17884620000,0.0,1304766400.0,66613500.0,4155219600.0,-5526599500.0,30.0,1552200.0,0.0,A024110
9,2012-01-13,11800,11850,11650,11700,1657503,19460577350,0.86,888887500.0,194259500.0,-757326300.0,-325820700.0,170.0,1657503.0,0.01,A024110
10,2012-01-16,11450,11750,11400,11650,964603,11136509650,-0.43,1794070500.0,36247500.0,-2567825500.0,737507500.0,0.0,964603.0,0.0,A024110
11,2012-01-17,11700,12000,11650,11950,4070006,48278277900,2.58,13399426500.0,562825700.0,3511887100.0,-17474139300.0,1220.0,4070006.0,0.03,A024110
12,2012-01-18,12000,12250,11900,12100,3345006,40461118200,1.26,8867937700.0,-182878500.0,-9780701200.0,1095642000.0,360.0,3345006.0,0.01,A024110
13,2012-01-19,12250,12350,12150,12350,2619681,32089166850,2.07,7750128450.0,-57806500.0,-10805114950.0,3112793000.0,250.0,2619681.0,0.01,A024110
14,2012-01-20,12400,12700,12300,12400,3082872,38467769300,0.4,3709073200.0,366709000.0,530780400.0,-4606562600.0,640.0,3082872.0,0.02,A024110
15,2012-01-25,12400,12500,12050,12250,1777620,21832945250,-1.21,-4530632250.0,-392836000.0,472986000.0,4450482250.0,500.0,1777620.0,0.03,A024110
16,2012-01-26,12300,12300,12100,12250,1184712,14461739100,0.0,-1218085250.0,-1103267500.0,66959550.0,2254393200.0,300.0,1184712.0,0.03,A024110
17,2012-01-27,12250,12650,12250,12650,2502483,31332108050,3.27,3195628350.0,97821000.0,-11277448350.0,7983999000.0,520.0,2502483.0,0.02,A024110
18,2012-01-30,12600,12600,12450,12550,1145576,14335450800,-0.79,-2359334850.0,301143000.0,-2321871150.0,4380063000.0,570.0,1145576.0,0.05,A024110
19,2012-01-31,12500,12700,12400,12650,1266390,15917830650,0.8,-1359041450.0,-1421903000.0,-1319109150.0,4100053600.0,280.0,1266390.0,0.02,A024110
20,2012-02-01,12750,12850,12650,12700,1751920,22331359050,0.4,1641039000.0,-758822200.0,-5247109800.0,4364893000.0,2180.0,1751920.0,0.12,A024110
21,2012-02-02,12950,13550,12900,13450,4576410,60863651950,5.91,14005358300.0,-1246531000.0,-22613260300.0,9854433000.0,2220.0,4576410.0,0.05,A024110
22,2012-02-03,13600,13950,13350,13900,2919141,40183837950,3.35,6076898500.0,86442000.0,-8759344000.0,2596003500.0,460.0,2919141.0,0.02,A024110
23,2012-02-06,14150,14300,14000,14000,1950684,27634838300,0.72,3642438500.0,595450500.0,-7238387500.0,3000498500.0,530.0,1950684.0,0.03,A024110
24,2012-02-07,14000,14150,13250,13650,2802923,37956190750,-2.5,-2443341600.0,293353000.0,1338056050.0,811932550.0,1190.0,2802923.0,0.04,A024110
25,2012-02-08,13500,13900,13350,13800,1816780,24796526050,1.1,-7263067500.0,166128000.0,1748159900.0,5348779600.0,7650.0,1816780.0,0.42,A024110
26,2012-02-09,13800,14600,13600,14450,2667397,37797627850,4.71,-1686098550.0,103525000.0,-11584230950.0,13166804500.0,390.0,2667397.0,0.01,A024110
27,2012-02-10,14350,14500,14100,14200,2079058,29585198550,-1.73,-8741223000.0,18147500.0,1099532000.0,7623543500.0,2390.0,2079058.0,0.11,A024110
28,2012-02-13,14100,14300,13800,13950,1424079,19872331400,-1.76,-1239714300.0,-197119000.0,4405889800.0,-2969056500.0,420.0,1424079.0,0.03,A024110
29,2012-02-14,13800,13950,13700,13850,1138724,15723764500,-0.72,-2678218500.0,157832000.0,1109838750.0,1410547750.0,160.0,1138724.0,0.01,A024110
30,2012-02-15,13800,13950,13700,13800,1382186,19059054800,-0.36,-2767791200.0,226875000.0,4708964200.0,-2168048000.0,620.0,1382186.0,0.04,A024110
31,2012-02-16,13650,13650,13150,13400,2176133,29090278200,-2.9,-3899609000.0,-248057500.0,5483731500.0,-1336065000.0,510.0,2176133.0,0.02,A024110
32,2012-02-17,13550,13750,13450,13500,1419815,19301440700,0.75,-581694000.0,1628997000.0,147979000.0,-1195282000.0,1250.0,1419815.0,0.09,A024110
33,2012-02-20,13500,13600,12800,13050,4119312,53187524250,-3.33,-3854489750.0,-899171000.0,11703551600.0,-6949890850.0,200.0,4119312.0,0.0,A024110
34,2012-02-21,12900,12900,12500,12750,3527570,44725850450,-2.3,-8755340750.0,-1015934000.0,11673686750.0,-1902412000.0,360.0,3527570.0,0.01,A024110
35,2012-02-22,12650,12750,12550,12700,1351922,17091650950,-0.39,-4991102200.0,86593850.0,2964517300.0,1939991050.0,130.0,1351922.0,0.01,A024110
36,2012-02-23,12650,12700,12550,12600,985258,12442457000,-0.79,-5502681500.0,82705600.0,2022876100.0,3397099800.0,130.0,985258.0,0.01,A024110
37,2012-02-24,12700,13000,12650,12950,1827849,23564674050,2.78,-4248963250.0,330336500.0,-916856450.0,4835483200.0,170.0,1827849.0,0.01,A024110
38,2012-02-27,12900,12900,12650,12650,961347,12218976750,-2.32,-93926450.0,-229092000.0,3512924400.0,-3189905950.0,240.0,961347.0,0.02,A024110
