,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2017-05-12,165000,171500,157000,162000,6368916,1050932532000,-1.82,32510827500.0,2906474000.0,247792536000.0,-283209837500.0,20417.0,6368916.0,0.32,A251270
1,2017-05-15,159000,165500,158000,160000,1504154,243203938090,-1.23,18227679000.0,3167019500.0,19177995500.0,-40572694000.0,14727.0,1504154.0,0.98,A251270
2,2017-05-16,161500,162500,156000,156000,1146762,181444241500,-2.5,-3951781000.0,-181293000.0,19170086000.0,-15037012000.0,92564.0,1146762.0,8.07,A251270
3,2017-05-17,153000,154500,142000,144000,2006418,293076793480,-7.69,-14850988000.0,-1405714500.0,44872987000.0,-28616284500.0,177366.0,2006418.0,8.84,A251270
4,2017-05-18,144000,149500,142000,148000,1587826,233733043000,2.78,-11564315500.0,-1877552500.0,-7236913000.0,20678781000.0,100308.0,1587826.0,6.32,A251270
5,2017-05-19,147500,149500,143500,143500,680357,99411942500,-3.04,-8690197500.0,-2719628500.0,17337546500.0,-5927720500.0,62144.0,680357.0,9.13,A251270
6,2017-05-22,143000,143500,138000,140000,1133489,158051332500,-2.44,-13637576000.0,-637810500.0,27698779500.0,-13423393000.0,177878.0,1133489.0,15.69,A251270
7,2017-05-23,141000,144000,139000,143500,634619,90412803000,2.5,1931548000.0,-103149000.0,-18294039500.0,16465640500.0,37977.0,634619.0,5.98,A251270
8,2017-05-24,145000,146000,143500,145000,473540,68546670500,1.05,801851000.0,-587855000.0,149437000.0,-363433000.0,29328.0,473540.0,6.19,A251270
9,2017-05-25,145500,146000,141000,144000,492961,70602910000,-0.69,-4129984500.0,-231297500.0,3878739000.0,482543000.0,157440.0,492961.0,31.94,A251270
10,2017-05-26,143500,143500,139500,142000,791714,111694852000,-1.39,3269009000.0,290097500.0,21613005500.0,-25172112000.0,266143.0,791714.0,33.62,A251270
11,2017-05-29,142000,147000,140500,147000,675099,97117344000,3.52,-1803756500.0,1429683500.0,-7319930000.0,7694003000.0,75979.0,675099.0,11.25,A251270
12,2017-05-30,147000,149500,146500,149500,576607,85494108500,1.7,6237357000.0,-156674500.0,-10756541500.0,4675859000.0,58374.0,576607.0,10.12,A251270
13,2017-05-31,150000,152000,148500,152000,1989706,301137915500,1.67,-23591827500.0,-5058042000.0,-29535401500.0,58185271000.0,381184.0,1989706.0,19.16,A251270
14,2017-06-01,152000,155000,150000,151500,405486,61780470000,-0.33,-1953118500.0,-951391500.0,-4211790000.0,7116300000.0,22322.0,405486.0,5.5,A251270
15,2017-06-02,152500,160000,152500,158500,1005171,158151193300,4.62,8921779000.0,-1875789000.0,-49369836500.0,42323846500.0,52861.0,1005171.0,5.26,A251270
