,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,30097,30544,29753,29925,332926,14559535350,0.0,1741039000.0,57313500.0,800602500.0,-2598955000.0,30050.0,332926.0,9.03,A003490
1,2012-01-03,30200,30888,30200,30750,572606,25569375700,2.76,4526417000.0,514565000.0,-6062090500.0,1021108500.0,4060.0,572606.0,0.71,A003490
2,2012-01-04,30957,30957,30303,30544,376736,16713692750,-0.67,3372027800.0,377353000.0,2017300.0,-3751398100.0,10.0,376736.0,0.0,A003490
3,2012-01-05,30544,30682,29787,30269,478889,21045496550,-0.9,4996434000.0,-12540000.0,-717968500.0,-4265925500.0,5060.0,478889.0,1.06,A003490
4,2012-01-06,29959,30338,29375,29684,382897,16546514550,-1.93,-1910456900.0,-121611500.0,6014101800.0,-3982033400.0,0.0,382897.0,0.0,A003490
5,2012-01-09,29409,29443,29099,29306,327611,13917397600,-1.27,-1358830500.0,12720000.0,5033501400.0,-3687390900.0,1100.0,327611.0,0.34,A003490
6,2012-01-10,29478,29959,29375,29512,469177,20147355380,0.7,-2786211700.0,24802500.0,5767345400.0,-3005936200.0,0.0,469177.0,0.0,A003490
7,2012-01-11,29650,29650,28962,29203,588567,24963879750,-1.05,-7211372550.0,159591200.0,11432838850.0,-4381057500.0,1240.0,588567.0,0.21,A003490
8,2012-01-12,29375,29478,29099,29478,371693,15843878200,0.94,-1627280400.0,8886000.0,3032056650.0,-1413662250.0,0.0,371693.0,0.0,A003490
9,2012-01-13,29581,30613,29581,30613,1170929,51664030750,3.85,14768666000.0,1416314000.0,-9364239500.0,-6820740500.0,140.0,1170929.0,0.01,A003490
10,2012-01-16,30234,31266,29959,30991,904034,40341744150,1.24,11212703150.0,902125000.0,-5272196400.0,-6842631750.0,400.0,904034.0,0.04,A003490
11,2012-01-17,31163,32436,31094,32333,1287833,59941665950,4.33,15319891150.0,1402544000.0,-15249906150.0,-1472529000.0,2020.0,1287833.0,0.16,A003490
12,2012-01-18,32058,32367,31714,31954,672894,31260753800,-1.17,-4805086300.0,250985500.0,5998362100.0,-1444261300.0,5170.0,672894.0,0.77,A003490
13,2012-01-19,32229,32814,32023,32401,591213,27832774950,1.4,2138544700.0,675861500.0,-7607626500.0,4793220300.0,16330.0,591213.0,2.76,A003490
14,2012-01-20,32539,33021,32401,32711,476126,22596919550,0.96,-2713351200.0,-221316500.0,-5387871850.0,8322539550.0,2170.0,476126.0,0.46,A003490
15,2012-01-25,32608,33021,32092,32539,420198,19890007900,-0.53,14809200.0,9475000.0,-2060513000.0,2036228800.0,170.0,420198.0,0.04,A003490
16,2012-01-26,32367,33709,32367,33433,868283,42089840000,2.75,10196870900.0,628615000.0,-11631426000.0,805940100.0,90.0,868283.0,0.01,A003490
17,2012-01-27,33640,35016,33468,34603,1307124,65852164200,3.5,7880008400.0,-1401176300.0,-24539238300.0,18060406200.0,20591.0,1307124.0,1.58,A003490
18,2012-01-30,34878,35153,34259,34809,671205,33929625450,0.6,-248266600.0,-140212050.0,-9022651450.0,9411130100.0,13799.0,671205.0,2.06,A003490
19,2012-01-31,34809,35910,34190,35016,702601,35976369650,0.59,2605322250.0,-1338385850.0,-10953446650.0,9686510250.0,7411.0,702601.0,1.05,A003490
20,2012-02-01,35084,37699,35016,37217,1340598,71553296100,6.29,8211938200.0,-559838000.0,-33553323300.0,25901223100.0,21620.0,1340598.0,1.61,A003490
21,2012-02-02,38386,39418,38042,38799,1468378,82939154600,4.25,7392251200.0,-92056800.0,-19120310800.0,11820116400.0,15099.0,1468378.0,1.03,A003490
22,2012-02-03,38799,38868,37423,38249,661394,36485031300,-1.42,916712600.0,-582424200.0,-5127485000.0,4793196600.0,5413.0,661394.0,0.82,A003490
23,2012-02-06,38799,38799,37286,38455,492394,27236926500,0.54,-4485518100.0,-51335600.0,-3049648100.0,7586501800.0,32214.0,492394.0,6.54,A003490
24,2012-02-07,38042,38593,37079,37492,488712,26798282100,-2.5,-1958335900.0,-33044400.0,641771000.0,1349609300.0,12904.0,488712.0,2.64,A003490
25,2012-02-08,37767,39556,37217,39281,901918,50871053000,4.77,7518382700.0,-645231500.0,-14210504500.0,7337353300.0,5948.0,901918.0,0.66,A003490
26,2012-02-09,39694,40450,38730,39556,632746,36291949900,0.7,6747989000.0,92702900.0,-149050100.0,-6691641800.0,10947.0,632746.0,1.73,A003490
27,2012-02-10,39006,39694,38730,39143,381608,21717261300,-1.04,-1292182400.0,-142646900.0,-1461045300.0,2895874600.0,2864.0,381608.0,0.75,A003490
