,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2016-11-18,36000,38950,33900,35900,20007019,722465636700,-0.28,-119770687100.0,-2142465050.0,192434633250.0,-70521481100.0,3271.0,20007019.0,0.02,A241560
1,2016-11-21,35800,36400,34400,34500,4133962,145407453900,-3.9,-17840426650.0,773243650.0,4001350700.0,13065832300.0,7085.0,4133962.0,0.17,A241560
2,2016-11-22,35400,37300,34500,36900,4432520,158361877600,6.96,4881662800.0,-869141150.0,-5544128200.0,1531606550.0,5757.0,4432520.0,0.13,A241560
3,2016-11-23,36250,36450,35300,35350,2028435,72919907000,-4.2,7152360050.0,-129220850.0,-6585763100.0,-437376100.0,1500.0,2028435.0,0.07,A241560
4,2016-11-24,35600,36350,35350,35400,1381254,49530482950,0.14,3798743200.0,-101611650.0,-7801159100.0,4104027550.0,0.0,1381254.0,0.0,A241560
5,2016-11-25,35700,36050,34600,34900,1331139,46799371298,-1.41,-1272845000.0,131045650.0,1045966650.0,95832700.0,0.0,1331139.0,0.0,A241560
6,2016-11-28,35000,35200,34400,35000,803050,28029942200,0.29,-4892227400.0,34462600.0,-5097115850.0,9954880650.0,800.0,803050.0,0.1,A241560
7,2016-11-29,34550,35150,34550,34850,668216,23290623650,-0.43,-2061850650.0,-44367500.0,-7809253800.0,9915471950.0,0.0,668216.0,0.0,A241560
8,2016-11-30,34850,35100,33450,33450,1004454,34434436150,-4.02,-4380727950.0,183842300.0,-2617028250.0,6813913900.0,1700.0,1004454.0,0.17,A241560
9,2016-12-01,33850,34800,33350,34100,749451,25494079000,1.94,2453486650.0,105075100.0,-5535978700.0,2977416950.0,0.0,749451.0,0.0,A241560
10,2016-12-02,34200,34250,32650,33400,932763,31026886200,-2.05,-2827978490.0,29883750.0,-3401433350.0,6199528090.0,32065.0,932763.0,3.44,A241560
11,2016-12-05,33500,35100,33400,34800,827683,28639803800,4.19,8160423050.0,-118324550.0,-11258811900.0,3216713400.0,0.0,827683.0,0.0,A241560
12,2016-12-06,34900,35400,34350,34900,442595,15425072400,0.29,1849714800.0,182339700.0,-3023948250.0,991893750.0,0.0,442595.0,0.0,A241560
13,2016-12-07,34800,35350,34300,34800,456565,15889201800,-0.29,-1573836900.0,2467600.0,-1582434350.0,3153803650.0,57547.0,456565.0,12.6,A241560
14,2016-12-08,35000,35700,34800,35600,675789,23931693600,2.3,3731234450.0,-25380600.0,-9059750100.0,5353896250.0,40307.0,675789.0,5.96,A241560
15,2016-12-09,35700,36500,35450,36400,762544,27551924600,2.25,3653033800.0,-243808950.0,-13894030250.0,10484805400.0,600.0,762544.0,0.08,A241560
16,2016-12-12,36600,37150,36050,37050,677993,24904581150,1.79,113612900.0,-255600650.0,-9041758750.0,9183746500.0,48660.0,677993.0,7.18,A241560
17,2016-12-13,36850,37000,35950,36000,430253,15640602650,-2.83,298333000.0,-56760750.0,366744400.0,-608316650.0,27837.0,430253.0,6.47,A241560
18,2016-12-14,36350,36400,35450,35550,326736,11678841450,-1.25,-1074693550.0,110913000.0,-784799100.0,1748579650.0,21318.0,326736.0,6.52,A241560
19,2016-12-15,35850,36250,35450,35550,294079,10517572950,0.0,-430219100.0,25645800.0,451853050.0,-47279750.0,18975.0,294079.0,6.45,A241560
20,2016-12-16,35800,36300,35400,35900,338946,12142687600,0.98,1863004050.0,-788119350.0,-827093450.0,-247791250.0,3128.0,338946.0,0.92,A241560
21,2016-12-19,35950,35950,34900,35000,328479,11581869500,-2.51,-450404850.0,-29911050.0,538897200.0,-58581300.0,30081.0,328479.0,9.16,A241560
22,2016-12-20,35050,35750,34650,34800,414926,14546980500,-0.57,-3917871400.0,-9107950.0,3775899350.0,151080000.0,6800.0,414926.0,1.64,A241560
23,2016-12-21,35200,35550,33900,34050,534943,18534730000,-2.16,-3098690500.0,528564250.0,2811725250.0,-241599000.0,300.0,534943.0,0.06,A241560
24,2016-12-22,34200,35200,34150,35000,518874,18108531400,2.79,1770054500.0,-310145800.0,-4536578900.0,3076670200.0,3109.0,518874.0,0.6,A241560
25,2016-12-23,34900,35450,34900,35300,228060,8008330000,0.86,-1159221650.0,10550600.0,-991539650.0,2140210700.0,15034.0,228060.0,6.59,A241560
26,2016-12-26,35100,35550,34800,35000,222362,7784471700,-0.85,-2059104600.0,-26426450.0,603316700.0,1482214350.0,0.0,222362.0,0.0,A241560
27,2016-12-27,34700,35050,34500,35050,256961,8921483750,0.14,-1522207250.0,86677700.0,471118150.0,964411400.0,2439.0,256961.0,0.95,A241560
28,2016-12-28,34850,35650,34700,35600,234724,8287952000,1.57,2161909900.0,143940100.0,-3592563500.0,1286713500.0,5907.0,234724.0,2.52,A241560
29,2016-12-29,35500,35950,35300,35850,143474,5113438200,0.7,2027962750.0,-4014150.0,-1317480650.0,-706467950.0,6058.0,143474.0,4.22,A241560
30,2017-01-02,35600,35800,35150,35400,169698,6010615900,-1.26,-1436766500.0,1449900.0,1009689200.0,425627400.0,17650.0,169698.0,10.4,A241560
31,2017-01-03,35300,35950,34950,34950,289959,10223350900,-1.27,-2237594100.0,76008500.0,1110222200.0,1051363400.0,5550.0,289959.0,1.91,A241560
32,2017-01-04,35300,36000,35050,35600,326835,11623705450,1.86,-1300933600.0,36520600.0,-2533206600.0,3797619600.0,248.0,326835.0,0.08,A241560
33,2017-01-05,35850,36150,35650,36000,356017,12790036271,1.12,834802300.0,128938000.0,-2504773450.0,1541033150.0,37389.0,356017.0,10.5,A241560
34,2017-01-06,36000,36950,36000,36450,489562,17923253482,1.25,2291185750.0,-712230000.0,-4361548550.0,2782592800.0,39563.0,489562.0,8.08,A241560
35,2017-01-09,36700,37000,36600,36850,378344,13951462700,1.1,2611624800.0,50641850.0,-5135797200.0,2473530550.0,32945.0,378344.0,8.71,A241560
36,2017-01-10,36750,37100,36250,37000,551778,20371264210,0.41,4320061850.0,-366348100.0,-5338497400.0,1384783650.0,44441.0,551778.0,8.05,A241560
37,2017-01-11,37200,38000,36800,36900,482966,17971647029,-0.27,2068221150.0,16024450.0,-1196549200.0,-887696400.0,25500.0,482966.0,5.28,A241560
38,2017-01-12,37150,37150,36000,36050,476870,17246860940,-2.3,-515811100.0,-146314850.0,1492026550.0,-829900600.0,44470.0,476870.0,9.33,A241560
39,2017-01-13,36250,36300,36000,36200,256722,9268675878,0.42,-2655655300.0,-38039600.0,114659100.0,2579035800.0,51728.0,256722.0,20.15,A241560
40,2017-01-16,36300,36550,35850,36550,364354,13193315310,0.97,-3183834150.0,-267800800.0,-3233973250.0,6685608200.0,1554.0,364354.0,0.43,A241560
41,2017-01-17,36550,36700,35900,36100,296441,10712194156,-1.23,-2709047950.0,96321050.0,1804839150.0,807887750.0,13240.0,296441.0,4.47,A241560
42,2017-01-18,36000,36050,35250,35250,339913,12051698400,-2.35,-3823882800.0,-238117800.0,2876038400.0,1185962200.0,8271.0,339913.0,2.43,A241560
43,2017-01-19,35250,35400,34800,34900,302177,10573859850,-0.99,-3713838700.0,199355950.0,2777020250.0,737462500.0,1163.0,302177.0,0.38,A241560
44,2017-01-20,35050,35750,34900,35650,297584,10570307150,2.15,4485658100.0,-181461250.0,-2440952000.0,-1863244850.0,9892.0,297584.0,3.32,A241560
45,2017-01-23,35750,35750,34450,34650,374972,13071770350,-2.81,-2761738050.0,254651550.0,3783630600.0,-1276544100.0,242.0,374972.0,0.06,A241560
46,2017-01-24,34650,34850,34100,34400,243454,8366477150,-0.72,-2099623000.0,50492800.0,1635760800.0,413369400.0,10772.0,243454.0,4.42,A241560
47,2017-01-25,34650,35150,34400,34700,329759,11466900350,0.87,-965035300.0,-16336250.0,-619039000.0,1600410550.0,268.0,329759.0,0.08,A241560
48,2017-01-26,35100,37850,35050,37450,1125650,41445377200,7.93,5862140200.0,-370725550.0,-13564308550.0,8072893900.0,5507.0,1125650.0,0.49,A241560
49,2017-01-31,37450,37650,36800,37000,286897,10665343650,-1.2,-170335000.0,5610100.0,-1150455950.0,1315180850.0,2284.0,286897.0,0.8,A241560
50,2017-02-01,36850,37100,36200,36750,303592,11149496950,-0.68,-516922000.0,-295189800.0,1328093600.0,-515981800.0,1807.0,303592.0,0.6,A241560
51,2017-02-02,36600,38200,36100,36200,560216,20861496450,-1.5,-2885953300.0,124766450.0,-1287246000.0,4048432850.0,27922.0,560216.0,4.98,A241560
52,2017-02-03,36400,37600,36150,37250,379194,14084939100,2.9,-572238050.0,-162827200.0,-4668066800.0,5403132050.0,16370.0,379194.0,4.32,A241560
53,2017-02-06,37500,38000,37150,37650,361782,13643854500,1.07,2736840650.0,-12391750.0,-2484497900.0,-239951000.0,4412.0,361782.0,1.22,A241560
54,2017-02-07,37800,38300,37100,37900,280490,10605542400,0.66,-905787150.0,-28048150.0,-3244383700.0,4178219000.0,11302.0,280490.0,4.03,A241560
55,2017-02-08,37500,37800,37100,37500,324772,12129931800,-1.06,416462550.0,-7590000.0,239289600.0,-648162150.0,16998.0,324772.0,5.23,A241560
56,2017-02-09,37250,37450,35450,35850,614183,22134623600,-4.4,-341220800.0,53771600.0,4692891550.0,-4405442350.0,64129.0,614183.0,10.44,A241560
57,2017-02-10,36200,36700,35700,36100,449485,16282971850,0.7,219256950.0,127599300.0,-504250050.0,157393800.0,23671.0,449485.0,5.27,A241560
58,2017-02-13,36350,36400,35400,35500,382714,13643113050,-1.66,-727927250.0,28550000.0,5492506850.0,-4793129600.0,32003.0,382714.0,8.36,A241560
59,2017-02-14,35700,36250,35250,35900,385727,13839242850,1.13,229142850.0,-14964050.0,156509450.0,-370688250.0,11952.0,385727.0,3.1,A241560
60,2017-02-15,36150,37150,35900,36850,633872,23208340000,2.65,3040566400.0,-250992900.0,-2825319300.0,35745800.0,46.0,633872.0,0.01,A241560
61,2017-02-16,35850,36000,34650,35400,1489517,52543894750,-3.93,-20145450.0,-228197950.0,9208703650.0,-8960360250.0,52331.0,1489517.0,3.51,A241560
62,2017-02-17,35500,35900,35200,35650,272106,9690032600,0.71,927919000.0,15802350.0,-1682710750.0,738989400.0,546.0,272106.0,0.2,A241560
63,2017-02-20,35650,35650,35100,35200,255590,9010733250,-1.26,-405778150.0,-97292400.0,660469850.0,-157399300.0,5021.0,255590.0,1.96,A241560
64,2017-02-21,35100,35450,35100,35250,302835,10677015300,0.14,-1883923050.0,-110129850.0,2114774350.0,-120721450.0,6252.0,302835.0,2.06,A241560
65,2017-02-22,35400,36150,35250,35850,321454,11502133350,1.7,522228650.0,4593200.0,-3144014850.0,2617193000.0,7359.0,321454.0,2.29,A241560
66,2017-02-23,35900,36150,35400,35650,314634,11216078975,-0.56,-2367659450.0,-368833700.0,1225123250.0,1511369900.0,969.0,314634.0,0.31,A241560
67,2017-02-24,35500,35500,35050,35300,384796,13557870412,-0.98,-5600387850.0,-182153450.0,1583963550.0,4198577750.0,20733.0,384796.0,5.39,A241560
68,2017-02-27,35400,35950,35200,35900,273379,9775766950,1.7,57782800.0,0.0,-3697787000.0,3640004200.0,4597.0,273379.0,1.68,A241560
69,2017-02-28,35650,36950,35500,36900,550678,20089400046,2.79,5882599050.0,-214540000.0,-9047405400.0,3379346350.0,20262.0,550678.0,3.68,A241560
70,2017-03-02,37800,37800,36250,36300,584725,21575106000,-1.63,-2774758300.0,-87150450.0,-571954550.0,3433863300.0,34032.0,584725.0,5.82,A241560
71,2017-03-03,36200,36200,35600,35950,327058,11748347200,-0.96,-1548441400.0,-86128750.0,148868700.0,1485701450.0,7847.0,327058.0,2.4,A241560
72,2017-03-06,35850,36300,35600,36050,121508,4383486750,0.28,27390200.0,-49023400.0,-542218000.0,563851200.0,5089.0,121508.0,4.19,A241560
73,2017-03-07,36100,37200,35900,36900,411346,14966258800,2.36,2446646200.0,-1091941750.0,-5088092650.0,3733388200.0,8950.0,411346.0,2.18,A241560
74,2017-03-08,36900,37000,36400,36500,249673,9135788850,-1.08,-169052650.0,-153008350.0,-453516850.0,775577850.0,19723.0,249673.0,7.9,A241560
75,2017-03-09,36500,36800,36100,36250,329282,11974644350,-0.68,-93170950.0,-24659400.0,-658439300.0,776269650.0,48791.0,329282.0,14.82,A241560
76,2017-03-10,36250,36800,36050,36650,207350,7560218100,1.1,190482000.0,-49686600.0,-991662800.0,850867400.0,3602.0,207350.0,1.74,A241560
77,2017-03-13,36650,36950,36400,36900,172560,6322544950,0.68,-590847000.0,0.0,-882193050.0,1473040050.0,26133.0,172560.0,15.14,A241560
78,2017-03-14,36800,37150,36500,37150,262164,9687950000,0.68,-321698600.0,-8097750.0,-3616547550.0,3946343900.0,4082.0,262164.0,1.56,A241560
79,2017-03-15,36950,37550,36850,37500,307607,11458353382,0.94,163037550.0,-25719300.0,-4641356050.0,4504037800.0,29702.0,307607.0,9.66,A241560
80,2017-03-16,37800,38700,37800,38600,631488,24094983350,2.93,1534907850.0,230039600.0,-11872605150.0,10107657700.0,42935.0,631488.0,6.8,A241560
81,2017-03-17,38250,40250,38150,40200,743734,29393985336,4.15,2512568450.0,-204605550.0,-10985452200.0,8677489300.0,12660.0,743734.0,1.7,A241560
82,2017-03-20,40400,40800,39550,39850,408966,16357777150,-0.87,-657359300.0,-38519200.0,-213363250.0,909241750.0,28546.0,408966.0,6.98,A241560
83,2017-03-21,39650,39850,38550,38600,523740,20440659850,-3.14,-4024913350.0,188758500.0,4359428550.0,-523273700.0,57361.0,523740.0,10.95,A241560
84,2017-03-22,37950,38300,37350,38000,491760,18623111500,-1.55,-4340211150.0,-72009500.0,1887174250.0,2525046400.0,36058.0,491760.0,7.33,A241560
85,2017-03-23,37800,38450,37750,38050,307058,11690908850,0.13,271786150.0,-10607500.0,1664748400.0,-1925927050.0,227.0,307058.0,0.07,A241560
86,2017-03-24,38100,38350,37500,37650,265593,10040462828,-1.05,-435066550.0,-50433500.0,386037250.0,99462800.0,42056.0,265593.0,15.83,A241560
87,2017-03-27,37750,37750,36000,36200,584304,21225139350,-3.85,-6509063700.0,-18134300.0,9625654250.0,-3098456250.0,463.0,584304.0,0.08,A241560
88,2017-03-28,36300,36750,36050,36350,385187,14026888600,0.41,-2259362100.0,10023950.0,2241863500.0,7474650.0,11156.0,385187.0,2.9,A241560
89,2017-03-29,36700,37000,36400,36850,327055,12031941066,1.38,-32037850.0,84167600.0,-1960103750.0,1907974000.0,4550.0,327055.0,1.39,A241560
90,2017-03-30,37200,37200,36550,37100,206329,7618843250,0.68,360049450.0,0.0,-780230950.0,420181500.0,4899.0,206329.0,2.37,A241560
91,2017-03-31,36950,37100,36500,36700,136500,5012198900,-1.08,-440997050.0,0.0,582237900.0,-141240850.0,1538.0,136500.0,1.13,A241560
92,2017-04-03,36650,36650,36000,36350,150914,5472926550,-0.95,18385350.0,-14540000.0,984920850.0,-988766200.0,6991.0,150914.0,4.63,A241560
93,2017-04-04,36350,36600,35800,35800,227896,8194148450,-1.51,-1769100850.0,90341700.0,2446124150.0,-767365000.0,3528.0,227896.0,1.55,A241560
94,2017-04-05,36200,36850,36150,36850,243073,8860821850,2.93,2513048150.0,9585250.0,-1799938050.0,-722695350.0,6194.0,243073.0,2.55,A241560
95,2017-04-06,36650,37400,36600,37250,253300,9408754700,1.09,1000130550.0,-134447800.0,-3175381750.0,2309699000.0,1167.0,253300.0,0.46,A241560
96,2017-04-07,37300,37550,36950,37450,180823,6738847600,0.54,79562400.0,14942550.0,-1857656550.0,1763151600.0,2247.0,180823.0,1.24,A241560
