,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,50034,50493,48810,49269,258681,16739911100,-1.08,-6366159000.0,2214078100.0,2139130400.0,2012950500.0,9098.0,258681.0,3.52,A034020
1,2012-01-03,49498,50799,49498,50263,311707,20488666500,2.02,-2752612800.0,-776469100.0,1021807800.0,2507274100.0,7563.0,311707.0,2.43,A034020
2,2012-01-04,50263,50569,49192,49651,361327,23464209700,-1.22,-8229013600.0,-168124100.0,4339849200.0,4057288500.0,9637.0,361327.0,2.67,A034020
3,2012-01-05,49957,50569,49575,49651,228778,14946108400,0.0,-3816047300.0,-120882000.0,605369000.0,3331560300.0,3376.0,228778.0,1.48,A034020
4,2012-01-06,49651,50110,48886,49345,173518,11157658200,-0.62,-2975282700.0,55502700.0,2796291900.0,123488100.0,5170.0,173518.0,2.98,A034020
5,2012-01-09,49192,49345,47815,48198,322256,20286579100,-2.33,-6256618000.0,53251000.0,3231797700.0,2971569300.0,3116.0,322256.0,0.97,A034020
6,2012-01-10,48963,50722,48886,50187,436194,28652932500,4.13,5914032600.0,-101894200.0,-7785373100.0,1973234700.0,824.0,436194.0,0.19,A034020
7,2012-01-11,50569,51488,49957,50646,440067,29392616800,0.91,11575112200.0,1033216500.0,-11841433300.0,-766895400.0,3388.0,440067.0,0.77,A034020
8,2012-01-12,50799,51335,49957,51258,219694,14549644700,1.21,-1081704100.0,-99200000.0,-1322612900.0,2503517000.0,3595.0,219694.0,1.64,A034020
9,2012-01-13,50799,51335,50799,51182,167730,11202710900,-0.15,3376352300.0,-22678000.0,-2490310100.0,-863364200.0,2774.0,167730.0,1.65,A034020
10,2012-01-16,50263,50416,49345,49804,234992,15305176100,-2.69,-3335413700.0,-119867700.0,2779014900.0,676266500.0,438.0,234992.0,0.19,A034020
11,2012-01-17,50110,50569,49498,49881,288105,18798485200,0.15,-2933477300.0,213582000.0,2211730200.0,508165100.0,3359.0,288105.0,1.17,A034020
12,2012-01-18,49881,50416,49498,50416,257875,16880388300,1.07,-85272900.0,-127283100.0,-1903424500.0,2115980500.0,1736.0,257875.0,0.67,A034020
13,2012-01-19,50799,52559,50416,51794,556430,37788084700,2.73,11970525800.0,123831200.0,-11952522100.0,-141834900.0,1963.0,556430.0,0.35,A034020
14,2012-01-20,51794,52712,51717,52406,397955,27188665200,1.18,5871790700.0,-79430300.0,-11631935900.0,5839575500.0,4859.0,397955.0,1.22,A034020
15,2012-01-25,52406,52788,50952,51258,371314,25053319400,-2.19,-8449437100.0,-124520000.0,3810662800.0,4763294300.0,4096.0,371314.0,1.1,A034020
16,2012-01-26,50952,52253,50952,51947,270423,18363579900,1.34,2731249800.0,-120829000.0,-6346378300.0,3735957500.0,2138.0,270423.0,0.79,A034020
17,2012-01-27,51947,52100,51182,51794,216172,14561998000,-0.29,-966256900.0,84664800.0,-1723466300.0,2605058400.0,2574.0,216172.0,1.19,A034020
18,2012-01-30,51335,51717,50416,51105,304364,20234878100,-1.33,-1340845100.0,97147800.0,3826409200.0,-2582711900.0,16371.0,304364.0,5.38,A034020
19,2012-01-31,51258,51794,50952,51641,272869,18340515000,1.05,-1573447100.0,78172700.0,-1590064800.0,3085339200.0,5691.0,272869.0,2.09,A034020
20,2012-02-01,52023,53630,51717,53324,780608,54329142300,3.26,18563566900.0,87711400.0,-15369972600.0,-3281305700.0,2976.0,780608.0,0.38,A034020
21,2012-02-02,54318,55083,53783,54854,965041,69091612700,2.87,25931186800.0,2413665500.0,-36392371000.0,8047518700.0,7762.0,965041.0,0.8,A034020
