,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,64669,66328,64437,64437,686,1155381000,-2.17,-45225000.0,0.0,519943000.0,-474718000.0,2.0,686.0,0.29,A004990
1,2012-01-03,64630,66752,64630,66636,1177,2019472000,3.41,447685000.0,-34529000.0,-804505000.0,391349000.0,17.0,1177.0,1.44,A004990
2,2012-01-04,66328,66868,65980,66559,821,1413718000,-0.12,-31983000.0,0.0,4303000.0,27680000.0,80.0,821.0,9.74,A004990
3,2012-01-05,66598,67331,66135,66482,931,1611170000,-0.12,-268124000.0,-26122000.0,-92292000.0,386538000.0,218.0,931.0,23.42,A004990
4,2012-01-06,66482,66482,64746,65749,954,1613551000,-1.1,-226153000.0,16948000.0,445011000.0,-235806000.0,10.0,954.0,1.05,A004990
5,2012-01-09,65054,65247,63858,64707,871,1449967000,-1.58,-694167000.0,-4986000.0,736679000.0,-37526000.0,11.0,871.0,1.26,A004990
6,2012-01-10,64862,65788,64823,64862,1422,2402077000,0.24,-173987000.0,0.0,-254182000.0,428169000.0,32.0,1422.0,2.25,A004990
7,2012-01-11,65903,65903,62894,63087,1915,3142262000,-2.74,-991677000.0,0.0,1638063000.0,-646386000.0,45.0,1915.0,2.35,A004990
8,2012-01-12,63858,63858,62161,62469,2022,3275699000,-0.98,33566000.0,-58286000.0,1036738000.0,-1012018000.0,120.0,2022.0,5.93,A004990
9,2012-01-13,62045,63820,62045,63048,1644,2694432000,0.93,532947000.0,0.0,17269000.0,-550216000.0,36.0,1644.0,2.19,A004990
10,2012-01-16,63434,63511,62392,62971,505,820547000,-0.12,-382114000.0,0.0,217825000.0,164289000.0,0.0,505.0,0.0,A004990
11,2012-01-17,63202,65132,62739,63202,2270,3731127000,0.37,77889000.0,0.0,528201000.0,-606090000.0,9.0,2270.0,0.4,A004990
12,2012-01-18,62701,63009,62122,63009,1682,2724478000,-0.31,-809728000.0,0.0,1107568000.0,-297840000.0,93.0,1682.0,5.53,A004990
13,2012-01-19,63009,64244,62778,63318,1215,1999733000,0.49,-206644000.0,0.0,-536009000.0,742653000.0,109.0,1215.0,8.97,A004990
14,2012-01-20,63125,65247,63125,65209,2208,3671926000,2.99,-1424954000.0,0.0,-1488705000.0,2913659000.0,88.0,2208.0,3.99,A004990
15,2012-01-25,65209,66559,64360,65980,1900,3249679000,1.18,-87785000.0,0.0,-849983000.0,937768000.0,145.0,1900.0,7.63,A004990
16,2012-01-26,65595,66521,65286,65479,885,1513004000,-0.76,32422000.0,-1697000.0,-363409000.0,332684000.0,76.0,885.0,8.59,A004990
17,2012-01-27,65595,66173,65093,65556,626,1062017000,0.12,-595478000.0,0.0,-4861000.0,600339000.0,6.0,626.0,0.96,A004990
18,2012-01-30,64939,66251,64514,65942,1045,1781217000,0.59,152467000.0,0.0,-593072000.0,440605000.0,9.0,1045.0,0.86,A004990
19,2012-01-31,66366,66675,65247,65595,1753,2985094000,-0.53,-543034000.0,-3421000.0,269464000.0,276991000.0,20.0,1753.0,1.14,A004990
20,2012-02-01,65170,66251,64553,65093,1358,2308238000,-0.76,-866094000.0,0.0,-41237000.0,907331000.0,9.0,1358.0,0.66,A004990
21,2012-02-02,64939,65980,64630,64746,1524,2569732000,-0.53,-1887487000.0,3360000.0,343964000.0,1540163000.0,4.0,1524.0,0.26,A004990
22,2012-02-03,64746,65363,64013,64707,762,1272807000,-0.06,-574184000.0,0.0,72574000.0,501610000.0,2.0,762.0,0.26,A004990
23,2012-02-06,64707,65402,64437,65402,867,1458699000,1.07,-117716000.0,-11721000.0,-442580000.0,572017000.0,94.0,867.0,10.84,A004990
24,2012-02-07,64823,67138,64823,65054,1252,2148877000,-0.53,-214737000.0,-83814000.0,-560102000.0,858653000.0,82.0,1252.0,6.55,A004990
25,2012-02-08,65054,66907,65054,66868,720,1239316000,2.79,-156307000.0,-1730000.0,-715460000.0,873497000.0,13.0,720.0,1.81,A004990
26,2012-02-09,66752,68643,65402,67370,2579,4531995000,0.75,725006000.0,0.0,-491152000.0,-233854000.0,146.0,2579.0,5.66,A004990
27,2012-02-10,66945,67794,66058,67370,1165,2017252000,0.0,123412000.0,0.0,-65919000.0,-57493000.0,129.0,1165.0,11.07,A004990
28,2012-02-13,66829,68296,66289,66289,838,1461375000,-1.6,-180481000.0,0.0,33992000.0,146489000.0,297.0,838.0,35.44,A004990
29,2012-02-14,66058,66636,65286,65402,1393,2370589000,-1.34,-1210162000.0,0.0,521571000.0,688591000.0,225.0,1393.0,16.15,A004990
30,2012-02-15,65402,66366,65325,65903,756,1288156000,0.77,-90086000.0,0.0,70843000.0,19243000.0,232.0,756.0,30.69,A004990
31,2012-02-16,65209,66444,64823,66405,1051,1797229000,0.76,366491000.0,0.0,-249726000.0,-116765000.0,219.0,1051.0,20.84,A004990
32,2012-02-17,65788,67987,65788,67833,964,1679120000,2.15,395841000.0,1758000.0,-431064000.0,33465000.0,37.0,964.0,3.84,A004990
33,2012-02-20,67794,69067,66328,66521,845,1468838000,-1.93,-544326000.0,0.0,455479000.0,88847000.0,71.0,845.0,8.4,A004990
34,2012-02-21,66173,67485,66019,67061,651,1133669000,0.81,106975000.0,0.0,-522825000.0,415850000.0,7.0,651.0,1.08,A004990
35,2012-02-22,66791,69260,66559,69067,1544,2745287000,2.99,1421727000.0,51762000.0,-676072000.0,-797417000.0,3.0,1544.0,0.19,A004990
36,2012-02-23,69415,69415,67447,69067,1187,2098882000,0.0,771487000.0,0.0,171156000.0,-942643000.0,191.0,1187.0,16.09,A004990
37,2012-02-24,69530,70958,68643,70032,981,1781835000,1.4,405464000.0,0.0,-262085000.0,-143379000.0,42.0,981.0,4.28,A004990
38,2012-02-27,70225,70495,68411,69569,777,1398282000,-0.66,162643000.0,0.0,85053000.0,-247696000.0,1.0,777.0,0.13,A004990
39,2012-02-28,68797,70071,68759,68797,599,1073260000,-1.11,12537000.0,0.0,206161000.0,-218698000.0,56.0,599.0,9.35,A004990
40,2012-02-29,68566,70804,68566,69800,1493,2708880000,1.46,-442086000.0,0.0,-476108000.0,918194000.0,3.0,1493.0,0.2,A004990
41,2012-03-02,72540,73312,69723,69800,1352,2504538000,0.0,-51684000.0,0.0,135672000.0,-83988000.0,62.0,1352.0,4.59,A004990
42,2012-03-05,69569,70341,69106,69299,532,959298000,-0.72,-193669000.0,0.0,5916000.0,187753000.0,2.0,532.0,0.38,A004990
43,2012-03-06,69993,71305,69955,70997,575,1055374000,2.45,256280000.0,0.0,-412102000.0,155822000.0,0.0,575.0,0.0,A004990
44,2012-03-07,70958,71537,67871,68180,2225,3979214000,-3.97,-750873000.0,0.0,1571289000.0,-820416000.0,34.0,2225.0,1.53,A004990
45,2012-03-08,67524,67717,65170,65363,4428,7536525000,-4.13,-2544942000.0,11945000.0,3155533000.0,-622536000.0,4.0,4428.0,0.09,A004990
46,2012-03-09,65865,65865,65170,65517,2523,4272401000,0.24,-3380774000.0,35649000.0,1632930000.0,1712195000.0,0.0,2523.0,0.0,A004990
47,2012-03-12,65440,65517,65093,65325,1400,2367935000,-0.29,-455969000.0,0.0,610148000.0,-154179000.0,2.0,1400.0,0.14,A004990
48,2012-03-13,65325,65942,65132,65672,2140,3631042000,0.53,-1802430000.0,-226859000.0,385036000.0,1644253000.0,36.0,2140.0,1.68,A004990
49,2012-03-14,65672,66289,65672,66096,1474,2517420000,0.65,-862971000.0,0.0,-71609000.0,934580000.0,93.0,1474.0,6.31,A004990
50,2012-03-15,65749,65980,65286,65363,1786,3031233000,-1.11,-497801000.0,0.0,503197000.0,-5396000.0,13.0,1786.0,0.73,A004990
51,2012-03-16,65363,65672,64939,65209,1694,2862640000,-0.24,-1804731000.0,0.0,1498956000.0,305775000.0,21.0,1694.0,1.24,A004990
52,2012-03-19,65209,66058,63974,64669,2128,3559606000,-0.83,-1486894000.0,0.0,1364567000.0,122327000.0,88.0,2128.0,4.14,A004990
53,2012-03-20,64360,64630,63550,64013,1597,2642366000,-1.01,-1354869000.0,-1650000.0,1287953000.0,68566000.0,4.0,1597.0,0.25,A004990
54,2012-03-21,63974,63974,63164,63241,978,1605619000,-1.21,-771349000.0,0.0,807451000.0,-36102000.0,31.0,978.0,3.17,A004990
55,2012-03-22,63550,63858,63125,63820,1268,2084213000,0.92,-714573000.0,0.0,220072000.0,494501000.0,18.0,1268.0,1.42,A004990
56,2012-03-23,63897,64244,63318,64051,549,909234000,0.36,-304547000.0,0.0,-136963000.0,441510000.0,24.0,549.0,4.37,A004990
57,2012-03-26,63743,64630,63395,64244,1005,1664536000,0.3,-592352000.0,0.0,92111000.0,500241000.0,47.0,1005.0,4.68,A004990
58,2012-03-27,64591,64669,63511,64206,1223,2027943000,-0.06,-471183000.0,0.0,521788000.0,-50605000.0,14.0,1223.0,1.14,A004990
59,2012-03-28,63665,64206,63665,64206,631,1045934000,0.0,-594500000.0,0.0,284256000.0,310244000.0,6.0,631.0,0.95,A004990
60,2012-03-29,64206,64206,63164,63550,956,1569720000,-1.02,-962581000.0,0.0,521050000.0,441531000.0,0.0,956.0,0.0,A004990
61,2012-03-30,63743,64360,63280,64013,1254,2078810000,0.73,-57655000.0,-33180000.0,-366901000.0,457736000.0,3.0,1254.0,0.24,A004990
62,2012-04-02,63511,64321,63395,63820,1743,2883695000,-0.3,-880501000.0,0.0,1440444000.0,-559943000.0,59.0,1743.0,3.38,A004990
63,2012-04-03,63357,64977,63280,64977,1243,2072757000,1.81,298045000.0,5036000.0,-809890000.0,506809000.0,34.0,1243.0,2.74,A004990
64,2012-04-04,65016,65016,64321,64900,1014,1702286000,-0.12,-68505000.0,0.0,-60829000.0,129334000.0,50.0,1014.0,4.93,A004990
65,2012-04-05,65016,65016,63858,63858,888,1474597000,-1.61,-926019000.0,0.0,535429000.0,390590000.0,7.0,888.0,0.79,A004990
66,2012-04-06,63704,64244,63627,64051,821,1359337000,0.3,-858366000.0,0.0,53348000.0,805018000.0,10.0,821.0,1.22,A004990
67,2012-04-09,64476,64553,63280,64437,1184,1963995000,0.6,601134000.0,0.0,-540375000.0,-60759000.0,8.0,1184.0,0.68,A004990
68,2012-04-10,64514,65402,63935,65325,1570,2648341000,1.38,680054000.0,6752000.0,-1356484000.0,669678000.0,35.0,1570.0,2.23,A004990
69,2012-04-12,65286,65788,64784,65286,1394,2362509000,-0.06,-180951000.0,0.0,-503179000.0,684130000.0,78.0,1394.0,5.6,A004990
70,2012-04-13,65556,65980,64591,65980,1120,1904286000,1.06,10095000.0,0.0,-460572000.0,450477000.0,95.0,1120.0,8.48,A004990
71,2012-04-16,65440,65440,63357,63665,1896,3138623000,-3.51,-1621364000.0,16482000.0,1821074000.0,-216192000.0,71.0,1896.0,3.74,A004990
72,2012-04-17,63974,64128,63434,64090,621,1028001000,0.67,145170000.0,0.0,-267654000.0,122484000.0,11.0,621.0,1.77,A004990
73,2012-04-18,63588,64167,63588,63665,939,1554146000,-0.66,-301141000.0,0.0,328628000.0,-27487000.0,4.0,939.0,0.43,A004990
74,2012-04-19,63434,63897,63434,63472,650,1072099000,-0.3,-68867000.0,0.0,144768000.0,-75901000.0,154.0,650.0,23.69,A004990
75,2012-04-20,63820,64244,63472,64206,843,1393796000,1.16,331089000.0,0.0,-592767000.0,261678000.0,35.0,843.0,4.15,A004990
76,2012-04-23,64283,64591,63974,64591,629,1049648000,0.6,298807000.0,0.0,-421378000.0,122571000.0,49.0,629.0,7.79,A004990
77,2012-04-24,63897,65363,63665,65286,1729,2891894000,1.08,893102000.0,0.0,-878271000.0,-14831000.0,59.0,1729.0,3.41,A004990
78,2012-04-25,65286,65286,64321,64553,609,1019850000,-1.12,-66767000.0,0.0,187133000.0,-120366000.0,35.0,609.0,5.75,A004990
79,2012-04-26,64244,65517,64167,64476,792,1330310000,-0.12,131584000.0,0.0,-460909000.0,329325000.0,96.0,792.0,12.12,A004990
80,2012-04-27,64476,65054,64321,64360,804,1346827000,-0.18,-107031000.0,0.0,31838000.0,75193000.0,54.0,804.0,6.72,A004990
81,2012-04-30,64630,66096,64167,66058,1424,2412960000,2.64,675797000.0,-17120000.0,-1266950000.0,608273000.0,58.0,1424.0,4.07,A004990
82,2012-05-02,66058,66328,65325,65595,1213,2071432000,-0.7,-316428000.0,211965000.0,-182607000.0,287070000.0,70.0,1213.0,5.77,A004990
83,2012-05-03,66251,66251,65440,65710,636,1085754000,0.18,72466000.0,0.0,31747000.0,-104213000.0,26.0,636.0,4.09,A004990
84,2012-05-04,66251,66251,65054,65325,1107,1873969000,-0.59,-311402000.0,0.0,187810000.0,123592000.0,68.0,1107.0,6.14,A004990
85,2012-05-07,65595,65595,63280,64206,2067,3439101000,-1.71,-1123453000.0,16850000.0,162745000.0,943858000.0,313.0,2067.0,15.14,A004990
86,2012-05-08,64206,65286,63665,65093,648,1088528000,1.38,577216000.0,65814000.0,-634501000.0,-8529000.0,1.0,648.0,0.15,A004990
87,2012-05-09,65054,65093,64206,64360,880,1471839501,-1.13,232667000.0,0.0,187599000.0,-420266000.0,260.0,880.0,29.55,A004990
88,2012-05-10,63974,64630,63048,63048,1338,2202610000,-2.04,-925490000.0,0.0,1344443000.0,-418953000.0,0.0,1338.0,0.0,A004990
89,2012-05-11,63048,63048,61505,62006,1482,2390337000,-1.65,405506000.0,-106228000.0,499441000.0,-798719000.0,0.0,1482.0,0.0,A004990
90,2012-05-14,61736,62006,60617,60656,1049,1660208000,-2.18,-363250000.0,4731000.0,765805000.0,-407286000.0,24.0,1049.0,2.29,A004990
91,2012-05-15,60154,61427,59884,59884,1464,2293109000,-1.27,215406000.0,0.0,478574000.0,-693980000.0,516.0,1464.0,35.25,A004990
92,2012-05-16,60270,60424,59190,60116,1205,1866905000,0.39,189613000.0,0.0,-272427000.0,82814000.0,27.0,1205.0,2.24,A004990
93,2012-05-17,59498,60694,57916,58186,2357,3574634000,-3.21,-737572000.0,0.0,1081712000.0,-344140000.0,0.0,2357.0,0.0,A004990
94,2012-05-18,57955,57955,55678,56064,2129,3110606000,-3.65,-404712000.0,0.0,144548000.0,260164000.0,0.0,2129.0,0.0,A004990
95,2012-05-21,56334,58726,56180,57993,1516,2268267000,3.44,-20012000.0,20607000.0,-308427000.0,307832000.0,4.0,1516.0,0.26,A004990
96,2012-05-22,58032,58919,56759,58379,1352,2032145000,0.67,-114106000.0,0.0,29367000.0,84739000.0,0.0,1352.0,0.0,A004990
