,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,284799,287181,282894,284323,65473,19584589500,0.17,2974711000.0,-404997500.0,-920638500.0,-1649075000.0,5194.0,65473.0,7.93,A011170
1,2012-01-03,288609,300040,288133,297182,175393,54571499000,4.52,15023707000.0,-698929500.0,-25274405500.0,10949628000.0,1643.0,175393.0,0.94,A011170
2,2012-01-04,300992,306231,299087,299563,183676,58260464000,0.8,4694540500.0,-1007084500.0,-20393611000.0,16706155000.0,4952.0,183676.0,2.7,A011170
3,2012-01-05,300992,306707,294325,304326,141073,44883094000,1.59,8640611500.0,-285247500.0,-14285442500.0,5930078500.0,4647.0,141073.0,3.29,A011170
4,2012-01-06,301945,303373,290515,294801,128704,39772126500,-3.13,-3821844500.0,718387000.0,11922099000.0,-8818641500.0,10240.0,128704.0,7.96,A011170
5,2012-01-09,292420,292420,285276,288609,108409,32782471000,-2.1,1009542500.0,500124500.0,10171157000.0,-11680824000.0,9505.0,108409.0,8.77,A011170
6,2012-01-10,290991,300040,290991,298135,116816,36335910000,3.3,7952579500.0,-472172000.0,-10727335000.0,3246927500.0,746.0,116816.0,0.64,A011170
7,2012-01-11,297182,301945,293848,299087,161349,50563128500,0.32,12277069500.0,2648080500.0,-1327113000.0,-13598037000.0,4368.0,161349.0,2.71,A011170
8,2012-01-12,296230,311470,293848,311470,227475,72670449000,4.14,16813847500.0,492801000.0,-24912543000.0,7605894500.0,5124.0,227475.0,2.25,A011170
9,2012-01-13,311470,315280,306231,309088,134442,43890288000,-0.76,5382918500.0,1362005500.0,-810292500.0,-5934631500.0,4017.0,134442.0,2.99,A011170
10,2012-01-16,304326,313851,304326,310993,131823,42956826000,0.62,2785025000.0,479641000.0,-6093102500.0,2828436500.0,2235.0,131823.0,1.7,A011170
11,2012-01-17,316232,325281,315756,324805,204977,69503682500,4.44,15482129000.0,1151251500.0,-27428232000.0,10794851500.0,3047.0,204977.0,1.49,A011170
12,2012-01-18,322900,332901,318613,330044,302477,103891367500,1.61,19802479000.0,-616801500.0,-7090793000.0,-12094884500.0,5830.0,302477.0,1.93,A011170
13,2012-01-19,330520,332901,323852,327662,180279,62157572000,-0.72,816606000.0,1736798000.0,-4068628500.0,1515224500.0,3915.0,180279.0,2.17,A011170
14,2012-01-20,329567,351475,329567,349570,255954,91818250000,6.69,10683661000.0,732677500.0,-25785272500.0,14368934000.0,7171.0,255954.0,2.8,A011170
15,2012-01-25,353380,360524,338616,345284,304314,110719903000,-1.23,-36494487000.0,-1553958500.0,15726271500.0,22322174000.0,15904.0,304314.0,5.23,A011170
16,2012-01-26,344807,353856,340045,345284,209351,75768155500,0.0,-4566973500.0,3320043500.0,8163034500.0,-6916104500.0,14001.0,209351.0,6.69,A011170
17,2012-01-27,341950,348141,340521,343379,168414,60766132500,-0.55,8432926000.0,1133494500.0,3903283000.0,-13469703500.0,1026.0,168414.0,0.61,A011170
18,2012-01-30,340997,350046,335759,336235,175814,63039117000,-2.08,-6573428500.0,-1001172000.0,2785268500.0,4789332000.0,4937.0,175814.0,2.81,A011170
19,2012-01-31,336235,352904,336235,349094,208654,76094453500,3.82,11399517000.0,2861833500.0,-12818368000.0,-1442982500.0,3608.0,208654.0,1.73,A011170
20,2012-02-01,347189,355761,343855,350999,157924,58263173000,0.55,7734973000.0,79334500.0,-1054981000.0,-6759326500.0,10820.0,157924.0,6.85,A011170
21,2012-02-02,359095,362905,354809,358142,268084,101153181500,2.04,-2962327500.0,-1866531500.0,-12241950000.0,17070809000.0,1981.0,268084.0,0.74,A011170
22,2012-02-03,358142,370049,353380,369096,192502,73499919000,3.06,11029971000.0,-195711000.0,-28860686000.0,18026426000.0,10947.0,192502.0,5.69,A011170
23,2012-02-06,376240,379098,352904,354809,254182,97618958500,-3.87,10787862500.0,-1478025000.0,11020903000.0,-20330740500.0,8901.0,254182.0,3.5,A011170
24,2012-02-07,355761,362905,350999,351951,153481,57298312500,-0.81,-9749646500.0,1701191000.0,9549462000.0,-1501006500.0,13458.0,153481.0,8.77,A011170
25,2012-02-08,354332,369573,353856,363381,204765,77740205000,3.25,16066151000.0,-1664288000.0,-5583654000.0,-8818209000.0,8922.0,204765.0,4.36,A011170
26,2012-02-09,365286,379098,360524,376240,231802,90095116500,3.54,5036246500.0,-1683963000.0,-11872357500.0,8520074000.0,2294.0,231802.0,0.99,A011170
27,2012-02-10,374335,375764,361000,365763,174468,67102315000,-2.78,-4532829500.0,-2456878500.0,8261415000.0,-1271707000.0,12190.0,174468.0,6.99,A011170
28,2012-02-13,365763,369573,353856,363858,186176,70300052000,-0.52,-2584173000.0,-3100458000.0,13124307000.0,-7439676000.0,2547.0,186176.0,1.37,A011170
29,2012-02-14,358619,364810,357190,358619,158033,59678264500,-1.44,1295524000.0,-2965619500.0,14822467000.0,-13152371500.0,2135.0,158033.0,1.35,A011170
30,2012-02-15,358619,368620,357190,364810,132853,50664788500,1.73,-5759676000.0,-469416500.0,-5718692500.0,11947785000.0,1017.0,132853.0,0.77,A011170
31,2012-02-16,356714,360524,349094,351475,188885,70050218500,-3.66,-13284556000.0,792383000.0,21715103000.0,-9222930000.0,1989.0,188885.0,1.05,A011170
32,2012-02-17,358619,361476,345760,349094,195616,72836366000,-0.68,-10307068500.0,-58723500.0,8702434000.0,1663358000.0,2046.0,195616.0,1.05,A011170
33,2012-02-20,362905,365286,357190,362429,198904,75199585000,3.82,12231567500.0,-2145879000.0,-30110637000.0,20024948500.0,3163.0,198904.0,1.59,A011170
34,2012-02-21,362429,365286,350522,356237,178823,66766945000,-1.71,-10630248500.0,-174796000.0,16515834500.0,-5710790000.0,28399.0,178823.0,15.88,A011170
35,2012-02-22,354809,356714,344807,355761,277670,101770868700,-0.13,-17065534500.0,1771657000.0,22399632500.0,-7105755000.0,12121.0,277670.0,4.37,A011170
36,2012-02-23,346712,350046,340997,340997,256690,92634114500,-4.15,-24464538500.0,85768000.0,44487269000.0,-20108498500.0,8810.0,256690.0,3.43,A011170
37,2012-02-24,342902,347665,333854,341950,204637,73035831500,0.28,-9687407500.0,385493000.0,13840812000.0,-4538897500.0,8385.0,204637.0,4.1,A011170
38,2012-02-27,341950,341950,324805,328615,265187,91710755000,-3.9,-3280249000.0,310848500.0,18526018000.0,-15556617500.0,40270.0,265187.0,15.19,A011170
39,2012-02-28,328139,338140,325757,338140,234170,81589348000,2.9,5656567500.0,952412000.0,3774090500.0,-10383070000.0,57852.0,234170.0,24.71,A011170
40,2012-02-29,340997,343855,337187,337187,178118,63729870000,-0.28,17187987000.0,-1195613500.0,-928445500.0,-15063928000.0,20692.0,178118.0,11.62,A011170
41,2012-03-02,340997,344331,335759,341950,161354,57545620000,1.41,11840661500.0,-2299146000.0,-2791869500.0,-6749646000.0,10971.0,161354.0,6.8,A011170
42,2012-03-05,339092,340521,323852,325757,326383,112592247000,-4.74,-38581490500.0,3167951000.0,55020796500.0,-19607257000.0,24178.0,326383.0,7.41,A011170
43,2012-03-06,323852,331472,320042,329567,294561,100759025500,1.17,8301345500.0,-2271488500.0,6361282000.0,-12391139000.0,36850.0,294561.0,12.51,A011170
44,2012-03-07,321947,326710,316708,322900,285930,96809201000,-2.02,13322486000.0,161533500.0,8998616500.0,-22482636000.0,103453.0,285930.0,36.18,A011170
45,2012-03-08,324328,327186,319566,326234,252891,86030688500,1.03,-739879000.0,-419179500.0,18475514000.0,-17316455500.0,34113.0,252891.0,13.49,A011170
46,2012-03-09,328615,329091,320995,323376,212834,72152856000,-0.88,-4303385500.0,910226500.0,14013857500.0,-10620698500.0,17473.0,212834.0,8.21,A011170
47,2012-03-12,320995,321947,302897,304326,522708,169870793000,-5.89,-65082010500.0,-625765500.0,68683159500.0,-2975383500.0,32290.0,522708.0,6.18,A011170
48,2012-03-13,306231,311470,303850,306707,359093,115729101836,0.78,-19094379500.0,-3113358500.0,29405001000.0,-7197263000.0,9301.0,359093.0,2.59,A011170
49,2012-03-14,313851,315280,309088,309565,280909,91782186500,0.93,399746000.0,-694523000.0,-10256470500.0,10551247500.0,8006.0,280909.0,2.85,A011170
50,2012-03-15,305278,312422,298135,302421,482485,153315439500,-2.31,-23050930000.0,2233959000.0,31766467000.0,-10949496000.0,5759.0,482485.0,1.19,A011170
51,2012-03-16,303373,309565,301945,306231,214097,68743646000,1.26,4633530500.0,-2396368500.0,-5898268500.0,3661106500.0,2821.0,214097.0,1.32,A011170
52,2012-03-19,308612,309088,301945,306707,163215,52194344500,0.16,-5548955000.0,218167500.0,1874222000.0,3456565500.0,1383.0,163215.0,0.85,A011170
53,2012-03-20,305755,312422,305278,307183,242388,78776843500,0.16,6348961500.0,-166777500.0,-13908032000.0,7725848000.0,306.0,242388.0,0.13,A011170
54,2012-03-21,305755,306707,297658,298135,271264,85677658000,-2.95,-25391321500.0,-4036617000.0,25589990500.0,3837948000.0,11485.0,271264.0,4.23,A011170
55,2012-03-22,298135,300516,287181,291943,337575,103073880000,-2.08,-29787105500.0,172954000.0,29599802500.0,14349000.0,11697.0,337575.0,3.47,A011170
56,2012-03-23,290991,306707,289562,305278,289595,91085379000,4.57,20109551500.0,866012000.0,-16642898000.0,-4332665500.0,6850.0,289595.0,2.37,A011170
57,2012-03-26,306231,309565,298611,301468,242092,76888368000,-1.25,-2499646500.0,1789631000.0,-5161896500.0,5871912000.0,6506.0,242092.0,2.69,A011170
58,2012-03-27,306707,308136,300516,302897,184416,58734918000,0.47,3235449500.0,282646500.0,-897024500.0,-2621071500.0,4851.0,184416.0,2.63,A011170
59,2012-03-28,302897,309088,301945,303373,238299,76684721000,0.16,21617432500.0,-1937079000.0,-12677419000.0,-7002934500.0,31630.0,238299.0,13.27,A011170
60,2012-03-29,305278,308612,301468,307660,308381,98845291500,1.41,11535631000.0,-29215000.0,214988500.0,-11721404500.0,21797.0,308381.0,7.07,A011170
61,2012-03-30,308612,322423,306707,320518,664517,221558883500,4.18,86475692500.0,-5437242500.0,-104284893500.0,23246443500.0,38254.0,664517.0,5.76,A011170
62,2012-04-02,323852,324328,317661,321947,242120,81773412000,0.45,20091052500.0,-828986500.0,-18231347000.0,-1030719000.0,8516.0,242120.0,3.52,A011170
63,2012-04-03,324805,325757,315756,319566,338889,113697792000,-0.74,12608307500.0,-488928000.0,6649411500.0,-18768791000.0,58313.0,338889.0,17.21,A011170
64,2012-04-04,318137,318613,300516,303373,471051,151240003000,-5.07,-55810870000.0,363060500.0,56773564500.0,-1325755000.0,7498.0,471051.0,1.59,A011170
65,2012-04-05,299087,307660,296230,303373,363309,114606453000,0.0,-25072225000.0,-847455500.0,27040950000.0,-1121269500.0,15933.0,363309.0,4.39,A011170
66,2012-04-06,302897,316708,301468,310993,311087,102058833000,2.51,14529871000.0,-570716500.0,-20827620500.0,6868466000.0,14276.0,311087.0,4.59,A011170
67,2012-04-09,309565,317185,302897,303373,300104,97867327500,-2.45,2613268000.0,-423334000.0,1259804000.0,-3449738000.0,11781.0,300104.0,3.93,A011170
68,2012-04-10,305278,317185,304802,311946,399604,130767158500,2.83,46283060500.0,-3265200500.0,-40735552000.0,-2282308000.0,11791.0,399604.0,2.95,A011170
69,2012-04-12,314803,320042,312422,319566,258968,86180314000,2.44,32050519500.0,-1803951500.0,-20643850000.0,-9602718000.0,10535.0,258968.0,4.07,A011170
70,2012-04-13,325281,325757,315280,319090,334568,112603519000,-0.15,2254186000.0,-734635000.0,-12676961500.0,11157410500.0,26108.0,334568.0,7.8,A011170
71,2012-04-16,314803,315756,310517,311946,141356,46319806500,-2.24,-10067664000.0,763521000.0,14046205000.0,-4742062000.0,615.0,141356.0,0.44,A011170
72,2012-04-17,313375,314803,302421,307183,276478,88908899500,-1.53,-14378590000.0,-1062285000.0,23214512000.0,-7773637000.0,1931.0,276478.0,0.7,A011170
73,2012-04-18,312422,312898,300040,302897,267354,85434654500,-1.4,-25472576000.0,-1523869500.0,23524122500.0,3472323000.0,1512.0,267354.0,0.57,A011170
74,2012-04-19,302421,306231,300992,305755,173875,55445819000,0.94,-6010582000.0,-76305500.0,3807586500.0,2279301000.0,4510.0,173875.0,2.59,A011170
75,2012-04-20,290515,297182,278132,280513,1042707,309850475500,-8.26,-106526380000.0,-1184703500.0,95477414500.0,12233669000.0,21199.0,1042707.0,2.03,A011170
76,2012-04-23,282894,288133,281942,283371,308219,92161562000,1.02,-1993392500.0,-1725496500.0,-25056384000.0,28775273000.0,5247.0,308219.0,1.7,A011170
77,2012-04-24,279084,281466,269559,270512,464130,133448736500,-4.54,-10191992500.0,1132318500.0,35817414000.0,-26757740000.0,16252.0,464130.0,3.5,A011170
78,2012-04-25,270512,273369,262416,267178,400844,112386683500,-1.23,-7224303000.0,603932500.0,12977400000.0,-6357029500.0,5785.0,400844.0,1.44,A011170
79,2012-04-26,270036,273369,264321,265273,249572,70163498000,-0.71,-777500000.0,34679000.0,-5150608500.0,5893429500.0,2933.0,249572.0,1.18,A011170
80,2012-04-27,266702,269559,252414,254796,520055,140598470500,-3.95,-26884138000.0,-1685082000.0,17114978500.0,11454241500.0,13037.0,520055.0,2.51,A011170
81,2012-04-30,258129,259082,242413,259082,650688,171039941500,1.68,-20079896500.0,-5352724500.0,8067913000.0,17364708000.0,9342.0,650688.0,1.44,A011170
82,2012-05-02,262416,273369,260034,271941,508360,143647677000,4.96,34378541000.0,-172426500.0,-14017784000.0,-20188330500.0,23628.0,508360.0,4.65,A011170
83,2012-05-03,271464,273846,267178,268131,266386,75330460000,-1.4,-4975597000.0,1024048500.0,16235418500.0,-12283870000.0,8147.0,266386.0,3.06,A011170
84,2012-05-04,264321,276227,260987,272893,359492,101450877000,1.78,17254608500.0,-210591500.0,-10477274000.0,-6566743000.0,15771.0,359492.0,4.39,A011170
85,2012-05-07,266702,270512,260034,260034,246474,68311683500,-4.71,4671945500.0,964570500.0,7678795000.0,-13315311000.0,8768.0,246474.0,3.56,A011170
86,2012-05-08,263844,269559,261463,264797,176358,49167481000,1.83,4873895500.0,-905045000.0,-5854923500.0,1886073000.0,11588.0,176358.0,6.57,A011170
87,2012-05-09,261939,263844,246223,247175,553871,146141216500,-6.65,-59613465000.0,-1564903500.0,64442275000.0,-3263906500.0,3033.0,553871.0,0.55,A011170
88,2012-05-10,245270,251462,237174,249080,442104,113857858000,0.77,-35484256000.0,-2914064000.0,23513827000.0,14884493000.0,580.0,442104.0,0.13,A011170
89,2012-05-11,247175,250985,239079,240032,396323,100976086000,-3.63,-40109468500.0,-472217500.0,22175896000.0,18405790000.0,9809.0,396323.0,2.48,A011170
90,2012-05-14,244794,245270,232888,237650,368002,92118379000,-0.99,-11880868500.0,214829000.0,8256480000.0,3409559500.0,9804.0,368002.0,2.66,A011170
91,2012-05-15,231935,234793,220982,228602,660325,157362549000,-3.81,-48790332500.0,256675000.0,39937649000.0,8596008500.0,1525.0,660325.0,0.23,A011170
92,2012-05-16,224315,233840,222410,224315,462634,110821809500,-1.88,-1119548500.0,-219543500.0,5214810500.0,-3875718500.0,2763.0,462634.0,0.6,A011170
93,2012-05-17,227173,235745,224792,233364,406053,98969373000,4.03,5833452000.0,-252487000.0,-5651885000.0,70920000.0,11600.0,406053.0,2.86,A011170
94,2012-05-18,227649,236698,226220,229078,403490,97923732500,-1.84,-3333511500.0,1341195000.0,-7016422500.0,9008739000.0,7645.0,403490.0,1.89,A011170
95,2012-05-21,234793,235745,225268,229554,338521,81348585500,0.21,-17632733000.0,76712000.0,13200310500.0,4355710500.0,15104.0,338521.0,4.46,A011170
96,2012-05-22,233840,235269,230030,234317,293765,71814983500,2.07,-4692300000.0,-16872000.0,-6174512500.0,10883684500.0,3503.0,293765.0,1.19,A011170
97,2012-05-23,232412,232888,225268,225744,203281,48628219000,-3.66,-6106115500.0,580265500.0,6714259500.0,-1188409500.0,6390.0,203281.0,3.14,A011170
98,2012-05-24,225268,228125,221458,223363,248470,58495754000,-1.05,-8111955000.0,-213855000.0,6203615500.0,2122194500.0,5521.0,248470.0,2.22,A011170
99,2012-05-25,224792,236222,224315,236222,408685,99816591500,5.76,9545678500.0,427005500.0,-24756054500.0,14783370500.0,16276.0,408685.0,3.98,A011170
100,2012-05-29,235745,255272,235269,250509,516664,133412095500,6.05,22282177000.0,7180910000.0,-50141939500.0,20678852500.0,19801.0,516664.0,3.83,A011170
101,2012-05-30,248604,249557,242413,242889,284116,72980691500,-3.04,-9059328000.0,1050264000.0,13196963500.0,-5187899500.0,32522.0,284116.0,11.45,A011170
102,2012-05-31,237174,238127,231459,238127,351398,86611224500,-1.96,-10125176500.0,308961000.0,19753094500.0,-9936879000.0,20166.0,351398.0,5.74,A011170
103,2012-06-01,235269,236698,229078,229078,284222,69011103500,-3.8,-8162030000.0,-960603000.0,17581994000.0,-8459361000.0,18458.0,284222.0,6.49,A011170
104,2012-06-04,217172,220982,209551,212409,529020,118955490500,-7.28,-38784738000.0,752690500.0,34075846500.0,3956201000.0,3019.0,529020.0,0.57,A011170
105,2012-06-05,214790,217172,207646,211456,444708,99125496000,-0.45,-15045659000.0,291773000.0,21060283500.0,-6306397500.0,8391.0,444708.0,1.89,A011170
106,2012-06-07,219553,220505,213361,213838,410820,93674793500,1.13,-8088353500.0,2239240000.0,12504022000.0,-6654908500.0,11623.0,410820.0,2.83,A011170
107,2012-06-08,221934,222887,213838,216219,400824,92067330000,1.11,17917662500.0,751519000.0,-8205596500.0,-10463585000.0,15404.0,400824.0,3.84,A011170
108,2012-06-11,221934,231935,219553,231459,415708,99140508000,7.05,26304879500.0,-247365000.0,-23703146000.0,-2354368500.0,23097.0,415708.0,5.56,A011170
109,2012-06-12,224315,227173,220982,222887,408760,96178773500,-3.7,-23567436000.0,153595000.0,36400918000.0,-12987077000.0,12035.0,408760.0,2.94,A011170
110,2012-06-13,225744,226220,214314,216219,537491,123069377000,-2.99,-34253493000.0,-145428500.0,28524319000.0,5874602500.0,4088.0,537491.0,0.76,A011170
111,2012-06-14,214314,219077,214314,217172,269440,61312664000,0.44,-1578741000.0,265107500.0,7600025500.0,-6286392000.0,56578.0,269440.0,21.0,A011170
112,2012-06-15,219077,221934,214790,217172,346095,79239755500,0.0,-6434461500.0,428990500.0,4921455500.0,1084015500.0,752.0,346095.0,0.22,A011170
113,2012-06-18,225744,229554,224315,224792,408844,97257352500,3.51,14427291500.0,-584779500.0,-18063085500.0,4220573500.0,11180.0,408844.0,2.73,A011170
114,2012-06-19,223363,230507,222887,226220,345371,82475322500,0.64,2761562500.0,263465000.0,-14203738500.0,11178711000.0,9733.0,345371.0,2.82,A011170
115,2012-06-20,230507,233840,228602,232412,423435,103014654500,2.74,15381354000.0,-1632886500.0,-34962367000.0,21213899500.0,2496.0,423435.0,0.59,A011170
116,2012-06-21,230983,232412,224315,224792,336996,80243619500,-3.28,-25146367500.0,-1471675500.0,18871703500.0,7746339500.0,10380.0,336996.0,3.08,A011170
117,2012-06-22,218124,220029,217172,219077,271518,62258769000,-2.54,-16997887000.0,-776874500.0,15851562000.0,1923199500.0,14540.0,271518.0,5.36,A011170
118,2012-06-25,220029,223363,217172,219077,219464,50825413500,0.0,1446933500.0,891807000.0,1604920500.0,-3943661000.0,3995.0,219464.0,1.82,A011170
119,2012-06-26,218600,225744,217172,219553,216757,50412859000,0.22,4113346500.0,257920500.0,5225373000.0,-9596640000.0,1116.0,216757.0,0.51,A011170
120,2012-06-27,220505,223839,218600,222887,209571,48755172000,1.52,8171794000.0,-69397000.0,-8988484500.0,886087500.0,4612.0,209571.0,2.2,A011170
121,2012-06-28,224792,225268,218124,219553,146709,33994581500,-1.5,-1195814000.0,345355500.0,6580603500.0,-5730145000.0,7010.0,146709.0,4.78,A011170
122,2012-06-29,217172,225744,216219,225268,192984,45069434500,2.6,865092000.0,-53758000.0,-6644668000.0,5833334000.0,13422.0,192984.0,6.95,A011170
123,2012-07-02,230030,233364,227173,227173,311540,75409889500,0.85,23133446000.0,2529349000.0,-29345180500.0,3682385500.0,10257.0,311540.0,3.29,A011170
124,2012-07-03,230030,240032,229554,238603,457328,113049336000,5.03,55271763000.0,959651500.0,-53546631000.0,-2684783500.0,17884.0,457328.0,3.91,A011170
125,2012-07-04,238603,242889,234793,234793,332106,83310623000,-1.6,12066992500.0,-242842000.0,-14227942500.0,2403792000.0,16254.0,332106.0,4.89,A011170
126,2012-07-05,235269,242413,234317,240508,326102,82202876500,2.43,32308013500.0,339832000.0,-26581060500.0,-6066785000.0,25946.0,326102.0,7.96,A011170
127,2012-07-06,243842,243842,236222,240984,248905,62780682000,0.2,18315003000.0,-82016000.0,-10471518000.0,-7761469000.0,11255.0,248905.0,4.52,A011170
128,2012-07-09,236222,238603,232888,233364,170696,42129992000,-3.16,-3263955000.0,849329000.0,-60288000.0,2474914000.0,13533.0,170696.0,7.93,A011170
129,2012-07-10,234317,235745,228125,229554,140866,34097629500,-1.63,-1913436000.0,-266879000.0,3831671500.0,-1651356500.0,22222.0,140866.0,15.78,A011170
