,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,4021,4046,4017,4038,229989,1147740820,0.0,-4439900.0,-95000000.0,507239850.0,-407799950.0,0.0,229989.0,0.0,A088980
1,2012-01-03,4038,4054,4033,4046,174294,872193240,0.2,24950000.0,-75000000.0,135875300.0,-85825300.0,0.0,174294.0,0.0,A088980
2,2012-01-04,4046,4062,4038,4062,204451,1024262330,0.4,82564800.0,-25150000.0,-25826600.0,-31588200.0,0.0,204451.0,0.0,A088980
3,2012-01-05,4054,4086,4046,4086,133348,672110200,0.6,-146240.0,7070000.0,-300030860.0,293107100.0,0.0,133348.0,0.0,A088980
4,2012-01-06,4094,4102,4078,4094,311928,1581061060,0.2,431024400.0,0.0,112879700.0,-543904100.0,0.0,311928.0,0.0,A088980
5,2012-01-09,4102,4110,4078,4094,278500,1411871900,0.0,710459600.0,0.0,-604623000.0,-105836600.0,0.0,278500.0,0.0,A088980
6,2012-01-10,4110,4110,4086,4094,186970,948027600,0.0,140956200.0,-2586800.0,-136288400.0,-2081000.0,0.0,186970.0,0.0,A088980
7,2012-01-11,4102,4102,4086,4086,99171,502795190,-0.2,19175800.0,0.0,70878900.0,-90054700.0,0.0,99171.0,0.0,A088980
8,2012-01-12,4086,4102,4086,4086,131061,663638760,0.0,0.0,303701200.0,-437200200.0,133499000.0,0.0,131061.0,0.0,A088980
9,2012-01-13,4094,4094,4078,4086,120570,610217200,0.0,-3086300.0,141680000.0,-18627500.0,-119966200.0,0.0,120570.0,0.0,A088980
10,2012-01-16,4094,4094,4078,4086,110680,559765800,0.0,0.0,0.0,-93060100.0,93060100.0,0.0,110680.0,0.0,A088980
11,2012-01-17,4094,4094,4078,4094,185070,936681700,0.2,-2226400.0,0.0,-168306200.0,170532600.0,0.0,185070.0,0.0,A088980
12,2012-01-18,4102,4102,4078,4086,223840,1133022400,-0.2,99934400.0,0.0,331076400.0,-431010800.0,0.0,223840.0,0.0,A088980
13,2012-01-19,4094,4094,4078,4086,146831,742923760,0.0,-455300.0,0.0,325247100.0,-324791800.0,0.0,146831.0,0.0,A088980
14,2012-01-20,4086,4094,4062,4078,312274,1576755800,-0.2,7691650.0,2570300.0,1119891800.0,-1130153750.0,0.0,312274.0,0.0,A088980
15,2012-01-25,4086,4094,4070,4086,103960,525277700,0.2,15079500.0,0.0,-113489000.0,98409500.0,0.0,103960.0,0.0,A088980
16,2012-01-26,4086,4094,4078,4086,95296,482039260,0.0,-16636100.0,0.0,11525500.0,5110600.0,0.0,95296.0,0.0,A088980
17,2012-01-27,4086,4110,4078,4102,260799,1322983820,0.4,-21102400.0,-15180000.0,-583484200.0,619766600.0,0.0,260799.0,0.0,A088980
18,2012-01-30,4102,4110,4094,4094,118508,601341260,-0.2,37980700.0,0.0,-183004700.0,145024000.0,0.0,118508.0,0.0,A088980
19,2012-01-31,4094,4102,4086,4102,375156,1900832380,0.2,157456400.0,-1122537400.0,460541380.0,504539620.0,0.0,375156.0,0.0,A088980
20,2012-02-01,4102,4118,4102,4118,384021,1955804600,0.39,-549821800.0,-210058300.0,290014000.0,469866100.0,0.0,384021.0,0.0,A088980
21,2012-02-02,4118,4167,4118,4159,309571,1591565250,0.98,-531989000.0,-7211000.0,74181500.0,465018500.0,0.0,309571.0,0.0,A088980
22,2012-02-03,4159,4207,4143,4175,203921,1054487670,0.39,154109100.0,-1554000.0,-406007800.0,253452700.0,0.0,203921.0,0.0,A088980
23,2012-02-06,4175,4207,4159,4199,372001,1932291300,0.58,82786800.0,17885200.0,-550538100.0,449866100.0,0.0,372001.0,0.0,A088980
24,2012-02-07,4199,4247,4199,4223,265623,1390610290,0.58,76428200.0,33302800.0,-478874900.0,369143900.0,0.0,265623.0,0.0,A088980
25,2012-02-08,4231,4231,4207,4215,197227,1030098540,-0.19,25609520.0,52200000.0,-357070220.0,279260700.0,0.0,197227.0,0.0,A088980
26,2012-02-09,4215,4215,4159,4191,245930,1277779000,-0.57,26606000.0,-105126000.0,-303212100.0,381732100.0,0.0,245930.0,0.0,A088980
27,2012-02-10,4191,4239,4175,4215,258930,1349578200,0.58,-115239400.0,-61220600.0,-546795000.0,723255000.0,0.0,258930.0,0.0,A088980
28,2012-02-13,4223,4264,4215,4264,346092,1817608660,1.15,-35392300.0,-43387200.0,-621148000.0,699927500.0,0.0,346092.0,0.0,A088980
29,2012-02-14,4264,4352,4264,4328,701186,3738075060,1.52,-12878800.0,-55108000.0,-642009500.0,709996300.0,0.0,701186.0,0.0,A088980
30,2012-02-15,4328,4344,4296,4328,285427,1524679920,0.0,-17730300.0,0.0,-370997800.0,388728100.0,0.0,285427.0,0.0,A088980
31,2012-02-16,4328,4328,4288,4296,146291,779758720,-0.75,-29561600.0,0.0,-101978100.0,131539700.0,0.0,146291.0,0.0,A088980
32,2012-02-17,4296,4336,4288,4312,294379,1572783120,0.38,-6757800.0,0.0,-363037900.0,369795700.0,0.0,294379.0,0.0,A088980
33,2012-02-20,4312,4441,4312,4344,931981,5063290440,0.75,-187356600.0,667588000.0,-680790900.0,200559500.0,0.0,931981.0,0.0,A088980
34,2012-02-21,4369,4369,4328,4361,212645,1144614300,0.37,93092200.0,278754600.0,138083700.0,-509930500.0,0.0,212645.0,0.0,A088980
35,2012-02-22,4361,4361,4296,4336,280751,1503382270,-0.56,225661000.0,0.0,175328500.0,-400989500.0,0.0,280751.0,0.0,A088980
36,2012-02-23,4344,4344,4296,4312,169286,904119540,-0.56,155410100.0,0.0,98392140.0,-253802240.0,0.0,169286.0,0.0,A088980
37,2012-02-24,4328,4352,4312,4328,919861,4316532160,0.37,158914100.0,6121800.0,52064200.0,-217100100.0,0.0,919861.0,0.0,A088980
38,2012-02-27,4336,4361,4304,4352,140190,752860300,0.56,-1721200.0,37660000.0,3808600.0,-39747400.0,0.0,140190.0,0.0,A088980
39,2012-02-28,4328,4361,4312,4344,256020,1376958200,-0.19,0.0,0.0,424075700.0,-424075700.0,0.0,256020.0,0.0,A088980
40,2012-02-29,4344,4361,4320,4344,217724,1168089020,0.0,0.0,26800000.0,411903300.0,-438703300.0,0.0,217724.0,0.0,A088980
41,2012-03-02,4361,4361,4320,4336,179070,961439100,-0.19,-14710900.0,-112755100.0,77244400.0,50221600.0,0.0,179070.0,0.0,A088980
42,2012-03-05,4344,4344,4304,4320,235798,1260860400,-0.37,25411200.0,-4907250.0,306638450.0,-327142400.0,0.0,235798.0,0.0,A088980
