,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,2574,2574,2474,2540,181048,481470950,0.37,248142700.0,0.0,-209289850.0,-38852850.0,0.0,181048.0,0.0,A138040
1,2012-01-03,2545,2564,2545,2559,356570,962482250,0.75,294139550.0,-152442000.0,-168352850.0,26655300.0,0.0,356570.0,0.0,A138040
2,2012-01-04,2588,2758,2588,2697,506431,1437825730,5.37,99432250.0,51282350.0,-144351750.0,-6362850.0,0.0,506431.0,0.0,A138040
3,2012-01-05,2735,2787,2697,2725,434335,1260945130,1.05,-74950.0,-124710200.0,171749850.0,-46964700.0,0.0,434335.0,0.0,A138040
4,2012-01-06,2763,2763,2664,2749,157376,449628150,0.87,-29308050.0,11757900.0,18069350.0,-519200.0,0.0,157376.0,0.0,A138040
5,2012-01-09,2782,2782,2692,2720,113747,326189790,-1.03,-30833400.0,1431700.0,49626400.0,-20224700.0,0.0,113747.0,0.0,A138040
6,2012-01-10,2720,2749,2654,2683,247987,701260050,-1.39,44795550.0,5624530.0,-31735030.0,-18685050.0,0.0,247987.0,0.0,A138040
7,2012-01-11,2692,2692,2640,2645,240184,674948910,-1.41,226759600.0,-28866000.0,-215445500.0,17551900.0,0.0,240184.0,0.0,A138040
8,2012-01-12,2683,2792,2654,2720,199378,573024830,2.87,-47224570.0,-117328160.0,147447780.0,17104950.0,0.0,199378.0,0.0,A138040
9,2012-01-13,2720,2763,2720,2739,59382,172013530,0.7,-23704900.0,0.0,15354600.0,8350300.0,0.0,59382.0,0.0,A138040
10,2012-01-16,2701,2773,2673,2701,60142,171380335,-1.38,-58505350.0,2840000.0,46470800.0,9194550.0,0.0,60142.0,0.0,A138040
11,2012-01-17,2687,2739,2626,2706,243995,691149925,0.18,226589655.0,0.0,-241481155.0,14891500.0,0.0,243995.0,0.0,A138040
12,2012-01-18,2744,2744,2692,2716,90158,257310460,0.35,-66622250.0,0.0,35890300.0,30731950.0,0.0,90158.0,0.0,A138040
13,2012-01-19,2720,2735,2683,2701,65191,185706230,-0.52,6609550.0,0.0,-4194200.0,-2415350.0,0.0,65191.0,0.0,A138040
14,2012-01-20,2739,2739,2654,2706,205380,584163500,0.18,-61881850.0,0.0,87888400.0,-26006550.0,0.0,205380.0,0.0,A138040
15,2012-01-25,2739,2739,2640,2654,153862,432996200,-1.93,91308550.0,0.0,-73318550.0,-17990000.0,0.0,153862.0,0.0,A138040
16,2012-01-26,2635,2692,2588,2664,190460,529420850,0.36,48803400.0,0.0,-46119600.0,-2683800.0,0.0,190460.0,0.0,A138040
17,2012-01-27,2664,2692,2626,2692,143257,404869950,1.07,56618900.0,0.0,-126778700.0,70159800.0,0.0,143257.0,0.0,A138040
18,2012-01-30,2701,2720,2673,2687,76400,216989500,-0.18,-5098800.0,0.0,27630650.0,-22531850.0,0.0,76400.0,0.0,A138040
19,2012-01-31,2687,2701,2645,2697,134073,379373935,0.35,138266300.0,0.0,-97380200.0,-40886100.0,0.0,134073.0,0.0,A138040
20,2012-02-01,2687,2687,2621,2659,114189,320002995,-1.41,31841260.0,-9095010.0,-18001050.0,-4745200.0,0.0,114189.0,0.0,A138040
21,2012-02-02,2683,2739,2673,2739,174775,500474005,3.03,118713980.0,0.0,-156465330.0,37751350.0,0.0,174775.0,0.0,A138040
22,2012-02-03,2777,2806,2687,2735,156241,448709735,-0.17,58396550.0,2457500.0,-55061550.0,-5792500.0,0.0,156241.0,0.0,A138040
23,2012-02-06,2749,2891,2735,2844,286779,854436070,3.99,119858050.0,-1505000.0,-150847850.0,32494800.0,0.0,286779.0,0.0,A138040
24,2012-02-07,2853,2886,2825,2863,197454,593624840,0.67,82354250.0,-6947700.0,-15618450.0,-59788100.0,0.0,197454.0,0.0,A138040
25,2012-02-08,2863,2891,2754,2806,339799,1021345540,-1.99,135099810.0,-33284670.0,-79361290.0,-22453850.0,0.0,339799.0,0.0,A138040
26,2012-02-09,2796,2839,2754,2815,272489,804758770,0.34,-14557090.0,23689950.0,-35585310.0,26452450.0,0.0,272489.0,0.0,A138040
27,2012-02-10,2815,2844,2777,2829,153743,455437795,0.51,51576585.0,-2756950.0,6938160.0,-55757795.0,0.0,153743.0,0.0,A138040
28,2012-02-13,2834,2839,2763,2810,182759,539345435,-0.67,56473000.0,-5494300.0,64290765.0,-115269465.0,0.0,182759.0,0.0,A138040
29,2012-02-14,2806,2825,2768,2815,113984,336242320,0.17,-1064400.0,2714700.0,15521650.0,-17171950.0,0.0,113984.0,0.0,A138040
30,2012-02-15,2792,2853,2782,2801,176011,523236570,-0.51,1111450.0,0.0,76755550.0,-77867000.0,0.0,176011.0,0.0,A138040
31,2012-02-16,2801,2801,2720,2720,227614,661102830,-2.88,-290408850.0,0.0,306932400.0,-16523550.0,0.0,227614.0,0.0,A138040
32,2012-02-17,2739,2763,2654,2697,189067,540807065,-0.87,143444610.0,0.0,-59744760.0,-83699850.0,0.0,189067.0,0.0,A138040
33,2012-02-20,2735,2735,2654,2730,151599,421305975,1.23,107119395.0,0.0,-76973695.0,-30145700.0,0.0,151599.0,0.0,A138040
34,2012-02-21,2725,2739,2649,2730,183806,521337205,0.0,-3138820.0,0.0,56027420.0,-52888600.0,0.0,183806.0,0.0,A138040
35,2012-02-22,2730,2730,2687,2711,143583,409617040,-0.69,-8435650.0,0.0,97005650.0,-88570000.0,0.0,143583.0,0.0,A138040
36,2012-02-23,2692,2716,2616,2616,282603,787466925,-3.5,-149541920.0,0.0,222486620.0,-72944700.0,0.0,282603.0,0.0,A138040
37,2012-02-24,2602,2683,2602,2673,108616,303638820,2.17,-31216590.0,0.0,17909240.0,13307350.0,0.0,108616.0,0.0,A138040
38,2012-02-27,2687,2701,2640,2664,129875,366758560,-0.35,17319800.0,0.0,-19212500.0,1892700.0,0.0,129875.0,0.0,A138040
39,2012-02-28,2683,2754,2645,2735,111410,319244750,2.67,100806200.0,0.0,-103804300.0,2998100.0,0.0,111410.0,0.0,A138040
40,2012-02-29,2735,2768,2720,2744,79949,231445655,0.35,-577500.0,-3757000.0,56758800.0,-52424300.0,0.0,79949.0,0.0,A138040
41,2012-03-02,2749,2777,2711,2744,121322,350732690,0.0,90033130.0,1447500.0,-56272230.0,-35208400.0,0.0,121322.0,0.0,A138040
42,2012-03-05,2749,2754,2725,2739,56339,163095360,-0.17,56173930.0,0.0,-36702980.0,-19470950.0,0.0,56339.0,0.0,A138040
43,2012-03-06,2720,2810,2720,2763,173406,504267120,0.87,260525450.0,-8895000.0,-148845150.0,-102785300.0,0.0,173406.0,0.0,A138040
44,2012-03-07,2739,2920,2735,2796,392677,1166356775,1.2,4193275.0,-7562500.0,218405975.0,-215036750.0,0.0,392677.0,0.0,A138040
45,2012-03-08,2820,2820,2768,2806,71595,210932760,0.34,16282400.0,0.0,-7788350.0,-8494050.0,0.0,71595.0,0.0,A138040
46,2012-03-09,2834,2834,2792,2815,88710,263914100,0.34,111923050.0,0.0,-113330700.0,1407650.0,0.0,88710.0,0.0,A138040
47,2012-03-12,2815,2882,2787,2796,65214,193425730,-0.67,58873150.0,-3010000.0,-40846050.0,-15017100.0,0.0,65214.0,0.0,A138040
48,2012-03-13,2787,2825,2782,2825,67354,198682830,1.02,-17397450.0,3250500.0,1100700.0,13046250.0,0.0,67354.0,0.0,A138040
