,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,643,648,643,646,184383,130130828,0.28,-7030.0,0.0,-5848290.0,5855320.0,0.0,184383.0,0.0,A008560
1,2012-01-03,643,658,643,658,333794,238241686,1.84,-7160.0,0.0,-16895700.0,16902860.0,0.0,333794.0,0.0,A008560
2,2012-01-04,659,667,653,659,394979,284974525,0.14,-18720.0,16135910.0,-26885610.0,10768420.0,0.0,394979.0,0.0,A008560
3,2012-01-05,658,663,655,661,309870,222948360,0.42,-7190.0,74183200.0,-69410950.0,-4765060.0,0.0,309870.0,0.0,A008560
4,2012-01-06,661,661,654,656,103760,74466500,-0.83,0.0,12801900.0,-7444860.0,-5357040.0,0.0,103760.0,0.0,A008560
5,2012-01-09,659,659,644,652,148241,104921213,-0.56,445800.0,0.0,-639220.0,193420.0,0.0,148241.0,0.0,A008560
6,2012-01-10,646,681,646,675,479813,349884744,3.51,-7360.0,0.0,13666430.0,-13659070.0,0.0,479813.0,0.0,A008560
7,2012-01-11,675,675,661,671,311393,227828934,-0.68,-7310.0,0.0,63459800.0,-63452490.0,0.0,311393.0,0.0,A008560
8,2012-01-12,669,679,661,676,1078995,788487600,0.82,-10266.0,66509520.0,-93252764.0,26753510.0,0.0,1078995.0,0.0,A008560
9,2012-01-13,676,684,675,675,328892,243932476,-0.14,0.0,0.0,-4696460.0,4696460.0,0.0,328892.0,0.0,A008560
10,2012-01-16,671,671,662,666,402309,292463302,-1.36,-28482.0,-65870360.0,63778002.0,2120840.0,0.0,402309.0,0.0,A008560
11,2012-01-17,680,693,677,690,618005,463505910,3.57,-7530.0,16577880.0,2704890.0,-19275240.0,0.0,618005.0,0.0,A008560
12,2012-01-18,690,700,680,696,441612,334700900,0.93,-22530.0,-3765000.0,-10618790.0,14406320.0,0.0,441612.0,0.0,A008560
13,2012-01-19,704,715,696,702,722473,557017351,0.79,0.0,-3898850.0,22641760.0,-18742910.0,0.0,722473.0,0.0,A008560
14,2012-01-20,705,729,702,727,726463,572182788,3.65,-54960.0,0.0,32341320.0,-32286360.0,0.0,726463.0,0.0,A008560
15,2012-01-25,726,730,718,721,264673,209867064,-0.88,-7940.0,0.0,4605110.0,-4597170.0,0.0,264673.0,0.0,A008560
16,2012-01-26,723,727,718,726,220124,173849879,0.76,-244900.0,4798700.0,-7521650.0,2967850.0,0.0,220124.0,0.0,A008560
17,2012-01-27,728,769,724,758,716509,586805670,4.41,-143820.0,-41002330.0,-84090.0,41230240.0,0.0,716509.0,0.0,A008560
18,2012-01-30,754,757,735,749,546891,445430609,-1.21,0.0,-76000400.0,39516580.0,36483820.0,0.0,546891.0,0.0,A008560
19,2012-01-31,750,752,741,747,318429,259690693,-0.24,-32650.0,-4954980.0,-14114190.0,19101820.0,0.0,318429.0,0.0,A008560
20,2012-02-01,747,750,742,747,570265,464525605,0.0,-8190.0,-9717250.0,5519480.0,4205960.0,0.0,570265.0,0.0,A008560
21,2012-02-02,753,766,749,763,456774,379037308,2.08,-108948.0,-70380.0,-8317392.0,8496720.0,0.0,456774.0,0.0,A008560
22,2012-02-03,764,769,754,758,285900,237320775,-0.6,-2798990.0,0.0,-10071110.0,12870100.0,0.0,285900.0,0.0,A008560
23,2012-02-06,764,767,756,762,445080,369657960,0.48,0.0,0.0,-31871770.0,31871770.0,0.0,445080.0,0.0,A008560
24,2012-02-07,760,764,752,755,279145,231463765,-0.96,-13280.0,0.0,-15210080.0,15223360.0,0.0,279145.0,0.0,A008560
25,2012-02-08,760,771,728,740,1406471,1155313061,-1.94,-16640.0,0.0,-24647060.0,24663700.0,0.0,1406471.0,0.0,A008560
26,2012-02-09,745,748,737,743,498796,403725489,0.37,-89540.0,0.0,-42901890.0,42991430.0,0.0,498796.0,0.0,A008560
27,2012-02-10,743,754,742,750,190498,155938160,0.99,-24420.0,0.0,-23101990.0,23126410.0,0.0,190498.0,0.0,A008560
28,2012-02-13,750,756,746,754,168822,138682012,0.49,-252268.0,0.0,-31559322.0,31811590.0,0.0,168822.0,0.0,A008560
29,2012-02-14,758,758,750,754,298034,245312641,0.0,-98890.0,0.0,-14063410.0,14162300.0,0.0,298034.0,0.0,A008560
30,2012-02-15,753,760,753,759,194911,161414140,0.73,-82900.0,0.0,-27785660.0,27868560.0,0.0,194911.0,0.0,A008560
31,2012-02-16,755,759,749,750,310621,256277250,-1.2,15960.0,0.0,-9521960.0,9506000.0,0.0,310621.0,0.0,A008560
32,2012-02-17,757,761,753,757,253341,210096690,0.85,-2272710.0,0.0,-18100910.0,20373620.0,2020.0,253341.0,0.8,A008560
33,2012-02-20,762,763,754,760,290073,240120617,0.48,-108200.0,0.0,-28450430.0,28558630.0,0.0,290073.0,0.0,A008560
34,2012-02-21,757,776,757,769,301786,253056646,1.2,0.0,0.0,-7738700.0,7738700.0,0.0,301786.0,0.0,A008560
35,2012-02-22,771,784,769,784,413903,351313291,1.9,-693850.0,0.0,-26157560.0,26851410.0,0.0,413903.0,0.0,A008560
36,2012-02-23,783,783,769,770,339798,287414486,-1.75,0.0,0.0,13207520.0,-13207520.0,0.0,339798.0,0.0,A008560
37,2012-02-24,765,779,765,769,163371,137889344,-0.24,-8420.0,0.0,-1074750.0,1083170.0,0.0,163371.0,0.0,A008560
38,2012-02-27,770,775,761,764,179201,150101835,-0.6,-16800.0,0.0,-1489100.0,1505900.0,0.0,179201.0,0.0,A008560
39,2012-02-28,764,782,759,782,263912,220958684,2.4,-91850.0,0.0,-26992640.0,27084490.0,0.0,263912.0,0.0,A008560
40,2012-02-29,782,803,778,802,314557,271872378,2.57,0.0,0.0,-34223320.0,34223320.0,0.0,314557.0,0.0,A008560
41,2012-03-02,804,828,798,828,916112,822816248,3.19,334156640.0,143091830.0,-514534350.0,37285880.0,0.0,916112.0,0.0,A008560
42,2012-03-05,832,832,822,827,407256,367404288,-0.11,-99490.0,0.0,-39890120.0,39989610.0,0.0,407256.0,0.0,A008560
43,2012-03-06,830,830,820,823,302075,271529925,-0.55,-8980.0,0.0,-54744790.0,54753770.0,0.0,302075.0,0.0,A008560
44,2012-03-07,815,821,809,813,246665,219127225,-1.11,-8910.0,0.0,10152300.0,-10143390.0,0.0,246665.0,0.0,A008560
45,2012-03-08,818,823,816,822,153785,137814085,1.01,1429088.0,0.0,17310762.0,-18739850.0,0.0,153785.0,0.0,A008560
46,2012-03-09,825,825,813,821,293650,262812460,-0.11,-9020.0,4573450.0,-2714210.0,-1850220.0,0.0,293650.0,0.0,A008560
47,2012-03-12,812,818,807,811,257369,228044441,-1.23,-577200.0,8840000.0,-4035870.0,-4226930.0,0.0,257369.0,0.0,A008560
48,2012-03-13,810,822,810,816,125135,111685340,0.68,0.0,0.0,-6868660.0,6868660.0,0.0,125135.0,0.0,A008560
49,2012-03-14,826,837,824,831,504350,458135531,1.79,-208030.0,0.0,-23987480.0,24195510.0,0.0,504350.0,0.0,A008560
50,2012-03-15,831,837,823,828,161014,145465786,-0.33,-2826820.0,0.0,8662720.0,-5835900.0,0.0,161014.0,0.0,A008560
51,2012-03-16,833,833,825,826,307453,278131892,-0.22,-9050.0,109505000.0,-105041510.0,-4454440.0,0.0,307453.0,0.0,A008560
52,2012-03-19,827,833,823,832,281889,255471203,0.66,-197263.0,109626000.0,-129249877.0,19821140.0,0.0,281889.0,0.0,A008560
53,2012-03-20,832,850,830,841,292961,269391049,1.1,-260574.0,0.0,4725554.0,-4464980.0,0.0,292961.0,0.0,A008560
54,2012-03-21,841,855,836,852,531104,493405352,1.31,-55740.0,2811580.0,-2581910.0,-173930.0,0.0,531104.0,0.0,A008560
55,2012-03-22,853,859,846,852,310575,290112585,0.0,0.0,0.0,4691870.0,-4691870.0,0.0,310575.0,0.0,A008560
56,2012-03-23,849,853,845,853,352865,327366182,0.11,0.0,0.0,-5316440.0,5316440.0,0.0,352865.0,0.0,A008560
57,2012-03-26,860,862,848,848,231154,216209642,-0.54,-9370.0,-2841820.0,6351860.0,-3500670.0,0.0,231154.0,0.0,A008560
58,2012-03-27,860,866,855,860,700705,658321740,1.4,-18780.0,141169890.0,-149735780.0,8584670.0,0.0,700705.0,0.0,A008560
59,2012-03-28,864,864,857,861,609570,572943997,0.11,-248328.0,0.0,-20244802.0,20493130.0,0.0,609570.0,0.0,A008560
60,2012-03-29,851,851,823,833,533205,488527260,-3.29,-18430.0,0.0,-17550430.0,17568860.0,0.0,533205.0,0.0,A008560
61,2012-03-30,828,828,821,826,288363,259835675,-0.77,0.0,0.0,-36336130.0,36336130.0,0.0,288363.0,0.0,A008560
62,2012-04-02,819,830,819,827,130833,117888149,0.11,-18060.0,0.0,-43120660.0,43138720.0,0.0,130833.0,0.0,A008560
