,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,135000,139000,135000,137500,293425,40241467000,3.0,-1116960500.0,-1488019000.0,4276638000.0,-1671658500.0,16964.0,293425.0,5.78,A006400
1,2012-01-03,138500,141000,137500,141000,320051,44758532000,2.55,3300914500.0,-767571500.0,-6890840500.0,4357497500.0,7095.0,320051.0,2.22,A006400
2,2012-01-04,141000,141000,138000,138500,228676,31798077500,-1.77,-8337809000.0,-1019461500.0,4200303000.0,5156967500.0,3121.0,228676.0,1.36,A006400
3,2012-01-05,139000,140000,133000,134000,707734,95426612500,-3.25,-39976555500.0,-94710500.0,43823155500.0,-3751889500.0,43888.0,707734.0,6.2,A006400
4,2012-01-06,134500,134500,131000,134500,415046,55014929000,0.37,-11133488000.0,-222161000.0,8185651000.0,3169998000.0,39385.0,415046.0,9.49,A006400
5,2012-01-09,134500,134500,132000,132500,226995,30103729500,-1.49,-3823894500.0,-857246500.0,8242562000.0,-3561421000.0,34705.0,226995.0,15.29,A006400
6,2012-01-10,133000,134500,132000,133500,382635,50889335500,0.75,-23236134500.0,-106450500.0,15141179500.0,8201405500.0,16687.0,382635.0,4.36,A006400
7,2012-01-11,133000,133500,130500,131500,373103,49147302500,-1.5,-16308356000.0,-640713000.0,10970535000.0,5978534000.0,15158.0,373103.0,4.06,A006400
8,2012-01-12,131000,134000,131000,133000,322570,42559556000,1.14,-9200811500.0,-493647500.0,6850599000.0,2843860000.0,2397.0,322570.0,0.74,A006400
9,2012-01-13,132500,134000,130500,131000,429105,56467410000,-1.5,-20448863500.0,-1674926500.0,24244997500.0,-2121207500.0,24671.0,429105.0,5.75,A006400
10,2012-01-16,130000,132000,128000,129500,391741,50677817000,-1.15,-21386222000.0,-73530000.0,17931009000.0,3528743000.0,2035.0,391741.0,0.52,A006400
11,2012-01-17,130000,131500,127000,128500,711657,91360661500,-0.77,-43742834500.0,429973000.0,44309742500.0,-996881000.0,27039.0,711657.0,3.8,A006400
12,2012-01-18,128500,131000,128000,129000,343891,44378929000,0.39,-6615788000.0,-67702000.0,3865815000.0,2817675000.0,5192.0,343891.0,1.51,A006400
13,2012-01-19,131000,135500,130000,135500,1018130,136633548000,5.04,20731903500.0,387841000.0,-20530438000.0,-589306500.0,71643.0,1018130.0,7.04,A006400
14,2012-01-20,136000,139000,135500,138500,834688,114899540500,2.21,11202242500.0,1266579500.0,-27375943000.0,14907121000.0,53860.0,834688.0,6.45,A006400
15,2012-01-25,139000,143000,138000,141500,738851,104516342000,2.17,1771345500.0,-450917500.0,-37674756500.0,36354328500.0,6567.0,738851.0,0.89,A006400
16,2012-01-26,142500,145000,140000,144500,727255,104477930500,2.12,13099303500.0,-2065555500.0,-49868535000.0,38834787000.0,2005.0,727255.0,0.28,A006400
17,2012-01-27,143500,145000,141500,144500,311642,44747340000,0.0,9282810000.0,-665881500.0,-11425193000.0,2808264500.0,5224.0,311642.0,1.68,A006400
18,2012-01-30,142000,144000,139500,140500,420269,59491215500,-2.77,4891172000.0,1368108500.0,-9032262500.0,2772982000.0,21326.0,420269.0,5.07,A006400
19,2012-01-31,141500,143000,138000,139500,488374,68159054500,-0.71,5980165500.0,925901500.0,9760818500.0,-16666885500.0,125480.0,488374.0,25.69,A006400
20,2012-02-01,141000,146500,140500,145000,614778,88870158500,3.94,7911895000.0,-344616000.0,-17601545000.0,10034266000.0,27717.0,614778.0,4.51,A006400
21,2012-02-02,147000,149500,143000,144500,802970,116669381000,-0.34,-14385666500.0,-1484019500.0,8304011000.0,7565675000.0,28305.0,802970.0,3.53,A006400
22,2012-02-03,145000,145500,140000,142500,481169,68280443000,-1.38,-18762785500.0,-269420500.0,13248444000.0,5783762000.0,29880.0,481169.0,6.21,A006400
23,2012-02-06,144500,146500,141500,143000,458886,65721535000,0.35,-6482498500.0,262207500.0,819328500.0,5400962500.0,51163.0,458886.0,11.15,A006400
24,2012-02-07,142500,144500,140500,141500,326773,46486342500,-1.05,-6852300500.0,-415746500.0,3301584500.0,3966462500.0,43704.0,326773.0,13.37,A006400
25,2012-02-08,140000,148000,139500,146000,760502,110253510000,3.18,-8043346500.0,-907822500.0,-4681802500.0,13632971500.0,33437.0,760502.0,4.4,A006400
26,2012-02-09,146000,150500,144500,150500,686181,101730500500,3.08,23679150000.0,-185265000.0,-21892952500.0,-1600932500.0,9207.0,686181.0,1.34,A006400
27,2012-02-10,151000,153000,150000,151500,568115,86108607000,0.66,10402788000.0,156115000.0,-18172393000.0,7613490000.0,24389.0,568115.0,4.29,A006400
28,2012-02-13,150500,154000,149000,153000,441976,67327631500,0.99,12282387000.0,138610000.0,-23574885000.0,11153888000.0,12611.0,441976.0,2.85,A006400
29,2012-02-14,154000,154500,152000,153000,337082,51688595500,0.0,5854181000.0,2403487500.0,-11706237000.0,3448568500.0,17214.0,337082.0,5.11,A006400
30,2012-02-15,150000,151000,143000,147500,1071377,157450261000,-3.59,-32131796500.0,2074927500.0,21408826500.0,8648042500.0,85946.0,1071377.0,8.02,A006400
31,2012-02-16,146000,147500,142000,142000,547757,78826119500,-3.73,-21409332500.0,2090075500.0,17664436000.0,1654821000.0,19735.0,547757.0,3.6,A006400
32,2012-02-17,144500,145500,141500,144000,575449,82357061500,1.41,-12750103000.0,97660500.0,6873044000.0,5779398500.0,48447.0,575449.0,8.42,A006400
33,2012-02-20,144000,145500,138500,141500,748366,105126956000,-1.74,-31941428000.0,1224301500.0,36867202000.0,-6150075500.0,38575.0,748366.0,5.15,A006400
34,2012-02-21,140000,142000,139000,141500,397308,55699045000,0.0,-9830411000.0,-694235000.0,7132259500.0,3392386500.0,10589.0,397308.0,2.67,A006400
35,2012-02-22,141500,141500,137000,138000,609143,84381162000,-2.47,-32248099000.0,-3990219000.0,35301543500.0,936774500.0,13988.0,609143.0,2.3,A006400
36,2012-02-23,137000,140000,134000,136500,544485,74268611500,-1.09,-21574799000.0,475978000.0,14135126000.0,6963695000.0,34469.0,544485.0,6.33,A006400
37,2012-02-24,137000,141000,136000,141000,484756,67653577000,3.3,10047192000.0,-1461285500.0,-14562437500.0,5976531000.0,3313.0,484756.0,0.68,A006400
38,2012-02-27,141500,142500,137000,138000,360862,50184115000,-2.13,-3776455500.0,-1191810500.0,6977954000.0,-2009688000.0,12110.0,360862.0,3.36,A006400
39,2012-02-28,138000,139000,135000,139000,332514,45524955500,0.72,-1137250000.0,-590424500.0,2429289000.0,-701614500.0,35273.0,332514.0,10.61,A006400
40,2012-02-29,139000,141500,138000,138000,426408,59530708000,-0.72,-10271196500.0,-120627000.0,10671108500.0,-279285000.0,14980.0,426408.0,3.51,A006400
41,2012-03-02,139500,142000,139000,141000,415634,58467520500,2.17,-4266263500.0,160746500.0,-1072314500.0,5177831500.0,15283.0,415634.0,3.68,A006400
42,2012-03-05,140000,141000,135500,138500,376844,51937250000,-1.77,-8248472500.0,-205536000.0,1767473500.0,6686535000.0,5201.0,376844.0,1.38,A006400
43,2012-03-06,137500,139500,137000,138500,196697,27167563500,0.0,-35624500.0,-415652000.0,2226128500.0,-1774852000.0,334.0,196697.0,0.17,A006400
44,2012-03-07,136000,138000,136000,136000,254884,34790700500,-1.81,-1969777500.0,151863500.0,3095800500.0,-1277886500.0,7687.0,254884.0,3.02,A006400
45,2012-03-08,137500,142000,137000,141000,463035,64932884500,3.68,7778887500.0,293839000.0,-10526214500.0,2453488000.0,2373.0,463035.0,0.51,A006400
46,2012-03-09,143000,143000,140000,142500,306164,43393574000,1.06,773965000.0,26548000.0,-972153500.0,171640500.0,2766.0,306164.0,0.9,A006400
47,2012-03-12,142500,143000,140500,142000,164061,23238215000,-0.35,-3194600500.0,-4496000.0,1619352500.0,1579744000.0,1352.0,164061.0,0.82,A006400
48,2012-03-13,143000,144500,142000,144000,352237,50599896000,1.41,8218470500.0,-651336500.0,-6606354500.0,-960779500.0,5672.0,352237.0,1.61,A006400
49,2012-03-14,146000,147000,143000,144000,424532,61348959500,0.0,4678545500.0,-99163500.0,-8808020000.0,4228638000.0,20571.0,424532.0,4.85,A006400
50,2012-03-15,144000,144500,141500,142000,191566,27287250500,-1.39,760108500.0,-345559000.0,-2655411500.0,2240862000.0,8514.0,191566.0,4.44,A006400
51,2012-03-16,144500,148000,144000,146000,715429,104664246500,2.82,1347116000.0,97784500.0,-3882759000.0,2437858500.0,3954.0,715429.0,0.55,A006400
52,2012-03-19,146000,146500,144000,145500,270052,39173740000,-0.34,-476985000.0,650801000.0,254380500.0,-428196500.0,17275.0,270052.0,6.4,A006400
