,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2014-12-18,106000,116000,99200,113000,12845103,1371771972800,6.6,400410124400.0,9659174500.0,38755683300.0,-448824982200.0,0.0,12845103.0,0.0,A028260
1,2014-12-19,118000,129500,117500,129500,4551888,566397735500,14.6,26984192500.0,1903589500.0,-7681824500.0,-21205957500.0,18822.0,4551888.0,0.41,A028260
2,2014-12-22,135000,145500,130500,134500,4401710,603198227000,3.86,-11288410500.0,-19930500500.0,70962193000.0,-39743282000.0,12693.0,4401710.0,0.29,A028260
3,2014-12-23,132000,137500,127000,135000,2873094,381638190000,0.37,33734959500.0,-1567902000.0,-27560301500.0,-4606756000.0,15719.0,2873094.0,0.55,A028260
4,2014-12-24,135500,139000,132000,133000,1403337,189540101500,-1.48,19745550000.0,54612000.0,-27568337000.0,7768175000.0,23951.0,1403337.0,1.71,A028260
5,2014-12-26,134500,138000,130000,135500,1648394,222682106000,1.88,41060598500.0,-1002985000.0,-47686105000.0,7628491500.0,14292.0,1648394.0,0.87,A028260
6,2014-12-29,140000,155000,138500,149000,4142037,612025718000,9.96,-2292441500.0,-3943522500.0,-31925808500.0,38161772500.0,20719.0,4142037.0,0.5,A028260
7,2014-12-30,153500,158000,148500,158000,2518666,387471364500,6.04,13421713500.0,-6552518000.0,-12687150000.0,5817954500.0,39602.0,2518666.0,1.57,A028260
8,2015-01-02,160500,174000,158500,171000,3083018,515886205500,8.23,-32752169000.0,-7554591000.0,5294865500.0,35011894500.0,26950.0,3083018.0,0.87,A028260
9,2015-01-05,177000,179500,145500,145500,6436987,1022009009500,-14.91,-98963287000.0,-7699737000.0,-6704724000.0,113367748000.0,179649.0,6436987.0,2.79,A028260
10,2015-01-06,143000,147500,133500,138500,4596735,643016078739,-4.81,1212074500.0,9011272500.0,25409132000.0,-35632479000.0,174032.0,4596735.0,3.79,A028260
11,2015-01-07,139000,140500,135000,135500,1719259,237257296500,-2.17,17442229000.0,-143391500.0,1659110000.0,-18957947500.0,23183.0,1719259.0,1.35,A028260
12,2015-01-08,138000,140500,133000,135000,1699199,233417628000,-0.37,14927250000.0,2642977000.0,-4927392000.0,-12642835000.0,69347.0,1699199.0,4.08,A028260
13,2015-01-09,137500,153500,134000,150000,2971066,427240919000,11.11,26112963500.0,-1581397500.0,-27342324500.0,2810758500.0,70752.0,2971066.0,2.38,A028260
14,2015-01-12,149000,151500,142500,147500,1625748,239681649000,-1.67,11537536500.0,-308387000.0,-8449743000.0,-2779406500.0,72936.0,1625748.0,4.49,A028260
15,2015-01-13,147000,149500,137000,138000,2009453,283800532500,-6.44,-22653212000.0,779289500.0,55215993500.0,-33342071000.0,100136.0,2009453.0,4.98,A028260
16,2015-01-14,138000,141000,135500,137000,889108,123096201500,-0.72,2624828500.0,-3485112000.0,13727173500.0,-12866890000.0,89755.0,889108.0,10.09,A028260
17,2015-01-15,138000,144000,136500,140500,1167317,164318824500,2.55,17549119500.0,1862604500.0,-10107627500.0,-9304096500.0,87509.0,1167317.0,7.5,A028260
18,2015-01-16,139500,142000,135500,136000,743075,102902595500,-3.2,-2651923000.0,-1244508000.0,12357666500.0,-8461235500.0,72905.0,743075.0,9.81,A028260
19,2015-01-19,137000,138000,129500,131000,1115099,149082748000,-3.68,-3852269000.0,1741025000.0,1665388000.0,445856000.0,40178.0,1115099.0,3.6,A028260
20,2015-01-20,132500,134500,131000,131500,620532,82208430500,0.38,3073671000.0,340500000.0,-2928273500.0,-485897500.0,14632.0,620532.0,2.36,A028260
21,2015-01-21,132500,133000,122000,124000,1413084,177923421500,-5.7,-20908784500.0,2383467000.0,20080765000.0,-1555447500.0,154635.0,1413084.0,10.94,A028260
22,2015-01-22,123000,130000,122500,124000,876352,110428987000,0.0,6991625000.0,3568149000.0,-460589000.0,-10099185000.0,25240.0,876352.0,2.88,A028260
23,2015-01-23,128500,132500,126500,131000,1028487,133537428500,5.65,15392961000.0,-2656617500.0,-8859763000.0,-3876580500.0,69980.0,1028487.0,6.8,A028260
24,2015-01-26,130500,134000,129000,129500,492693,64689359000,-1.15,3196658500.0,-332432500.0,-4126780000.0,1262554000.0,12534.0,492693.0,2.54,A028260
25,2015-01-27,131000,135000,130500,135000,743513,99073373000,4.25,11583115000.0,710108000.0,-12295497000.0,2274000.0,50324.0,743513.0,6.77,A028260
26,2015-01-28,137000,143000,137000,140000,1457183,204150126500,3.7,17274572000.0,-148650500.0,-34028015000.0,16902093500.0,26024.0,1457183.0,1.79,A028260
27,2015-01-29,140500,142000,136500,137500,538392,75101070000,-1.79,2585211500.0,364421500.0,3005631500.0,-5955264500.0,32645.0,538392.0,6.06,A028260
28,2015-01-30,144000,146000,135500,136000,919086,128789810000,-1.09,1135424000.0,-794424000.0,4994884000.0,-5335884000.0,55775.0,919086.0,6.07,A028260
29,2015-02-02,135500,137000,134000,135000,339084,45816258500,-0.74,-494039000.0,263291500.0,2260082500.0,-2029335000.0,51353.0,339084.0,15.14,A028260
30,2015-02-03,136500,139000,132500,138500,437428,59648802500,2.59,1707169000.0,685492000.0,-8345558500.0,5952897500.0,29638.0,437428.0,6.78,A028260
31,2015-02-04,139500,140500,137500,137500,321206,44544827500,-0.72,-1163590500.0,644483500.0,1438681500.0,-919574500.0,19139.0,321206.0,5.96,A028260
32,2015-02-05,137500,138500,134000,136000,270183,36728681000,-1.09,1209702000.0,83491000.0,-676902500.0,-616290500.0,6545.0,270183.0,2.42,A028260
33,2015-02-06,138500,141500,136500,138500,500370,69605226940,1.84,22216318000.0,-522784000.0,-17577348000.0,-4116186000.0,14210.0,500370.0,2.84,A028260
34,2015-02-09,139000,141000,138500,138500,346906,48390048000,0.0,14422725000.0,-4632571500.0,-8100838500.0,-1689315000.0,12132.0,346906.0,3.5,A028260
35,2015-02-10,138500,139000,136500,136500,205298,28260796000,-1.44,5405553000.0,-223044000.0,-1544081000.0,-3638428000.0,31145.0,205298.0,15.17,A028260
36,2015-02-11,137000,140000,136500,140000,299268,41630892500,2.56,14605727500.0,-501146000.0,-14659245000.0,554663500.0,7588.0,299268.0,2.54,A028260
37,2015-02-12,141000,142500,139000,139000,262841,36903672500,-0.71,4810107000.0,-632663000.0,-7922512500.0,3745068500.0,9333.0,262841.0,3.55,A028260
38,2015-02-13,140500,150000,139500,147500,1408559,205328076620,6.12,61318498500.0,-3462729500.0,-64493777500.0,6638008500.0,37755.0,1408559.0,2.68,A028260
39,2015-02-16,150000,153500,148000,151500,878719,132664429000,2.71,30207849000.0,-266946000.0,-28519725000.0,-1421178000.0,34254.0,878719.0,3.9,A028260
40,2015-02-17,150500,151000,147000,147000,437959,65105000500,-2.97,2247635000.0,-366070500.0,-2295605500.0,414041000.0,29748.0,437959.0,6.79,A028260
41,2015-02-23,149000,150000,146500,149000,285637,42368012500,1.36,3347801000.0,194104000.0,-6630435500.0,3088530500.0,14120.0,285637.0,4.94,A028260
42,2015-02-24,149500,156000,149000,155000,801969,123142994000,4.03,25677001500.0,-581630000.0,-31981065500.0,6885694000.0,33560.0,801969.0,4.18,A028260
43,2015-02-25,156500,160000,156000,156000,700578,110613193500,0.65,18918260500.0,-119965500.0,-22019462500.0,3221167500.0,20723.0,700578.0,2.96,A028260
44,2015-02-26,157000,159000,154000,158000,372015,58450567500,1.28,4401094500.0,117168500.0,-10172487500.0,5654224500.0,16155.0,372015.0,4.34,A028260
45,2015-02-27,157500,162000,156000,162000,456798,72933034000,2.53,11071282000.0,-605737000.0,-18462924000.0,7997379000.0,28074.0,456798.0,6.15,A028260
46,2015-03-02,162500,163500,155000,159000,561515,89310550000,-1.85,874074500.0,-1089888500.0,-791327000.0,1007141000.0,59555.0,561515.0,10.61,A028260
47,2015-03-03,159000,160000,152000,155000,593735,91681538500,-2.52,3146197000.0,-1682676500.0,4100656000.0,-5564176500.0,84389.0,593735.0,14.21,A028260
48,2015-03-04,154000,157000,153500,155500,326457,50713908500,0.32,3187900500.0,264158000.0,-7642887500.0,4190829000.0,16650.0,326457.0,5.1,A028260
49,2015-03-05,155500,156500,153000,155000,252821,39108758000,-0.32,-5844081500.0,37302500.0,4745620000.0,1061159000.0,9833.0,252821.0,3.89,A028260
50,2015-03-06,155000,159000,154000,159000,373985,58668005000,2.58,5941368000.0,-205073500.0,-10215453500.0,4479159000.0,3802.0,373985.0,1.02,A028260
51,2015-03-09,158000,166000,157000,164500,739332,120660600500,3.46,34715093500.0,-634069000.0,-37933185000.0,3852160500.0,31721.0,739332.0,4.29,A028260
52,2015-03-10,165000,166500,160000,165000,708860,116129276000,0.3,15581978000.0,-714695000.0,-21963154000.0,7095871000.0,46720.0,708860.0,6.59,A028260
53,2015-03-11,160000,164500,155500,161000,1249028,199461455500,-2.42,14622105000.0,-1556397500.0,-22667873000.0,9602165500.0,215340.0,1249028.0,17.24,A028260
