,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2016-11-10,133420,146268,124031,142315,7179018,1003342193000,6.67,-93802499500.0,-9284486500.0,2262432500.0,100824553500.0,9161.0,7179018.0,0.13,A207940
1,2016-11-11,147750,184317,140338,159610,8140539,1336712566000,12.15,-31953497000.0,-3991807500.0,26420782000.0,9524522500.0,33990.0,8140539.0,0.42,A207940
2,2016-11-14,163069,175423,163069,173446,2977177,514321156500,8.67,-12647367500.0,-1394586000.0,1153013500.0,12888940000.0,42439.0,2977177.0,1.43,A207940
3,2016-11-15,176905,179376,160598,164057,2592949,446801727500,-5.41,-18475406000.0,-3826560500.0,18830753000.0,3471213500.0,51027.0,2592949.0,1.97,A207940
4,2016-11-16,166528,170975,161586,168010,1660976,280583787000,2.41,-20790747500.0,-4709388500.0,-14408574000.0,39908710000.0,86652.0,1660976.0,5.22,A207940
5,2016-11-17,174434,175423,165540,165540,912260,157613649500,-1.47,-6277498500.0,-1166513500.0,-2168855000.0,9612867000.0,14360.0,912260.0,1.57,A207940
6,2016-11-18,165046,166034,155657,166034,1312450,213409501000,0.3,-16604754500.0,-1220323500.0,-3200465500.0,21025543500.0,58720.0,1312450.0,4.47,A207940
7,2016-11-21,165540,169987,162081,167022,642124,108333947000,0.6,-3889006500.0,30290000.0,-12129862000.0,15988578500.0,16918.0,642124.0,2.63,A207940
8,2016-11-22,168010,171964,167022,168999,568241,97392144000,1.18,288004000.0,-356790000.0,-7994006500.0,8062792500.0,8086.0,568241.0,1.42,A207940
9,2016-11-23,170481,170481,163069,164057,459085,76739545500,-2.92,-7978008000.0,153785000.0,1889682500.0,5934540500.0,19791.0,459085.0,4.31,A207940
10,2016-11-24,163069,163563,153680,153680,837894,133831419500,-6.33,-13352852000.0,600274500.0,12846226000.0,-93648500.0,38239.0,837894.0,4.56,A207940
11,2016-11-25,152198,161586,151209,160104,702370,111847832000,4.18,-1120759500.0,3121659000.0,-19680382000.0,17679482500.0,15049.0,702370.0,2.14,A207940
12,2016-11-28,159116,163563,157139,159610,411331,66759070000,-0.31,-3273215000.0,115718500.0,-3146908000.0,6304404500.0,59299.0,411331.0,14.42,A207940
13,2016-11-29,155657,157139,149233,155163,893920,138687567000,-2.79,-12094362000.0,-714390000.0,6260839500.0,6547912500.0,152190.0,893920.0,17.03,A207940
14,2016-11-30,154174,156645,148739,152198,2444923,377122477000,-1.91,-48496720000.0,-2921528000.0,-16344905000.0,67763153000.0,458426.0,2444923.0,18.75,A207940
15,2016-12-01,151704,152198,142315,142809,852285,125615900750,-6.17,-12509469500.0,-1315023000.0,35919518500.0,-22095026000.0,57371.0,852285.0,6.73,A207940
