,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2014-11-14,380000,382500,325000,327500,3822084,1352670352500,-13.82,530177490500.0,16814907500.0,-246508495500.0,-300483902500.0,0.0,3822084.0,0.0,A018260
1,2014-11-17,317500,342500,312000,338500,1568450,519092707000,3.36,97740339500.0,11536786500.0,-105112596000.0,-4164530000.0,4078.0,1568450.0,0.26,A018260
2,2014-11-18,342000,375000,340000,366000,1423443,510502632500,8.12,40090377000.0,3312541000.0,-103546399500.0,60143481500.0,4500.0,1423443.0,0.32,A018260
3,2014-11-19,367000,373500,352500,371000,864739,317371607500,1.37,41751181500.0,-256842000.0,-127670190000.0,86175850500.0,7338.0,864739.0,0.85,A018260
4,2014-11-20,369500,400000,367500,398000,1706709,665892464500,7.28,21666944000.0,981179000.0,-196410404000.0,173762281000.0,8977.0,1706709.0,0.53,A018260
5,2014-11-21,398500,413000,393000,400000,967753,391101903500,0.5,-1860004000.0,-220533500.0,-102280904500.0,104361442000.0,8725.0,967753.0,0.9,A018260
6,2014-11-24,405000,408500,384000,404000,942445,374466175000,1.0,-85773832000.0,-3847405000.0,-64427986500.0,154049223500.0,5070.0,942445.0,0.54,A018260
7,2014-11-25,396000,428000,375500,428000,3022131,1239266251000,5.94,-218511286000.0,-3763001000.0,-280862263000.0,503136550000.0,183542.0,3022131.0,6.07,A018260
8,2014-11-26,413000,429500,410500,410500,909494,381991969500,-4.09,-38377939500.0,-2902674000.0,-81949467000.0,123230080500.0,47766.0,909494.0,5.25,A018260
9,2014-11-27,412000,419500,378000,378000,834742,327188559000,-7.92,-30957403000.0,-930585500.0,31941645500.0,-53657000.0,44620.0,834742.0,5.35,A018260
10,2014-11-28,368500,374000,345500,347000,1040525,369728719000,-8.2,172730500.0,-1159332000.0,-6815953000.0,7802554500.0,55201.0,1040525.0,5.31,A018260
11,2014-12-01,357000,361000,343000,343500,531894,186485724000,-1.01,-2963521500.0,82156000.0,10723385000.0,-7842019500.0,43806.0,531894.0,8.24,A018260
12,2014-12-02,342000,356500,341500,353000,428955,149763393000,2.77,5732741000.0,-237213500.0,-18074863500.0,12579336000.0,24262.0,428955.0,5.66,A018260
13,2014-12-03,354000,361000,354000,357000,300156,107506919500,1.13,2300389500.0,814710500.0,-29906798000.0,26791698000.0,25794.0,300156.0,8.59,A018260
14,2014-12-04,361500,368000,354500,355500,262418,95004798000,-0.42,145454500.0,5717079500.0,-15029411000.0,9166877000.0,7728.0,262418.0,2.94,A018260
15,2014-12-05,351500,354500,345000,349500,252744,87964643000,-1.69,-8468431000.0,30790000.0,501610500.0,7936030500.0,16020.0,252744.0,6.34,A018260
16,2014-12-08,352000,352000,333500,334000,291875,99195106000,-4.43,-9084584000.0,-2237016500.0,13446763000.0,-2125162500.0,26347.0,291875.0,9.03,A018260
17,2014-12-09,331000,335000,317000,321000,435603,140922095500,-3.89,-11738787500.0,1050026500.0,6459556500.0,4229204500.0,18778.0,435603.0,4.31,A018260
18,2014-12-10,318000,326500,309000,325500,433680,137561996000,1.4,7898908500.0,1972870000.0,-804015500.0,-9067763000.0,28801.0,433680.0,6.64,A018260
19,2014-12-11,321000,331000,320000,320000,247997,80605592000,-1.69,45378000.0,3261730500.0,2121010000.0,-5428118500.0,16850.0,247997.0,6.79,A018260
20,2014-12-12,318500,321500,309000,309000,291431,91378069000,-3.44,4340654000.0,417921000.0,1758577000.0,-6517152000.0,19424.0,291431.0,6.67,A018260
21,2014-12-15,300000,307500,299000,299500,391426,118079289500,-3.07,460776000.0,622314000.0,8217071500.0,-9300161500.0,42784.0,391426.0,10.93,A018260
22,2014-12-16,296500,298500,286000,286500,486239,141123499000,-4.34,9502722500.0,-980526500.0,-8887420000.0,365224000.0,11350.0,486239.0,2.33,A018260
23,2014-12-17,293500,306500,288000,290000,599116,177069149000,1.22,52658017500.0,3884232500.0,8674403000.0,-65216653000.0,125335.0,599116.0,20.92,A018260
24,2014-12-18,296000,297500,271500,280500,640148,179103424000,-3.28,26517303500.0,694295500.0,4447248000.0,-31658847000.0,36069.0,640148.0,5.63,A018260
25,2014-12-19,285000,292500,279000,287500,698457,199987022500,2.5,35324358000.0,2253059500.0,23214207500.0,-60791625000.0,19136.0,698457.0,2.74,A018260
26,2014-12-22,286000,287500,275000,281500,394511,111596169500,-2.09,24306406500.0,3527124500.0,-3684327000.0,-24149204000.0,58398.0,394511.0,14.8,A018260
