,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,77800,79800,77800,79300,656769,51841815700,2.06,-4245478700.0,613942600.0,5431569700.0,-1800033600.0,61972.0,656769.0,9.44,A009150
1,2012-01-03,80000,82000,79300,82000,744716,60385527600,3.4,12904795800.0,1475728200.0,-16912680600.0,2532156600.0,17974.0,744716.0,2.41,A009150
2,2012-01-04,82100,82400,80900,81000,444122,36217389200,-1.22,-987622000.0,-284584200.0,-3195763900.0,4467970100.0,24183.0,444122.0,5.45,A009150
3,2012-01-05,81000,84500,81000,83000,788519,65730330900,2.47,30967096400.0,701849500.0,-30582300000.0,-1086645900.0,26868.0,788519.0,3.41,A009150
4,2012-01-06,83000,84200,81500,84000,475250,39459652800,1.2,5772394700.0,320433900.0,-9929903800.0,3837075200.0,34291.0,475250.0,7.22,A009150
5,2012-01-09,84700,85200,82800,84200,610088,51248973900,0.24,-5565775600.0,1786979500.0,-2130843100.0,5909639200.0,38930.0,610088.0,6.38,A009150
6,2012-01-10,84000,84600,83400,84300,447468,37598963400,0.12,1102872100.0,1607227700.0,-6087710500.0,3377610700.0,34445.0,447468.0,7.7,A009150
7,2012-01-11,84500,84600,82000,82500,438810,36364762400,-2.14,-14407632000.0,3822950700.0,6420173200.0,4164508100.0,15958.0,438810.0,3.64,A009150
8,2012-01-12,82500,82900,81200,82500,345027,28200627500,0.0,-5831629000.0,347075900.0,2036375100.0,3448178000.0,8384.0,345027.0,2.43,A009150
9,2012-01-13,82200,84800,82200,83900,397632,33379163400,1.7,430151600.0,-106057400.0,-7512644000.0,7188549800.0,1576.0,397632.0,0.4,A009150
10,2012-01-16,83000,83800,82600,83100,197243,16379895400,-0.95,-1948267500.0,-718932400.0,9264100.0,2657935800.0,1588.0,197243.0,0.81,A009150
11,2012-01-17,84000,85000,83500,84400,381995,32184198900,1.56,3119337500.0,-460360600.0,-6414812600.0,3755835700.0,6953.0,381995.0,1.82,A009150
12,2012-01-18,84400,84700,82300,83000,416069,34544655300,-1.66,-9331065700.0,-78301500.0,9011707200.0,397660000.0,56307.0,416069.0,13.53,A009150
13,2012-01-19,84000,86800,83900,86400,1015583,87132754800,4.1,10493303300.0,-1179739000.0,-24100403900.0,14786839600.0,1564.0,1015583.0,0.15,A009150
14,2012-01-20,87200,90000,87200,88500,1204173,107312118600,2.43,20809196700.0,1225127500.0,-34972714800.0,12938390600.0,16891.0,1204173.0,1.4,A009150
15,2012-01-25,89500,90200,86700,88100,783036,69444706100,-0.45,-6976380100.0,-616720500.0,564076600.0,7029024000.0,12626.0,783036.0,1.61,A009150
16,2012-01-26,88500,90000,87900,89600,674944,60282364800,1.7,18085717100.0,-589069900.0,-22721205500.0,5224558300.0,20709.0,674944.0,3.07,A009150
17,2012-01-27,90200,91100,89700,91000,909274,82391357200,1.56,15176400400.0,-5458225700.0,-26985473200.0,17267298500.0,3417.0,909274.0,0.38,A009150
18,2012-01-30,90400,92200,90100,91000,743527,68058135700,0.0,10140016300.0,-1770901100.0,-22748010000.0,14378894800.0,23479.0,743527.0,3.16,A009150
19,2012-01-31,91100,93300,91000,92100,733853,67755480000,1.21,1790642500.0,-401655200.0,-10357898200.0,8968910900.0,29095.0,733853.0,3.96,A009150
20,2012-02-01,92900,93700,92200,92900,519361,48203463900,0.87,-5054721800.0,-689217200.0,-8246257300.0,13990196300.0,7879.0,519361.0,1.52,A009150
21,2012-02-02,94000,97200,93900,96700,1403989,135288297300,4.09,10100796100.0,-1189512400.0,-59934485800.0,51023202100.0,19949.0,1403989.0,1.42,A009150
22,2012-02-03,96200,97000,94400,95500,686149,65622609300,-1.24,-5715077200.0,-1099124200.0,-4010001900.0,10824203300.0,12559.0,686149.0,1.83,A009150
23,2012-02-06,96400,97200,94600,95900,448656,43081899500,0.42,-260762800.0,-805673200.0,-7050770600.0,8117206600.0,8481.0,448656.0,1.89,A009150
24,2012-02-07,95900,96600,92000,92500,882730,82294691000,-3.55,-24070598100.0,562010900.0,11252203700.0,12256383500.0,2040.0,882730.0,0.23,A009150
25,2012-02-08,92700,94400,91700,93700,547298,51141731700,1.3,-8183448200.0,-483208500.0,-23283000.0,8689939700.0,6435.0,547298.0,1.18,A009150
26,2012-02-09,94000,95300,92600,95300,530920,49884284700,1.71,-3180202300.0,17111200.0,-2913782100.0,6076873200.0,2275.0,530920.0,0.43,A009150
27,2012-02-10,95500,96400,94700,95300,334800,31956483300,0.0,-576489600.0,93097600.0,-4669913600.0,5153305600.0,4676.0,334800.0,1.4,A009150
