,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,13400,13480,13280,13460,5149,3448666000,0.9,1932317000.0,0.0,-1226499000.0,-705818000.0,837.0,5149.0,16.26,A005935
1,2012-01-03,13520,13700,13480,13700,20038,13614380000,1.78,-3828523000.0,-3387000.0,-958847000.0,4790757000.0,704.0,20038.0,3.51,A005935
2,2012-01-04,13740,13740,13460,13500,22680,15373516000,-1.46,-4696326000.0,4732000.0,-706976000.0,5398570000.0,2783.0,22680.0,12.27,A005935
3,2012-01-05,13460,13500,13220,13380,20136,13450766000,-0.89,-5726727000.0,-7150000.0,-659721000.0,6393598000.0,586.0,20136.0,2.91,A005935
4,2012-01-06,13400,13480,13060,13360,23226,15329127000,-0.15,-5704716000.0,524840000.0,601810000.0,4578066000.0,127.0,23226.0,0.55,A005935
5,2012-01-09,13340,13340,12740,13180,22678,14728471000,-1.35,1059459000.0,32200000.0,-152871000.0,-938788000.0,3691.0,22678.0,16.28,A005935
6,2012-01-10,13160,13280,12980,13280,28473,18708575000,0.76,2228141000.0,132548000.0,457392000.0,-2818081000.0,1276.0,28473.0,4.48,A005935
7,2012-01-11,13200,13220,12800,12800,38276,24654713500,-3.61,8033814000.0,-955684000.0,4398391000.0,-11476521000.0,1691.0,38276.0,4.42,A005935
8,2012-01-12,12740,12760,12420,12580,39886,25045771000,-1.72,6372677000.0,3199000.0,5939647000.0,-12315523000.0,0.0,39886.0,0.0,A005935
9,2012-01-13,12700,12860,12600,12760,31325,19993226000,1.43,3350609000.0,82633000.0,59614000.0,-3492856000.0,2728.0,31325.0,8.71,A005935
10,2012-01-16,12700,12700,12460,12560,17349,10879781000,-1.57,1308397000.0,0.0,166639000.0,-1475036000.0,0.0,17349.0,0.0,A005935
11,2012-01-17,12660,12720,12540,12680,18036,11409877000,0.96,1559487000.0,-34206000.0,-865328000.0,-659953000.0,0.0,18036.0,0.0,A005935
12,2012-01-18,12840,12940,12560,12940,27425,17467240000,2.05,-2382721000.0,-120928000.0,-4012536000.0,6516185000.0,0.0,27425.0,0.0,A005935
13,2012-01-19,13020,13380,12960,13380,25111,16592247000,3.4,-1554299000.0,-48943000.0,-8828984000.0,10432226000.0,657.0,25111.0,2.62,A005935
14,2012-01-20,13440,13620,13360,13620,51701,34862462000,1.79,3787026000.0,69319000.0,-3487979000.0,-368366000.0,272.0,51701.0,0.53,A005935
15,2012-01-25,13620,13680,13480,13600,39251,26657867000,-0.15,1450170000.0,0.0,3295709000.0,-4745879000.0,389.0,39251.0,0.99,A005935
16,2012-01-26,13580,13660,13280,13280,35173,23539676000,-2.35,7697031000.0,32530000.0,199751000.0,-7929312000.0,9.0,35173.0,0.03,A005935
17,2012-01-27,13280,13400,13240,13360,67573,44994842000,0.6,-1140107000.0,-965513000.0,-3161884000.0,5267504000.0,0.0,67573.0,0.0,A005935
18,2012-01-30,13380,13440,13140,13200,46709,31130248000,-1.2,7645870000.0,0.0,-627891000.0,-7017979000.0,0.0,46709.0,0.0,A005935
19,2012-01-31,13100,13240,13020,13200,89318,58778625000,0.0,11944931000.0,0.0,-636690000.0,-11308241000.0,7.0,89318.0,0.01,A005935
20,2012-02-01,13300,13300,13100,13160,93781,61797861000,-0.3,-5985099000.0,-293407000.0,-2386641000.0,8665147000.0,924.0,93781.0,0.99,A005935
21,2012-02-02,13200,13220,12960,13200,45305,29739686000,0.3,4479686000.0,308574000.0,-165854000.0,-4622406000.0,0.0,45305.0,0.0,A005935
22,2012-02-03,13180,13180,12800,13000,42816,27655927000,-1.52,1232874000.0,12906000.0,2719302000.0,-3965082000.0,5584.0,42816.0,13.04,A005935
23,2012-02-06,13240,13280,13100,13100,23826,15725236000,0.77,-6536039000.0,0.0,-2804069000.0,9340108000.0,0.0,23826.0,0.0,A005935
24,2012-02-07,13300,13340,13200,13260,35946,23877316408,1.22,-5817012000.0,0.0,-2128593000.0,7945605000.0,0.0,35946.0,0.0,A005935
25,2012-02-08,13300,13300,13140,13200,18780,12375043000,-0.45,3495506000.0,-21095000.0,22138000.0,-3496549000.0,134.0,18780.0,0.71,A005935
26,2012-02-09,13200,13200,12980,13200,42481,27792684400,0.0,-3237964000.0,29415000.0,-938678000.0,4147227000.0,1188.0,42481.0,2.8,A005935
27,2012-02-10,13160,13160,12800,12880,28029,18053450000,-2.42,6040532000.0,-1581146000.0,3452270000.0,-7911656000.0,0.0,28029.0,0.0,A005935
28,2012-02-13,12960,13100,12900,13040,34394,22394593100,1.24,2854490000.0,-2594000.0,-2691953000.0,-159943000.0,18.0,34394.0,0.05,A005935
29,2012-02-14,13060,13340,13000,13260,30930,20469830000,1.69,-2502886000.0,-665000.0,-3960396000.0,6463947000.0,0.0,30930.0,0.0,A005935
30,2012-02-15,13300,13660,13280,13640,52392,35428525000,2.87,9884857000.0,-19994000.0,-1669547000.0,-8195316000.0,229.0,52392.0,0.44,A005935
31,2012-02-16,13500,13640,13440,13640,29033,19645679000,0.0,4881777000.0,295972000.0,-7270000.0,-5170479000.0,477.0,29033.0,1.64,A005935
32,2012-02-17,13800,13900,13720,13880,47086,32540001000,1.76,5598033000.0,0.0,-884788000.0,-4713245000.0,362.0,47086.0,0.77,A005935
33,2012-02-20,13840,14000,13800,13900,20349,13224329000,0.14,-809013000.0,786481000.0,-1202800000.0,1225332000.0,291.0,20349.0,1.43,A005935
34,2012-02-21,13960,13980,13660,13880,14741,10219553000,-0.14,-694408000.0,311162000.0,675543000.0,-292297000.0,88.0,14741.0,0.6,A005935
35,2012-02-22,13800,13880,13740,13880,30078,20799987000,0.0,7089207000.0,-24205000.0,1205281000.0,-8270283000.0,21.0,30078.0,0.07,A005935
36,2012-02-23,13780,13780,13360,13440,38871,26147866000,-3.17,1297810000.0,-208162000.0,1290777000.0,-2380425000.0,1314.0,38871.0,3.38,A005935
37,2012-02-24,13400,13700,13360,13640,31734,21559947000,1.49,-2488362000.0,-143632000.0,-929785000.0,3561779000.0,339.0,31734.0,1.07,A005935
38,2012-02-27,13540,13720,13420,13720,10584,7204151000,0.59,-2180893000.0,0.0,-806073000.0,2986966000.0,46.0,10584.0,0.43,A005935
39,2012-02-28,13840,13880,13740,13840,27119,18726674000,0.87,1856519000.0,-87824000.0,-1034846000.0,-733849000.0,6711.0,27119.0,24.75,A005935
40,2012-02-29,13940,14020,13860,14020,62963,43925286000,1.3,787141000.0,-96219000.0,-3980304000.0,3289382000.0,15942.0,62963.0,25.32,A005935
41,2012-03-02,14180,14180,13940,14020,59400,41677707365,0.0,-5965332000.0,0.0,-1961327000.0,7926659000.0,11500.0,59400.0,19.36,A005935
42,2012-03-05,14000,14000,13660,13800,11840,8166702000,-1.57,858784000.0,0.0,873607000.0,-1732391000.0,2634.0,11840.0,22.25,A005935
