,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,20171,20460,20063,20316,514432,14384025700,0.72,-1670262900.0,-98833300.0,1270335200.0,498761000.0,11300.0,514432.0,2.2,A010140
1,2012-01-03,20569,21400,20532,21400,1173477,34292704500,5.34,8663070900.0,132754800.0,-11780342500.0,2984516800.0,21180.0,1173477.0,1.8,A010140
2,2012-01-04,21689,21689,21255,21400,1000448,29732674800,0.0,4709565000.0,-33093000.0,-13484884100.0,8808412100.0,5920.0,1000448.0,0.59,A010140
3,2012-01-05,21255,21400,20930,21075,1162206,33895606950,-1.52,-816890400.0,14546500.0,-1088549850.0,1890893750.0,76820.0,1162206.0,6.61,A010140
4,2012-01-06,20930,21545,20930,20930,1516498,44421508200,-0.69,10761319000.0,1432822500.0,-6936060400.0,-5258081100.0,12760.0,1516498.0,0.84,A010140
5,2012-01-09,20894,21328,20316,21075,989531,28651385900,0.69,6458088850.0,461130500.0,-3795507150.0,-3123712200.0,83730.0,989531.0,8.46,A010140
6,2012-01-10,21183,21761,21183,21545,2010460,60004771250,2.23,19283229700.0,-810238500.0,-14648240400.0,-3824750800.0,35240.0,2010460.0,1.75,A010140
7,2012-01-11,21761,22738,21581,22557,2777859,85840592250,4.7,27149492200.0,1913324000.0,-39215883900.0,10153067700.0,69890.0,2777859.0,2.52,A010140
8,2012-01-12,22846,23207,22484,22701,1973529,62254680900,0.64,9186827800.0,253038000.0,-11916178400.0,2476312600.0,87790.0,1973529.0,4.45,A010140
9,2012-01-13,22954,23750,22774,23533,2606035,84619892500,3.66,24222477800.0,412821500.0,-44375036300.0,19739737000.0,105200.0,2606035.0,4.04,A010140
10,2012-01-16,23569,24437,23424,24364,3491270,115419294450,3.53,-6361824000.0,1237657000.0,-38492073000.0,43616240000.0,258963.0,3491270.0,7.42,A010140
11,2012-01-17,24581,24581,23858,24473,2716102,90995545900,0.45,-7032823500.0,-408539250.0,-11264936250.0,18706299000.0,82430.0,2716102.0,3.03,A010140
12,2012-01-18,24581,25087,24292,24906,2436877,83531496600,1.77,7928610450.0,1086627000.0,-36367647750.0,27352410300.0,61000.0,2436877.0,2.5,A010140
