,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,213000,213000,204000,205500,96631,19945393500,-2.61,-10349072000.0,-269476500.0,7477062500.0,3141486000.0,100.0,96631.0,0.1,A000810
1,2012-01-03,205500,213500,205500,213000,144480,30436180000,3.65,-3971167500.0,-172050500.0,-8232555500.0,12375773500.0,61.0,144480.0,0.04,A000810
2,2012-01-04,216500,216500,211500,212000,95043,20407151000,-0.47,1052087000.0,-7236500.0,-2497252000.0,1452401500.0,37.0,95043.0,0.04,A000810
3,2012-01-05,214500,217500,213000,214000,78892,17014897000,0.94,850254500.0,153872500.0,-1908787500.0,904660500.0,33.0,78892.0,0.04,A000810
4,2012-01-06,217000,217500,210500,215500,55554,11891075500,0.7,-1314535500.0,21367000.0,427574000.0,865594500.0,0.0,55554.0,0.0,A000810
5,2012-01-09,213000,213500,208000,210000,80134,16802947500,-2.55,-5093650000.0,-20019000.0,3588504000.0,1525165000.0,770.0,80134.0,0.96,A000810
6,2012-01-10,210000,212500,209500,209500,125122,26338288000,-0.24,-1173855500.0,-2670788000.0,3036782500.0,807861000.0,14.0,125122.0,0.01,A000810
7,2012-01-11,209500,210000,204500,206500,129766,26787530000,-1.43,-3613049000.0,627532500.0,7575828500.0,-4590312000.0,79.0,129766.0,0.06,A000810
8,2012-01-12,208000,208000,206500,207500,86760,17984354500,0.48,-1633450500.0,25983500.0,3097176500.0,-1489709500.0,35.0,86760.0,0.04,A000810
9,2012-01-13,206000,208000,206000,207500,118922,24605722000,0.0,-7500358500.0,-72338500.0,2855929000.0,4716768000.0,127.0,118922.0,0.11,A000810
10,2012-01-16,207000,207500,205000,207000,190039,39278786000,-0.24,-5371020500.0,437631000.0,-87866500.0,5021256000.0,75.0,190039.0,0.04,A000810
11,2012-01-17,206500,209500,206500,209500,178011,37191846000,1.21,2595382000.0,382624000.0,3144697000.0,-6122703000.0,31.0,178011.0,0.02,A000810
12,2012-01-18,208500,208500,205500,207000,159619,32968946000,-1.19,-6683029500.0,864871500.0,10360633000.0,-4542475000.0,128.0,159619.0,0.08,A000810
13,2012-01-19,207000,208500,205000,206000,242319,49914343000,-0.48,-10910796000.0,1756137500.0,15867078500.0,-6712420000.0,630.0,242319.0,0.26,A000810
14,2012-01-20,206000,207000,202000,203500,420390,85843541537,-1.21,-20332066000.0,3006628000.0,25821096500.0,-8495658500.0,1061.0,420390.0,0.25,A000810
15,2012-01-25,205000,213000,205000,213000,367593,76928758500,4.67,904972500.0,702112500.0,-24222236500.0,22615151500.0,576.0,367593.0,0.16,A000810
16,2012-01-26,212000,213000,210500,213000,137772,29180162000,0.0,-1776463000.0,-69951000.0,-5023058000.0,6869472000.0,241.0,137772.0,0.17,A000810
17,2012-01-27,213500,216500,212500,215000,214744,46139090060,0.94,-14804122000.0,391267000.0,-10668588500.0,25081443500.0,813.0,214744.0,0.38,A000810
18,2012-01-30,213500,213500,208500,211500,169790,35643251500,-1.63,-6754524000.0,588322000.0,4123254000.0,2042948000.0,206.0,169790.0,0.12,A000810
19,2012-01-31,212000,218000,212000,217500,222395,48040242000,2.84,-1932271000.0,421692000.0,-15058513000.0,16569092000.0,65.0,222395.0,0.03,A000810
20,2012-02-01,217500,219500,213000,218500,175182,37939372000,0.46,-1661121500.0,-2002500.0,-1776694500.0,3439818500.0,941.0,175182.0,0.54,A000810
21,2012-02-02,218000,218500,213000,215000,283438,60887344000,-1.6,-4282362500.0,-1079575500.0,11008560500.0,-5646622500.0,740.0,283438.0,0.26,A000810
22,2012-02-03,215000,215500,212500,214000,161849,34603859000,-0.47,-14820545500.0,-695047000.0,1408497500.0,14107095000.0,310.0,161849.0,0.19,A000810
23,2012-02-06,215500,217500,214000,216000,108961,23518668000,0.93,-2831289000.0,82966500.0,-2698376500.0,5446699000.0,283.0,108961.0,0.26,A000810
24,2012-02-07,216500,222000,216000,219500,174105,38295808000,1.62,9798485500.0,2448551000.0,-12091148000.0,-155888500.0,417.0,174105.0,0.24,A000810
25,2012-02-08,221500,222000,213000,215500,387389,83172147000,-1.82,-38974407000.0,-1221362500.0,9942576500.0,30253193000.0,904.0,387389.0,0.23,A000810
26,2012-02-09,215000,215500,206500,208500,396008,82669412404,-3.25,-19332059500.0,226790500.0,29306695500.0,-10201426500.0,595.0,396008.0,0.15,A000810
27,2012-02-10,209000,210500,207000,209500,215491,45118245500,0.48,43596000.0,2619011500.0,1378489000.0,-4041096500.0,544.0,215491.0,0.25,A000810
28,2012-02-13,210500,211500,209000,209000,121300,25437264500,-0.24,1097371500.0,190065500.0,171938000.0,-1459375000.0,502.0,121300.0,0.41,A000810
29,2012-02-14,208500,211000,207500,209000,114511,23906011000,0.0,-4423715500.0,220133500.0,4442493500.0,-238911500.0,420.0,114511.0,0.37,A000810
30,2012-02-15,209000,215000,208500,214000,181880,38761427500,2.39,2776667000.0,-1129138000.0,-14400316500.0,12752787500.0,1210.0,181880.0,0.67,A000810
31,2012-02-16,212000,215500,211000,214000,123778,26479099500,0.0,-5025221500.0,-58522500.0,-7099605000.0,12183349000.0,372.0,123778.0,0.3,A000810
32,2012-02-17,217000,217500,210000,211500,166046,35274235500,-1.17,-9086756500.0,-3823141000.0,-2740922000.0,15650819500.0,1019.0,166046.0,0.61,A000810
33,2012-02-20,214500,214500,209000,209500,152305,31845778000,-0.95,-15114278500.0,-224026000.0,2874393500.0,12463911000.0,349.0,152305.0,0.23,A000810
34,2012-02-21,209000,213500,209000,209500,126746,26794597500,0.0,8325462000.0,-2195855500.0,-1345149000.0,-4784457500.0,315.0,126746.0,0.25,A000810
35,2012-02-22,210500,214500,209500,212500,127716,27161683500,1.43,10271396500.0,400544000.0,-2871230000.0,-7800710500.0,281.0,127716.0,0.22,A000810
36,2012-02-23,213500,214500,210500,214000,99050,21077629500,0.71,4658368000.0,63277500.0,-1918196500.0,-2803449000.0,48.0,99050.0,0.05,A000810
37,2012-02-24,214000,214500,211500,214000,164558,35059833000,0.0,-3130769500.0,17490000.0,-581896000.0,3695175500.0,398.0,164558.0,0.24,A000810
38,2012-02-27,214000,214000,210000,212000,106745,22560278244,-0.93,-8838039500.0,643813000.0,1431558500.0,6762668000.0,409.0,106745.0,0.38,A000810
39,2012-02-28,211000,212500,209000,209000,138657,29159388500,-1.42,-18652056500.0,999566000.0,5645799000.0,12006691500.0,398.0,138657.0,0.29,A000810
40,2012-02-29,211000,212500,209500,211000,192108,40484865863,0.96,-20545701500.0,-1017314000.0,535090500.0,21027925000.0,915.0,192108.0,0.48,A000810
41,2012-03-02,212500,216500,212000,215000,150100,32240838000,1.9,-4080735000.0,-177216000.0,-6225661500.0,10483612500.0,637.0,150100.0,0.42,A000810
42,2012-03-05,213000,213500,210500,211000,65066,13773588000,-1.86,-3756529000.0,-844500.0,5234099500.0,-1476726000.0,288.0,65066.0,0.44,A000810
43,2012-03-06,211000,213000,207500,208000,130654,27296074500,-1.42,-6255588500.0,-255511500.0,13140004000.0,-6628904000.0,64.0,130654.0,0.05,A000810
44,2012-03-07,206500,209500,206000,206500,68620,14230025000,-0.72,-1818253000.0,377504000.0,4693737000.0,-3252988000.0,66.0,68620.0,0.1,A000810
