,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2017-07-28,38509,44376,38509,44376,14075726,667218433300,15.23,-66568441850.0,40332350.0,116209901200.0,-49681791700.0,0.0,14075726.0,0.0,A091990
1,2017-07-31,43935,46317,42479,43891,4965563,248765062400,-1.09,-952498450.0,176200100.0,20753130400.0,-19976832050.0,0.0,4965563.0,0.0,A091990
2,2017-08-01,44905,46228,43317,45258,3611026,183234596650,3.12,-11357712600.0,461837800.0,12137708700.0,-1241833900.0,0.0,3611026.0,0.0,A091990
3,2017-08-02,44817,46052,44111,44993,2495045,127611277500,-0.58,-18677227400.0,-370695800.0,13431251200.0,5616672000.0,0.0,2495045.0,0.0,A091990
4,2017-08-03,44552,45611,42964,45523,3930618,199953032150,1.18,-21921118250.0,1766463600.0,-3728510000.0,23883164650.0,121714.0,3930618.0,3.1,A091990
5,2017-08-04,45611,46317,44288,44288,1671372,85758847750,-2.71,-12986106700.0,-959589200.0,19681733300.0,-5736037400.0,0.0,1671372.0,0.0,A091990
6,2017-08-07,43891,44729,42964,44111,1299281,64701879100,-0.4,6845533900.0,-165998650.0,-3173354400.0,-3506180850.0,25000.0,1299281.0,1.92,A091990
7,2017-08-08,44111,44552,42920,42920,1215685,59920821900,-2.7,6437203450.0,499394700.0,5813070750.0,-12749668900.0,304323.0,1215685.0,25.03,A091990
8,2017-08-09,42920,43008,41376,41376,1202722,57440969350,-3.6,2402069850.0,-290271250.0,629324600.0,-2741123200.0,78935.0,1202722.0,6.56,A091990
9,2017-08-10,41464,42567,41376,41597,651813,30895846600,0.53,731281000.0,-23205000.0,3420298800.0,-4128374800.0,84417.0,651813.0,12.95,A091990
10,2017-08-11,40406,41200,40053,40935,779038,35835981800,-1.59,3946025350.0,106455850.0,553170800.0,-4605652000.0,47548.0,779038.0,6.1,A091990
11,2017-08-14,40935,43273,40891,42964,774490,37253950400,4.96,4146500.0,142115300.0,-6099116350.0,5952854550.0,5400.0,774490.0,0.7,A091990
12,2017-08-16,43538,44640,43361,43802,851666,42498034000,1.95,-3422493700.0,-114133650.0,-883510400.0,4420137750.0,53932.0,851666.0,6.33,A091990
13,2017-08-17,44023,44288,42920,43582,451714,22181962100,-0.5,-1293246300.0,375123650.0,508968250.0,409154400.0,28509.0,451714.0,6.31,A091990
14,2017-08-18,43317,43670,42523,43008,322336,15789278500,-1.32,-1536244900.0,-29128000.0,2304406900.0,-739034000.0,20811.0,322336.0,6.46,A091990
15,2017-08-21,43229,43449,42126,42391,335083,16239782500,-1.44,-1065650400.0,40628250.0,543140650.0,481881500.0,21503.0,335083.0,6.42,A091990
16,2017-08-22,42303,43141,41464,42523,777416,37201524500,0.31,-90059450.0,-170484600.0,-931337100.0,1191881150.0,8212.0,777416.0,1.06,A091990
17,2017-08-23,42523,42876,42082,42347,314419,15137610100,-0.41,-270015550.0,-25260400.0,-849621450.0,1144897400.0,0.0,314419.0,0.0,A091990
18,2017-08-24,42170,42479,41817,42347,286755,13692487700,0.0,1350263650.0,-9135700.0,-2223973650.0,882845700.0,15.0,286755.0,0.01,A091990
19,2017-08-25,42479,43229,42214,42258,399789,19323881150,-0.21,-280565100.0,-98166750.0,1474993800.0,-1096261950.0,27251.0,399789.0,6.82,A091990
20,2017-08-28,42258,43008,42038,42611,295860,14273372600,0.84,3402905550.0,-77745000.0,-3822818450.0,497657900.0,0.0,295860.0,0.0,A091990
21,2017-08-29,42479,43008,42347,42876,315702,15289996900,0.62,850942550.0,18829350.0,-1418860450.0,549088550.0,0.0,315702.0,0.0,A091990
22,2017-08-30,44111,44288,42788,42832,748876,36864227950,-0.1,-3466002950.0,-382999550.0,2601502450.0,1247500050.0,17980.0,748876.0,2.4,A091990
23,2017-08-31,42832,42832,42082,42170,399507,19168061000,-1.54,-4091938900.0,-13140500.0,2610695050.0,1494384350.0,4223.0,399507.0,1.06,A091990
24,2017-09-01,42523,42523,42082,42214,220418,10549920500,0.1,187062050.0,-175177100.0,-1352505650.0,1340620700.0,7739.0,220418.0,3.51,A091990
25,2017-09-04,40979,42082,40847,41906,588420,27652566250,-0.73,-7623831450.0,985628950.0,3689131650.0,2949070850.0,991.0,588420.0,0.17,A091990
26,2017-09-05,41994,42170,41420,41950,248210,11714573700,0.11,-1683263700.0,-167761700.0,482678300.0,1368347100.0,329.0,248210.0,0.13,A091990
27,2017-09-06,41685,42303,41597,42303,295414,14077456750,0.84,595065950.0,89437900.0,-1505066800.0,820562950.0,147.0,295414.0,0.05,A091990
28,2017-09-07,42082,42126,41200,41464,667820,31419842750,-1.98,-9753423750.0,-152364200.0,11570953800.0,-1665165850.0,82095.0,667820.0,12.29,A091990
29,2017-09-08,41553,41597,39612,39921,1060321,48442140500,-3.72,-7647780100.0,31273650.0,20661533150.0,-13045026700.0,126564.0,1060321.0,11.94,A091990
