,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,105227,105827,104027,104927,7004,7332273000,-0.29,-160695000.0,-466091000.0,1942230000.0,-1315444000.0,1486.0,7004.0,21.22,A090430
1,2012-01-03,105027,108028,105027,108028,13551,14506944000,2.96,1802013000.0,-481078000.0,-2137225000.0,816290000.0,82.0,13551.0,0.61,A090430
2,2012-01-04,109828,109828,105627,107028,15546,16636219000,-0.93,-6291065000.0,2134000.0,1712325000.0,4576606000.0,23.0,15546.0,0.15,A090430
3,2012-01-05,107328,108028,105627,106627,12386,13225090000,-0.37,-6201811000.0,-59640000.0,590940000.0,5670511000.0,192.0,12386.0,1.55,A090430
4,2012-01-06,107028,107028,104527,105027,11541,12123927000,-1.5,-5413847000.0,0.0,2410551000.0,3003296000.0,38.0,11541.0,0.33,A090430
5,2012-01-09,104327,104427,100026,100126,26668,26823411659,-4.67,-5829108659.0,2467000.0,9632032000.0,-3805390341.0,5593.0,26668.0,20.97,A090430
6,2012-01-10,100726,101826,100026,100026,19175,19261981922,-0.1,-4517195922.0,178088000.0,3449782000.0,889325922.0,1951.0,19175.0,10.17,A090430
7,2012-01-11,100326,101326,97325,98325,30042,29773937000,-1.7,-5994885000.0,-681185000.0,9560803000.0,-2884733000.0,214.0,30042.0,0.71,A090430
8,2012-01-12,98725,99926,98325,99226,16780,16608080000,0.92,-569846000.0,-129540000.0,864867000.0,-165481000.0,246.0,16780.0,1.47,A090430
9,2012-01-13,98325,100626,98225,98425,19903,19811049000,-0.81,-3149423000.0,44780000.0,1380576000.0,1724067000.0,879.0,19903.0,4.42,A090430
10,2012-01-16,99126,101326,98625,100426,13826,13828035000,2.03,389639000.0,41110000.0,-4652005000.0,4221256000.0,113.0,13826.0,0.82,A090430
11,2012-01-17,101326,102926,100526,101126,15251,15497637000,0.7,-3262124000.0,74151000.0,-1148243000.0,4336216000.0,1088.0,15251.0,7.13,A090430
12,2012-01-18,100526,100926,98825,100326,14899,14838408000,-0.79,-2102218000.0,215169000.0,4018593000.0,-2131544000.0,156.0,14899.0,1.05,A090430
13,2012-01-19,100126,102726,100126,101826,17227,17516090000,1.5,2341355000.0,-274011000.0,-2926780000.0,859436000.0,402.0,17227.0,2.33,A090430
14,2012-01-20,102526,103827,101726,103827,17656,18168956000,1.96,-3015879000.0,-303134000.0,-5295149000.0,8614162000.0,279.0,17656.0,1.58,A090430
15,2012-01-25,103627,103627,101026,102126,19052,19490732000,-1.64,4374001000.0,-4730000.0,2435441000.0,-6804712000.0,3189.0,19052.0,16.74,A090430
16,2012-01-26,103327,103727,102826,103227,18135,18706162000,1.08,-574323000.0,-18573000.0,-151826000.0,744722000.0,1070.0,18135.0,5.9,A090430
17,2012-01-27,103227,103927,102726,103627,12094,12517026000,0.39,-1324788000.0,-14528000.0,-2106258000.0,3445574000.0,622.0,12094.0,5.14,A090430
18,2012-01-30,102226,102226,99526,99626,26694,26747918800,-3.86,-1982719000.0,28954000.0,7252811000.0,-5299046000.0,168.0,26694.0,0.63,A090430
19,2012-01-31,99926,100526,99626,100126,48618,48625159914,0.5,-2064656608.0,178141000.0,1361055000.0,525460608.0,756.0,48618.0,1.55,A090430
20,2012-02-01,99826,100826,99326,99826,14368,14327676250,-0.3,-1791259000.0,0.0,3793394000.0,-2002135000.0,92.0,14368.0,0.64,A090430
21,2012-02-02,99926,100726,99126,99626,28092,28020352750,-0.2,-1773103000.0,-22936000.0,3347853000.0,-1551814000.0,1921.0,28092.0,6.84,A090430
22,2012-02-03,99526,100126,97325,98025,22192,21819628496,-1.61,-5975890000.0,-188408000.0,6737287000.0,-572989000.0,142.0,22192.0,0.64,A090430
23,2012-02-06,98025,99526,97225,98425,20541,20204869000,0.41,-5362068000.0,-9877000.0,523027000.0,4848918000.0,52.0,20541.0,0.25,A090430
24,2012-02-07,98125,100326,98125,99926,13522,13396053000,1.52,4048936000.0,-184943000.0,-1873964000.0,-1990029000.0,415.0,13522.0,3.07,A090430
25,2012-02-08,100926,101126,99126,100026,19133,19175434000,0.1,-3445020000.0,-498548000.0,956070000.0,2987498000.0,659.0,19133.0,3.44,A090430
26,2012-02-09,100026,100126,97825,99025,28031,27625258000,-1.0,-3529549000.0,0.0,7825285000.0,-4295736000.0,605.0,28031.0,2.16,A090430
27,2012-02-10,98625,98825,96125,96425,31883,30878031000,-2.63,-11038649000.0,-322923000.0,19719419000.0,-8357847000.0,45.0,31883.0,0.14,A090430
28,2012-02-13,96425,97725,96225,97525,12891,12492049000,1.14,-2339573000.0,-996197000.0,110113000.0,3225657000.0,251.0,12891.0,1.95,A090430
29,2012-02-14,96825,97625,96025,96425,19603,18909510000,-1.13,-3663066000.0,174144000.0,9214352000.0,-5725430000.0,2080.0,19603.0,10.61,A090430
30,2012-02-15,96425,98025,96425,98025,13011,12673509000,1.66,-358197000.0,-103001000.0,-2718972000.0,3180170000.0,439.0,13011.0,3.37,A090430
31,2012-02-16,98025,100826,97925,100626,29464,29404022000,2.65,13589836000.0,-271914000.0,-16393166000.0,3075244000.0,530.0,29464.0,1.8,A090430
32,2012-02-17,100526,103927,100326,103527,21988,22544212000,2.88,13245900000.0,677729000.0,-12110697000.0,-1812932000.0,1137.0,21988.0,5.17,A090430
33,2012-02-20,103327,103827,101726,103627,15392,15782641000,0.1,7786358000.0,-506764000.0,-1969442000.0,-5310152000.0,1640.0,15392.0,10.65,A090430
34,2012-02-21,102326,104127,102226,103927,15205,15749340000,0.29,9023060000.0,-1039000.0,-5399200000.0,-3622821000.0,1527.0,15205.0,10.04,A090430
35,2012-02-22,103027,104127,102126,103527,12226,12621288000,-0.38,4357336000.0,-50177000.0,-1421492000.0,-2885667000.0,457.0,12226.0,3.74,A090430
36,2012-02-23,103527,106527,102426,106327,19513,20470663000,2.71,4211390000.0,0.0,-6855376000.0,2643986000.0,1075.0,19513.0,5.51,A090430
37,2012-02-24,105027,106427,105027,106427,9668,10233085000,0.09,-2176353000.0,-4226000.0,-1355664000.0,3536243000.0,460.0,9668.0,4.76,A090430
38,2012-02-27,106227,106227,103927,105027,16197,16977346000,-1.32,-1072698000.0,0.0,-99866000.0,1172564000.0,221.0,16197.0,1.36,A090430
39,2012-02-28,103627,104627,102426,103427,13628,14084577000,-1.52,1550743000.0,0.0,1314708000.0,-2865451000.0,126.0,13628.0,0.92,A090430
40,2012-02-29,102726,106027,101526,102626,24027,24664333000,-0.77,-5552124000.0,-67502000.0,5880053000.0,-260427000.0,1447.0,24027.0,6.02,A090430
41,2012-03-02,102626,103027,101526,101826,11263,11501272000,-0.78,-2488101000.0,-51076000.0,1254411000.0,1284766000.0,149.0,11263.0,1.32,A090430
42,2012-03-05,101526,104527,101326,104527,14078,14536001000,2.65,-143493000.0,-34090000.0,-4816413000.0,4993996000.0,338.0,14078.0,2.4,A090430
43,2012-03-06,104727,106127,103627,105727,19178,20203351000,1.15,-1655739000.0,-282424000.0,-7935794000.0,9873957000.0,527.0,19178.0,2.75,A090430
44,2012-03-07,105727,106227,105027,106127,14907,15717818000,0.38,-2486780000.0,6333000.0,-3131251000.0,5611698000.0,1715.0,14907.0,11.5,A090430
45,2012-03-08,105127,106327,105027,105727,9963,10526713000,-0.38,457676000.0,0.0,-951460000.0,493784000.0,1096.0,9963.0,11.0,A090430
46,2012-03-09,105727,109128,105327,108128,19783,21334212000,2.27,-3809231000.0,-86830000.0,-7844246000.0,11740307000.0,1346.0,19783.0,6.8,A090430
47,2012-03-12,108928,111629,106627,111629,17334,19083725000,3.24,5191833000.0,-10710000.0,-8640251000.0,3459128000.0,1458.0,17334.0,8.41,A090430
48,2012-03-13,111529,113629,110628,113429,29327,32887399000,1.61,1698928000.0,613786000.0,-6102870000.0,3790156000.0,2648.0,29327.0,9.03,A090430
