,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,304000,309500,299000,303000,64024,19367520000,-1.46,-5294875500.0,361656500.0,5411188500.0,-477969500.0,3743.0,64024.0,5.85,A036570
1,2012-01-03,302000,308500,298500,300500,116020,35042351500,-0.83,-11784573000.0,-182483000.0,8567277000.0,3399779000.0,3753.0,116020.0,3.23,A036570
2,2012-01-04,303000,303500,293500,294000,117326,34774115500,-2.16,-14315923500.0,123231500.0,10086439000.0,4106253000.0,1640.0,117326.0,1.4,A036570
3,2012-01-05,295000,295000,275500,276500,372235,104275202072,-5.95,-31797174500.0,-288408500.0,38071482500.0,-5985899500.0,5806.0,372235.0,1.56,A036570
4,2012-01-06,276500,281000,271000,272000,285999,78759902500,-1.63,1255683000.0,2778238000.0,7207279500.0,-11241200500.0,2211.0,285999.0,0.77,A036570
5,2012-01-09,275000,276000,269500,270000,178219,48495533000,-0.74,-7021821500.0,394098000.0,9466808500.0,-2839085000.0,698.0,178219.0,0.39,A036570
6,2012-01-10,270500,280500,269500,278000,140528,38883855500,2.96,8676439500.0,816242000.0,-8526105000.0,-966576500.0,456.0,140528.0,0.32,A036570
7,2012-01-11,279000,279000,274500,275000,123443,34129658500,-1.08,-377163500.0,-1255809500.0,2550761500.0,-917788500.0,1125.0,123443.0,0.91,A036570
8,2012-01-12,274000,279000,272500,277000,109608,30237881000,0.73,635880000.0,-39869000.0,-398796500.0,-197214500.0,2419.0,109608.0,2.21,A036570
9,2012-01-13,279500,285500,277000,284500,147476,41757244500,2.71,9246065500.0,-317210500.0,-9662646000.0,733791000.0,7451.0,147476.0,5.05,A036570
10,2012-01-16,284000,284000,273500,283000,154000,42775677000,-0.53,-1808313000.0,-396080500.0,4029911500.0,-1825518000.0,893.0,154000.0,0.58,A036570
11,2012-01-17,287000,288000,278000,282000,203143,57547972500,-0.35,-232129000.0,-1095730500.0,-7022905500.0,8350765000.0,8933.0,203143.0,4.4,A036570
12,2012-01-18,282000,285500,275500,280000,138122,38690729000,-0.71,4460008500.0,215153500.0,2250011000.0,-6925173000.0,6330.0,138122.0,4.58,A036570
13,2012-01-19,282000,285000,280500,282000,118479,33463745500,0.71,948543000.0,408930500.0,-2650783000.0,1293309500.0,1397.0,118479.0,1.18,A036570
14,2012-01-20,281000,292000,281000,290500,197141,56965327000,3.01,14141257000.0,1765237500.0,-10866244500.0,-5040250000.0,5875.0,197141.0,2.98,A036570
15,2012-01-25,290000,291500,282000,282500,142945,40815389500,-2.75,-5960261500.0,-1170203000.0,10170105500.0,-3039641000.0,6104.0,142945.0,4.27,A036570
16,2012-01-26,286000,291000,285000,288000,141240,40799048400,1.95,-424496900.0,305825500.0,-6836436500.0,6955107900.0,2525.0,141240.0,1.79,A036570
17,2012-01-27,291000,298500,288000,295500,157808,46684923500,2.6,7672340500.0,324537000.0,-8499759000.0,502881500.0,3983.0,157808.0,2.52,A036570
18,2012-01-30,295000,295000,289500,294000,81479,23781815000,-0.51,8236369500.0,96252000.0,-1914879000.0,-6417742500.0,3740.0,81479.0,4.59,A036570
19,2012-01-31,294500,298000,287000,294500,125558,36787554380,0.17,2418081000.0,428594500.0,3019715500.0,-5866391000.0,10354.0,125558.0,8.25,A036570
20,2012-02-01,294500,298500,290000,296000,95571,28254709000,0.51,-1572728000.0,90044000.0,-2935573000.0,4418257000.0,2625.0,95571.0,2.75,A036570
21,2012-02-02,295000,298000,284000,288500,259219,74848575500,-2.53,-21326960500.0,-2103927000.0,22642601000.0,788286500.0,6663.0,259219.0,2.57,A036570
22,2012-02-03,288500,288500,265000,266500,548199,148617286000,-7.63,-21930096000.0,935655500.0,40805148500.0,-19810708000.0,6939.0,548199.0,1.27,A036570
23,2012-02-06,270000,270000,254500,256000,354182,91953909000,-3.94,-8674178000.0,429305000.0,19716449500.0,-11471576500.0,1798.0,354182.0,0.51,A036570
24,2012-02-07,260000,266500,258000,264000,236855,62305446500,3.13,-1216219000.0,-470804000.0,-3386917500.0,5073940500.0,2193.0,236855.0,0.93,A036570
25,2012-02-08,261000,277000,261000,271000,279803,75897544000,2.65,3283274500.0,1315404000.0,-6610332000.0,2011653500.0,2517.0,279803.0,0.9,A036570
26,2012-02-09,271000,277000,270500,277000,167873,45978081000,2.21,994906000.0,-493415500.0,-4100339000.0,3598848500.0,3507.0,167873.0,2.09,A036570
27,2012-02-10,279500,280000,275000,279500,141088,39147362000,0.9,7925909000.0,-650311500.0,-1685029500.0,-5590568000.0,8351.0,141088.0,5.92,A036570
28,2012-02-13,275000,286500,275000,278500,194269,54822335500,-0.36,8244363500.0,-183096500.0,-4749850000.0,-3311417000.0,13788.0,194269.0,7.1,A036570
29,2012-02-14,278500,291500,277000,290000,195014,56081098500,4.13,19519495000.0,-945319000.0,-22674769000.0,4100593000.0,2901.0,195014.0,1.49,A036570
30,2012-02-15,289000,309000,283500,305000,389635,117764546000,5.17,24123178500.0,-1129350500.0,-24489438500.0,1495610500.0,16644.0,389635.0,4.27,A036570
31,2012-02-16,305000,307500,289500,293500,247808,73806715000,-3.77,13938270000.0,1565457500.0,13933287500.0,-29437015000.0,25617.0,247808.0,10.34,A036570
32,2012-02-17,294500,301000,272500,273000,556942,155381918500,-6.98,394650000.0,1744156500.0,62633362000.0,-64772168500.0,15144.0,556942.0,2.72,A036570
33,2012-02-20,274000,275500,268500,273000,298511,80942891500,0.0,2862101500.0,204362500.0,31767983500.0,-34834447500.0,2564.0,298511.0,0.86,A036570
34,2012-02-21,274000,279000,273000,278000,143514,39643100500,1.83,832318000.0,-317578000.0,701083500.0,-1215823500.0,11640.0,143514.0,8.11,A036570
35,2012-02-22,276000,281500,274500,279000,120761,33561270500,0.36,-3687222500.0,275066000.0,3324232500.0,87924000.0,18413.0,120761.0,15.25,A036570
36,2012-02-23,280000,280000,271000,274000,124043,33915431500,-1.79,-7988516000.0,-18796500.0,7050687500.0,956625000.0,4676.0,124043.0,3.77,A036570
37,2012-02-24,275500,278000,270000,271000,109383,29767895500,-1.09,-12042752500.0,-592333500.0,9734295500.0,2900790500.0,2055.0,109383.0,1.88,A036570
38,2012-02-27,270000,271500,265000,265000,117212,31296658000,-2.21,-3343885500.0,-40880500.0,6804982000.0,-3420216000.0,243.0,117212.0,0.21,A036570
39,2012-02-28,265000,273000,265000,272500,86393,23370018500,2.83,-1574955500.0,-31176500.0,-156281500.0,1762413500.0,3284.0,86393.0,3.8,A036570
40,2012-02-29,273500,280000,272000,277000,136999,37888949000,1.65,-1237706000.0,-326339500.0,-3482715500.0,5046761000.0,10467.0,136999.0,7.64,A036570
41,2012-03-02,279000,281000,272500,279000,138456,38425450500,0.72,3776462000.0,374178500.0,-7482683000.0,3332042500.0,12363.0,138456.0,8.93,A036570
42,2012-03-05,282500,284000,279000,281000,128276,36177697000,0.72,8546881000.0,27532000.0,-4831625500.0,-3742787500.0,4108.0,128276.0,3.2,A036570
43,2012-03-06,283000,283000,276500,280500,75274,21092245000,-0.18,7896913000.0,-761223000.0,-3117592000.0,-4018098000.0,6964.0,75274.0,9.25,A036570
44,2012-03-07,277500,291000,273500,290500,182815,52183812500,3.57,13373241500.0,-352001000.0,-16360278000.0,3339037500.0,12136.0,182815.0,6.64,A036570
45,2012-03-08,295500,296000,285500,286500,213075,61921075500,-1.38,-448296500.0,113487500.0,9597531000.0,-9262722000.0,17101.0,213075.0,8.03,A036570
46,2012-03-09,289000,291000,283000,286500,131215,37605599000,0.0,1699082500.0,75582500.0,2898174000.0,-4672839000.0,1324.0,131215.0,1.01,A036570
47,2012-03-12,289500,290000,281500,282000,92235,26144598500,-1.57,-5167470500.0,-1987071000.0,5960237500.0,1194304000.0,2902.0,92235.0,3.15,A036570
48,2012-03-13,285000,290000,285000,287000,175063,50369331000,1.77,502652500.0,-3485112000.0,-11707155500.0,14689615000.0,2142.0,175063.0,1.22,A036570
49,2012-03-14,291000,304000,288000,301500,294059,87581745000,5.05,16016009500.0,837030500.0,-25988595500.0,9135555500.0,4169.0,294059.0,1.42,A036570
50,2012-03-15,304000,313500,303500,309000,301036,93139498500,2.49,-11818446500.0,-459732500.0,-33849588500.0,46127767500.0,3623.0,301036.0,1.2,A036570
51,2012-03-16,306500,309000,298000,304000,163456,49431314500,-1.62,-5222042500.0,754796500.0,5573328500.0,-1106082500.0,4675.0,163456.0,2.86,A036570
