,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2019-02-13,15600,15600,14950,15300,3961223,60493081000,-1.92,-16491861000.0,-252210600.0,13734774500.0,3009297100.0,761823.0,3961223.0,19.23,A316140
1,2019-02-14,15250,16000,15200,16000,2626606,41225176050,4.58,-3590295650.0,-551561850.0,-9341096600.0,13482954100.0,219132.0,2626606.0,8.34,A316140
2,2019-02-15,15800,15850,15600,15650,1276624,20061778200,-2.19,-124064500.0,612782100.0,3341717850.0,-3830435450.0,44068.0,1276624.0,3.45,A316140
3,2019-02-18,15700,15800,15650,15750,1034314,16278082700,0.64,3915148250.0,-120516200.0,-776944750.0,-3017687300.0,134835.0,1034314.0,13.04,A316140
4,2019-02-19,15800,15850,15550,15550,974123,15314593450,-1.27,1834813750.0,354872400.0,-403515750.0,-1786170400.0,71171.0,974123.0,7.31,A316140
5,2019-02-20,15400,15500,15100,15250,2923220,44464223600,-1.93,-9304485650.0,851018250.0,14033789400.0,-5580322000.0,85042.0,2923220.0,2.91,A316140
6,2019-02-21,15200,15250,15050,15100,883514,13355661650,-0.98,-727770900.0,60258300.0,4193804550.0,-3526291950.0,16266.0,883514.0,1.84,A316140
7,2019-02-22,14950,15000,14750,14850,1546763,22940400350,-1.66,-2942701500.0,210876450.0,10965168650.0,-8233343600.0,14625.0,1546763.0,0.95,A316140
8,2019-02-25,14900,15050,14850,14900,905856,13539179100,0.34,3092102200.0,-3786400.0,-1076585900.0,-2011729900.0,3369.0,905856.0,0.37,A316140
9,2019-02-26,14900,14950,14700,14700,890582,13161284950,-1.34,-587173950.0,30963900.0,5424840900.0,-4868630850.0,2805.0,890582.0,0.31,A316140
10,2019-02-27,14650,14850,14500,14800,1573961,23100083250,0.68,-3552715000.0,8310423350.0,1536311200.0,-6294019550.0,40728.0,1573961.0,2.59,A316140
11,2019-02-28,14800,14800,14600,14800,2377878,35093424600,0.0,4407157200.0,1164750.0,136726150.0,-4545048100.0,122322.0,2377878.0,5.14,A316140
12,2019-03-04,14700,14750,14350,14400,1547446,22487957750,-2.7,-1306415100.0,-65043050.0,8660366450.0,-7288908300.0,26921.0,1547446.0,1.74,A316140
13,2019-03-05,14400,14400,14150,14250,1286767,18322053100,-1.04,-146023000.0,16530200.0,3259351350.0,-3129858550.0,12202.0,1286767.0,0.95,A316140
14,2019-03-06,14350,14450,14150,14350,1117292,15980837100,0.7,1433199000.0,1650721000.0,-2447319800.0,-636600200.0,27576.0,1117292.0,2.47,A316140
15,2019-03-07,14400,14450,14150,14200,905411,12912363350,-1.05,-865439250.0,54340000.0,1720127200.0,-909027950.0,28143.0,905411.0,3.11,A316140
16,2019-03-08,14150,14200,14000,14000,651905,9186031600,-1.41,575249650.0,-106111900.0,516151750.0,-985289500.0,10010.0,651905.0,1.54,A316140
17,2019-03-11,13950,14200,13950,14150,663971,9352211650,1.07,1131992550.0,-159642300.0,-1913338950.0,940988700.0,32209.0,663971.0,4.85,A316140
