,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-08-06,53700,69800,51000,69800,59402373,3750576118800,29.98,99622598300.0,-24123080900.0,-303717895100.0,228218377700.0,0.0,59402373.0,0.0,A323410
1,2021-08-09,69800,89100,69000,78500,44833696,3693290372000,12.46,-19275042200.0,-5855899800.0,68719431400.0,-43588489400.0,4937.0,44833696.0,0.01,A323410
2,2021-08-10,81800,85600,68000,71400,26495122,1951618052400,-9.04,61677975300.0,-428238438700.0,357318437600.0,9242025800.0,7976.0,26495122.0,0.03,A323410
3,2021-08-11,71200,77500,68100,74400,21592734,1612276943500,4.2,65866901200.0,-760958500.0,-93653761100.0,28547818400.0,8468.0,21592734.0,0.04,A323410
4,2021-08-12,73600,75400,72700,73800,5878196,435828753800,-0.81,23313595600.0,-106615600.0,-37257733000.0,14050753000.0,2220.0,5878196.0,0.04,A323410
5,2021-08-13,73500,78600,73500,76600,10907993,833265977000,3.79,43260739300.0,153053400.0,-74810090300.0,31396297600.0,66.0,10907993.0,0.0,A323410
6,2021-08-17,78100,88300,77500,87400,24272931,2023549857900,14.1,48336387800.0,-556306100.0,-139512098200.0,91732016500.0,1100.0,24272931.0,0.0,A323410
7,2021-08-18,89600,94400,83800,84500,21008684,1902924333900,-3.32,9404428900.0,625320400.0,-53176547100.0,43146797800.0,284.0,21008684.0,0.0,A323410
8,2021-08-19,87300,92300,86400,92000,13606690,1214265765200,8.88,29024735000.0,-347517600.0,-67423098700.0,38745881300.0,16.0,13606690.0,0.0,A323410
9,2021-08-20,92800,94000,88600,91000,15815275,1446903524600,-1.09,45376562400.0,25739800.0,-61933248000.0,16530945800.0,5004.0,15815275.0,0.03,A323410
10,2021-08-23,91900,92800,87900,89800,4868621,438641116800,-1.32,4879983900.0,-754999100.0,-3819252900.0,-305731900.0,4620.0,4868621.0,0.09,A323410
11,2021-08-24,90000,90000,84700,85400,6553145,565588294800,-4.9,19948341800.0,-966214300.0,36052598100.0,-55034725600.0,0.0,6553145.0,0.0,A323410
12,2021-08-25,84500,84600,81500,82100,6086152,501765965800,-3.86,22155834100.0,-133524503400.0,24507286800.0,86861382500.0,0.0,6086152.0,0.0,A323410
13,2021-08-26,83400,85300,82100,83400,4255489,356482377400,1.58,10884760900.0,433504500.0,14225506900.0,-25543772300.0,0.0,4255489.0,0.0,A323410
14,2021-08-27,82500,84400,82500,83800,2174014,181581194600,0.48,13435533500.0,-49057300.0,-11446764300.0,-1939711900.0,4.0,2174014.0,0.0,A323410
15,2021-08-30,84000,84300,81600,81900,1782049,146562122300,-2.27,7001986400.0,-14274100.0,-6408924700.0,-578787600.0,67.0,1782049.0,0.0,A323410
16,2021-08-31,81000,83900,80900,83900,1768789,145547183800,2.44,7624765600.0,-104565700.0,-25437428700.0,17917228800.0,5218.0,1768789.0,0.3,A323410
17,2021-09-01,83800,88900,82900,88800,6376407,554585161300,5.84,15388171600.0,18631000.0,-87325436800.0,71918634200.0,73.0,6376407.0,0.0,A323410
18,2021-09-02,81800,83600,81000,81900,22859096,1850634875700,-7.77,-885112504500.0,4552523100.0,249000745000.0,631559236400.0,1082.0,22859096.0,0.0,A323410
19,2021-09-03,82900,83000,80200,80800,3987547,324387884400,-1.34,-2218049700.0,1092077500.0,113828374400.0,-112702402200.0,73.0,3987547.0,0.0,A323410
