,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,36600,36650,35250,35500,138452,4956956100,-3.01,-2094192500.0,246599500.0,2521716000.0,-674123000.0,10870.0,138452.0,7.85,A021240
1,2012-01-03,35550,36300,35500,36300,197621,7083333650,2.25,1179523700.0,3255000.0,-520457200.0,-662321500.0,13350.0,197621.0,6.76,A021240
2,2012-01-04,36050,36700,36050,36450,145469,5307637550,0.41,-1783150450.0,-4015000.0,-872070400.0,2659235850.0,7130.0,145469.0,4.9,A021240
3,2012-01-05,36600,36800,35850,36100,150868,5478589500,-0.96,-1702632600.0,-18732000.0,691255600.0,1030109000.0,9660.0,150868.0,6.4,A021240
4,2012-01-06,35850,36300,35500,36300,108536,3889340500,0.55,-1255347000.0,-3213000.0,127296200.0,1131263800.0,3270.0,108536.0,3.01,A021240
5,2012-01-09,36450,36450,35800,36200,222784,8044993500,-0.28,-3479233600.0,-7959500.0,198883600.0,3288309500.0,17310.0,222784.0,7.77,A021240
6,2012-01-10,36400,37750,36400,37650,141392,5283749550,4.01,1287206200.0,34071500.0,-3171556200.0,1850278500.0,5360.0,141392.0,3.79,A021240
7,2012-01-11,37650,37650,36750,37300,142867,5288947950,-0.93,-1605454600.0,0.0,426095100.0,1179359500.0,6360.0,142867.0,4.45,A021240
8,2012-01-12,37550,37750,36750,37750,74610,2789160700,1.21,-276878500.0,0.0,-694146500.0,971025000.0,3280.0,74610.0,4.4,A021240
9,2012-01-13,37300,38100,37250,38100,131301,4972658750,0.93,-66938500.0,-35052000.0,-2144463500.0,2246454000.0,16280.0,131301.0,12.4,A021240
10,2012-01-16,37700,37700,37100,37400,65212,2432376300,-1.84,-1088554000.0,0.0,201858500.0,886695500.0,3200.0,65212.0,4.91,A021240
11,2012-01-17,37300,38700,37300,38500,138935,5322872550,2.94,205612000.0,0.0,-2773575500.0,2567963500.0,16970.0,138935.0,12.21,A021240
12,2012-01-18,38100,38950,37750,38900,127011,4854691400,1.04,-3597200.0,0.0,-1315016800.0,1318614000.0,30410.0,127011.0,23.94,A021240
13,2012-01-19,38550,39150,38250,38250,149066,5738616600,-1.67,883348750.0,0.0,365225250.0,-1248574000.0,15170.0,149066.0,10.18,A021240
14,2012-01-20,37950,39450,37950,39400,254421,9889853900,3.01,-1248054100.0,-115965500.0,-3738057500.0,5102077100.0,1540.0,254421.0,0.61,A021240
15,2012-01-25,39600,39600,38150,38950,206304,8005010300,-1.14,-3374419700.0,19300000.0,418885000.0,2936234700.0,10060.0,206304.0,4.88,A021240
16,2012-01-26,38800,39500,38500,38700,152795,5932485500,-0.64,-2695541000.0,-8170500.0,46098200.0,2657613300.0,4060.0,152795.0,2.66,A021240
17,2012-01-27,38500,39350,38350,39300,131180,5115126500,1.55,-1112829000.0,-166017000.0,-1151864000.0,2430710000.0,620.0,131180.0,0.47,A021240
18,2012-01-30,39050,39400,38550,38700,125003,4853413600,-1.53,-708610400.0,0.0,124013900.0,584596500.0,3770.0,125003.0,3.02,A021240
19,2012-01-31,39700,40700,38700,40650,351894,14115209850,5.04,-2134176350.0,-345391500.0,-4798473400.0,7278041250.0,690.0,351894.0,0.2,A021240
20,2012-02-01,40600,41000,39800,40000,157235,6345868500,-1.6,-1098006500.0,-165100500.0,419530500.0,843576500.0,2890.0,157235.0,1.84,A021240
21,2012-02-02,39500,40500,39500,40400,165588,6623756200,1.0,-2491225800.0,-537259000.0,-233116000.0,3261600800.0,8280.0,165588.0,5.0,A021240
22,2012-02-03,40500,41050,40250,40500,194892,7909706000,0.25,-1763437500.0,-2026632000.0,-314901500.0,4104971000.0,1260.0,194892.0,0.65,A021240
23,2012-02-06,41300,41950,39600,39900,312715,12778399200,-1.48,-3032397100.0,-541782000.0,1418222100.0,2155957000.0,7990.0,312715.0,2.56,A021240
24,2012-02-07,38500,39400,36200,38000,1153181,43759744600,-4.76,-1900431500.0,166049000.0,456428000.0,1277954500.0,12320.0,1153181.0,1.07,A021240
