,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,17574,17574,17029,17142,2875,528977100,-0.54,284644100.0,552300.0,-262908500.0,-22287900.0,61.0,2875.0,2.12,A003670
1,2012-01-03,17011,17386,17011,17189,11187,2053494900,0.27,263978500.0,-7708700.0,-285257800.0,28988000.0,57.0,11187.0,0.51,A003670
2,2012-01-04,17189,17480,17095,17189,12950,2387823600,0.0,-546165200.0,75914400.0,76715400.0,393535400.0,54.0,12950.0,0.42,A003670
3,2012-01-05,17189,17199,17039,17039,5731,1042430400,-0.87,53732900.0,76762800.0,-140729400.0,10233700.0,2.0,5731.0,0.03,A003670
4,2012-01-06,17039,17189,16785,16851,4107,737280700,-1.1,-264243800.0,0.0,292381300.0,-28137500.0,206.0,4107.0,5.02,A003670
5,2012-01-09,16851,16907,16391,16391,13063,2291272700,-2.73,-1077330600.0,-8274700.0,980393600.0,105211700.0,162.0,13063.0,1.24,A003670
6,2012-01-10,16532,16532,16015,16053,22863,3936474900,-2.06,-2065939100.0,0.0,2093290600.0,-27351500.0,31.0,22863.0,0.14,A003670
7,2012-01-11,16071,16240,15790,16015,17510,2964092900,-0.23,-44792100.0,13320400.0,274858800.0,-243387100.0,0.0,17510.0,0.0,A003670
8,2012-01-12,16062,16203,15808,15987,11179,1900053500,-0.18,-355339100.0,53450500.0,451855900.0,-149967300.0,218.0,11179.0,1.95,A003670
9,2012-01-13,15686,16240,15686,15912,11581,1977225500,-0.47,208344200.0,0.0,350927400.0,-559271600.0,0.0,11581.0,0.0,A003670
10,2012-01-16,15705,15846,15602,15639,12709,2119810500,-1.71,-1205581500.0,0.0,1272301900.0,-66720400.0,0.0,12709.0,0.0,A003670
11,2012-01-17,15733,15752,15160,15188,34951,5696430600,-2.88,-1669142500.0,-5367900.0,2674529600.0,-1000019200.0,70.0,34951.0,0.2,A003670
12,2012-01-18,15217,15498,14644,15048,37742,6006799400,-0.93,-1697932800.0,-28591200.0,1564995900.0,161528100.0,0.0,37742.0,0.0,A003670
13,2012-01-19,15095,15405,14954,15405,24726,4001276100,2.37,-727435900.0,59048500.0,495047600.0,173339800.0,351.0,24726.0,1.42,A003670
14,2012-01-20,15724,15912,15451,15780,31709,5287756900,2.44,626730900.0,-7652000.0,74497500.0,-693576400.0,77.0,31709.0,0.24,A003670
15,2012-01-25,15799,15808,15461,15752,16880,2805044200,-0.18,-251329500.0,-32394600.0,350221800.0,-66497700.0,21.0,16880.0,0.12,A003670
16,2012-01-26,15752,15921,15480,15818,28590,4783646500,0.42,487349700.0,69123900.0,-611574700.0,55101100.0,0.0,28590.0,0.0,A003670
17,2012-01-27,15987,15987,15592,15592,16271,2711341200,-1.43,-1116029300.0,0.0,1279219200.0,-163189900.0,0.0,16271.0,0.0,A003670
18,2012-01-30,15508,15527,15076,15123,18653,3031629800,-3.01,-1426170600.0,-54925900.0,1226571700.0,254524800.0,55.0,18653.0,0.29,A003670
19,2012-01-31,15076,15451,15076,15405,14638,2386588300,1.86,595176100.0,-132507600.0,-708246800.0,245578300.0,0.0,14638.0,0.0,A003670
20,2012-02-01,15527,15592,15151,15329,25910,4209883700,-0.49,-1342308700.0,0.0,1366505400.0,-24196700.0,0.0,25910.0,0.0,A003670
21,2012-02-02,15339,15498,15188,15395,23583,3844921800,0.43,-63589900.0,18931500.0,765745900.0,-721087500.0,105.0,23583.0,0.45,A003670
22,2012-02-03,15451,15451,15104,15273,23490,3812647700,-0.79,85511200.0,-8180000.0,1115960000.0,-1193291200.0,189.0,23490.0,0.8,A003670
23,2012-02-06,15273,15273,14747,14832,45421,7210395500,-2.89,-803622000.0,-119538000.0,3298662300.0,-2375502300.0,265.0,45421.0,0.58,A003670
24,2012-02-07,14672,14907,14522,14578,35489,5529520100,-1.71,-1471070800.0,-49886700.0,1796963000.0,-276005500.0,907.0,35489.0,2.56,A003670
25,2012-02-08,14653,14888,14287,14390,44536,6892211000,-1.29,-3808924400.0,1271487600.0,2433298300.0,104138500.0,0.0,44536.0,0.0,A003670
26,2012-02-09,14399,14531,14033,14277,49069,7389115600,-0.78,-2421226200.0,0.0,2295781700.0,125444500.0,15.0,49069.0,0.03,A003670
27,2012-02-10,14024,15198,14024,15029,56401,8812250800,5.26,1896224900.0,-11207600.0,-1875721100.0,-9296200.0,8.0,56401.0,0.01,A003670
28,2012-02-13,15029,15188,14794,15095,22281,3562093900,0.44,453625300.0,71579200.0,-329116700.0,-196087800.0,10.0,22281.0,0.04,A003670
29,2012-02-14,15132,15132,14794,14794,17122,2706697700,-1.99,-635488200.0,-30317900.0,1188590300.0,-522784200.0,0.0,17122.0,0.0,A003670
30,2012-02-15,14803,15029,14437,14897,25233,3940232900,0.7,178925800.0,-17280800.0,-113627300.0,-48017700.0,0.0,25233.0,0.0,A003670
31,2012-02-16,14897,14907,14569,14775,15757,2468471800,-0.82,-624871600.0,0.0,511064300.0,113807300.0,7.0,15757.0,0.04,A003670
32,2012-02-17,14775,14822,14446,14766,27644,4299660200,-0.06,556934700.0,-16912500.0,-7608200.0,-532414000.0,17.0,27644.0,0.06,A003670
33,2012-02-20,14766,14775,14512,14587,24329,3786425500,-1.21,-575018600.0,46646800.0,558522800.0,-30151000.0,0.0,24329.0,0.0,A003670
34,2012-02-21,14653,14653,14465,14587,16809,2607385000,0.0,-72002100.0,3094000.0,-13305900.0,82214000.0,0.0,16809.0,0.0,A003670
35,2012-02-22,14587,14963,14475,14832,40192,6284401100,1.67,-542765100.0,62623800.0,-265191000.0,745332300.0,0.0,40192.0,0.0,A003670
36,2012-02-23,14747,15123,14606,14935,26190,4177426500,0.7,829544400.0,1590000.0,-923158700.0,92024300.0,110.0,26190.0,0.42,A003670
37,2012-02-24,15151,16062,15029,15940,86838,14501351400,6.73,3227619600.0,275454500.0,-3779673700.0,276599600.0,706.0,86838.0,0.81,A003670
38,2012-02-27,16109,16297,15733,16043,34517,5899712800,0.65,248572000.0,-27845700.0,297938100.0,-518664400.0,255.0,34517.0,0.74,A003670
39,2012-02-28,15921,15949,15583,15827,23356,3920798700,-1.35,1051372100.0,78917200.0,-843306300.0,-286983000.0,86.0,23356.0,0.37,A003670
40,2012-02-29,15827,16400,15574,16137,31792,5357629000,1.96,458197700.0,65480500.0,-2307721100.0,1784042900.0,405.0,31792.0,1.27,A003670
41,2012-03-02,16137,16184,15790,15874,28396,4811888700,-1.63,-596909600.0,36984000.0,1457537200.0,-897611600.0,8.0,28396.0,0.03,A003670
42,2012-03-05,15874,15949,15367,15423,26260,4336970400,-2.84,-804183300.0,92262300.0,1259131100.0,-547210100.0,23.0,26260.0,0.09,A003670
43,2012-03-06,15451,15451,15123,15311,18127,2935795200,-0.73,-87765800.0,50026000.0,-150882000.0,188621800.0,62.0,18127.0,0.34,A003670
44,2012-03-07,15123,15498,15066,15292,8547,1384663900,-0.12,-393232600.0,8026800.0,300153000.0,85052800.0,90.0,8547.0,1.05,A003670
45,2012-03-08,15001,15386,14944,14944,28213,4524356500,-2.27,-1909024500.0,9619500.0,2419175100.0,-519770100.0,103.0,28213.0,0.37,A003670
46,2012-03-09,15104,15104,14653,14907,32424,5099324400,-0.25,-1676401700.0,94157600.0,1655002600.0,-72758500.0,1.0,32424.0,0.0,A003670
47,2012-03-12,15001,15001,14653,14897,18429,2893520200,-0.06,-692376200.0,-69761700.0,784543100.0,-22405200.0,0.0,18429.0,0.0,A003670
48,2012-03-13,14841,14925,14681,14738,20014,3140931900,-1.07,-1120809500.0,10879400.0,1089551900.0,20378200.0,0.0,20014.0,0.0,A003670
49,2012-03-14,14794,14841,14662,14700,21126,3312868500,-0.25,-836428200.0,-11129500.0,680814000.0,166743700.0,91.0,21126.0,0.43,A003670
50,2012-03-15,14775,15001,14653,14785,15692,2462956200,0.58,-413058400.0,0.0,432372100.0,-19313700.0,919.0,15692.0,5.86,A003670
51,2012-03-16,14719,14860,14662,14832,11565,1814919600,0.32,-305133000.0,313849300.0,-32922700.0,24206400.0,11.0,11565.0,0.1,A003670
52,2012-03-19,14850,14897,14653,14672,9192,1439802900,-1.08,-383201800.0,3791700.0,466902100.0,-87492000.0,215.0,9192.0,2.34,A003670
53,2012-03-20,14709,14709,14306,14381,23808,3656879900,-1.98,-446449000.0,6680900.0,472574800.0,-32806700.0,221.0,23808.0,0.93,A003670
54,2012-03-21,14371,14371,14052,14052,27875,4195158300,-2.29,-1862546400.0,-87057100.0,1904169400.0,45434100.0,0.0,27875.0,0.0,A003670
55,2012-03-22,14052,14155,13235,13441,47677,6873901300,-4.34,-1440264600.0,-3991900.0,2868487500.0,-1424231000.0,40.0,47677.0,0.08,A003670
56,2012-03-23,13244,13479,13122,13282,27524,3881629100,-1.19,-502237700.0,0.0,891889400.0,-389651700.0,188.0,27524.0,0.68,A003670
57,2012-03-26,13451,13695,13150,13207,23438,3351934400,-0.57,-1503688700.0,143200.0,1341519500.0,162026000.0,0.0,23438.0,0.0,A003670
58,2012-03-27,13263,13347,13113,13113,18745,2626531400,-0.71,-455764300.0,71492200.0,525777900.0,-141505800.0,0.0,18745.0,0.0,A003670
59,2012-03-28,13037,13657,12737,13582,49193,6831317100,3.58,-467396800.0,-41190000.0,332922300.0,175664500.0,172.0,49193.0,0.35,A003670
60,2012-03-29,13441,13582,13150,13432,19535,2768361000,-1.11,390742600.0,-22445500.0,-267067000.0,-101230100.0,25.0,19535.0,0.13,A003670
61,2012-03-30,13282,13620,13282,13432,18346,2634112700,0.0,126221800.0,0.0,-171765400.0,45543600.0,109.0,18346.0,0.59,A003670
62,2012-04-02,13657,13667,13488,13535,8504,1228059600,0.77,63420100.0,1445000.0,-237184900.0,172319800.0,0.0,8504.0,0.0,A003670
63,2012-04-03,13667,13733,13394,13404,15344,2211889600,-0.97,-212256600.0,0.0,94662700.0,117593900.0,0.0,15344.0,0.0,A003670
64,2012-04-04,13413,13517,12981,13150,17019,2380655800,-1.89,311157500.0,-16586000.0,386610800.0,-681182300.0,96.0,17019.0,0.56,A003670
65,2012-04-05,12991,13338,12991,13150,9046,1265671800,0.0,-172584100.0,2648600.0,162146100.0,7789400.0,44.0,9046.0,0.49,A003670
