,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,35100,35550,34550,35100,473470,16567966950,-1.27,-2419810500.0,310344500.0,883804000.0,1225662000.0,150.0,473470.0,0.03,A086790
1,2012-01-03,35200,36900,35200,36750,786044,28689319600,4.7,2893275250.0,-223855000.0,-8579834500.0,5910414250.0,90.0,786044.0,0.01,A086790
2,2012-01-04,37050,37050,35800,35900,559129,20281751050,-2.31,1104211200.0,-15846500.0,1629187500.0,-2717552200.0,20.0,559129.0,0.0,A086790
3,2012-01-05,35500,35700,34500,34750,1279660,44735004750,-3.2,-458104750.0,3281702500.0,12508446000.0,-15332043750.0,160.0,1279660.0,0.01,A086790
4,2012-01-06,34750,35100,34550,34950,538734,18754068400,0.58,-3677020450.0,-35927000.0,-1032144850.0,4745092300.0,0.0,538734.0,0.0,A086790
5,2012-01-09,34700,34900,33500,34100,1139376,38562536900,-2.43,-5676917500.0,185879500.0,11497268700.0,-6006230700.0,4860.0,1139376.0,0.43,A086790
6,2012-01-10,34050,34450,33900,34150,1020904,34896206100,0.15,973695950.0,32498000.0,2687469100.0,-3693663050.0,0.0,1020904.0,0.0,A086790
7,2012-01-11,34250,34250,33850,33950,581316,19759922650,-0.59,2539101400.0,181012500.0,-137998700.0,-2582115200.0,120.0,581316.0,0.02,A086790
8,2012-01-12,34100,34200,33900,34000,899471,30570659050,0.15,8457814500.0,332151000.0,4773104000.0,-13563069500.0,140.0,899471.0,0.02,A086790
9,2012-01-13,33950,34300,33900,34200,1106812,37781425450,0.59,9803250500.0,665411000.0,3654068150.0,-14122729650.0,130.0,1106812.0,0.01,A086790
10,2012-01-16,34200,34600,34100,34400,1135782,39056698950,0.58,15489680300.0,487528000.0,163529700.0,-16140738000.0,150.0,1135782.0,0.01,A086790
11,2012-01-17,34700,36950,34600,36450,2845993,102001821050,5.96,36962358300.0,211039200.0,-15751999000.0,-21421398500.0,1780.0,2845993.0,0.06,A086790
12,2012-01-18,36050,37600,36000,37250,1331020,49534492900,2.19,5628412250.0,-1305748000.0,-12829921250.0,8507257000.0,390.0,1331020.0,0.03,A086790
13,2012-01-19,37350,37700,36000,36800,1730200,63356294600,-1.21,-15703967900.0,422170000.0,6567452900.0,8714345000.0,430.0,1730200.0,0.02,A086790
