,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,40310,40310,39392,39537,98734,4048501100,-1.92,413987500.0,-1640000.0,157816500.0,-570164000.0,60.0,98734.0,0.06,A036460
1,2012-01-03,39730,41325,39633,40987,157040,6643292500,3.67,2926528200.0,-47690000.0,-3115398700.0,236560500.0,50.0,157040.0,0.03,A036460
2,2012-01-04,41470,42920,40793,42340,229928,10109193700,3.3,4954507200.0,-80953500.0,-5530160200.0,656606500.0,10.0,229928.0,0.0,A036460
3,2012-01-05,42098,43935,42098,43838,305998,13796081200,3.54,7820002400.0,-310785500.0,-8716771900.0,1207555000.0,1680.0,305998.0,0.55,A036460
4,2012-01-06,43838,43838,42727,43403,110219,4934400000,-0.99,1870894500.0,-3138500.0,-1027549500.0,-840206500.0,4030.0,110219.0,3.66,A036460
5,2012-01-09,42872,44370,42775,43983,170381,7740054500,1.34,1427434000.0,4515000.0,-2791752000.0,1359803000.0,2070.0,170381.0,1.21,A036460
6,2012-01-10,44273,44370,43113,43162,135871,6105579400,-1.87,50282400.0,-22170000.0,279032950.0,-307145350.0,14790.0,135871.0,10.89,A036460
7,2012-01-11,43113,43113,41277,42050,197752,8546307700,-2.58,-2090469500.0,469908000.0,1828857500.0,-208296000.0,11070.0,197752.0,5.6,A036460
8,2012-01-12,42050,42630,41373,42147,91631,3956497900,0.23,-756915300.0,-23141000.0,403074800.0,376981500.0,1050.0,91631.0,1.15,A036460
9,2012-01-13,42050,42340,41180,41857,132632,5712899250,-0.69,-1764121000.0,-4205000.0,860193000.0,908133000.0,2060.0,132632.0,1.55,A036460
10,2012-01-16,41228,41422,40117,41422,207300,8725544250,-1.04,555591000.0,13675000.0,116958000.0,-686224000.0,3270.0,207300.0,1.58,A036460
11,2012-01-17,41422,42243,41373,41905,96346,4172324600,1.17,208580750.0,16053000.0,-515750250.0,291116500.0,5040.0,96346.0,5.23,A036460
12,2012-01-18,41470,41712,40600,41567,152540,6471866850,-0.81,-1342423500.0,-41769500.0,1265951000.0,118242000.0,1330.0,152540.0,0.87,A036460
13,2012-01-19,41470,42243,41325,41325,107651,4651871550,-0.58,-312954000.0,2137500.0,-890109500.0,1200926000.0,4450.0,107651.0,4.13,A036460
14,2012-01-20,41760,42098,41035,41277,182998,7821344200,-0.12,-3584623600.0,169512500.0,956926100.0,2458185000.0,380.0,182998.0,0.21,A036460
