,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,36000,36350,35400,35700,45469,1624139400,-1.79,156131700.0,19355000.0,293675800.0,-469162500.0,0.0,45469.0,0.0,A071050
1,2012-01-03,35850,38000,35850,38000,172711,6478503000,6.44,981278500.0,-63645000.0,-2473472500.0,1555839000.0,2000.0,172711.0,1.16,A071050
2,2012-01-04,38100,38200,36900,37600,80439,3017885750,-1.05,-380503250.0,-58421500.0,-84417250.0,523342000.0,1000.0,80439.0,1.24,A071050
3,2012-01-05,37600,38150,37200,37500,65267,2468085500,-0.27,962009500.0,-7610000.0,-586351500.0,-368048000.0,0.0,65267.0,0.0,A071050
4,2012-01-06,37100,37650,36050,36600,87444,3197044400,-2.4,-194853500.0,0.0,386288500.0,-191435000.0,600.0,87444.0,0.69,A071050
5,2012-01-09,36300,36300,35400,35450,99310,3534605000,-3.14,-16314000.0,-7476000.0,1055007000.0,-1031217000.0,800.0,99310.0,0.81,A071050
6,2012-01-10,35750,36350,35350,35350,164695,5890444300,-0.28,-1175449450.0,0.0,1855828900.0,-680379450.0,0.0,164695.0,0.0,A071050
7,2012-01-11,35450,36300,35450,35900,110435,3971101400,1.56,918338800.0,0.0,-1407403300.0,489064500.0,0.0,110435.0,0.0,A071050
8,2012-01-12,35500,36850,35500,36750,112339,4083710100,2.37,-210706750.0,18291500.0,-518607250.0,711022500.0,0.0,112339.0,0.0,A071050
9,2012-01-13,36750,37600,36750,37600,76830,2876487000,2.31,507410400.0,599592000.0,-1090903900.0,-16098500.0,120.0,76830.0,0.16,A071050
10,2012-01-16,37450,38100,36300,38100,116702,4349564000,1.33,-679191500.0,-45350000.0,-452700500.0,1177242000.0,5020.0,116702.0,4.3,A071050
11,2012-01-17,38150,39300,38100,38500,174750,6758014000,1.05,-679088500.0,-159080000.0,-309139000.0,1147307500.0,0.0,174750.0,0.0,A071050
12,2012-01-18,38500,39300,37700,38600,108542,4198547650,0.26,537074000.0,0.0,-689031000.0,151957000.0,90.0,108542.0,0.08,A071050
13,2012-01-19,39300,40000,39300,39750,167371,6645590750,2.98,-202583750.0,119857000.0,-1711426750.0,1794153500.0,1000.0,167371.0,0.6,A071050
14,2012-01-20,39500,41150,39300,41150,318655,12889142050,3.52,6991470250.0,-831901000.0,-2684995350.0,-3474573900.0,0.0,318655.0,0.0,A071050
15,2012-01-25,41150,41400,40250,40250,136220,5574277200,-2.19,363170250.0,-67550500.0,-790646250.0,495026500.0,0.0,136220.0,0.0,A071050
16,2012-01-26,40350,41350,39400,39550,166242,6637622500,-1.74,-725053750.0,-157863400.0,190173750.0,692743400.0,90.0,166242.0,0.05,A071050
17,2012-01-27,39400,41100,39350,40900,275965,11053211350,3.41,1497485500.0,210115300.0,-380466800.0,-1327134000.0,0.0,275965.0,0.0,A071050
18,2012-01-30,40400,41100,40200,40900,179747,7334778750,0.0,-152035000.0,-24827000.0,-178244500.0,355106500.0,1000.0,179747.0,0.56,A071050
19,2012-01-31,40900,41100,40400,40800,161264,6577944200,-0.24,-699803600.0,-1226500.0,-318137600.0,1019167700.0,0.0,161264.0,0.0,A071050
