,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,25300,25600,25000,25100,763150,19230024800,-1.76,-5138834600.0,-755585500.0,4090390600.0,1804029500.0,7340.0,763150.0,0.96,A015760
1,2012-01-03,25100,25900,25100,25650,994385,25534775250,2.19,6412982500.0,4096000.0,-7170601500.0,753523000.0,35940.0,994385.0,3.61,A015760
2,2012-01-04,25950,26500,25700,26050,1409633,36997799750,1.56,6080980650.0,-107859000.0,-7748588650.0,1775467000.0,27110.0,1409633.0,1.92,A015760
3,2012-01-05,26300,27400,26200,27050,2161506,58480851450,3.84,9146269600.0,-167798500.0,-23059859800.0,14081388700.0,31780.0,2161506.0,1.47,A015760
4,2012-01-06,27100,27150,26550,27050,1208888,32546966250,0.0,7106849500.0,2671688500.0,-6331238350.0,-3447299650.0,42270.0,1208888.0,3.5,A015760
5,2012-01-09,27150,27750,26700,27400,1893366,52092050200,1.29,-1566152300.0,-11439500.0,-15155195400.0,16732787200.0,94582.0,1893366.0,5.0,A015760
6,2012-01-10,27600,27800,27100,27400,942208,25853063400,0.0,12949602900.0,-141921000.0,-5312703800.0,-7494978100.0,910.0,942208.0,0.1,A015760
7,2012-01-11,27400,27450,26600,26900,1267915,34000373500,-1.82,-10080744800.0,-260127000.0,3733304800.0,6607567000.0,3140.0,1267915.0,0.25,A015760
8,2012-01-12,27050,27200,26750,27150,784038,21146484850,0.93,-4676392150.0,-29381000.0,-2755564350.0,7461337500.0,140.0,784038.0,0.02,A015760
9,2012-01-13,27150,27350,26400,26750,1337932,35843636950,-1.47,-14100601000.0,-2143000.0,3566601000.0,10536143000.0,78620.0,1337932.0,5.88,A015760
10,2012-01-16,26500,26550,26000,26100,874265,22832378800,-2.43,-11401561700.0,-114153000.0,6157311700.0,5358403000.0,33590.0,874265.0,3.84,A015760
11,2012-01-17,26200,26700,26150,26350,759111,20105851500,0.96,-3797391500.0,259431500.0,-763785500.0,4301745500.0,13200.0,759111.0,1.74,A015760
12,2012-01-18,26350,26600,26000,26550,857121,22534635350,0.76,-3851600700.0,-1234241000.0,1440839200.0,3645002500.0,51310.0,857121.0,5.99,A015760
13,2012-01-19,26550,27050,26550,26700,893471,24012348600,0.56,2093401000.0,537635000.0,-8858907300.0,6227871300.0,74390.0,893471.0,8.33,A015760
14,2012-01-20,26700,27000,26500,26750,1012559,27069323300,0.19,-7855364750.0,-134232500.0,-2628441500.0,10618038750.0,42240.0,1012559.0,4.17,A015760
15,2012-01-25,26850,27150,26500,27050,1039870,28112586000,1.12,1096981100.0,-378641000.0,-5676070450.0,4957730350.0,64900.0,1039870.0,6.24,A015760
16,2012-01-26,27000,27400,26900,27200,1040670,28306788050,0.55,8912740100.0,159449600.0,-5867783400.0,-3204406300.0,210.0,1040670.0,0.02,A015760
17,2012-01-27,27150,27300,26750,27000,767252,20686064700,-0.74,-4205316000.0,218741500.0,-361017000.0,4347591500.0,937.0,767252.0,0.12,A015760
