,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-10-04,52000,52300,47300,48600,4496906,219168550850,-6.54,-18915415900.0,1602215500.0,29981564400.0,-12668364000.0,100.0,4496906.0,0.0,A161390
1,2012-10-05,49300,49900,47700,47800,2391611,115289333700,-1.65,-38032613700.0,2864896500.0,13088806700.0,22078910500.0,68.0,2391611.0,0.0,A161390
2,2012-10-08,48250,49900,48050,49750,1557787,76765483850,4.08,16833758500.0,250715000.0,-7608263000.0,-9476210500.0,0.0,1557787.0,0.0,A161390
3,2012-10-09,49200,50500,49000,49950,822201,40934173350,0.4,3250714850.0,-650484300.0,-3765542600.0,1165312050.0,1380.0,822201.0,0.17,A161390
4,2012-10-10,49700,50700,49200,49750,965577,48413842250,-0.4,12989210250.0,89528500.0,-7720998250.0,-5357740500.0,4170.0,965577.0,0.43,A161390
5,2012-10-11,49550,50500,49250,50400,516997,25773730300,1.31,-3074583100.0,67975500.0,-2261165500.0,5267773100.0,130.0,516997.0,0.03,A161390
6,2012-10-12,49750,50400,49450,49600,741488,36797265450,-1.59,-10152814150.0,-114645850.0,-147331050.0,10414791050.0,0.0,741488.0,0.0,A161390
7,2012-10-15,49600,49700,47750,47950,875296,42668153000,-3.33,-10798444700.0,-726622400.0,-6445712800.0,17970779900.0,0.0,875296.0,0.0,A161390
8,2012-10-16,48700,48700,46850,47900,493754,23512020860,-0.1,-5339550700.0,126384000.0,3865645000.0,1347521700.0,36210.0,493754.0,7.33,A161390
9,2012-10-17,47700,48200,46350,46800,842483,39708166950,-2.3,-11489642050.0,-150474500.0,3935870750.0,7704245800.0,18990.0,842483.0,2.25,A161390
10,2012-10-18,47200,48300,47000,48300,588785,28184386200,3.21,-1872914000.0,-460875000.0,-12600674300.0,14934463300.0,0.0,588785.0,0.0,A161390
11,2012-10-19,48200,48700,47750,48500,438330,21174887400,0.41,246457500.0,-789317000.0,-4773971000.0,5316830500.0,8700.0,438330.0,1.98,A161390
12,2012-10-22,47550,48350,47400,48050,299361,14282701000,-0.93,-5715994950.0,-80511000.0,1923981500.0,3872524450.0,7590.0,299361.0,2.54,A161390
13,2012-10-23,47700,48100,47200,47600,385508,18303046700,-0.94,-5887284350.0,-355268500.0,-434912450.0,6677465300.0,240.0,385508.0,0.06,A161390
14,2012-10-24,47150,47200,44800,46600,962945,44183747850,-2.1,-9637538500.0,-1251295500.0,5382518500.0,5506315500.0,33770.0,962945.0,3.51,A161390
15,2012-10-25,46000,48350,45400,48300,604083,28272657200,3.65,7910457100.0,-108195500.0,-10654124000.0,2851862400.0,6170.0,604083.0,1.02,A161390
16,2012-10-26,47750,48100,46200,46700,405308,18958305800,-3.31,-285622600.0,-173437000.0,-422850600.0,881910200.0,2480.0,405308.0,0.61,A161390
17,2012-10-29,46350,46800,43500,43900,662143,29466197200,-6.0,-11049837200.0,-1334928000.0,11052289400.0,1332475800.0,0.0,662143.0,0.0,A161390
18,2012-10-30,43200,45700,43200,45000,575886,25866648350,2.51,104240000.0,281937000.0,-4737566000.0,4351389000.0,1870.0,575886.0,0.32,A161390
19,2012-10-31,45400,46400,45100,46000,286488,13148512950,2.22,296499500.0,-33030000.0,-4009753850.0,3746284350.0,12752.0,286488.0,4.45,A161390
20,2012-11-01,46000,46800,43800,44150,596621,26490126500,-4.02,-2827020500.0,-1202678550.0,-1842929500.0,5872628550.0,630.0,596621.0,0.11,A161390
21,2012-11-02,45000,46450,44700,44950,646045,29277019250,1.81,-4422015200.0,3905000.0,1713835050.0,2704275150.0,0.0,646045.0,0.0,A161390
22,2012-11-05,44000,44300,42200,43350,866801,37516869300,-3.56,-5957302650.0,-389014800.0,10758797600.0,-4412480150.0,710.0,866801.0,0.08,A161390
23,2012-11-06,43500,45450,42800,45100,464032,20610232150,4.04,1154271100.0,320864000.0,-6331609600.0,4856474500.0,280.0,464032.0,0.06,A161390
24,2012-11-07,45200,45400,44000,44350,290460,12880261400,-1.66,-782402400.0,-164769000.0,2106829500.0,-1159658100.0,1580.0,290460.0,0.54,A161390
25,2012-11-08,43550,44850,43550,44850,307943,13613423750,1.13,3001903750.0,133389100.0,-3431725250.0,296432400.0,260.0,307943.0,0.08,A161390
26,2012-11-09,44000,44200,42900,43400,655681,28318302550,-3.23,2457492100.0,6544700.0,11349181100.0,-13813217900.0,27782.0,655681.0,4.24,A161390
27,2012-11-12,43000,43200,42200,42350,437225,18574054500,-2.42,-5806966000.0,324575500.0,8602764000.0,-3120373500.0,11178.0,437225.0,2.56,A161390
