,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,46555,47547,46484,47477,9487,631488400,2.13,490324200.0,1971000.0,-497527400.0,5232200.0,28.0,9487.0,0.3,A128940
1,2012-01-03,47406,47477,46272,46272,17190,1132443500,-2.54,-476441600.0,0.0,378487000.0,97954600.0,6034.0,17190.0,35.1,A128940
2,2012-01-04,46059,46201,45280,45280,12472,802863600,-2.14,-304913000.0,0.0,208493700.0,96419300.0,1095.0,12472.0,8.78,A128940
3,2012-01-05,45138,47122,45138,45351,17593,1134298900,0.16,-133322200.0,0.0,337932700.0,-204610500.0,4230.0,17593.0,24.04,A128940
4,2012-01-06,45351,45918,44996,45918,16674,1069480300,1.25,-107971300.0,0.0,99427900.0,8543400.0,3513.0,16674.0,21.07,A128940
5,2012-01-09,45492,47264,45422,46839,27788,1817123700,2.01,153581600.0,-27528400.0,-62225700.0,-63827500.0,1314.0,27788.0,4.73,A128940
6,2012-01-10,47831,48043,46768,47051,30653,2049156900,0.45,56742900.0,0.0,-9351200.0,-47391700.0,1538.0,30653.0,5.02,A128940
7,2012-01-11,46626,47973,46130,47335,30056,2003582300,0.6,31764800.0,0.0,175702300.0,-207467100.0,3546.0,30056.0,11.8,A128940
8,2012-01-12,46839,46910,45847,46484,18826,1231672400,-1.8,-140699300.0,0.0,227570500.0,-86871200.0,1597.0,18826.0,8.48,A128940
9,2012-01-13,45918,46910,45422,46059,26983,1753889600,-0.91,-25878700.0,0.0,341331800.0,-315453100.0,5511.0,26983.0,20.42,A128940
10,2012-01-16,46059,46059,44642,44642,27442,1742344700,-3.08,-370626600.0,631000.0,616235100.0,-246239500.0,4810.0,27442.0,17.53,A128940
11,2012-01-17,44713,46059,44713,44926,16649,1062742600,0.63,-219502800.0,-4130000.0,150583600.0,73049200.0,1569.0,16649.0,9.42,A128940
12,2012-01-18,44926,46059,44855,45563,23475,1511759100,1.42,776383700.0,-643000.0,-428445000.0,-347295700.0,7205.0,23475.0,30.69,A128940
13,2012-01-19,45351,45847,44996,45138,18846,1202574800,-0.93,-251682700.0,12720000.0,432837900.0,-193875200.0,4838.0,18846.0,25.67,A128940
14,2012-01-20,45138,45138,44217,44642,33521,2109353700,-1.1,-539282600.0,81510000.0,621174300.0,-163401700.0,4642.0,33521.0,13.85,A128940
15,2012-01-25,44642,44855,44217,44288,17943,1125456500,-0.79,-505665200.0,0.0,479088200.0,26577000.0,124.0,17943.0,0.69,A128940
16,2012-01-26,44430,44642,44146,44217,39550,2474591200,-0.16,-1598331100.0,0.0,1610975600.0,-12644500.0,1072.0,39550.0,2.71,A128940
17,2012-01-27,44217,44855,43934,44571,13069,819660700,0.8,89775800.0,0.0,-118450300.0,28674500.0,1175.0,13069.0,8.99,A128940
18,2012-01-30,44642,44784,44217,44430,12831,804320700,-0.32,-131770800.0,0.0,226999300.0,-95228500.0,2861.0,12831.0,22.3,A128940
19,2012-01-31,44926,45776,44146,45351,36712,2325171200,2.07,131548300.0,-25581600.0,202944100.0,-308910800.0,4021.0,36712.0,10.95,A128940
20,2012-02-01,45634,45634,44713,44926,13352,847199500,-0.94,-166209400.0,-5474000.0,243059000.0,-71375600.0,1399.0,13352.0,10.48,A128940
21,2012-02-02,45351,45351,44500,44713,16011,1011022500,-0.47,-327289100.0,0.0,251674700.0,75614400.0,2082.0,16011.0,13.0,A128940
22,2012-02-03,44430,44855,44430,44571,20753,1307442900,-0.32,268912200.0,178094000.0,-306005200.0,-141001000.0,3048.0,20753.0,14.69,A128940
23,2012-02-06,44500,44642,44075,44146,19682,1230045100,-0.95,-357174600.0,0.0,536898800.0,-179724200.0,6013.0,19682.0,30.55,A128940
24,2012-02-07,44075,44217,43012,43083,37839,2326522500,-2.41,-752425000.0,0.0,1064673500.0,-312248500.0,6421.0,37839.0,16.97,A128940
25,2012-02-08,43225,43579,43154,43154,15652,956333600,0.16,-288032300.0,0.0,276821400.0,11210900.0,2132.0,15652.0,13.62,A128940
26,2012-02-09,43083,43508,42800,43083,15153,919823500,-0.16,-219598100.0,45450000.0,330230900.0,-156082800.0,1658.0,15153.0,10.94,A128940
27,2012-02-10,43296,43721,43012,43083,15423,941278100,0.0,-353982700.0,0.0,541350900.0,-187368200.0,3431.0,15423.0,22.25,A128940
28,2012-02-13,43437,43579,42800,42871,23991,1453893100,-0.49,-501627500.0,4598000.0,804922800.0,-307893300.0,8560.0,23991.0,35.68,A128940
29,2012-02-14,42871,42871,42162,42375,44349,2653832200,-1.16,-1231613600.0,61290000.0,1453940700.0,-283617100.0,12652.0,44349.0,28.53,A128940
30,2012-02-15,42729,42729,42304,42304,28205,1689254300,-0.17,-934163400.0,0.0,897230900.0,36932500.0,4920.0,28205.0,17.44,A128940
31,2012-02-16,42304,42445,41666,41666,35238,2082968800,-1.51,-656169500.0,0.0,728160500.0,-71991000.0,3594.0,35238.0,10.2,A128940
32,2012-02-17,42020,42304,41879,42091,18884,1120943200,1.02,442678500.0,0.0,-35277100.0,-407401400.0,4272.0,18884.0,22.62,A128940
33,2012-02-20,42091,42304,41241,42020,32791,1926978400,-0.17,-24274300.0,2970000.0,314644500.0,-293340200.0,4743.0,32791.0,14.46,A128940
34,2012-02-21,42020,42020,41099,41666,24544,1438057100,-0.84,-65168100.0,0.0,378327900.0,-313159800.0,1795.0,24544.0,7.31,A128940
35,2012-02-22,41666,42020,41099,41170,40589,2375521200,-1.19,-183273200.0,0.0,491675100.0,-308401900.0,6737.0,40589.0,16.6,A128940
36,2012-02-23,41170,42020,41170,41666,20549,1207359500,1.2,146659000.0,0.0,-319315600.0,172656600.0,1553.0,20549.0,7.56,A128940
37,2012-02-24,42091,42091,41241,41595,17710,1036361800,-0.17,88554400.0,-67424000.0,202549200.0,-223679600.0,5812.0,17710.0,32.82,A128940
