,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,68303,69957,68303,69957,378989,26995048600,2.13,7422355400.0,-597516000.0,-5257409100.0,-1567430300.0,3979.0,378989.0,1.05,A000720
1,2012-01-03,70151,71319,70054,70541,690015,50284965700,0.83,6009278600.0,-1171700200.0,-11116238300.0,6278659900.0,2800.0,690015.0,0.41,A000720
2,2012-01-04,70541,71319,69859,70638,587162,42699658600,0.14,8844205700.0,194619600.0,-15000796400.0,5961971100.0,1347.0,587162.0,0.23,A000720
3,2012-01-05,71319,71319,69276,70054,455237,32794008600,-0.83,114068500.0,927357300.0,1766020900.0,-2807446700.0,12068.0,455237.0,2.65,A000720
4,2012-01-06,69178,69665,68205,69470,454704,32191941800,-0.83,-6419925100.0,-689264400.0,-3238172000.0,10347361500.0,2776.0,454704.0,0.61,A000720
5,2012-01-09,69178,69178,67330,67719,491272,34223108500,-2.52,-2783485400.0,-365265000.0,11162089100.0,-8013338700.0,22038.0,491272.0,4.49,A000720
6,2012-01-10,67719,68789,67524,68108,481925,33736462600,0.57,-191811900.0,-369971000.0,-2008969100.0,2570752000.0,12562.0,481925.0,2.61,A000720
7,2012-01-11,68497,68497,67427,67816,359751,25065651000,-0.43,-7302638600.0,-133895100.0,1089696100.0,6346837600.0,1885.0,359751.0,0.52,A000720
8,2012-01-12,68303,69470,67622,68205,354414,24863950500,0.57,-6834258800.0,106149900.0,3143186400.0,3584922500.0,1898.0,354414.0,0.54,A000720
9,2012-01-13,68011,68692,67232,68011,470133,32902783900,-0.29,189763700.0,-59431400.0,683932500.0,-814264800.0,2672.0,470133.0,0.57,A000720
10,2012-01-16,67427,67524,66162,66941,465619,31905144900,-1.57,3420839900.0,1603633500.0,6522248200.0,-11546721600.0,3183.0,465619.0,0.68,A000720
11,2012-01-17,67330,70346,67330,70346,741116,52832565700,5.09,4183443500.0,-13595700.0,-16241927700.0,12072079900.0,5543.0,741116.0,0.75,A000720
12,2012-01-18,69957,70930,69762,70541,401012,29016070300,0.28,1915423900.0,805014800.0,-3784958800.0,1064520100.0,8356.0,401012.0,2.08,A000720
13,2012-01-19,70541,70832,68497,68886,1347918,95674410300,-2.34,-25182975700.0,-3883638200.0,30480458300.0,-1413844400.0,34243.0,1347918.0,2.54,A000720
14,2012-01-20,68886,69957,68497,69568,656554,46860884400,0.99,3403577800.0,-308796900.0,-9793261500.0,6698480600.0,76343.0,656554.0,11.63,A000720
15,2012-01-25,69665,72195,69568,71027,922946,67577213900,2.1,599462000.0,-1183173200.0,-12252339500.0,12836050700.0,27521.0,922946.0,2.98,A000720
16,2012-01-26,71514,71903,70735,71319,483192,35448812200,0.41,2764928900.0,-526991000.0,-7814913000.0,5576975100.0,17708.0,483192.0,3.66,A000720
17,2012-01-27,71319,72195,70346,72000,520486,38201552000,0.95,-1562426700.0,-851056500.0,-4304718700.0,6718201900.0,3381.0,520486.0,0.65,A000720
18,2012-01-30,71708,71903,69859,70054,434315,31530860200,-2.7,6179179200.0,-623688600.0,3461110600.0,-9016601200.0,6412.0,434315.0,1.48,A000720
