,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,297500,297500,290000,292500,88310,25859372000,0.17,-7564910000.0,-117192500.0,2468134500.0,5213968000.0,962.0,88310.0,1.09,A012330
1,2012-01-03,295000,304000,294500,303500,239027,71871813500,3.76,24235209000.0,-1675981000.0,-31366582500.0,8807354500.0,1757.0,239027.0,0.74,A012330
2,2012-01-04,309000,311500,305500,309500,250774,77553059500,1.98,27308735000.0,-3103025000.0,-41021135500.0,16815425500.0,1926.0,250774.0,0.77,A012330
3,2012-01-05,310000,314000,306000,311000,207066,64681289000,0.48,27260289000.0,33149000.0,-25789218500.0,-1504219500.0,8127.0,207066.0,3.92,A012330
4,2012-01-06,314000,314500,305000,311000,173974,53640445000,0.0,-6726843000.0,122851500.0,-12438480500.0,19042472000.0,8290.0,173974.0,4.77,A012330
5,2012-01-09,308000,312500,301500,312500,199445,61635167864,0.48,-7685940000.0,-222834500.0,-7913231000.0,15822005500.0,10674.0,199445.0,5.35,A012330
6,2012-01-10,314500,319500,313000,318500,300127,95487975000,1.92,16728355000.0,-3180938000.0,-43275612000.0,29728195000.0,4896.0,300127.0,1.63,A012330
7,2012-01-11,322000,322000,318000,319500,252851,80806173000,0.31,-8633868500.0,-676541000.0,-29148750500.0,38459160000.0,12689.0,252851.0,5.02,A012330
8,2012-01-12,322000,323000,315500,318500,254372,81075089440,-0.31,-23922333975.0,-14398500.0,-11715645000.0,35652377475.0,10366.0,254372.0,4.08,A012330
9,2012-01-13,322000,322000,316500,320000,204395,65327635986,0.47,-1744994500.0,-503167500.0,-18514635000.0,20762797000.0,1252.0,204395.0,0.61,A012330
10,2012-01-16,323000,323000,317000,319000,196865,62964584141,-0.31,-12247150000.0,-2475815500.0,-12482245500.0,27205211000.0,2507.0,196865.0,1.27,A012330
11,2012-01-17,323000,328000,318000,323000,365289,118496753000,1.25,3703044500.0,-362160500.0,-26216143500.0,22875259500.0,5847.0,365289.0,1.6,A012330
12,2012-01-18,326500,326500,313500,318000,398244,126346535500,-1.55,-50191293000.0,1221988000.0,3406602500.0,45562702500.0,4938.0,398244.0,1.24,A012330
13,2012-01-19,321500,322500,307000,308000,850895,263399699000,-3.14,-54892443500.0,-1196615500.0,56010572000.0,78487000.0,6805.0,850895.0,0.8,A012330
14,2012-01-20,306500,311000,304000,311000,936890,286769182500,0.97,-108094936500.0,-5307314500.0,73587714000.0,39814537000.0,1270.0,936890.0,0.14,A012330
15,2012-01-25,304000,314000,304000,310000,442635,137238338500,-0.32,-25026427000.0,-1588014500.0,14047793000.0,12566648500.0,990.0,442635.0,0.22,A012330
16,2012-01-26,309000,312500,307000,308000,519674,160477713000,-0.65,-34160980500.0,-1421287000.0,22875440000.0,12706827500.0,2175.0,519674.0,0.42,A012330
17,2012-01-27,306500,310000,303000,303000,551380,168460130500,-1.62,-63471716500.0,-1098842500.0,31234886500.0,33335672500.0,4555.0,551380.0,0.83,A012330
18,2012-01-30,296500,298000,279500,280000,1767306,504096543500,-7.59,-39443623000.0,2452439500.0,242907778500.0,-205916595000.0,35403.0,1767306.0,2.0,A012330
19,2012-01-31,276000,282500,271000,277000,2104092,582240064000,-1.07,54680542000.0,4516045500.0,232181624500.0,-291378212000.0,87577.0,2104092.0,4.16,A012330
20,2012-02-01,280500,285500,280000,283000,1124209,318211497180,2.17,10521661000.0,4437583500.0,15319497500.0,-30278742000.0,34415.0,1124209.0,3.06,A012330
21,2012-02-02,284000,286000,278000,279500,875664,247241400500,-1.24,-24424270500.0,-2643824500.0,38028354500.0,-10960259500.0,12046.0,875664.0,1.38,A012330
22,2012-02-03,280500,282000,266500,270500,1248673,339754232706,-3.22,-40990629500.0,9948624500.0,147497680000.0,-116455675000.0,9050.0,1248673.0,0.72,A012330
23,2012-02-06,274500,277000,270500,271500,546228,149307808000,0.37,-2121521500.0,10382300500.0,12708450000.0,-20969229000.0,3659.0,546228.0,0.67,A012330
24,2012-02-07,274000,285000,273500,285000,897598,252938392500,4.97,65097610000.0,-316168500.0,-57835291000.0,-6946150500.0,998.0,897598.0,0.11,A012330
25,2012-02-08,284500,288500,283000,287500,603249,172562665000,0.88,-180761000.0,2516440500.0,-20325773500.0,17990094000.0,3412.0,603249.0,0.57,A012330
26,2012-02-09,287500,288000,278500,287500,678229,191968715500,0.0,-22383747000.0,1784793500.0,16876971000.0,3721982500.0,10298.0,678229.0,1.52,A012330
27,2012-02-10,287000,292000,285000,285000,595999,171641611500,-0.87,19243087000.0,-1122566500.0,-8603362500.0,-9517158000.0,11647.0,595999.0,1.95,A012330
28,2012-02-13,286000,293000,285500,291000,551935,160511169500,2.11,26616616500.0,-4964560000.0,-45075568000.0,23423511500.0,4423.0,551935.0,0.8,A012330
29,2012-02-14,292500,294000,285500,287000,581168,167977037500,-1.37,-32369323500.0,562358500.0,19795234500.0,12011730500.0,11135.0,581168.0,1.92,A012330
30,2012-02-15,287500,289000,282000,283000,417844,118563593500,-1.39,-25291356500.0,3503015000.0,27233668500.0,-5445327000.0,3092.0,417844.0,0.74,A012330
31,2012-02-16,280000,281500,275000,275500,599590,165722431117,-2.65,-18162485500.0,860658000.0,70278822000.0,-52976994500.0,446.0,599590.0,0.07,A012330
32,2012-02-17,278500,284000,277500,280000,519142,146162424000,1.63,15678136500.0,1165683500.0,6019933500.0,-22863753500.0,774.0,519142.0,0.15,A012330
33,2012-02-20,286000,288000,278000,280000,420763,116789116500,0.0,-21350351500.0,96171500.0,20666426000.0,587754000.0,12454.0,420763.0,2.96,A012330
34,2012-02-21,282000,282500,275000,277000,403165,111633195000,-1.07,-8840699500.0,828293000.0,51294322000.0,-43281915500.0,5676.0,403165.0,1.41,A012330
35,2012-02-22,282000,286000,280500,281500,604770,171311719500,1.62,4247281500.0,2255902000.0,-18793811500.0,12290628000.0,203.0,604770.0,0.03,A012330
36,2012-02-23,284500,284500,278000,279000,391280,109931861500,-0.89,10199553000.0,796458500.0,-612408000.0,-10383603500.0,49.0,391280.0,0.01,A012330
37,2012-02-24,277000,279000,275500,276000,389869,107743129000,-1.08,-16030657000.0,-510552000.0,24318182500.0,-7776973500.0,13094.0,389869.0,3.36,A012330
38,2012-02-27,274500,274500,264500,268000,673209,180188540000,-2.9,-29713424500.0,-2525779500.0,68147049000.0,-35907845000.0,9450.0,673209.0,1.4,A012330
39,2012-02-28,267000,269000,261500,267500,319513,84680609500,-0.19,-348783000.0,1640366000.0,12378692500.0,-13670275500.0,4347.0,319513.0,1.36,A012330
40,2012-02-29,269500,285000,269000,285000,864983,242897210500,6.54,68470950500.0,491684500.0,-82790587500.0,13827952500.0,2516.0,864983.0,0.29,A012330
41,2012-03-02,286000,288500,282500,284000,422325,120498894000,-0.35,15250956000.0,-1263204500.0,-9582857000.0,-4404894500.0,6972.0,422325.0,1.65,A012330
42,2012-03-05,287000,290500,284500,289500,582503,168158042000,1.94,45003260000.0,1284686500.0,-63259372000.0,16971425500.0,1731.0,582503.0,0.3,A012330
43,2012-03-06,290000,291000,281500,286000,386161,110371546620,-1.21,24544350500.0,292756000.0,-11633730500.0,-13203376000.0,9800.0,386161.0,2.54,A012330
44,2012-03-07,278000,280000,275500,276500,460490,127863117000,-3.32,-15188443500.0,-3270500.0,39336399000.0,-24144685000.0,4578.0,460490.0,0.99,A012330
45,2012-03-08,278500,279500,274000,277000,438197,121008468113,0.18,-19340612500.0,-1734298000.0,24411002000.0,-3336091500.0,4590.0,438197.0,1.05,A012330
46,2012-03-09,280000,282500,278500,279000,226229,63355779307,0.72,-2691389000.0,203073500.0,669770000.0,1818545500.0,590.0,226229.0,0.26,A012330
47,2012-03-12,277500,280500,275500,276500,256493,71023720000,-0.9,-5927854000.0,-167288500.0,16582374500.0,-10487232000.0,593.0,256493.0,0.23,A012330
48,2012-03-13,279000,293000,278500,292000,960446,278654444500,5.61,68633718500.0,4438810500.0,-101186867500.0,28114338500.0,12539.0,960446.0,1.31,A012330
49,2012-03-14,295000,295500,290500,292500,526945,154200036500,0.17,25961646000.0,-135779000.0,-34656316000.0,8830449000.0,15091.0,526945.0,2.86,A012330
50,2012-03-15,294000,301500,293500,295500,703299,209680911000,1.03,33383434500.0,-881171500.0,-41691708000.0,9189445000.0,14528.0,703299.0,2.07,A012330
51,2012-03-16,296000,296500,286500,289000,577472,166982470096,-2.2,-35182061500.0,-1411365500.0,27255609500.0,9337817500.0,5436.0,577472.0,0.94,A012330
52,2012-03-19,289000,289000,283000,285000,479352,136369014830,-1.38,-24444199000.0,-1515626000.0,24592019000.0,1367806000.0,1220.0,479352.0,0.25,A012330
53,2012-03-20,286000,286500,282500,283000,355417,100891307070,-0.7,-4701797500.0,-3225154500.0,20494026500.0,-12567074500.0,4036.0,355417.0,1.14,A012330
54,2012-03-21,282000,284500,280000,281000,348811,98251951000,-0.71,-41049912500.0,-47199500.0,28445815500.0,12651296500.0,1291.0,348811.0,0.37,A012330
55,2012-03-22,282000,283500,278000,281500,289148,81173763000,0.18,-16130393500.0,129073500.0,11901674000.0,4099646000.0,3638.0,289148.0,1.26,A012330
56,2012-03-23,281500,282000,279000,280000,171811,48130070000,-0.53,-10217514000.0,-397427000.0,5111742500.0,5503198500.0,8382.0,171811.0,4.88,A012330
57,2012-03-26,281000,285500,277500,279000,233194,65290343000,-0.36,-22498182500.0,-433310500.0,17207538500.0,5723954500.0,4866.0,233194.0,2.09,A012330
58,2012-03-27,284500,290000,283500,289500,530736,152684930000,3.76,-4507133500.0,-1617128500.0,-44093540000.0,50217802000.0,13920.0,530736.0,2.62,A012330
59,2012-03-28,289500,292500,286500,289500,346694,100806622000,0.0,32729680000.0,2758922000.0,-33668944000.0,-1819658000.0,10847.0,346694.0,3.13,A012330
60,2012-03-29,289000,293500,287500,290000,413556,120204021500,0.17,15278061500.0,-1472615000.0,-21709012000.0,7903565500.0,3627.0,413556.0,0.88,A012330
61,2012-03-30,292500,293000,284000,286500,357879,102653527000,-1.21,-17147931500.0,-549082500.0,9237744500.0,8459269500.0,11668.0,357879.0,3.26,A012330
62,2012-04-02,289000,293000,287500,292500,345452,100660164000,2.09,4322209500.0,2886617000.0,-19334457500.0,12125631000.0,6054.0,345452.0,1.75,A012330
63,2012-04-03,298000,299500,295000,296500,597983,178171258800,1.37,32975439000.0,-1793111000.0,-41188163500.0,10005835500.0,9031.0,597983.0,1.51,A012330
64,2012-04-04,297500,300500,288000,290000,526171,154860076000,-2.19,-4167822500.0,1431141000.0,2807601500.0,-70920000.0,4939.0,526171.0,0.94,A012330
65,2012-04-05,288500,311000,288000,308500,910466,275020891500,6.38,61705709000.0,-2137174500.0,-63106655000.0,3538120500.0,25449.0,910466.0,2.8,A012330
66,2012-04-06,312000,315000,306500,312000,670435,208288564000,1.13,-40922141500.0,1833420500.0,-22237107000.0,61325828000.0,17901.0,670435.0,2.67,A012330
67,2012-04-09,308500,309000,300000,303000,448392,136081562000,-2.88,-27076969000.0,1286772500.0,31704746500.0,-5914550000.0,9291.0,448392.0,2.07,A012330
68,2012-04-10,306500,308000,298500,301500,507102,153578097000,-0.5,-22859191000.0,239580500.0,-23077688500.0,45697299000.0,23028.0,507102.0,4.54,A012330
69,2012-04-12,301500,302000,290000,294000,500167,146870913000,-2.49,-44175453500.0,-555952500.0,39625203000.0,5106203000.0,8452.0,500167.0,1.69,A012330
70,2012-04-13,298000,299000,293000,296000,303209,89624505384,0.68,-28910183000.0,-653900000.0,3686156500.0,25877926500.0,11481.0,303209.0,3.79,A012330
71,2012-04-16,290000,295500,289000,290000,472089,137435247000,-2.03,-48256749500.0,-1139682000.0,44555689000.0,4840742500.0,2721.0,472089.0,0.58,A012330
72,2012-04-17,291000,294500,284000,285000,504736,145207959500,-1.72,-43892637000.0,-2964029000.0,32830896000.0,14025770000.0,18831.0,504736.0,3.73,A012330
73,2012-04-18,290500,291500,282500,284000,464051,132544775000,-0.35,-34709577000.0,803499000.0,40526585000.0,-6620507000.0,30078.0,464051.0,6.48,A012330
74,2012-04-19,285000,286500,281500,283500,271175,77002117500,-0.18,-11966438500.0,-430504500.0,13803950000.0,-1407007000.0,17447.0,271175.0,6.43,A012330
75,2012-04-20,281500,283000,274000,277500,517869,143911741000,-2.12,-3812469500.0,2143542500.0,32622035500.0,-30953108500.0,6495.0,517869.0,1.25,A012330
76,2012-04-23,276500,282000,276500,279000,196599,54746645000,0.54,4757260000.0,769875000.0,2473483000.0,-8000618000.0,4251.0,196599.0,2.16,A012330
77,2012-04-24,277500,294000,276500,290500,778844,225703873580,4.12,100283649000.0,-1447771000.0,-101382410500.0,2546532500.0,13950.0,778844.0,1.79,A012330
78,2012-04-25,292500,296500,288000,293000,525529,154219414000,0.86,44857505500.0,-1230743500.0,-43225823000.0,-400939000.0,13558.0,525529.0,2.58,A012330
79,2012-04-26,293500,300500,291000,295500,518926,154235355668,0.85,64831642500.0,-236661000.0,-49570704500.0,-15024277000.0,10278.0,518926.0,1.98,A012330
80,2012-04-27,298500,305000,297000,300000,582180,175516995000,1.52,39080958500.0,1621888000.0,-51234333500.0,10531487000.0,13957.0,582180.0,2.4,A012330
81,2012-04-30,305000,310500,304000,307500,748180,230173097000,2.5,10262853000.0,-7627780500.0,-89358081500.0,86723009000.0,18199.0,748180.0,2.43,A012330
82,2012-05-02,310000,313000,300000,300000,675043,205242231500,-2.44,-50902450500.0,-3089102000.0,2343922000.0,51647630500.0,15359.0,675043.0,2.28,A012330
