,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,95700,95900,93500,94300,326520,30784527300,-1.46,-10505876200.0,-582963700.0,10578592700.0,510247200.0,182.0,326520.0,0.06,A004020
1,2012-01-03,94200,98000,94200,97400,453761,43775710400,3.29,-3029751700.0,49693300.0,-6947957500.0,9928015900.0,18931.0,453761.0,4.17,A004020
2,2012-01-04,97700,98400,96900,97700,454111,44332305900,0.31,135000600.0,1534059500.0,-10714047000.0,9044986900.0,33205.0,454111.0,7.31,A004020
3,2012-01-05,98100,98900,96500,98800,465985,45641634200,1.13,2025954300.0,-392647400.0,-4813390100.0,3180083200.0,14335.0,465985.0,3.08,A004020
4,2012-01-06,98500,98500,95000,96600,377879,36473601000,-2.23,-4230243600.0,-189137500.0,3703102000.0,716279100.0,3389.0,377879.0,0.9,A004020
5,2012-01-09,96000,96500,94400,94900,360153,34174818100,-1.76,-21228161000.0,-764327400.0,16370768300.0,5621720100.0,23223.0,360153.0,6.45,A004020
6,2012-01-10,95000,97300,95000,96700,327040,31631249900,1.9,5240182000.0,-273083900.0,-11807492700.0,6840394600.0,6551.0,327040.0,2.0,A004020
7,2012-01-11,96500,99000,96500,98300,437437,42925813600,1.65,15359620300.0,110616100.0,-17101405900.0,1631169500.0,4014.0,437437.0,0.92,A004020
8,2012-01-12,98400,101500,98000,101500,645231,64468924300,3.26,19827026400.0,-1163044800.0,-16849399700.0,-1814581900.0,4857.0,645231.0,0.75,A004020
9,2012-01-13,101000,103000,100500,101000,481491,48868272000,-0.49,-898223000.0,635146000.0,-8534431000.0,8797508000.0,7856.0,481491.0,1.63,A004020
10,2012-01-16,99900,101000,98900,100500,380886,38122043600,-0.5,-377213200.0,-3064891800.0,-2055265300.0,5497370300.0,12154.0,380886.0,3.19,A004020
11,2012-01-17,102000,105000,102000,105000,702601,73071886000,4.48,22711921000.0,1873044500.0,-33779671500.0,9194706000.0,2894.0,702601.0,0.41,A004020
12,2012-01-18,105000,107500,104500,106500,733425,78034438500,1.43,21522541000.0,-3278069000.0,-32074447000.0,13829975000.0,11935.0,733425.0,1.63,A004020
13,2012-01-19,107500,108000,106000,106500,415771,44624956000,0.0,5525456500.0,-129868500.0,-18298582500.0,12902994500.0,17477.0,415771.0,4.2,A004020
14,2012-01-20,107000,109500,106500,109000,646058,70304641500,2.35,7680636000.0,-5925817000.0,-38604001000.0,36849182000.0,7054.0,646058.0,1.09,A004020
15,2012-01-25,109000,112000,107500,109000,605431,66447997000,0.0,-1868929000.0,-3021790500.0,-17591051500.0,22481771000.0,24441.0,605431.0,4.04,A004020
16,2012-01-26,109500,109500,107000,109500,402269,43649510000,0.46,-6945060500.0,-21205000.0,-8647959000.0,15614224500.0,17051.0,402269.0,4.24,A004020
17,2012-01-27,109000,111000,108500,110500,369560,40632711000,0.91,7932957500.0,-265165000.0,-18006810000.0,10339017500.0,9426.0,369560.0,2.55,A004020
18,2012-01-30,109500,109500,106000,107500,578749,62112208500,-2.71,-11979248000.0,984515000.0,957550500.0,10037182500.0,12139.0,578749.0,2.1,A004020
19,2012-01-31,107000,109500,106000,108500,389091,42012758500,0.93,-5248813500.0,-341971000.0,-2962161000.0,8552945500.0,4601.0,389091.0,1.18,A004020
20,2012-02-01,107500,112000,107000,110000,519315,57034397500,1.38,8321444000.0,-1333980500.0,-11322454500.0,4334991000.0,8326.0,519315.0,1.6,A004020
21,2012-02-02,111500,114000,110500,113500,783469,88176361000,3.18,35169081000.0,-1529820000.0,-27017685500.0,-6621575500.0,3558.0,783469.0,0.45,A004020
22,2012-02-03,114000,114000,110500,112000,309698,34591597000,-1.32,1699814000.0,283510000.0,-1146408000.0,-836916000.0,2349.0,309698.0,0.76,A004020
23,2012-02-06,113500,115500,111500,112500,590438,67191834000,0.45,15740415500.0,-2380154000.0,-18116762500.0,4756501000.0,3609.0,590438.0,0.61,A004020
24,2012-02-07,114000,115500,112000,113500,446003,50910436500,0.89,9912587500.0,-210980000.0,-11803412000.0,2101804500.0,5897.0,446003.0,1.32,A004020
25,2012-02-08,114500,116000,113500,115000,402391,46415577000,1.32,7569058500.0,-1600530000.0,-10756486500.0,4787958000.0,2607.0,402391.0,0.65,A004020
26,2012-02-09,116000,117500,114000,117500,429554,49968449500,2.17,8750798000.0,-195707500.0,-11451367500.0,2896277000.0,9723.0,429554.0,2.26,A004020
27,2012-02-10,118000,118000,115500,116500,329998,38499131500,-0.85,-757153000.0,-126738000.0,-5134281500.0,6018172500.0,2965.0,329998.0,0.9,A004020
28,2012-02-13,117000,119000,116000,117000,421087,49370674500,0.43,2884122500.0,-351512000.0,-2527472500.0,-5138000.0,23595.0,421087.0,5.6,A004020
29,2012-02-14,117000,117000,112000,113000,624401,70880718500,-3.42,-23102338500.0,-873805500.0,22719698000.0,1256446000.0,12375.0,624401.0,1.98,A004020
30,2012-02-15,113500,114000,111500,112500,539182,60590102000,-0.44,-25439438500.0,-245673500.0,16367291500.0,9317820500.0,2985.0,539182.0,0.55,A004020
31,2012-02-16,111000,112000,108000,108500,625396,68457340500,-3.56,-26019803000.0,164399500.0,20968469500.0,4886934000.0,3726.0,625396.0,0.6,A004020
32,2012-02-17,110500,111000,108500,109000,517901,56625885000,0.46,-13830759500.0,88835500.0,17355605000.0,-3613681000.0,163.0,517901.0,0.03,A004020
33,2012-02-20,113000,113500,111000,112000,658181,73583994000,2.75,3670809000.0,1620618500.0,-9705601000.0,4414173500.0,3711.0,658181.0,0.56,A004020
34,2012-02-21,112500,112500,110000,112000,338226,37627222000,0.0,-7735763000.0,-255575000.0,-3387771000.0,11379109000.0,10512.0,338226.0,3.11,A004020
35,2012-02-22,111000,111500,108000,109500,568521,62015612000,-2.23,-32051552000.0,-294467500.0,22333775000.0,10012244500.0,27361.0,568521.0,4.81,A004020
36,2012-02-23,107500,109000,106000,107500,435012,46730086500,-1.83,-11289262500.0,2567120000.0,6648097000.0,2074045500.0,203.0,435012.0,0.05,A004020
37,2012-02-24,108000,110000,107000,110000,398476,43355839500,2.33,7159932000.0,77617500.0,-4726747500.0,-2510802000.0,1600.0,398476.0,0.4,A004020
38,2012-02-27,109000,112500,109000,110000,570170,63223842000,0.0,18220004000.0,-267306000.0,-14377111500.0,-3575586500.0,4835.0,570170.0,0.85,A004020
39,2012-02-28,111000,112500,110500,112000,482957,53911730500,1.82,7039770000.0,-121392000.0,-8778783500.0,1860405500.0,20051.0,482957.0,4.15,A004020
40,2012-02-29,112500,116000,112000,114500,678551,77915969000,2.23,17035622000.0,1520616000.0,-15352026000.0,-3204212000.0,6684.0,678551.0,0.99,A004020
41,2012-03-02,115000,115500,112500,114500,446852,50877170000,0.0,4673089500.0,1012106500.0,-612950000.0,-5072246000.0,19809.0,446852.0,4.43,A004020
42,2012-03-05,114500,116000,111500,112000,375440,42411905500,-2.18,-5436277500.0,-350939000.0,5767278000.0,19938500.0,7813.0,375440.0,2.08,A004020
43,2012-03-06,112000,112500,108000,110000,399282,43707315000,-1.79,-3838448500.0,-266537000.0,2423146000.0,1681839500.0,4342.0,399282.0,1.09,A004020
44,2012-03-07,107500,108500,106000,106000,555747,59331232000,-3.64,-24944939000.0,-347826500.0,27532005000.0,-2239239500.0,26629.0,555747.0,4.79,A004020
45,2012-03-08,106500,107500,105000,106500,582692,61872505000,0.47,-21437912000.0,-1294684500.0,22956931500.0,-224335000.0,5950.0,582692.0,1.02,A004020
46,2012-03-09,107500,108000,103500,106000,705409,74038602500,-0.47,-25793384500.0,-1937859500.0,30320730000.0,-2589486000.0,5142.0,705409.0,0.73,A004020
47,2012-03-12,106000,106000,101000,102000,842405,86248967500,-3.77,-37539700000.0,-430813000.0,34019743000.0,3950770000.0,13207.0,842405.0,1.57,A004020
48,2012-03-13,102500,104000,102000,102000,550526,56698076500,0.0,-5169510500.0,-1273592500.0,17578030500.0,-11134927500.0,3245.0,550526.0,0.59,A004020
49,2012-03-14,104000,105500,103500,103500,713287,74478328799,1.47,5528909000.0,305589500.0,5564998000.0,-11399496500.0,13639.0,713287.0,1.91,A004020
50,2012-03-15,104000,104000,99600,99900,1111855,111838193300,-3.48,-21788153100.0,651354700.0,55131805100.0,-33995006700.0,7039.0,1111855.0,0.63,A004020
51,2012-03-16,101500,103000,100000,102500,755900,76471104600,2.6,9787284500.0,-152674500.0,11173491000.0,-20808101000.0,4923.0,755900.0,0.65,A004020
52,2012-03-19,104000,105500,102500,104500,482421,50213750000,1.95,8685405000.0,1810937500.0,-7756216000.0,-2740126500.0,6336.0,482421.0,1.31,A004020
