KOSPI,S&P500,Gold,Copper,Kgov3,USD-K,Date
1826.369995,1277.060059,7.193639,3.5250000953674316,3.34,1159.400024,2012-01-02
1875.410034,1277.060059,7.193639,3.5250000953674316,3.35,1152.599976,2012-01-03
1866.219971,1277.300049,7.17493,3.429500102996826,3.35,1144.800049,2012-01-04
1863.73999,1281.060059,7.171812,3.422499895095825,3.34,1147.199951,2012-01-05
1843.140015,1277.810059,7.184284,3.430999994277954,3.35,1153.400024,2012-01-06
1826.48999,1280.699951,7.181166,3.4124999046325684,3.38,1163.599976,2012-01-09
1853.219971,1292.079956,7.748675,3.509999990463257,3.38,1156.199951,2012-01-10
1845.550049,1292.47998,8.18522,3.5415000915527344,3.38,1156.099976,2012-01-11
1864.569946,1295.5,8.478329,3.6440000534057617,3.38,1155.800049,2012-01-12
1875.680054,1289.089966,8.525101,3.631999969482422,3.37,1150.599976,2012-01-13
1859.27002,1289.089966,8.525101,3.631999969482422,3.35,1153.5,2012-01-16
1892.73999,1293.670044,8.450265,3.7260000705718994,3.37,1151.599976,2012-01-17
1892.390015,1308.040039,8.659183,3.746999979019165,3.36,1142.400024,2012-01-18
1914.969971,1314.5,8.637356,3.797499895095825,3.38,1135.099976,2012-01-19
1949.890015,1315.380005,8.68101,3.740999937057495,3.4,1130.400024,2012-01-20
1952.22998,1326.060059,8.366074,3.825000047683716,3.42,1127.300049,2012-01-25
1957.180054,1318.430054,8.300592,3.8970000743865967,3.4,1117.699951,2012-01-26
1964.829956,1316.329956,9.151855,3.883500099182129,3.38,1125.199951,2012-01-27
1940.550049,1313.01001,8.868101,3.822000026702881,3.36,1118.5,2012-01-30
1955.790039,1312.410034,9.198628,3.7874999046325684,3.38,1125.699951,2012-01-31
1959.23999,1324.089966,9.226692,3.8385000228881836,3.37,1123.0,2012-02-01
1984.300049,1325.540039,9.497973,3.7769999504089355,3.38,1125.400024,2012-02-02
1972.339966,1344.900024,9.959464,3.8970000743865967,3.38,1117.599976,2012-02-03
1973.130005,1344.329956,9.928282,3.8589999675750732,3.4,1114.199951,2012-02-06
1981.589966,1347.050049,10.003118,3.872499942779541,3.42,1119.199951,2012-02-07
