,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-05-21,72000,93600,72000,82500,554836,239724542000,14.58,948629500.0,8553275000.0,-9815561000.0,313656500.0,276.0,554836.0,0.05,A383220
1,2021-05-24,83600,91000,81500,89000,175980,77366130500,7.88,3079740500.0,214796000.0,-2846920000.0,-447616500.0,0.0,175980.0,0.0,A383220
2,2021-05-25,88600,89000,83200,86000,102840,43845133000,-3.37,-8468241000.0,-50406000.0,8000509000.0,518138000.0,9.0,102840.0,0.01,A383220
3,2021-05-26,86000,88600,81200,87300,100611,42141102500,1.51,475909000.0,97319000.0,4991230500.0,-5564458500.0,140.0,100611.0,0.14,A383220
4,2021-05-27,86000,87400,84400,87300,69837,29971302000,0.0,877961500.0,40519500.0,4074657500.0,-4993138500.0,138.0,69837.0,0.2,A383220
5,2021-05-28,86800,92000,86500,89400,81980,36674625000,2.41,-1318559500.0,270830000.0,-1913680500.0,2961410000.0,39.0,81980.0,0.05,A383220
6,2021-05-31,89500,90000,86400,89900,46685,20714195000,0.56,-1187655500.0,-372375000.0,1486780500.0,73250000.0,35.0,46685.0,0.07,A383220
7,2021-06-01,89900,99000,89400,98500,137800,65650022500,9.57,268782500.0,-521019000.0,-6097413000.0,6349649500.0,28.0,137800.0,0.02,A383220
8,2021-06-02,97900,99200,95300,96600,72591,35269147000,-1.93,-4356178500.0,-6818000.0,7145476500.0,-2782480000.0,42.0,72591.0,0.06,A383220
9,2021-06-03,98200,103000,95800,99400,95472,47040654500,2.9,-6267625000.0,-216003000.0,8785292000.0,-2301664000.0,34.0,95472.0,0.04,A383220
10,2021-06-04,99100,102600,96900,97000,45115,22266287000,-2.41,-6559957000.0,26792500.0,7908097000.0,-1374932500.0,22.0,45115.0,0.05,A383220
11,2021-06-07,96400,100600,95300,96600,52276,25402066000,-0.41,-5828332500.0,318285500.0,4606725500.0,903321500.0,52.0,52276.0,0.1,A383220
12,2021-06-08,95900,98500,94600,97500,37744,18120632000,0.93,-941918500.0,139515000.0,1018939000.0,-216535500.0,9.0,37744.0,0.02,A383220
13,2021-06-09,97700,104000,97700,101600,66339,33857561000,4.21,645936000.0,-109308500.0,-1160914500.0,624287000.0,5.0,66339.0,0.01,A383220
14,2021-06-10,101600,106400,100800,106400,62705,32484460000,4.72,-2237147000.0,-847214000.0,2588813000.0,495548000.0,69.0,62705.0,0.11,A383220
15,2021-06-11,106400,108000,101800,103200,69228,36178434000,-3.01,-10626591000.0,611640000.0,7133587000.0,2881364000.0,136.0,69228.0,0.2,A383220
16,2021-06-14,102600,104000,100400,101000,35606,18092261000,-2.13,-6783696000.0,387916000.0,6507099000.0,-111319000.0,66.0,35606.0,0.19,A383220
17,2021-06-15,102000,105400,101000,103200,46218,23854876000,2.18,-444757000.0,31849000.0,-3420137000.0,3833045000.0,0.0,46218.0,0.0,A383220
18,2021-06-16,103200,103200,99900,100600,42610,21474291000,-2.52,-10184217500.0,924927000.0,8677603500.0,581687000.0,1.0,42610.0,0.0,A383220
19,2021-06-17,100200,102000,97900,98500,49523,24504738500,-2.09,-3922809500.0,323174500.0,3218599000.0,381036000.0,66.0,49523.0,0.13,A383220
20,2021-06-18,99600,104000,98000,103800,63623,32387167000,5.38,2050833500.0,84758000.0,-5260430500.0,3124839000.0,18.0,63623.0,0.03,A383220
21,2021-06-21,102800,108800,102200,105000,58463,31022781000,1.16,1090858000.0,617891000.0,-660634000.0,-1048115000.0,99.0,58463.0,0.17,A383220
22,2021-06-22,107600,111400,105400,110000,62791,34257023000,4.76,-453109000.0,795371000.0,-6670965000.0,6328703000.0,25.0,62791.0,0.04,A383220
23,2021-06-23,111000,115000,110200,113400,49405,27994424000,3.09,-179877000.0,-25062000.0,-670633000.0,875572000.0,13.0,49405.0,0.03,A383220
24,2021-06-24,113600,115000,107200,108800,54243,29597025000,-4.06,-11527654000.0,-63788000.0,12750693000.0,-1159251000.0,10.0,54243.0,0.02,A383220
25,2021-06-25,108200,112200,106600,107600,38892,21096537000,-1.1,-6935829000.0,-68682000.0,5317913000.0,1686598000.0,78.0,38892.0,0.2,A383220
26,2021-06-28,108000,111000,105200,110600,34807,18744450000,2.79,-2552760000.0,-102429000.0,-213498000.0,2868687000.0,32.0,34807.0,0.09,A383220
27,2021-06-29,110600,113400,108400,112400,50884,28259040000,1.63,6329120000.0,33198000.0,-4187967000.0,-2174351000.0,11.0,50884.0,0.02,A383220
