,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2017-05-10,82300,90500,73400,78000,756348,300410394000,-5.22,-20880297500.0,492815500.0,7741900500.0,12645581500.0,7501.0,756348.0,0.99,A267250
1,2017-05-11,76500,79000,75600,77500,239477,91940686000,-0.64,14361358500.0,-404714000.0,-9702172000.0,-4254472500.0,17286.0,239477.0,7.22,A267250
2,2017-05-12,77900,79100,74600,75900,141833,54401806500,-2.06,5792514500.0,-260934500.0,-4631076500.0,-900503500.0,2063.0,141833.0,1.45,A267250
3,2017-05-15,75500,75700,72100,72100,159155,58404421000,-5.01,5671878000.0,-110132500.0,-9661395500.0,4099650000.0,797.0,159155.0,0.5,A267250
4,2017-05-16,72100,72500,65800,69500,339657,115471442000,-3.61,1326329000.0,298610500.0,-1542259000.0,-82680500.0,5043.0,339657.0,1.48,A267250
5,2017-05-17,69800,72900,69600,70300,154380,54886332000,1.15,1454385000.0,-150427000.0,-501235500.0,-802722500.0,7162.0,154380.0,4.64,A267250
6,2017-05-18,69200,71600,68800,70000,125683,44162989000,-0.43,-440074500.0,416625000.0,3794265000.0,-3770815500.0,5009.0,125683.0,3.99,A267250
7,2017-05-19,70500,74800,70300,72900,156722,57422762000,4.14,10146770000.0,1062362000.0,-12981842500.0,1772710500.0,123.0,156722.0,0.08,A267250
8,2017-05-22,72900,76600,72900,74900,110111,41602385500,2.74,11061631500.0,267325000.0,-11942829000.0,613872500.0,1348.0,110111.0,1.22,A267250
9,2017-05-23,75100,79600,75100,79400,156818,61205674500,6.01,18650944000.0,-493540500.0,-27590318000.0,9432914500.0,1273.0,156818.0,0.81,A267250
10,2017-05-24,81000,83500,79300,83000,203838,83335740500,4.53,10318175500.0,-1264513500.0,-25870187000.0,16816525000.0,2042.0,203838.0,1.0,A267250
11,2017-05-25,84300,84600,81500,83200,119043,49337879000,0.24,-1553757000.0,66638000.0,-5545789500.0,7032908500.0,8697.0,119043.0,7.31,A267250
12,2017-05-26,84000,86900,82400,86400,139977,59870441500,3.85,-15028240500.0,893213000.0,-18135725000.0,32270752500.0,550.0,139977.0,0.39,A267250
13,2017-05-29,87200,88400,83200,84000,93206,39882579500,-2.78,-6247256500.0,-1913797500.0,5181405000.0,2979649000.0,1539.0,93206.0,1.65,A267250
14,2017-05-30,84800,84800,80300,80800,113967,46351661500,-3.81,-1654122500.0,110807000.0,-1352186500.0,2895502000.0,1168.0,113967.0,1.02,A267250
15,2017-05-31,80100,83700,79700,81600,98697,40286053500,0.99,-2242735000.0,-42792500.0,-791281500.0,3076809000.0,270.0,98697.0,0.27,A267250
16,2017-06-01,80800,83600,78900,82700,85698,34856303000,1.35,5179226500.0,282903000.0,-2516758000.0,-2945371500.0,1080.0,85698.0,1.26,A267250
17,2017-06-02,83400,83500,82000,82400,52411,21674695000,-0.36,-1688919000.0,27587000.0,-2222473500.0,3883805500.0,259.0,52411.0,0.49,A267250
18,2017-06-05,81600,81700,79500,79500,92105,36856823500,-3.52,-4206260000.0,-366190500.0,15289623500.0,-10717173000.0,1700.0,92105.0,1.85,A267250
19,2017-06-07,78700,80700,78700,80200,49310,19713497000,0.88,336098500.0,-151133500.0,-4711794000.0,4526829000.0,770.0,49310.0,1.56,A267250
20,2017-06-08,79700,84000,78600,84000,93344,37973666500,4.74,4846284500.0,115575000.0,-8266355500.0,3304496000.0,2448.0,93344.0,2.62,A267250
21,2017-06-09,83900,85900,82600,84000,95372,40275037000,0.0,2285909000.0,8263000.0,-9200590000.0,6906418000.0,7664.0,95372.0,8.04,A267250
22,2017-06-12,83600,85300,81700,82400,48519,20244289000,-1.9,-100486000.0,-18479000.0,-1694707000.0,1813672000.0,17.0,48519.0,0.04,A267250
23,2017-06-13,80000,82700,77600,78100,169733,67461318500,-5.22,4616362000.0,84372000.0,9427531500.0,-14128265500.0,15777.0,169733.0,9.3,A267250
24,2017-06-14,78800,85300,78700,84700,209336,86724209000,8.45,15859012500.0,448280000.0,-24132305500.0,7825013000.0,4327.0,209336.0,2.07,A267250
25,2017-06-15,84700,84700,82600,84100,55646,23276442000,-0.71,1972478000.0,123229500.0,42337000.0,-2138044500.0,4037.0,55646.0,7.25,A267250
26,2017-06-16,83600,84500,80200,81000,76537,31071347500,-3.69,-2308234500.0,119563000.0,7171408000.0,-4982736500.0,4749.0,76537.0,6.2,A267250
27,2017-06-19,81200,82000,79800,80200,43177,17336697500,-0.99,-3530561500.0,-202192500.0,4140217000.0,-407463000.0,1788.0,43177.0,4.14,A267250
28,2017-06-20,79600,80000,78000,78800,59037,23176753000,-1.75,-3964977000.0,181538500.0,6995273000.0,-3211834500.0,5307.0,59037.0,8.99,A267250
29,2017-06-21,78400,78600,77800,78200,52507,20444548973,-0.76,-5130558000.0,-59300000.0,8436060500.0,-3246202500.0,1254.0,52507.0,2.39,A267250
30,2017-06-22,74600,74700,73700,74100,1359752,500214988000,-5.24,132481449800.0,-349679993000.0,56893262500.0,160305280700.0,9990.0,1359752.0,0.73,A267250
31,2017-06-23,74600,77000,74100,75100,195209,73901604500,1.35,2001132000.0,656890000.0,8925069500.0,-11583091500.0,526.0,195209.0,0.27,A267250
32,2017-06-26,75200,76700,74800,76400,74771,28420339500,1.73,2699938000.0,8318500.0,-463889000.0,-2244367500.0,1516.0,74771.0,2.03,A267250
33,2017-06-27,77300,77400,75900,76600,77312,29581862500,0.26,-2457755000.0,152776000.0,2346292500.0,-41313500.0,676.0,77312.0,0.87,A267250
34,2017-06-28,76000,76600,75100,76200,53669,20298207000,-0.52,-3799466500.0,-6664500.0,2341381000.0,1464750000.0,548.0,53669.0,1.02,A267250
35,2017-06-29,75800,76800,75800,76100,49753,18998654000,-0.13,2252791500.0,90662500.0,388378500.0,-2731832500.0,1242.0,49753.0,2.5,A267250
36,2017-06-30,75500,78900,75500,77300,80888,31419401295,1.58,7222988000.0,175588500.0,-3051015000.0,-4347561500.0,5232.0,80888.0,6.47,A267250
37,2017-07-03,78000,80300,77500,79600,121095,48210368000,2.98,13410612500.0,-603777000.0,-7206986500.0,-5599849000.0,10043.0,121095.0,8.29,A267250
38,2017-07-04,80200,81500,78800,80000,98576,39553092000,0.5,2477358000.0,347795500.0,-3380382000.0,555228500.0,16068.0,98576.0,16.3,A267250
39,2017-07-05,80100,80700,78300,80000,83053,33068771000,0.0,1231531500.0,58827500.0,-1860640500.0,570281500.0,28793.0,83053.0,34.67,A267250
40,2017-07-06,79900,81500,79100,80600,90389,36261954500,0.75,-5712075000.0,402871000.0,4069012500.0,1240191500.0,21348.0,90389.0,23.62,A267250
41,2017-07-07,80700,83100,80600,82800,217344,89553948000,2.73,-15048215000.0,120569500.0,-9815065000.0,24742710500.0,77781.0,217344.0,35.79,A267250
42,2017-07-10,82000,83000,80900,81500,60182,24601896500,-1.57,-1105045500.0,38527000.0,-4575007500.0,5641526000.0,8667.0,60182.0,14.4,A267250
43,2017-07-11,81200,81200,78800,79300,90630,36048681500,-2.7,-2429894000.0,87924500.0,-437399500.0,2779369000.0,12693.0,90630.0,14.01,A267250
44,2017-07-12,78800,79400,77000,77600,83297,32365256000,-2.14,-363939000.0,51719000.0,6985176500.0,-6672956500.0,3560.0,83297.0,4.27,A267250
45,2017-07-13,77700,79400,77700,78600,55015,21693588000,1.29,1151877000.0,69506000.0,-379825500.0,-841557500.0,10256.0,55015.0,18.64,A267250
46,2017-07-14,78000,79900,77200,79800,69914,27672260000,1.53,-2135415500.0,130686000.0,-811783000.0,2816512500.0,15125.0,69914.0,21.63,A267250
47,2017-07-17,80200,81400,80000,80600,86256,34833194500,1.0,1078479000.0,107147000.0,-4135331000.0,2949705000.0,24670.0,86256.0,28.6,A267250
48,2017-07-18,80100,80500,79600,79900,37778,15105778000,-0.87,1909817500.0,-1196500.0,-315765000.0,-1592856000.0,9099.0,37778.0,24.09,A267250
49,2017-07-19,79900,80600,79500,80400,42657,17143378500,0.63,3214820500.0,40376500.0,-1789192000.0,-1466005000.0,10831.0,42657.0,25.39,A267250
50,2017-07-20,80300,83200,80200,82600,130006,53369796000,2.74,11481910000.0,440289000.0,-9082892500.0,-2839306500.0,40461.0,130006.0,31.12,A267250
51,2017-07-21,82200,84600,81900,84200,102181,42804710000,1.94,8611767500.0,208961000.0,-9256906500.0,436178000.0,18911.0,102181.0,18.51,A267250
52,2017-07-24,84000,84000,82100,82200,50263,20883737500,-2.38,3982670500.0,-133323000.0,-2644644500.0,-1204703000.0,5962.0,50263.0,11.86,A267250
53,2017-07-25,82600,84000,82400,82400,74225,30889950000,0.24,5574836000.0,-8345500.0,6938926500.0,-12505417000.0,13746.0,74225.0,18.52,A267250
54,2017-07-26,82700,85500,82700,85100,138352,58321268000,3.28,14840324000.0,533913500.0,-1387297000.0,-13986940500.0,22433.0,138352.0,16.21,A267250
55,2017-07-27,85300,86800,84600,85700,120955,51989558500,0.71,4962836500.0,104843000.0,-1403444000.0,-3664235500.0,34102.0,120955.0,28.19,A267250
56,2017-07-28,85800,86000,84100,85300,100106,42683899500,-0.47,12762373500.0,202687000.0,-9193057500.0,-3772003000.0,26195.0,100106.0,26.17,A267250
57,2017-07-31,85300,88800,84900,88100,141689,61648646000,3.28,6049305500.0,27001000.0,-2431381000.0,-3644925500.0,42905.0,141689.0,30.28,A267250
58,2017-08-01,88100,93100,85300,92700,301709,136222745000,5.22,20883687000.0,1319545500.0,1277433000.0,-23480665500.0,86360.0,301709.0,28.62,A267250
59,2017-08-02,92000,97000,92000,95800,202143,95625072500,3.34,8265002000.0,-140821000.0,-26298410500.0,18174229500.0,13152.0,202143.0,6.51,A267250
60,2017-08-03,97000,97600,92100,94800,162288,76939591657,-1.04,-15726653500.0,308244000.0,-3864673000.0,19283082500.0,7636.0,162288.0,4.71,A267250
61,2017-08-04,94300,97800,93300,97200,91247,43615340500,2.53,-55298500.0,1287156500.0,-2523547000.0,1291689000.0,9002.0,91247.0,9.87,A267250
62,2017-08-07,97300,97300,91500,92100,146894,68786549500,-5.25,-11038478500.0,645357000.0,3016710000.0,7376411500.0,1665.0,146894.0,1.13,A267250
63,2017-08-08,92100,95000,91900,94400,159001,74522896000,2.5,-15057664500.0,283495000.0,-7835602000.0,22609771500.0,9720.0,159001.0,6.11,A267250
64,2017-08-09,92800,96400,92800,95000,303156,144551150000,0.64,1847372000.0,-463480000.0,-17164121000.0,15780229000.0,57293.0,303156.0,18.9,A267250
65,2017-08-10,94600,96600,89900,95200,120863,56650830500,0.21,2744257000.0,-118069000.0,-10510784500.0,7884596500.0,9179.0,120863.0,7.59,A267250
66,2017-08-11,93000,96600,92800,95500,176629,84064639500,0.32,21200605500.0,-545009500.0,-8983861000.0,-11671735000.0,37801.0,176629.0,21.4,A267250
67,2017-08-14,95200,96300,94600,96000,83880,39962517000,0.52,-4237602000.0,-61235500.0,-303794500.0,4602632000.0,2397.0,83880.0,2.86,A267250
68,2017-08-16,96000,96000,91000,92900,171448,79587576000,-3.23,-9453947000.0,-1164241000.0,10370681000.0,247507000.0,5016.0,171448.0,2.93,A267250
69,2017-08-17,91400,93400,89100,90000,144556,65540870500,-3.12,3449376500.0,573482500.0,10584283500.0,-14607142500.0,6372.0,144556.0,4.41,A267250
70,2017-08-18,88700,88700,85300,87800,160543,70166864500,-2.44,-2001708000.0,403125000.0,4644324500.0,-3045741500.0,6487.0,160543.0,4.04,A267250
71,2017-08-21,88800,90400,88600,89900,89812,40337475000,2.39,5194843000.0,44301000.0,-4741873000.0,-497271000.0,3865.0,89812.0,4.3,A267250
72,2017-08-22,90000,90400,89100,90100,55365,24845346000,0.22,6165329500.0,-24098500.0,-82166000.0,-6059065000.0,3303.0,55365.0,5.97,A267250
73,2017-08-23,90300,90900,86700,87200,56836,25087256000,-3.22,-818060500.0,355814000.0,6646668500.0,-6184422000.0,2422.0,56836.0,4.26,A267250
74,2017-08-24,87900,89200,86500,86800,102525,44898808590,-0.46,-2090771500.0,506571500.0,6207161000.0,-4622961000.0,312.0,102525.0,0.3,A267250
75,2017-08-25,86900,89300,86400,88300,54916,24224998471,1.73,5305538000.0,-1252909500.0,-877332500.0,-3175296000.0,36.0,54916.0,0.07,A267250
76,2017-08-28,88300,88600,87400,87900,47311,20829768630,-0.45,4825181500.0,-339777000.0,310057000.0,-4795461500.0,864.0,47311.0,1.83,A267250
77,2017-08-29,87700,89000,85700,88500,61056,26769153020,0.68,-749390000.0,-668748500.0,-96761000.0,1514899500.0,1373.0,61056.0,2.25,A267250
78,2017-08-30,88000,88200,87000,88200,61158,26778649380,-0.34,287220000.0,-1040637500.0,276126500.0,477291000.0,1991.0,61158.0,3.26,A267250
79,2017-08-31,88000,89900,87900,88600,111619,49701619556,0.45,5011765500.0,-1855556000.0,-2940206500.0,-216003000.0,2190.0,111619.0,1.96,A267250
80,2017-09-01,89100,89500,86700,88100,52345,23120879000,-0.56,4489277000.0,-1441651500.0,1115400500.0,-4163026000.0,2909.0,52345.0,5.56,A267250
81,2017-09-04,85900,87900,85500,87000,57094,24787788000,-1.25,4255317500.0,-1669539000.0,1787207000.0,-4372985500.0,485.0,57094.0,0.85,A267250
82,2017-09-05,88000,88300,83300,85800,111626,47307133500,-1.38,4638097000.0,-3136361000.0,6610171000.0,-8111907000.0,1467.0,111626.0,1.31,A267250
83,2017-09-06,85700,87200,81800,82500,95379,40167876500,-3.85,-2649188500.0,-930002500.0,3872100000.0,-292909000.0,1760.0,95379.0,1.85,A267250
84,2017-09-07,82200,84800,80900,82700,72697,30246393242,0.24,-4197590500.0,-1642499500.0,-265083500.0,6105173500.0,119.0,72697.0,0.16,A267250
85,2017-09-08,81800,82700,79600,80900,102921,41607491500,-2.18,-5972833000.0,-1868124000.0,4286167000.0,3554790000.0,201.0,102921.0,0.2,A267250
86,2017-09-11,80900,81900,80400,81500,46586,18922991500,0.74,655092500.0,-75048500.0,-982383000.0,402339000.0,138.0,46586.0,0.3,A267250
87,2017-09-12,82000,85000,81600,85000,66607,27992184000,4.29,6094624500.0,-971938500.0,-7402238500.0,2279552500.0,2074.0,66607.0,3.11,A267250
88,2017-09-13,84900,86000,84000,85400,53467,22801797500,0.47,846452000.0,-715215500.0,1347685500.0,-1478922000.0,2222.0,53467.0,4.16,A267250
89,2017-09-14,85300,87900,84800,87000,94556,40896806000,1.87,6781795000.0,-511842000.0,-5428651000.0,-841302000.0,8072.0,94556.0,8.54,A267250
90,2017-09-15,86900,87200,86000,87100,136603,59399330500,0.11,3745571000.0,-259211500.0,-441177000.0,-3045182500.0,41411.0,136603.0,30.31,A267250
91,2017-09-18,87000,87400,86100,86400,40021,17340902500,-0.8,310000.0,-215228500.0,-871837000.0,1086755500.0,3285.0,40021.0,8.21,A267250
92,2017-09-19,86200,89900,86000,88100,75654,33628537000,1.97,3841161000.0,-789886500.0,-8315697500.0,5264423000.0,1748.0,75654.0,2.31,A267250
93,2017-09-20,89100,89100,87200,88100,45269,19907119000,0.0,-469799500.0,-421350500.0,-1626340000.0,2517490000.0,2741.0,45269.0,6.05,A267250
94,2017-09-21,86300,87200,84400,85700,362635,155261045386,-2.72,-3537466000.0,-100676655336.0,4664123000.0,99549998336.0,2495.0,362635.0,0.69,A267250
95,2017-09-22,85700,86600,83100,83100,69324,29229012596,-3.03,-1568093500.0,280854500.0,1770045500.0,-482806500.0,9559.0,69324.0,13.79,A267250
96,2017-09-25,82900,84900,82100,83400,46698,19572314128,0.36,2696616000.0,89753000.0,-1306665500.0,-1479703500.0,743.0,46698.0,1.59,A267250
97,2017-09-26,84000,84900,83500,84900,58461,24639210500,1.8,9230090500.0,29193500.0,-503663500.0,-8755620500.0,577.0,58461.0,0.99,A267250
98,2017-09-27,85000,85400,84100,84900,37146,15786760000,0.0,6158095500.0,108037000.0,-1593434500.0,-4672698000.0,1193.0,37146.0,3.21,A267250
99,2017-09-28,83600,84400,82600,84300,36415,15192175000,-0.71,-2886037000.0,-889000.0,2480618000.0,406308000.0,570.0,36415.0,1.57,A267250
100,2017-09-29,84900,85700,84200,85200,37773,16066328500,1.07,1090311500.0,-47519000.0,-2780718000.0,1737925500.0,1320.0,37773.0,3.49,A267250
101,2017-10-10,85200,87800,84200,86900,90887,39464941500,2.0,121832000.0,-79453500.0,-1112899500.0,1070521000.0,7479.0,90887.0,8.23,A267250
102,2017-10-11,86800,88200,86000,87500,72209,31554806100,0.69,2010988000.0,86246000.0,823602500.0,-2920836500.0,1919.0,72209.0,2.66,A267250
103,2017-10-12,87000,88300,86900,88100,48790,21428891500,0.69,3646205500.0,-415504500.0,-943723000.0,-2286978000.0,610.0,48790.0,1.25,A267250
104,2017-10-13,87600,89000,87000,88000,42434,18669559000,-0.11,-1632949500.0,-74829500.0,1268738500.0,439040500.0,2505.0,42434.0,5.9,A267250
105,2017-10-16,89000,91900,88500,91700,102533,46648798500,4.2,13444157000.0,-179808500.0,-7674341500.0,-5590007000.0,5001.0,102533.0,4.88,A267250
106,2017-10-17,91200,93600,91100,92700,60809,28079751000,1.09,10861369000.0,-58379000.0,-6335858500.0,-4467131500.0,3446.0,60809.0,5.67,A267250
107,2017-10-18,92700,93100,90700,92200,41682,19143484500,-0.54,597162000.0,82342500.0,-2014999000.0,1335494500.0,965.0,41682.0,2.32,A267250
108,2017-10-19,92200,94000,91700,92100,38297,17753850500,-0.11,2826222500.0,50790500.0,-837123000.0,-2039890000.0,475.0,38297.0,1.24,A267250
109,2017-10-20,91200,91800,89100,90400,43514,19564592000,-1.85,-5688971500.0,-2871000.0,1760862000.0,3930980500.0,1289.0,43514.0,2.96,A267250
