,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,35800,36200,35400,35400,660071,23514056100,-0.7,-5245411650.0,2484000.0,4426476150.0,816451500.0,9320.0,660071.0,1.41,A030200
1,2012-01-03,35350,35600,35200,35450,1474661,52200126600,0.14,-12146136400.0,-834521500.0,3007572750.0,9973085150.0,170.0,1474661.0,0.01,A030200
2,2012-01-04,35650,35650,34900,34900,1371913,48110635100,-1.55,-15235104000.0,-1056820800.0,10504194800.0,5787730000.0,10068.0,1371913.0,0.73,A030200
3,2012-01-05,34900,34950,34250,34450,1755008,60473049600,-1.29,-19454540450.0,-635444500.0,14992479300.0,5097505650.0,17200.0,1755008.0,0.98,A030200
4,2012-01-06,34400,34450,33300,33700,2088308,70507511750,-2.18,-12608115400.0,-126286500.0,20178916600.0,-7444514700.0,0.0,2088308.0,0.0,A030200
5,2012-01-09,33650,33650,33000,33150,1283936,42567809200,-1.63,-15273824550.0,48705500.0,9043308550.0,6181810500.0,4450.0,1283936.0,0.35,A030200
6,2012-01-10,33300,33900,33200,33750,1248015,42096584570,1.81,944277750.0,1143738500.0,102798250.0,-2190814500.0,0.0,1248015.0,0.0,A030200
7,2012-01-11,33900,34150,33550,33650,982329,33171585880,-0.3,-4436371500.0,41779500.0,-290690500.0,4685282500.0,7662.0,982329.0,0.78,A030200
8,2012-01-12,33850,33950,33350,33700,1346962,45157241950,0.15,-21492245700.0,525021800.0,1472805400.0,19494418500.0,100.0,1346962.0,0.01,A030200
9,2012-01-13,33600,33900,33450,33700,972149,32672205954,0.0,-11590364300.0,264762500.0,11995785200.0,-670183400.0,260.0,972149.0,0.03,A030200
10,2012-01-16,33600,33600,33050,33200,839201,27856414700,-1.48,-12129631700.0,-165510500.0,11567597200.0,727545000.0,115150.0,839201.0,13.72,A030200
11,2012-01-17,33250,33600,33150,33350,1165698,38852058260,0.45,-8483322500.0,1460134000.0,7536409750.0,-513221250.0,235320.0,1165698.0,20.19,A030200
12,2012-01-18,33400,33500,33250,33450,704763,23518367500,0.3,-1772726650.0,266220000.0,1059001150.0,447505500.0,42120.0,704763.0,5.98,A030200
13,2012-01-19,33600,33850,33450,33750,854459,28779106130,0.9,4124565250.0,446000500.0,-4165210000.0,-405355750.0,190420.0,854459.0,22.29,A030200
14,2012-01-20,33650,33800,33450,33600,1199733,40288279400,-0.44,-3544909600.0,-1049536500.0,5019954600.0,-425508500.0,34070.0,1199733.0,2.84,A030200
15,2012-01-25,33700,33850,33450,33800,1358287,45732377100,0.6,-4774329600.0,1086064000.0,3725127100.0,-36861500.0,360.0,1358287.0,0.03,A030200
16,2012-01-26,33850,34050,33800,34000,944871,32056158100,0.59,-3403816000.0,-1769714000.0,5096002600.0,77527400.0,680.0,944871.0,0.07,A030200
