,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,24700,25600,24550,24950,2616978,65782089300,1.84,19038883950.0,-327076000.0,-9908882950.0,-8802925000.0,187025.0,2616978.0,7.15,A034220
1,2012-01-03,25300,25650,25150,25600,1952767,49616002050,2.61,17103692300.0,-143925500.0,-14061275100.0,-2898491700.0,117140.0,1952767.0,6.0,A034220
2,2012-01-04,25900,26200,25350,25550,2319211,59690337550,-0.2,11813810900.0,-1497000000.0,-16075642800.0,5758831900.0,113650.0,2319211.0,4.9,A034220
3,2012-01-05,25650,26050,25400,25600,2076944,53594384450,0.2,9932802700.0,2302982500.0,-12238577000.0,2791800.0,300140.0,2076944.0,14.45,A034220
4,2012-01-06,25000,25450,24800,25150,2092367,52402344450,-1.76,2500361700.0,-244486500.0,573617900.0,-2829493100.0,145150.0,2092367.0,6.94,A034220
5,2012-01-09,25000,25650,24650,25150,1578369,39820584400,0.0,6723868300.0,-167830500.0,-5536572750.0,-1019465050.0,186472.0,1578369.0,11.81,A034220
6,2012-01-10,25750,26400,25600,26100,2928663,76352747850,3.78,7717140300.0,-650255500.0,-17415961100.0,10349076300.0,212610.0,2928663.0,7.26,A034220
7,2012-01-11,26500,26950,26450,26800,4283342,114663866600,2.68,-3586093400.0,-3291985000.0,-30000644900.0,36878723300.0,457840.0,4283342.0,10.69,A034220
8,2012-01-12,27000,27100,26450,26750,2915494,77878212200,-0.19,-18650889750.0,-999806000.0,-6732306250.0,26383002000.0,333200.0,2915494.0,11.43,A034220
9,2012-01-13,27100,27100,26550,26850,1618110,43420262100,0.37,7784726200.0,-286869500.0,-10565303950.0,3067447250.0,40530.0,1618110.0,2.5,A034220
10,2012-01-16,26400,26700,26200,26500,1366714,36108161450,-1.3,1859903500.0,194220500.0,-2485892000.0,431768000.0,37450.0,1366714.0,2.74,A034220
11,2012-01-17,26850,26950,25600,26900,3170663,83509327950,1.51,-3161883400.0,-3181566900.0,-10316167800.0,16659618100.0,83800.0,3170663.0,2.64,A034220
12,2012-01-18,26800,26900,26300,26600,1625183,43132112300,-1.12,-6054039300.0,-576448000.0,-3867922700.0,10498410000.0,25760.0,1625183.0,1.59,A034220
13,2012-01-19,26850,27450,26700,27350,2711690,73650728200,2.82,24302939350.0,491905000.0,-20024560850.0,-4770283500.0,398240.0,2711690.0,14.69,A034220
14,2012-01-20,27600,28800,27500,28600,3305531,93621445200,4.57,14465752000.0,-548386000.0,-44405725400.0,30488359400.0,64160.0,3305531.0,1.94,A034220
15,2012-01-25,28700,29350,28150,28550,2172214,62374913600,-0.17,-9645555750.0,-1022485000.0,-1610626400.0,12278667150.0,67480.0,2172214.0,3.11,A034220
16,2012-01-26,28700,28750,27700,28000,2651457,74396561400,-1.93,3848043000.0,-477283500.0,9681825500.0,-13052585000.0,68590.0,2651457.0,2.59,A034220
17,2012-01-27,27650,28900,27100,28550,2668813,75265769750,1.96,12931644500.0,2431054500.0,-11209904550.0,-4152794450.0,231830.0,2668813.0,8.69,A034220
