,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,7300,7400,7150,7150,1987020,14368953410,-3.38,-1725675400.0,-273470600.0,2360302900.0,-361156900.0,5380.0,1987020.0,0.27,A032640
1,2012-01-03,7130,7250,7010,7060,3929121,27954538760,-1.26,-3443190330.0,236975100.0,1258549130.0,1947666100.0,156230.0,3929121.0,3.98,A032640
2,2012-01-04,7150,7160,6930,6960,4291410,30108670800,-1.42,-3032017800.0,16366700.0,1366133700.0,1649517400.0,451040.0,4291410.0,10.51,A032640
3,2012-01-05,6980,7130,6940,6990,2558427,17952728310,0.43,47355970.0,-1529581370.0,593645040.0,888580360.0,18140.0,2558427.0,0.71,A032640
4,2012-01-06,6910,7070,6700,6800,2749715,18910262280,-2.72,123269900.0,64785300.0,2765310300.0,-2953365500.0,28480.0,2749715.0,1.04,A032640
5,2012-01-09,6790,6900,6610,6830,2807152,18800608340,0.44,-1596767650.0,-94268000.0,-909360260.0,2600395910.0,45380.0,2807152.0,1.62,A032640
6,2012-01-10,6900,7030,6810,6840,2632467,18239751840,0.15,49062540.0,-194310400.0,1767571020.0,-1622323160.0,80000.0,2632467.0,3.04,A032640
7,2012-01-11,6870,6900,6680,6680,2347146,15823489640,-2.34,-3537263260.0,-406435700.0,4319917060.0,-376218100.0,236140.0,2347146.0,10.06,A032640
8,2012-01-12,6680,6750,6510,6510,3289936,21534611850,-2.54,-4621076400.0,16363700.0,10076365100.0,-5471652400.0,17000.0,3289936.0,0.52,A032640
9,2012-01-13,6520,6800,6520,6790,2648354,17699706540,4.3,2605228780.0,-251918200.0,-5204359180.0,2851048600.0,36480.0,2648354.0,1.38,A032640
10,2012-01-16,6790,6880,6690,6860,1824331,12404626470,1.03,794676440.0,-104995100.0,1521086660.0,-2210768000.0,48790.0,1824331.0,2.67,A032640
11,2012-01-17,6810,6930,6730,6780,2046815,13946820960,-1.17,625209600.0,2640600.0,2065599000.0,-2693449200.0,37960.0,2046815.0,1.85,A032640
12,2012-01-18,6790,6850,6570,6610,2268108,15183191770,-2.51,-3257045800.0,7340000.0,4321816200.0,-1072110400.0,132320.0,2268108.0,5.83,A032640
13,2012-01-19,6660,6750,6510,6560,3119134,20533346880,-0.76,-7293541420.0,-125576700.0,7928994920.0,-509876800.0,480.0,3119134.0,0.02,A032640
14,2012-01-20,6530,6660,6520,6580,2716868,17823750810,0.3,-3580666740.0,-268901700.0,4265849960.0,-416281520.0,10610.0,2716868.0,0.39,A032640
15,2012-01-25,6610,6720,6580,6640,2754223,18317217200,0.91,1688318980.0,-178999000.0,918662780.0,-2427982760.0,5600.0,2754223.0,0.2,A032640
16,2012-01-26,6640,6760,6640,6670,1550560,10392470500,0.45,113842010.0,110670700.0,-64593850.0,-159918860.0,34860.0,1550560.0,2.25,A032640
17,2012-01-27,6630,6690,6560,6600,1962507,12945174790,-1.05,-1113286700.0,-261980900.0,2003569800.0,-628302200.0,175460.0,1962507.0,8.94,A032640
18,2012-01-30,6540,6640,6490,6580,2161533,14191796220,-0.3,2776359400.0,-338625300.0,-356977800.0,-2080756300.0,540.0,2161533.0,0.02,A032640
