,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,318000,321000,313500,320000,187161,59402041500,0.79,130517500.0,-528771500.0,-2590113500.0,2988367500.0,411.0,187161.0,0.22,A051910
1,2012-01-03,327000,332500,326000,330500,307332,101454466000,3.28,39936996500.0,-299035500.0,-51620896000.0,11982935000.0,4490.0,307332.0,1.46,A051910
2,2012-01-04,335000,335000,323500,324500,263634,86570172000,-1.82,19522604000.0,-2785264000.0,-8110319000.0,-8627021000.0,1877.0,263634.0,0.71,A051910
3,2012-01-05,326500,333500,324500,331500,257462,85246326000,2.16,28544308000.0,-295673500.0,-34964302500.0,6715668000.0,7557.0,257462.0,2.94,A051910
4,2012-01-06,329000,330000,319500,323500,280955,90593187500,-2.41,-13980275000.0,-794357500.0,16469428500.0,-1694796000.0,2690.0,280955.0,0.96,A051910
5,2012-01-09,321000,321500,316500,319000,173946,55422397500,-1.39,-7764478500.0,-267741000.0,13613528000.0,-5581308500.0,3043.0,173946.0,1.75,A051910
6,2012-01-10,324500,329500,322500,324000,247398,80843163000,1.57,20580912000.0,-9920500.0,-24771498500.0,4200507000.0,1920.0,247398.0,0.78,A051910
7,2012-01-11,327500,332500,321500,323000,270622,88647148292,-0.31,17906123000.0,256373000.0,-9831827000.0,-8330669000.0,633.0,270622.0,0.23,A051910
8,2012-01-12,325000,336000,323000,334000,461587,153109306500,3.41,42446239500.0,2371980500.0,-42513012500.0,-2305207500.0,1546.0,461587.0,0.33,A051910
9,2012-01-13,336000,345000,332000,344000,562036,192351543794,2.99,50089603000.0,1355201500.0,-65981434000.0,14536629500.0,3818.0,562036.0,0.68,A051910
10,2012-01-16,343000,349500,339000,348500,346215,119135990000,1.31,33600378500.0,958915500.0,-27683491500.0,-6875802500.0,5710.0,346215.0,1.65,A051910
11,2012-01-17,352500,359000,352000,358500,544928,194559827000,2.87,74859491500.0,2780634000.0,-91068324500.0,13428199000.0,6648.0,544928.0,1.22,A051910
12,2012-01-18,360000,371000,353500,367500,642190,234835279110,2.51,34345226500.0,-2049188000.0,-97904099000.0,65608060500.0,26520.0,642190.0,4.13,A051910
13,2012-01-19,372000,378500,363500,378500,609032,227452561000,2.99,-12921870000.0,-736142000.0,-113869639000.0,127527651000.0,25666.0,609032.0,4.21,A051910
14,2012-01-20,379500,388500,377000,384000,501716,191868346500,1.45,4973112500.0,-2110279500.0,-68715380000.0,65852547000.0,19674.0,501716.0,3.92,A051910
15,2012-01-25,387000,389500,373500,377500,387350,147705757500,-1.69,-44963161500.0,816552000.0,-10905655500.0,55052265000.0,6262.0,387350.0,1.62,A051910
16,2012-01-26,378500,379500,373000,378000,320918,120567888000,0.13,-27370136500.0,1600556500.0,5579489000.0,20190091000.0,3908.0,320918.0,1.22,A051910
17,2012-01-27,380000,385500,376000,382000,290099,110914190500,1.06,11456553000.0,889977000.0,-35599199000.0,23252669000.0,7160.0,290099.0,2.47,A051910
18,2012-01-30,385000,385000,364000,365000,438646,162499488500,-4.45,5390101000.0,1455171500.0,19810760000.0,-26656032500.0,1781.0,438646.0,0.41,A051910
19,2012-01-31,367000,380000,366500,374000,407077,152015148000,2.47,-1391319000.0,1723156000.0,-14505618000.0,14173781000.0,3580.0,407077.0,0.88,A051910
20,2012-02-01,375000,390000,373500,388000,419355,162014465500,3.74,6669478000.0,-912305500.0,-42352743500.0,36595571000.0,3348.0,419355.0,0.8,A051910
21,2012-02-02,399000,412000,397000,411000,675298,274116092500,5.93,-11230601000.0,-2076297000.0,-101524430500.0,114831328500.0,6999.0,675298.0,1.04,A051910
22,2012-02-03,412000,413000,402500,406500,340355,138355037500,-1.09,-2661159500.0,1256404000.0,-8011487000.0,9416242500.0,18214.0,340355.0,5.35,A051910
23,2012-02-06,416500,419000,400000,405000,478620,196623633000,-0.37,-18342487500.0,335031500.0,-13603264000.0,31610720000.0,11461.0,478620.0,2.39,A051910
24,2012-02-07,405000,409000,401500,406500,232084,94184494500,0.37,-17722177500.0,-806393500.0,-7403972000.0,25932543000.0,2916.0,232084.0,1.26,A051910
25,2012-02-08,410000,420000,408000,420000,270383,112865244500,3.32,17803219000.0,457330500.0,-38041233500.0,19780684000.0,1630.0,270383.0,0.6,A051910
26,2012-02-09,429000,434000,420000,434000,386402,165709569500,3.33,7578077500.0,981763000.0,-42924852000.0,34365011500.0,11686.0,386402.0,3.02,A051910
27,2012-02-10,428000,432000,415000,418500,335150,141334115500,-3.57,-50465590500.0,-2756846500.0,44426215000.0,8796222000.0,10167.0,335150.0,3.03,A051910
28,2012-02-13,420000,424000,408000,414000,287513,118791741000,-1.08,-34322682500.0,-1393611000.0,22072953000.0,13643340500.0,10522.0,287513.0,3.66,A051910
