,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,65606,67175,65135,65606,79684,16663957000,-0.95,2342185000.0,-139753000.0,755835500.0,-2958267500.0,23.0,79684.0,0.03,A035420
1,2012-01-03,65763,68902,65763,68902,129258,28083618064,5.02,4078634936.0,-1735705500.0,-9526147000.0,7183217564.0,1241.0,129258.0,0.96,A035420
2,2012-01-04,70157,70157,68117,68902,114888,25164459500,0.0,2634498500.0,-3579610500.0,-7351275500.0,8296387500.0,1862.0,114888.0,1.62,A035420
3,2012-01-05,69059,69530,67960,67960,122556,26833608000,-1.37,5890270500.0,-638633500.0,-3662736500.0,-1588900500.0,395.0,122556.0,0.32,A035420
4,2012-01-06,69216,69530,66861,67960,118049,25669738000,0.0,-3564225500.0,-1173126500.0,-2577127500.0,7314479500.0,952.0,118049.0,0.81,A035420
5,2012-01-09,67332,69059,66391,67803,99677,21327678500,-0.23,-2291849500.0,-1886602000.0,1611906000.0,2566545500.0,2277.0,99677.0,2.28,A035420
6,2012-01-10,68588,69373,67803,67803,123542,26928798000,0.0,8700827500.0,-3003832000.0,-204522500.0,-5492473000.0,7954.0,123542.0,6.44,A035420
7,2012-01-11,67960,69373,67803,69059,119629,26158696000,1.85,3772865500.0,-3938133500.0,-6986035000.0,7151303000.0,185.0,119629.0,0.15,A035420
8,2012-01-12,69530,69687,68588,69687,130738,28843120000,0.91,1290013000.0,-5220308000.0,-5848764000.0,9779059000.0,5035.0,130738.0,3.85,A035420
9,2012-01-13,69844,70314,68902,69687,115876,25692871000,0.0,297204000.0,-5319506000.0,-1587143500.0,6609445500.0,6026.0,115876.0,5.2,A035420
10,2012-01-16,70157,70314,67175,69059,115326,25187867000,-0.9,819976500.0,-5317159000.0,-231506000.0,4728688500.0,8504.0,115326.0,7.37,A035420
11,2012-01-17,69687,70471,69216,70314,122416,27249399000,1.82,1085725000.0,-3358812500.0,-6305767000.0,8578854500.0,2229.0,122416.0,1.82,A035420
12,2012-01-18,70785,71413,70314,71413,186983,42282759500,1.56,2947636500.0,-3042524500.0,-8841057000.0,8935945000.0,7506.0,186983.0,4.01,A035420
13,2012-01-19,72041,72355,71099,72041,149931,34327105000,0.88,8708408500.0,-3163399500.0,-12080809500.0,6535800500.0,13483.0,149931.0,8.99,A035420
14,2012-01-20,71570,71727,69373,70157,254618,56969112500,-2.61,-22057566721.0,-5326302000.0,3660740000.0,23723128721.0,20607.0,254618.0,8.09,A035420
