,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,10500,10600,10050,10300,1908886,19554900000,-2.83,-1107828800.0,-227862500.0,1863643300.0,-527952000.0,0.0,1908886.0,0.0,A005940
1,2012-01-03,10450,10850,10400,10800,2143598,22932792350,4.85,5520902900.0,410725100.0,-7175723500.0,1244095500.0,20.0,2143598.0,0.0,A005940
2,2012-01-04,10850,10950,10650,10800,1397368,15122191150,0.0,5137448900.0,-51285000.0,-6079535300.0,993371400.0,20.0,1397368.0,0.0,A005940
3,2012-01-05,10800,10950,10750,10900,1170951,12693351400,0.93,2605501400.0,-76071500.0,-3322273400.0,792843500.0,60.0,1170951.0,0.01,A005940
4,2012-01-06,10950,10950,10500,10600,1020734,10854593900,-2.75,213606400.0,-30376400.0,-114714000.0,-68516000.0,1810.0,1020734.0,0.18,A005940
5,2012-01-09,10550,10600,10250,10600,831569,8667492900,0.0,-421098600.0,38121000.0,202216100.0,180761500.0,2600.0,831569.0,0.31,A005940
6,2012-01-10,10600,11350,10600,11300,2645033,29385830150,6.6,7559466450.0,-179551100.0,-10290701550.0,2910786200.0,0.0,2645033.0,0.0,A005940
7,2012-01-11,11200,11600,11150,11350,1870611,21385437000,0.44,5751724600.0,1447540500.0,-7979692600.0,780427500.0,0.0,1870611.0,0.0,A005940
8,2012-01-12,11500,12250,11400,12150,4439416,52929032350,7.05,12033707500.0,282702000.0,-11936005500.0,-380404000.0,23000.0,4439416.0,0.52,A005940
9,2012-01-13,12150,12550,12050,12450,2511821,31084051300,2.47,8958022400.0,-267228800.0,-8489591100.0,-201202500.0,400.0,2511821.0,0.02,A005940
10,2012-01-16,12350,12550,12000,12450,1865314,22885278700,0.0,-1784141850.0,693703500.0,791253200.0,299185150.0,0.0,1865314.0,0.0,A005940
11,2012-01-17,12650,13200,12600,12950,2670637,34542594400,4.02,2619150250.0,-490651450.0,-2017195800.0,-111303000.0,9040.0,2670637.0,0.34,A005940
12,2012-01-18,12950,13000,12500,12650,2205956,28184695200,-2.32,-2937921500.0,522639000.0,1992237500.0,423045000.0,40.0,2205956.0,0.0,A005940
13,2012-01-19,12950,13150,12400,12600,2297012,29221483250,-0.4,-6710554550.0,-55625000.0,5201166550.0,1565013000.0,120.0,2297012.0,0.01,A005940
14,2012-01-20,12650,13500,12600,13400,3649931,48132952150,6.35,3951741800.0,397467900.0,-5921706800.0,1572497100.0,3600.0,3649931.0,0.1,A005940
15,2012-01-25,13300,13600,12800,13000,3201791,42146108450,-2.99,-10932147400.0,-327528000.0,9316687900.0,1942987500.0,60.0,3201791.0,0.0,A005940
16,2012-01-26,13150,13200,12750,12950,1988164,25666777550,-0.38,-7065836900.0,465482000.0,5719644250.0,880710650.0,3330.0,1988164.0,0.17,A005940
17,2012-01-27,12950,13500,12850,13250,2906895,38496850200,2.32,-1041529750.0,-117190000.0,1161251250.0,-2531500.0,40.0,2906895.0,0.0,A005940
18,2012-01-30,13050,13200,12750,13150,2392271,31037321200,-0.75,-5231709950.0,86606000.0,1951375450.0,3193728500.0,0.0,2392271.0,0.0,A005940
19,2012-01-31,13150,13350,13000,13300,1566853,20709704500,1.14,587566200.0,-1619000.0,-2554294300.0,1968347100.0,20.0,1566853.0,0.0,A005940
20,2012-02-01,13300,13800,13200,13550,2069194,28015520850,1.88,-1749923100.0,-317708000.0,-190920400.0,2258551500.0,5290.0,2069194.0,0.26,A005940
21,2012-02-02,13800,14000,13600,13700,2410284,33193700150,1.11,-1603833200.0,-289487700.0,1170304500.0,723016400.0,30.0,2410284.0,0.0,A005940
22,2012-02-03,13650,13850,13400,13650,1593282,21735305700,-0.36,-1619908000.0,293529000.0,651477000.0,674902000.0,0.0,1593282.0,0.0,A005940
23,2012-02-06,14000,14100,13700,13850,1693768,23480506300,1.47,3613623600.0,-1417039000.0,-3623370600.0,1426786000.0,0.0,1693768.0,0.0,A005940
24,2012-02-07,13900,13950,13400,13450,1387377,18776150350,-2.89,-2339564350.0,-573569050.0,1825302200.0,1087831200.0,20.0,1387377.0,0.0,A005940
25,2012-02-08,13500,13850,13400,13800,1724360,23661007350,2.6,-1076059000.0,163452000.0,27881700.0,884725300.0,6620.0,1724360.0,0.38,A005940
