,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,101000,102000,99600,100500,378883,38139704100,0.5,7310531400.0,-2666951400.0,1673472300.0,-6317052300.0,80559.0,378883.0,21.26,A010950
1,2012-01-03,101500,106000,101500,105000,587824,61494737500,4.48,15061094500.0,103077000.0,-18509898000.0,3345726500.0,13819.0,587824.0,2.35,A010950
2,2012-01-04,106000,106500,104500,105000,418556,44204713000,0.0,10114716500.0,-1675455500.0,-13573499500.0,5134238500.0,32141.0,418556.0,7.68,A010950
3,2012-01-05,106000,110000,105000,109500,853906,92865950000,4.29,21988652000.0,-207734500.0,-42519030000.0,20738112500.0,45719.0,853906.0,5.35,A010950
4,2012-01-06,109500,109500,106500,109000,483036,52141477500,-0.46,-2375658500.0,-88132500.0,-8793589000.0,11257380000.0,23007.0,483036.0,4.76,A010950
5,2012-01-09,108500,110500,105500,109500,437725,47440927000,0.46,3050426500.0,213291000.0,-7430169500.0,4166452000.0,22049.0,437725.0,5.04,A010950
6,2012-01-10,111000,113000,110500,112000,497583,55646528000,2.28,12343411000.0,-475084000.0,-18752101500.0,6883774500.0,40265.0,497583.0,8.09,A010950
7,2012-01-11,112500,113500,109000,109500,413256,45830611000,-2.23,5557925500.0,144392500.0,-9917030500.0,4214712500.0,13031.0,413256.0,3.15,A010950
8,2012-01-12,109000,113000,107500,113000,532826,59200982000,3.2,16825979500.0,32909000.0,-21992193000.0,5133304500.0,3498.0,532826.0,0.66,A010950
9,2012-01-13,112500,113000,111000,113000,386012,43303699000,0.0,3601831000.0,169470500.0,-7319658000.0,3548356500.0,49346.0,386012.0,12.78,A010950
10,2012-01-16,111500,113000,109500,112000,309542,34469517000,-0.88,7122263000.0,2421900500.0,-6965307000.0,-2578856500.0,38403.0,309542.0,12.41,A010950
11,2012-01-17,113000,115000,112500,115000,519611,59442003500,2.68,9546013000.0,-237030000.0,-19327130000.0,10018147000.0,5557.0,519611.0,1.07,A010950
12,2012-01-18,115500,117000,114500,116000,439060,51079909000,0.87,12393771500.0,665313500.0,-22770061000.0,9710976000.0,17635.0,439060.0,4.02,A010950
13,2012-01-19,117500,118000,114500,115500,351591,41011563500,-0.43,4562413500.0,398340000.0,-16533778000.0,11573024500.0,15881.0,351591.0,4.52,A010950
14,2012-01-20,116500,120000,116000,119000,672614,79514472000,3.03,5921933000.0,42276000.0,-31390923500.0,25426714500.0,30903.0,672614.0,4.59,A010950
15,2012-01-25,119500,120500,117000,118500,319613,38084032000,-0.42,-3288830000.0,-344611000.0,-6830637000.0,10464078000.0,8459.0,319613.0,2.65,A010950
16,2012-01-26,119500,123000,118500,122000,466919,56582392000,2.95,21861875500.0,-1268273500.0,-29910297500.0,9316695500.0,7635.0,466919.0,1.64,A010950
17,2012-01-27,122500,125000,121000,122500,449428,55229664500,0.41,1658130000.0,-3066358000.0,-10524259500.0,11932487500.0,12514.0,449428.0,2.78,A010950
18,2012-01-30,122500,125000,120000,123000,692792,85366442500,0.41,30550264000.0,-1522637000.0,-22385780500.0,-6641846500.0,25362.0,692792.0,3.66,A010950
19,2012-01-31,123000,124000,120000,122000,443152,54021638000,-0.81,-3677236000.0,234506500.0,2227500000.0,1215229500.0,11252.0,443152.0,2.54,A010950
20,2012-02-01,120500,123000,120500,120500,352252,42875326500,-1.23,-2516336000.0,-431699000.0,2315588500.0,632446500.0,7923.0,352252.0,2.25,A010950
21,2012-02-02,122500,126000,122000,125000,651307,81470553000,3.73,6459608500.0,-3448939000.0,-26124230000.0,23113560500.0,3335.0,651307.0,0.51,A010950
22,2012-02-03,126500,130000,124500,129500,857334,109492149500,3.6,13805527500.0,-954578000.0,-22553282000.0,9702332500.0,36725.0,857334.0,4.28,A010950
23,2012-02-06,131500,132500,126000,127500,528252,68174641000,-1.54,10569370500.0,-1820960500.0,1301629000.0,-10050039000.0,46662.0,528252.0,8.83,A010950
24,2012-02-07,128000,130500,127000,130500,499840,64637910000,2.35,3251215500.0,8234000.0,-22283462000.0,19024012500.0,35348.0,499840.0,7.07,A010950
25,2012-02-08,132000,139500,131500,138000,1010172,138044911000,5.75,26333159000.0,-7707319000.0,-36621818500.0,17995978500.0,53508.0,1010172.0,5.3,A010950
26,2012-02-09,137500,145000,135500,144500,822098,116520135500,4.71,-2160596000.0,-944699500.0,-28027695500.0,31132991000.0,15470.0,822098.0,1.88,A010950
27,2012-02-10,143500,144000,137000,138000,653109,90878418500,-4.5,-12597425000.0,-200862000.0,20710947000.0,-7912660000.0,8987.0,653109.0,1.38,A010950
28,2012-02-13,137500,139500,133500,137000,733810,99354313500,-0.72,-27577753500.0,-602531500.0,26526955000.0,1653330000.0,23245.0,733810.0,3.17,A010950
29,2012-02-14,136000,138000,132500,134500,856971,115202359500,-1.82,-22086671500.0,-879410000.0,41726274500.0,-18760193000.0,14843.0,856971.0,1.73,A010950
30,2012-02-15,134000,137500,133000,135500,543378,73617474000,0.74,-823456000.0,-852453500.0,3189229000.0,-1513319500.0,33697.0,543378.0,6.2,A010950
31,2012-02-16,133000,134500,129000,131000,723334,94994528000,-3.32,-23127365000.0,-2830458000.0,28734994500.0,-2777171500.0,46186.0,723334.0,6.39,A010950
32,2012-02-17,133500,135000,128500,130000,771581,101331286500,-0.76,-30973015000.0,-277080500.0,29488754000.0,1761341500.0,10325.0,771581.0,1.34,A010950
33,2012-02-20,133500,134000,130500,131500,729127,95543810000,1.15,-9133803500.0,-51371500.0,15529192000.0,-6344017000.0,1635.0,729127.0,0.22,A010950
34,2012-02-21,131000,132500,128000,130500,610654,79060718000,-0.76,-17122410500.0,-404279500.0,15105631000.0,2421059000.0,34867.0,610654.0,5.71,A010950
35,2012-02-22,129500,136500,128000,136500,796468,105793484500,4.6,6381809500.0,-57052500.0,-19397022500.0,13072265500.0,6045.0,796468.0,0.76,A010950
36,2012-02-23,135500,137500,134500,136500,544948,74272359000,0.0,7528926500.0,-355408500.0,-7835164000.0,661646000.0,24241.0,544948.0,4.45,A010950
37,2012-02-24,136500,137500,131500,132000,580348,77495676500,-3.3,-1941635000.0,490199000.0,11284404000.0,-9832968000.0,21546.0,580348.0,3.71,A010950
38,2012-02-27,131000,131500,124000,125500,886382,111534467000,-4.92,-39862727500.0,-185253000.0,37661064500.0,2386916000.0,19707.0,886382.0,2.22,A010950
39,2012-02-28,125000,127500,123000,127500,554409,69644440500,1.59,186075000.0,1324241000.0,11609451000.0,-13119767000.0,64611.0,554409.0,11.65,A010950
40,2012-02-29,127500,129000,125500,125500,771469,97616793000,-1.57,-11104908500.0,1478805000.0,24021992500.0,-14395889000.0,17303.0,771469.0,2.24,A010950
41,2012-03-02,127000,129000,124500,125500,625567,79132156500,0.0,-17999315500.0,277882500.0,14167113500.0,3554319500.0,18308.0,625567.0,2.93,A010950
