,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,117500,122000,117000,121500,147456,17826060500,3.85,2637819500.0,309897000.0,-4564406500.0,1616690000.0,9463.0,147456.0,6.42,A034730
1,2012-01-03,122500,130000,122500,130000,240209,30593855000,7.0,7480442500.0,1321207000.0,-10261586000.0,1459936500.0,3760.0,240209.0,1.57,A034730
2,2012-01-04,129500,134000,127500,131500,236293,31201642000,1.15,13152615500.0,468383000.0,-10678234000.0,-2942764500.0,1594.0,236293.0,0.67,A034730
3,2012-01-05,131000,135000,131000,135000,157335,21049525000,2.66,9317741500.0,-363735000.0,-6793348500.0,-2160658000.0,20524.0,157335.0,13.04,A034730
4,2012-01-06,136500,136500,130500,133500,107920,14304782500,-1.11,4294268500.0,-1471234500.0,-1158457500.0,-1664576500.0,5002.0,107920.0,4.63,A034730
5,2012-01-09,133500,136000,130000,135000,121407,16264758500,1.12,6738687000.0,249709500.0,-6246692500.0,-741704000.0,6051.0,121407.0,4.98,A034730
6,2012-01-10,135000,137000,133000,133000,121065,16279455000,-1.48,5383875500.0,297758000.0,-2433766500.0,-3247867000.0,3051.0,121065.0,2.52,A034730
7,2012-01-11,133000,134000,128500,129000,124724,16251515000,-3.01,-3100522000.0,474585500.0,2348903500.0,277033000.0,241.0,124724.0,0.19,A034730
8,2012-01-12,130000,135000,129000,133500,154178,20370278500,3.49,4712758000.0,-985656500.0,-6919217000.0,3192115500.0,4697.0,154178.0,3.05,A034730
9,2012-01-13,132500,134500,131000,133500,105247,13962479000,0.0,3047735500.0,-157124000.0,-1103324000.0,-1787287500.0,521.0,105247.0,0.5,A034730
10,2012-01-16,133000,133000,130000,132500,61727,8101294500,-0.75,-838546500.0,-69496000.0,-48780500.0,956823000.0,62.0,61727.0,0.1,A034730
11,2012-01-17,132500,134000,129000,130000,209677,27353871000,-1.89,-7469717000.0,-175795500.0,11265459500.0,-3619947000.0,436.0,209677.0,0.21,A034730
12,2012-01-18,130000,131000,126000,127500,156414,20039838500,-1.92,-4273926500.0,-538933000.0,5607516000.0,-794656500.0,389.0,156414.0,0.25,A034730
13,2012-01-19,128000,132000,128000,131500,169461,22006545000,3.14,1035764500.0,436801500.0,-497884000.0,-974682000.0,999.0,169461.0,0.59,A034730
