,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-03-18,130000,169000,130000,169000,876189,147463795500,30.0,-13822315000.0,-2496455000.0,29762408000.0,-13443638000.0,0.0,876189.0,0.0,A302440
1,2021-03-19,184000,190000,166000,166500,12468903,2226115506500,-1.48,-29162607500.0,-16429545000.0,167929903000.0,-122337750500.0,1310.0,12468903.0,0.01,A302440
2,2021-03-22,161000,162500,143000,144000,4675116,700287182500,-13.51,-1300447000.0,-18372000.0,26127576000.0,-24808757000.0,358.0,4675116.0,0.01,A302440
3,2021-03-23,147000,149500,138000,140500,2980953,423883975000,-2.43,1063844000.0,-94505000.0,8386513000.0,-9355852000.0,13.0,2980953.0,0.0,A302440
4,2021-03-24,138000,142000,135500,136500,1707179,236361643500,-2.85,4865190500.0,324488000.0,-3865195000.0,-1324483500.0,37.0,1707179.0,0.0,A302440
5,2021-03-25,138500,140000,135500,136000,1111829,152857072500,-0.37,305977000.0,738374000.0,4264554000.0,-5308905000.0,2.0,1111829.0,0.0,A302440
6,2021-03-26,136500,138000,131500,132000,1157841,154560119500,-2.94,862215500.0,-121240500.0,3105683500.0,-3846658500.0,0.0,1157841.0,0.0,A302440
7,2021-03-29,132000,132500,123500,123500,1412312,179228200000,-6.44,948394000.0,-414341500.0,4406746500.0,-4940799000.0,225.0,1412312.0,0.02,A302440
8,2021-03-30,126500,129500,124500,126500,1269769,161337956000,2.43,4758268500.0,-324516500.0,-1710105500.0,-2723646500.0,120.0,1269769.0,0.01,A302440
9,2021-03-31,124500,125500,120000,120500,1016714,123533877000,-4.74,-837232500.0,218733000.0,4514181500.0,-3895682000.0,385.0,1016714.0,0.04,A302440
10,2021-04-01,120500,122500,116000,119000,1010819,120659423500,-1.24,756009500.0,235301500.0,-1174890500.0,183579500.0,0.0,1010819.0,0.0,A302440
11,2021-04-02,119500,121500,116500,117500,741222,88018203000,-1.26,-5536961000.0,-592073500.0,25405608500.0,-19276574000.0,664.0,741222.0,0.09,A302440
12,2021-04-05,118500,120000,117500,118000,445890,52755062000,0.43,323131000.0,11066500.0,5329864000.0,-5664061500.0,193.0,445890.0,0.04,A302440
